time,Orlando,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. B. Biyombo (J. Grant gains possession),,,,Jump ball: R. Lopez vs. B. Biyombo (J. Grant gains possession)
11:37.0,,,0-2,2,L. Markkanen makes 2-pt shot from 17 ft
11:14.0,M. Hezonja misses 2-pt shot from 1 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by Z. LaVine
11:08.0,,,0-2,,Z. LaVine misses 2-pt shot at rim (block by B. Biyombo)
11:08.0,Defensive rebound by E. Fournier,,0-2,,
10:50.0,M. Hezonja misses 2-pt shot from 9 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by Z. LaVine
10:33.0,,,0-2,,L. Markkanen misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by M. Hezonja,,0-2,,
10:18.0,B. Biyombo makes 2-pt shot from 2 ft,2,2-2,,
10:06.0,,,2-2,,L. Markkanen misses 3-pt shot from 26 ft
10:04.0,Defensive rebound by D. Augustin,,2-2,,
9:57.0,Shooting foul by R. Lopez (drawn by D. Augustin),,2-2,,
9:57.0,D. Augustin makes free throw 1 of 2,1,3-2,,
9:57.0,D. Augustin makes free throw 2 of 2,1,4-2,,
9:37.0,,,4-4,2,J. Grant makes 2-pt shot from 19 ft
9:14.0,Turnover by Team (shot clock),,4-4,,
9:03.0,,,4-4,,Z. LaVine misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by D. Augustin,,4-4,,
8:53.0,D. Augustin misses 2-pt shot from 14 ft,,4-4,,
8:50.0,,,4-4,,Defensive rebound by J. Holiday
8:46.0,,,4-6,2,Z. LaVine makes 2-pt shot from 2 ft (assist by J. Grant)
8:27.0,J. Simmons misses 2-pt shot from 15 ft,,4-6,,
8:23.0,,,4-6,,Defensive rebound by J. Grant
8:16.0,,,4-6,,Turnover by J. Holiday (bad pass; steal by M. Hezonja)
8:15.0,,,4-6,,Violation by J. Grant (kicked ball)
8:02.0,D. Augustin misses 3-pt shot from 23 ft,,4-6,,
7:59.0,,,4-6,,Defensive rebound by J. Holiday
7:54.0,,,4-6,,J. Holiday misses 2-pt shot from 17 ft
7:48.0,Defensive rebound by M. Hezonja,,4-6,,
7:45.0,M. Hezonja misses 2-pt shot from 1 ft (block by L. Markkanen),,4-6,,
7:41.0,,,4-6,,Defensive rebound by J. Grant
7:37.0,,,4-8,2,L. Markkanen makes 2-pt shot from 1 ft (assist by J. Holiday)
7:21.0,Turnover by D. Augustin (bad pass; steal by R. Lopez),,4-8,,
7:19.0,,,4-8,,Turnover by J. Grant (turnover)
7:09.0,E. Fournier makes 2-pt shot from 3 ft,2,6-8,,
6:58.0,,,6-8,,Z. LaVine misses 2-pt shot from 5 ft (block by M. Hezonja)
6:55.0,Defensive rebound by B. Biyombo,,6-8,,
6:53.0,E. Fournier makes 2-pt shot from 2 ft (assist by J. Simmons),2,8-8,,
6:44.0,Personal foul by E. Fournier (drawn by R. Lopez),,8-8,,
6:44.0,,,8-8,,Chicago full timeout
6:36.0,,,8-8,,Turnover by Z. LaVine (lost ball; steal by J. Simmons)
6:28.0,B. Biyombo makes 2-pt shot from 14 ft (assist by E. Fournier),2,10-8,,
6:10.0,,,10-11,3,J. Grant makes 3-pt shot from 25 ft (assist by Z. LaVine)
5:59.0,Turnover by D. Augustin (bad pass; steal by J. Grant),,10-11,,
5:56.0,,,10-13,2,J. Grant makes 2-pt shot from 1 ft
5:56.0,,,10-13,,Shooting foul by M. Hezonja (drawn by J. Grant)
