time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. K. Love (D. Collison gains possession),,,,Jump ball: M. Turner vs. K. Love (D. Collison gains possession)
11:42.0,,,0-0,,Turnover by B. Bogdanovic (lost ball; steal by J. Smith)
11:35.0,J. Crowder misses 3-pt shot from 29 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by T. Young
11:27.0,,,0-0,,V. Oladipo misses 2-pt shot from 17 ft
11:25.0,Defensive rebound by K. Love,,0-0,,
11:13.0,Turnover by L. James (bad pass; steal by T. Young),,0-0,,
11:10.0,,,0-0,,Turnover by D. Collison (out of bounds lost ball)
10:59.0,K. Love misses 3-pt shot from 26 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by D. Collison
10:50.0,,,0-3,3,D. Collison makes 3-pt shot from 26 ft
10:35.0,Turnover by J. Calderon (bad pass; steal by V. Oladipo),,0-3,,
10:29.0,,,0-6,3,D. Collison makes 3-pt shot from 27 ft (assist by V. Oladipo)
10:10.0,K. Love makes 2-pt shot at rim (assist by J. Calderon),2,2-6,,
10:02.0,,,2-8,2,V. Oladipo makes 2-pt shot from 1 ft
9:56.0,Cleveland full timeout,,2-8,,
9:45.0,K. Love misses 3-pt shot from 24 ft,,2-8,,
9:42.0,,,2-8,,Defensive rebound by D. Collison
9:34.0,Personal foul by J. Crowder (drawn by M. Turner),,2-8,,
9:30.0,,,2-8,,B. Bogdanovic misses 3-pt shot from 27 ft
9:26.0,Defensive rebound by K. Love,,2-8,,
9:18.0,J. Crowder misses 2-pt shot at rim,,2-8,,
9:16.0,,,2-8,,Defensive rebound by V. Oladipo
9:13.0,,,2-8,,Turnover by V. Oladipo (bad pass)
9:08.0,,,2-8,,Personal foul by T. Young (drawn by K. Love)
8:58.0,Turnover by L. James (bad pass; steal by T. Young),,2-8,,
8:56.0,,,2-8,,Shooting foul by J. Calderon (drawn by B. Bogdanovic)
8:56.0,,,2-9,1,B. Bogdanovic makes free throw 1 of 2
8:56.0,,,2-10,1,B. Bogdanovic makes free throw 2 of 2
8:47.0,,,2-10,,Personal foul by B. Bogdanovic (drawn by L. James)
8:43.0,J. Smith misses 2-pt shot from 21 ft,,2-10,,
8:40.0,,,2-10,,Defensive rebound by V. Oladipo
8:35.0,,,2-13,3,M. Turner makes 3-pt shot from 27 ft (assist by V. Oladipo)
8:14.0,K. Love makes 2-pt shot from 5 ft (assist by L. James),2,4-13,,
7:54.0,,,4-13,,D. Collison misses 3-pt shot from 23 ft
7:51.0,Defensive rebound by K. Love,,4-13,,
7:32.0,Shooting foul by V. Oladipo (drawn by J. Crowder),,4-13,,
7:32.0,J. Crowder makes free throw 1 of 3,1,5-13,,
7:32.0,J. Crowder makes free throw 2 of 3,1,6-13,,
7:32.0,J. Crowder makes free throw 3 of 3,1,7-13,,
7:17.0,,,7-15,2,T. Young makes 2-pt shot from 6 ft
6:58.0,J. Smith misses 2-pt shot from 4 ft,,7-15,,
6:56.0,,,7-15,,Defensive rebound by V. Oladipo
6:56.0,,,7-15,,Turnover by V. Oladipo (bad pass)
6:48.0,L. James misses 2-pt shot from 1 ft,,7-15,,
6:46.0,Offensive rebound by L. James,,7-15,,
6:45.0,L. James makes 2-pt shot at rim,2,9-15,,
6:18.0,,,9-18,3,T. Young makes 3-pt shot from 26 ft (assist by V. Oladipo)
6:02.0,J. Calderon misses 2-pt shot from 18 ft,,9-18,,
5:59.0,Offensive rebound by K. Love,,9-18,,
5:57.0,K. Love makes 2-pt shot from 8 ft,2,11-18,,
5:57.0,Shooting foul by D. Collison (drawn by K. Love),,11-18,,
5:57.0,K. Love makes free throw 1 of 1,1,12-18,,
5:42.0,,,12-18,,T. Young misses 2-pt shot from 6 ft
5:40.0,Defensive rebound by J. Calderon,,12-18,,
5:38.0,L. James makes 2-pt shot from 1 ft (assist by J. Calderon),2,14-18,,
5:20.0,,,14-20,2,M. Turner makes 2-pt shot from 20 ft (assist by B. Bogdanovic)
5:03.0,J. Calderon makes 2-pt shot from 2 ft,2,16-20,,
