time,New Orleans,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. A. Davis (D. Cousins gains possession),,,,Jump ball: N. Noel vs. A. Davis (D. Cousins gains possession)
11:46.0,D. Cousins makes 2-pt shot at rim (assist by A. Davis),2,2-0,,
11:19.0,,,2-0,,W. Matthews misses 2-pt shot from 16 ft
11:17.0,Defensive rebound by D. Cousins,,2-0,,
11:08.0,J. Holiday misses 3-pt shot from 22 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by H. Barnes
10:47.0,,,2-0,,D. Smith misses 2-pt shot from 3 ft (block by A. Davis)
10:44.0,,,2-0,,Offensive rebound by D. Smith
10:43.0,,,2-0,,D. Smith misses 2-pt shot from 1 ft
10:43.0,Defensive rebound by D. Cousins,,2-0,,
10:30.0,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday),2,4-0,,
10:17.0,,,4-0,,H. Barnes misses 2-pt shot from 21 ft
10:15.0,Defensive rebound by D. Cousins,,4-0,,
10:05.0,D. Cousins misses 3-pt shot from 25 ft,,4-0,,
10:01.0,,,4-0,,Defensive rebound by H. Barnes
9:51.0,,,4-2,2,W. Matthews makes 2-pt shot from 20 ft
9:31.0,D. Cousins makes 2-pt shot from 19 ft (assist by J. Holiday),2,6-2,,
9:11.0,,,6-2,,D. Smith misses 2-pt shot from 21 ft
9:09.0,Defensive rebound by A. Davis,,6-2,,
8:59.0,J. Holiday misses 2-pt shot from 2 ft,,6-2,,
8:57.0,,,6-2,,Defensive rebound by H. Barnes
8:36.0,,,6-2,,N. Noel misses 2-pt shot from 16 ft
8:33.0,Defensive rebound by D. Cousins,,6-2,,
8:29.0,A. Davis makes 2-pt shot from 4 ft (assist by D. Cousins),2,8-2,,
8:28.0,,,8-2,,Dallas full timeout
8:15.0,,,8-5,3,W. Matthews makes 3-pt shot from 26 ft (assist by D. Smith)
8:00.0,Turnover by D. Cousins (lost ball; steal by N. Noel),,8-5,,
7:56.0,,,8-5,,Turnover by D. Smith (bad pass)
7:44.0,Shooting foul by H. Barnes (drawn by A. Davis),,8-5,,
7:44.0,A. Davis makes free throw 1 of 2,1,9-5,,
7:44.0,A. Davis makes free throw 2 of 2,1,10-5,,
7:33.0,,,10-5,,H. Barnes misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by D. Cousins,,10-5,,
7:24.0,A. Davis makes 2-pt shot at rim (assist by D. Cousins),2,12-5,,
7:09.0,,,12-5,,D. Nowitzki misses 2-pt shot from 14 ft
7:07.0,Defensive rebound by A. Davis,,12-5,,
6:55.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,14-5,,
6:44.0,,,14-5,,Turnover by D. Smith (bad pass; steal by D. Cunningham)
6:39.0,Shooting foul by W. Matthews (drawn by D. Cunningham),,14-5,,
6:39.0,D. Cunningham misses free throw 1 of 2,,14-5,,
6:39.0,Offensive rebound by Team,,14-5,,
6:39.0,D. Cunningham makes free throw 2 of 2,1,15-5,,
6:29.0,Personal foul by D. Cunningham (drawn by H. Barnes),,15-5,,
6:16.0,,,15-7,2,W. Matthews makes 2-pt shot from 13 ft
6:03.0,J. Holiday misses 2-pt shot from 8 ft,,15-7,,
6:01.0,,,15-7,,Defensive rebound by D. Nowitzki
5:53.0,,,15-10,3,D. Smith makes 3-pt shot from 25 ft (assist by W. Matthews)
5:41.0,E. Moore makes 2-pt shot at rim (assist by D. Cousins),2,17-10,,
5:19.0,,,17-10,,D. Nowitzki misses 2-pt shot from 12 ft
5:17.0,,,17-10,,D. Powell enters the game for D. Nowitzki
5:17.0,J. Nelson enters the game for J. Holiday,,17-10,,
5:16.0,,,17-10,,Defensive rebound by N. Noel
5:12.0,,,17-10,,D. Smith misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by D. Cousins,,17-10,,
5:00.0,Shooting foul by D. Powell (drawn by A. Davis),,17-10,,
5:00.0,A. Davis makes free throw 1 of 2,1,18-10,,
5:00.0,,,18-10,,J. Barea enters the game for D. Smith
5:00.0,,,18-10,,S. Mejri enters the game for N. Noel
5:00.0,A. Davis misses free throw 2 of 2,,18-10,,
4:57.0,Offensive rebound by D. Cunningham,,18-10,,
4:54.0,D. Cunningham misses 3-pt shot from 24 ft,,18-10,,
