time,Detroit,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. E. Moreland (L. Markkanen gains possession),,,,Jump ball: C. Felicio vs. E. Moreland (L. Markkanen gains possession)
11:43.0,,,0-2,2,D. Nwaba makes 2-pt shot from 5 ft (assist by L. Markkanen)
11:19.0,Turnover by R. Jackson (bad pass),,0-2,,
11:08.0,,,0-2,,L. Markkanen misses 3-pt shot from 27 ft
11:02.0,Defensive rebound by E. Moreland,,0-2,,
10:57.0,S. Johnson misses 2-pt shot from 9 ft,,0-2,,
10:53.0,,,0-2,,Defensive rebound by S. Kilpatrick
10:48.0,,,0-5,3,L. Markkanen makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
10:19.0,A. Tolliver makes 2-pt shot at rim (assist by E. Moreland),2,2-5,,
10:09.0,,,2-5,,D. Nwaba misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by L. Kennard,,2-5,,
9:59.0,A. Tolliver makes 3-pt shot from 26 ft (assist by L. Kennard),3,5-5,,
9:46.0,,,5-8,3,S. Kilpatrick makes 3-pt shot from 22 ft (assist by C. Felicio)
9:24.0,S. Johnson misses 2-pt shot from 2 ft,,5-8,,
9:20.0,Offensive rebound by E. Moreland,,5-8,,
9:20.0,E. Moreland makes 2-pt shot at rim,2,7-8,,
9:14.0,,,7-10,2,D. Nwaba makes 2-pt shot from 1 ft (assist by C. Payne)
8:45.0,E. Moreland misses 2-pt shot from 16 ft,,7-10,,
8:42.0,,,7-10,,Defensive rebound by C. Payne
8:34.0,,,7-12,2,C. Felicio makes 2-pt shot from 5 ft (assist by S. Kilpatrick)
8:16.0,A. Tolliver makes 3-pt shot from 24 ft (assist by R. Jackson),3,10-12,,
7:59.0,,,10-12,,D. Nwaba misses 2-pt shot from 4 ft
7:56.0,Defensive rebound by E. Moreland,,10-12,,
7:52.0,A. Tolliver makes 3-pt shot from 25 ft (assist by S. Johnson),3,13-12,,
7:40.0,,,13-12,,D. Nwaba misses 2-pt shot from 5 ft
7:38.0,Defensive rebound by E. Moreland,,13-12,,
7:29.0,A. Tolliver makes 2-pt shot at rim,2,15-12,,
7:29.0,,,15-12,,Chicago full timeout
7:08.0,Personal foul by A. Tolliver (drawn by L. Markkanen),,15-12,,
7:02.0,,,15-12,,C. Payne misses 2-pt shot from 6 ft
7:01.0,,,15-12,,Offensive rebound by Team
7:01.0,Loose ball foul by S. Johnson (drawn by C. Felicio),,15-12,,
6:52.0,,,15-12,,S. Kilpatrick misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by E. Moreland,,15-12,,
6:34.0,E. Moreland makes 2-pt shot from 11 ft (assist by L. Kennard),2,17-12,,
6:17.0,,,17-12,,L. Markkanen misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by E. Moreland,,17-12,,
6:06.0,Shooting foul by S. Kilpatrick (drawn by L. Kennard),,17-12,,
6:06.0,L. Kennard makes free throw 1 of 2,1,18-12,,
6:06.0,,,18-12,,J. Grant enters the game for S. Kilpatrick
6:06.0,L. Kennard makes free throw 2 of 2,1,19-12,,
5:52.0,,,19-12,,Turnover by C. Felicio (lost ball; steal by E. Moreland)
5:38.0,S. Johnson makes 3-pt shot from 22 ft (assist by R. Jackson),3,22-12,,
5:17.0,,,22-12,,D. Nwaba misses 2-pt shot from 7 ft
5:12.0,Defensive rebound by S. Johnson,,22-12,,
5:01.0,Turnover by L. Kennard (lost ball; steal by J. Grant),,22-12,,
4:59.0,,,22-12,,D. Nwaba misses 2-pt shot from 4 ft
4:58.0,,,22-12,,Offensive rebound by L. Markkanen
4:58.0,,,22-14,2,L. Markkanen makes 2-pt shot at rim
4:29.0,A. Tolliver misses 2-pt shot from 11 ft,,22-14,,
4:26.0,,,22-14,,Defensive rebound by L. Markkanen
4:17.0,,,22-14,,Shooting foul by S. Johnson (drawn by C. Felicio)
4:17.0,,,22-15,1,C. Felicio makes free throw 1 of 2
4:17.0,,,22-15,,B. Portis enters the game for L. Markkanen
4:17.0,J. Ennis enters the game for S. Johnson,,22-15,,
4:17.0,,,22-16,1,C. Felicio makes free throw 2 of 2
4:06.0,L. Kennard makes 2-pt shot from 14 ft (assist by E. Moreland),2,24-16,,
3:43.0,,,24-16,,B. Portis misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by L. Kennard,,24-16,,
3:36.0,L. Kennard makes 2-pt shot from 19 ft,2,26-16,,
3:28.0,,,26-16,,Turnover by J. Grant (bad pass; steal by J. Ennis)
3:20.0,A. Tolliver makes 3-pt shot from 25 ft (assist by L. Kennard),3,29-16,,
3:20.0,,,29-16,,Chicago full timeout
3:20.0,,,29-16,,R. Arcidiacono enters the game for C. Felicio
3:20.0,,,29-16,,O. Asik enters the game for C. Payne
3:20.0,H. Ellenson enters the game for R. Jackson,,29-16,,
3:20.0,I. Smith enters the game for E. Moreland,,29-16,,
3:09.0,,,29-18,2,J. Grant makes 2-pt shot from 7 ft
2:49.0,Turnover by L. Kennard (lost ball; steal by R. Arcidiacono),,29-18,,
2:47.0,,,29-20,2,D. Nwaba makes 2-pt shot from 1 ft (assist by R. Arcidiacono)
2:47.0,,,29-20,,Shooting foul by J. Ennis (drawn by D. Nwaba)
2:47.0,L. Galloway enters the game for L. Kennard,,29-20,,
2:47.0,,,29-21,1,D. Nwaba makes free throw 1 of 1
2:37.0,H. Ellenson misses 2-pt shot from 19 ft,,29-21,,
2:34.0,,,29-21,,Defensive rebound by B. Portis
2:28.0,,,29-21,,B. Portis misses 2-pt shot from 18 ft
2:28.0,Defensive rebound by I. Smith,,29-21,,
2:17.0,J. Ennis makes 2-pt shot from 20 ft (assist by H. Ellenson),2,31-21,,
1:50.0,,,31-21,,B. Portis misses 3-pt shot from 28 ft
1:47.0,Defensive rebound by A. Tolliver,,31-21,,
1:27.0,J. Ennis misses 3-pt shot from 23 ft,,31-21,,
1:24.0,,,31-21,,Defensive rebound by B. Portis
1:05.0,,,31-21,,J. Grant misses 2-pt shot from 10 ft
1:02.0,Defensive rebound by I. Smith,,31-21,,
0:59.0,J. Ennis makes 2-pt shot from 1 ft (assist by I. Smith),2,33-21,,
0:35.0,,,33-21,,O. Asik misses 2-pt shot from 1 ft
0:34.0,,,33-21,,Offensive rebound by O. Asik
0:34.0,,,33-21,,Turnover by O. Asik (bad pass; steal by L. Galloway)
0:34.0,,,33-21,,Personal foul by J. Grant (drawn by L. Galloway)
0:34.0,,,33-21,,S. Kilpatrick enters the game for D. Nwaba
0:19.0,L. Galloway makes 2-pt shot from 1 ft,2,35-21,,
0:00.0,,,35-21,,J. Grant misses 3-pt shot from 25 ft
0:00.0,,,35-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by I. Smith (bad pass),,35-21,,
11:34.0,,,35-23,2,B. Portis makes 2-pt shot from 6 ft (assist by S. Kilpatrick)
11:15.0,H. Ellenson makes 2-pt shot from 19 ft,2,37-23,,
