time,Milwaukee,pts.away,score,pts.home,Washington
2:15.0,,,23-25,,I. Mahinmi enters the game for M. Gortat
2:00.0,T. Snell misses 2-pt shot from 21 ft,,23-25,,
1:58.0,,,23-25,,Defensive rebound by J. Wall
1:37.0,,,23-25,,J. Wall misses 2-pt shot from 21 ft
1:33.0,,,23-25,,Offensive rebound by T. Satoransky
1:30.0,,,23-25,,K. Oubre misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by E. Bledsoe,,23-25,,
1:21.0,T. Snell makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,26-25,,
1:06.0,,,26-27,2,J. Wall makes 2-pt shot from 2 ft
0:55.0,E. Bledsoe misses 3-pt shot from 24 ft,,26-27,,
0:53.0,,,26-27,,Defensive rebound by J. Wall
0:48.0,,,26-27,,Shooting foul by E. Bledsoe (drawn by J. Wall)
0:48.0,,,26-27,,J. Wall misses free throw 1 of 2
0:48.0,,,26-27,,Offensive rebound by Team
0:48.0,S. Brown enters the game for E. Bledsoe,,26-27,,
0:48.0,,,26-28,1,J. Wall makes free throw 2 of 2
0:36.0,Shooting foul by M. Scott (drawn by G. Antetokounmpo),,26-28,,
0:36.0,G. Antetokounmpo makes free throw 1 of 2,1,27-28,,
0:36.0,G. Antetokounmpo makes free throw 2 of 2,1,28-28,,
0:32.0,,,28-30,2,J. Wall makes 2-pt shot from 15 ft
0:08.0,G. Antetokounmpo misses 2-pt shot from 8 ft (block by J. Wall),,28-30,,
0:06.0,Offensive rebound by Team,,28-30,,
0:06.0,Turnover by Team (shot clock),,28-30,,
0:00.0,,,28-30,,J. Wall misses 3-pt shot from 25 ft
0:00.0,,,28-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Maker misses 3-pt shot from 23 ft,,28-30,,
11:41.0,,,28-30,,Defensive rebound by T. Satoransky
11:31.0,,,28-30,,Turnover by B. Beal (bad pass)
11:26.0,Shooting foul by I. Mahinmi (drawn by S. Brown),,28-30,,
11:26.0,S. Brown makes free throw 1 of 2,1,29-30,,
11:26.0,S. Brown makes free throw 2 of 2,1,30-30,,
11:13.0,,,30-32,2,B. Beal makes 2-pt shot from 11 ft (assist by T. Satoransky)
11:13.0,,,30-32,,Shooting foul by S. Brown (drawn by B. Beal)
11:13.0,,,30-33,1,B. Beal makes free throw 1 of 1
10:57.0,K. Middleton makes 2-pt shot from 14 ft,2,32-33,,
10:41.0,,,32-33,,Turnover by B. Beal (lost ball; steal by T. Maker)
10:35.0,Turnover by K. Middleton (bad pass),,32-33,,
10:12.0,,,32-33,,T. Satoransky misses 2-pt shot from 3 ft (block by T. Maker)
10:12.0,,,32-33,,Turnover by T. Satoransky (bad pass; steal by S. Brown)
10:12.0,,,32-33,,Offensive rebound by T. Satoransky
10:05.0,K. Middleton misses 2-pt shot from 4 ft,,32-33,,
10:05.0,,,32-33,,Defensive rebound by K. Oubre
9:57.0,,,32-35,2,T. Satoransky makes 2-pt shot at rim (assist by B. Beal)
9:37.0,T. Snell makes 3-pt shot from 22 ft (assist by K. Middleton),3,35-35,,
9:20.0,,,35-35,,Turnover by I. Mahinmi (lost ball; steal by T. Snell)
9:12.0,Turnover by S. Brown (lost ball; steal by T. Satoransky),,35-35,,
9:07.0,,,35-35,,Turnover by M. Scott (lost ball; steal by M. Dellavedova)
8:42.0,Turnover by Team (shot clock),,35-35,,
8:29.0,,,35-35,,Turnover by B. Beal (lost ball; steal by T. Maker)
8:28.0,,,35-35,,Personal foul by I. Mahinmi (drawn by S. Brown)
8:17.0,M. Dellavedova misses 2-pt shot from 8 ft,,35-35,,
8:14.0,,,35-35,,Defensive rebound by M. Scott
8:03.0,,,35-35,,Turnover by K. Oubre (out of bounds lost ball)
7:53.0,T. Maker makes 2-pt shot from 20 ft (assist by M. Dellavedova),2,37-35,,
7:51.0,,,37-35,,Washington full timeout
7:51.0,,,37-35,,J. Wall enters the game for I. Mahinmi
7:51.0,,,37-35,,M. Morris enters the game for M. Scott
7:51.0,,,37-35,,O. Porter enters the game for T. Satoransky
7:29.0,,,37-37,2,B. Beal makes 2-pt shot from 20 ft (assist by M. Morris)
7:27.0,,,37-37,,Personal foul by O. Porter (drawn by T. Maker)
7:09.0,K. Middleton misses 2-pt shot from 16 ft,,37-37,,
7:02.0,,,37-37,,Defensive rebound by O. Porter
6:50.0,,,37-39,2,M. Morris makes 2-pt shot from 13 ft (assist by O. Porter)
6:32.0,Turnover by K. Middleton (bad pass; steal by O. Porter),,37-39,,
6:26.0,,,37-41,2,K. Oubre makes 2-pt shot from 5 ft (assist by J. Wall)
6:02.0,S. Brown makes 3-pt shot from 22 ft (assist by M. Dellavedova),3,40-41,,
5:43.0,,,40-41,,Turnover by B. Beal (bad pass)
5:43.0,M. Brogdon enters the game for T. Snell,,40-41,,
5:43.0,E. Bledsoe enters the game for M. Dellavedova,,40-41,,
5:32.0,E. Bledsoe misses 3-pt shot from 22 ft,,40-41,,
5:28.0,,,40-41,,Defensive rebound by O. Porter
5:18.0,Personal foul by S. Brown (drawn by J. Wall),,40-41,,
5:05.0,,,40-41,,J. Wall misses 2-pt shot from 6 ft
4:59.0,,,40-41,,Offensive rebound by M. Morris
4:59.0,,,40-43,2,M. Morris makes 2-pt shot at rim
4:36.0,Turnover by E. Bledsoe (bad pass; steal by M. Morris),,40-43,,
4:31.0,,,40-43,,Turnover by K. Oubre (lost ball; steal by E. Bledsoe)
4:27.0,K. Middleton makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,42-43,,
4:16.0,,,42-43,,Offensive foul by M. Morris (drawn by S. Brown)
4:16.0,,,42-43,,Turnover by M. Morris (offensive foul)
4:16.0,G. Antetokounmpo enters the game for T. Maker,,42-43,,
4:16.0,,,42-43,,M. Gortat enters the game for K. Oubre
3:53.0,S. Brown misses 2-pt shot from 1 ft (block by M. Morris),,42-43,,
3:53.0,,,42-43,,Defensive rebound by M. Morris
3:53.0,Personal foul by S. Brown (drawn by M. Morris),,42-43,,
3:33.0,,,42-43,,J. Wall misses 2-pt shot from 21 ft (block by K. Middleton)
3:33.0,Defensive rebound by Team,,42-43,,
3:33.0,J. Henson enters the game for S. Brown,,42-43,,
