time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. A. Horford (N. Mirotic gains possession),,,,Jump ball: R. Lopez vs. A. Horford (N. Mirotic gains possession)
11:40.0,,,0-0,,R. Lopez misses 2-pt shot from 10 ft
11:37.0,Defensive rebound by A. Horford,,0-0,,
11:24.0,J. Brown misses 2-pt shot from 1 ft,,0-0,,
11:17.0,Offensive rebound by J. Brown,,0-0,,
11:17.0,J. Brown misses 2-pt shot at rim,,0-0,,
11:17.0,,,0-0,,Defensive rebound by R. Lopez
11:11.0,,,0-0,,J. Holiday misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by J. Tatum,,0-0,,
10:57.0,Turnover by J. Brown (bad pass; steal by J. Holiday),,0-0,,
10:53.0,,,0-0,,D. Valentine misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by J. Tatum,,0-0,,
10:33.0,A. Horford misses 2-pt shot from 12 ft,,0-0,,
10:33.0,,,0-0,,Defensive rebound by J. Holiday
10:25.0,Personal foul by J. Brown (drawn by J. Holiday),,0-0,,
10:17.0,,,0-0,,R. Lopez misses 2-pt shot from 8 ft
10:14.0,Defensive rebound by J. Brown,,0-0,,
9:58.0,M. Smart misses 2-pt shot from 11 ft,,0-0,,
9:55.0,,,0-0,,Defensive rebound by N. Mirotic
9:49.0,,,0-2,2,N. Mirotic makes 2-pt shot from 21 ft (assist by K. Dunn)
9:28.0,J. Tatum misses 3-pt shot from 24 ft,,0-2,,
9:26.0,,,0-2,,Defensive rebound by K. Dunn
9:16.0,,,0-2,,K. Dunn misses 2-pt shot from 9 ft
9:12.0,,,0-2,,Offensive rebound by K. Dunn
9:11.0,,,0-4,2,K. Dunn makes 2-pt shot from 1 ft
9:06.0,Boston full timeout,,0-4,,
8:52.0,A. Baynes makes 2-pt shot from 12 ft (assist by M. Smart),2,2-4,,
8:34.0,,,2-4,,N. Mirotic misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by M. Smart,,2-4,,
8:19.0,M. Smart makes 3-pt shot from 24 ft (assist by A. Horford),3,5-4,,
8:00.0,,,5-4,,N. Mirotic misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by J. Tatum,,5-4,,
7:47.0,A. Baynes makes 2-pt shot at rim (assist by A. Horford),2,7-4,,
7:36.0,,,7-4,,D. Valentine misses 2-pt shot from 12 ft
7:32.0,,,7-4,,Offensive rebound by J. Holiday
7:25.0,,,7-6,2,K. Dunn makes 2-pt shot from 8 ft
7:04.0,Turnover by J. Brown (lost ball; steal by J. Holiday),,7-6,,
7:01.0,,,7-6,,Offensive charge foul by J. Holiday (drawn by A. Baynes)
7:01.0,,,7-6,,Turnover by J. Holiday (offensive foul)
7:01.0,T. Rozier enters the game for J. Brown,,7-6,,
6:53.0,Turnover by A. Baynes (bad pass),,7-6,,
6:40.0,,,7-8,2,K. Dunn makes 2-pt shot from 11 ft
6:20.0,M. Smart makes 3-pt shot from 24 ft (assist by A. Horford),3,10-8,,
6:07.0,,,10-10,2,N. Mirotic makes 2-pt shot from 1 ft (assist by K. Dunn)
5:57.0,A. Horford misses 3-pt shot from 24 ft,,10-10,,
5:53.0,,,10-10,,Defensive rebound by J. Holiday
5:47.0,,,10-10,,K. Dunn misses 2-pt shot from 1 ft
5:43.0,Defensive rebound by J. Tatum,,10-10,,
5:41.0,Personal foul by A. Baynes (drawn by K. Dunn),,10-10,,
5:41.0,Turnover by A. Baynes (turnover),,10-10,,
5:41.0,S. Ojeleye enters the game for A. Baynes,,10-10,,
5:21.0,,,10-10,,K. Dunn misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by J. Tatum,,10-10,,
5:10.0,Shooting foul by D. Valentine (drawn by J. Tatum),,10-10,,
5:10.0,J. Tatum makes free throw 1 of 2,1,11-10,,
5:10.0,,,11-10,,D. Nwaba enters the game for D. Valentine
5:10.0,J. Tatum makes free throw 2 of 2,1,12-10,,
4:53.0,,,12-12,2,N. Mirotic makes 2-pt shot from 18 ft
4:33.0,J. Tatum makes 2-pt shot at rim,2,14-12,,
4:21.0,,,14-12,,J. Holiday misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by J. Tatum,,14-12,,
