time,Philadelphia,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. A. Johnson (D. Valentine gains possession),,,,Jump ball: R. Lopez vs. A. Johnson (D. Valentine gains possession)
11:34.0,,,0-0,,Turnover by R. Lopez (turnover)
11:34.0,,,0-0,,Personal foul by R. Lopez (drawn by R. Covington)
11:20.0,D. Saric makes 3-pt shot from 25 ft (assist by A. Johnson),3,3-0,,
10:51.0,,,3-0,,J. Holiday misses 2-pt shot from 3 ft
10:51.0,Defensive rebound by R. Covington,,3-0,,
10:46.0,J. Redick makes 3-pt shot from 26 ft,3,6-0,,
10:33.0,,,6-2,2,K. Dunn makes 2-pt shot from 15 ft
10:22.0,,,6-2,,Personal foul by K. Dunn (drawn by B. Simmons)
10:14.0,J. Redick misses 2-pt shot from 20 ft,,6-2,,
10:14.0,,,6-2,,Defensive rebound by L. Markkanen
10:05.0,,,6-4,2,D. Valentine makes 2-pt shot from 12 ft
9:45.0,B. Simmons misses 2-pt shot from 1 ft (block by R. Lopez),,6-4,,
9:42.0,,,6-4,,Defensive rebound by L. Markkanen
9:30.0,,,6-4,,L. Markkanen misses 2-pt shot from 7 ft
9:30.0,Defensive rebound by A. Johnson,,6-4,,
9:22.0,J. Redick makes 3-pt shot from 23 ft (assist by R. Covington),3,9-4,,
9:11.0,Personal foul by A. Johnson (drawn by K. Dunn),,9-4,,
8:57.0,,,9-4,,L. Markkanen misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by A. Johnson,,9-4,,
8:43.0,D. Saric misses 2-pt shot from 6 ft,,9-4,,
8:43.0,,,9-4,,Defensive rebound by L. Markkanen
8:38.0,,,9-4,,J. Holiday misses 2-pt shot from 19 ft
8:38.0,Defensive rebound by D. Saric,,9-4,,
8:24.0,B. Simmons misses 2-pt shot from 3 ft,,9-4,,
8:24.0,,,9-4,,Defensive rebound by Team
8:10.0,,,9-6,2,K. Dunn makes 2-pt shot from 3 ft
7:58.0,D. Saric misses 3-pt shot from 25 ft,,9-6,,
7:54.0,,,9-6,,Defensive rebound by R. Lopez
7:47.0,,,9-6,,K. Dunn misses 2-pt shot from 14 ft
7:47.0,Defensive rebound by B. Simmons,,9-6,,
7:36.0,B. Simmons makes 2-pt shot from 1 ft,2,11-6,,
7:26.0,,,11-8,2,R. Lopez makes 2-pt shot from 19 ft (assist by J. Holiday)
7:09.0,A. Johnson misses 2-pt shot from 12 ft,,11-8,,
7:05.0,,,11-8,,Defensive rebound by K. Dunn
6:47.0,,,11-8,,Turnover by J. Holiday (bad pass; steal by R. Covington)
6:46.0,Turnover by D. Saric (bad pass),,11-8,,
6:46.0,,,11-8,,Chicago full timeout
6:46.0,T. McConnell enters the game for D. Saric,,11-8,,
6:46.0,J. Bayless enters the game for A. Johnson,,11-8,,
6:46.0,R. Holmes enters the game for J. Redick,,11-8,,
6:24.0,,,11-10,2,K. Dunn makes 2-pt shot from 20 ft
6:13.0,B. Simmons makes 2-pt shot from 2 ft,2,13-10,,
6:01.0,,,13-10,,L. Markkanen misses 2-pt shot from 2 ft
5:58.0,Defensive rebound by R. Covington,,13-10,,
5:50.0,R. Holmes makes 2-pt shot from 19 ft (assist by B. Simmons),2,15-10,,
5:34.0,,,15-10,,Turnover by R. Lopez (lost ball; steal by R. Covington)
5:20.0,Turnover by J. Bayless (bad pass; steal by J. Holiday),,15-10,,
5:11.0,,,15-10,,L. Markkanen misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by R. Covington,,15-10,,
5:02.0,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons),3,18-10,,
5:01.0,,,18-10,,Chicago full timeout
5:01.0,,,18-10,,D. Nwaba enters the game for L. Markkanen
