time,Atlanta,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Plumlee (K. Bazemore gains possession),,,,Jump ball: B. Lopez vs. M. Plumlee (K. Bazemore gains possession)
11:44.0,Turnover by D. Schroder (bad pass; steal by B. Lopez),,0-0,,
11:41.0,,,0-0,,Turnover by L. Ball (traveling)
11:27.0,D. Schroder makes 2-pt shot from 17 ft,2,2-0,,
11:12.0,,,2-2,2,B. Lopez makes 2-pt shot from 2 ft (assist by L. Ball)
10:55.0,Shooting foul by L. Ball (drawn by D. Schroder),,2-2,,
10:55.0,D. Schroder makes free throw 1 of 2,1,3-2,,
10:55.0,D. Schroder makes free throw 2 of 2,1,4-2,,
10:45.0,,,4-2,,L. Ball misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by T. Waller-Prince,,4-2,,
10:33.0,D. Schroder makes 2-pt shot from 2 ft,2,6-2,,
10:22.0,,,6-2,,K. Caldwell-Pope misses 2-pt shot from 17 ft (block by K. Bazemore)
10:21.0,,,6-2,,Offensive rebound by Team
10:10.0,,,6-2,,Turnover by J. Randle (traveling)
9:52.0,E. Ilyasova misses 2-pt shot from 2 ft,,6-2,,
9:50.0,Offensive rebound by E. Ilyasova,,6-2,,
9:50.0,E. Ilyasova makes 2-pt shot at rim,2,8-2,,
9:35.0,,,8-2,,B. Lopez misses 2-pt shot from 20 ft
9:35.0,Defensive rebound by Team,,8-2,,
9:35.0,,,8-2,,Loose ball foul by J. Randle (drawn by E. Ilyasova)
9:25.0,T. Waller-Prince misses 2-pt shot from 7 ft,,8-2,,
9:24.0,Offensive rebound by M. Plumlee,,8-2,,
9:24.0,M. Plumlee makes 2-pt shot at rim,2,10-2,,
9:22.0,,,10-2,,LA Lakers full timeout
9:04.0,,,10-4,2,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle)
9:04.0,Shooting block foul by K. Bazemore (drawn by B. Ingram),,10-4,,
9:04.0,,,10-5,1,B. Ingram makes free throw 1 of 1
8:46.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder),3,13-5,,
8:32.0,,,13-5,,L. Ball misses 2-pt shot from 6 ft
8:28.0,,,13-5,,Offensive rebound by L. Ball
8:28.0,,,13-5,,L. Ball misses 2-pt shot from 2 ft
8:28.0,,,13-5,,Offensive rebound by J. Randle
8:25.0,,,13-5,,L. Ball misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by T. Waller-Prince,,13-5,,
8:18.0,D. Schroder misses 2-pt shot from 17 ft,,13-5,,
8:13.0,,,13-5,,Defensive rebound by J. Randle
8:07.0,,,13-5,,B. Lopez misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by E. Ilyasova,,13-5,,
7:50.0,E. Ilyasova misses 2-pt shot from 2 ft,,13-5,,
7:48.0,,,13-5,,Defensive rebound by L. Ball
7:42.0,,,13-8,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by B. Ingram)
7:42.0,,,13-9,1,K. Caldwell-Pope makes technical free throw
7:34.0,E. Ilyasova misses 3-pt shot from 26 ft,,13-9,,
7:27.0,Offensive rebound by T. Waller-Prince,,13-9,,
7:24.0,D. Schroder misses 3-pt shot from 26 ft,,13-9,,
7:21.0,,,13-9,,Defensive rebound by L. Ball
7:17.0,,,13-9,,Turnover by B. Ingram (traveling)
6:51.0,M. Plumlee makes 2-pt shot from 14 ft (assist by K. Bazemore),2,15-9,,
6:34.0,,,15-12,3,B. Ingram makes 3-pt shot from 25 ft (assist by J. Randle)
6:20.0,Turnover by T. Waller-Prince (lost ball; steal by B. Lopez),,15-12,,
6:14.0,,,15-12,,J. Randle misses 2-pt shot from 1 ft
6:09.0,Defensive rebound by D. Schroder,,15-12,,
6:01.0,Atlanta full timeout,,15-12,,
6:01.0,,,15-12,,T. Ennis enters the game for L. Ball
6:01.0,M. Delaney enters the game for T. Waller-Prince,,15-12,,
6:01.0,J. Collins enters the game for M. Plumlee,,15-12,,
5:50.0,Turnover by D. Schroder (bad pass; steal by B. Lopez),,15-12,,
5:44.0,,,15-14,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram)
5:29.0,J. Collins makes 3-pt shot from 23 ft (assist by K. Bazemore),3,18-14,,
5:10.0,,,18-16,2,J. Randle makes 2-pt shot from 5 ft
4:50.0,D. Schroder misses 2-pt shot from 1 ft (block by B. Lopez),,18-16,,
4:46.0,,,18-16,,Defensive rebound by B. Lopez
4:46.0,Shooting block foul by M. Delaney (drawn by J. Randle),,18-16,,
4:46.0,,,18-17,1,J. Randle makes free throw 1 of 2
4:46.0,M. Belinelli enters the game for K. Bazemore,,18-17,,
4:46.0,,,18-18,1,J. Randle makes free throw 2 of 2
4:30.0,Shooting foul by B. Lopez (drawn by J. Collins),,18-18,,
4:30.0,J. Collins makes free throw 1 of 2,1,19-18,,
4:30.0,J. Collins makes free throw 2 of 2,1,20-18,,
4:19.0,,,20-18,,B. Lopez misses 2-pt shot from 2 ft (block by J. Collins)
4:18.0,Defensive rebound by Team,,20-18,,
4:03.0,D. Schroder misses 3-pt shot from 25 ft,,20-18,,
4:00.0,,,20-18,,Defensive rebound by J. Randle
3:44.0,,,20-18,,J. Randle misses 2-pt shot from 2 ft (block by J. Collins)
3:42.0,Defensive rebound by J. Collins,,20-18,,
3:35.0,J. Collins misses 2-pt shot from 3 ft (block by B. Lopez),,20-18,,
3:31.0,Offensive rebound by D. Schroder,,20-18,,
3:21.0,D. Schroder misses 2-pt shot from 2 ft,,20-18,,
3:18.0,,,20-18,,Defensive rebound by T. Ennis
3:13.0,,,20-21,3,B. Lopez makes 3-pt shot from 25 ft (assist by B. Ingram)
3:11.0,,,20-21,,K. Kuzma enters the game for K. Caldwell-Pope
3:11.0,,,20-21,,L. Nance enters the game for B. Lopez
3:11.0,,,20-21,,J. Clarkson enters the game for J. Randle
3:11.0,T. Cavanaugh enters the game for J. Collins,,20-21,,
3:11.0,,,20-21,,Technical foul by J. Randle
3:11.0,M. Belinelli makes technical free throw,1,21-21,,
2:55.0,Turnover by E. Ilyasova (traveling),,21-21,,
2:32.0,,,21-21,,K. Kuzma misses 2-pt shot from 13 ft
2:30.0,Defensive rebound by T. Cavanaugh,,21-21,,
2:18.0,D. Schroder makes 2-pt shot from 8 ft,2,23-21,,
2:00.0,,,23-23,2,L. Nance makes 2-pt shot from 2 ft (assist by B. Ingram)
1:46.0,E. Ilyasova misses 3-pt shot from 23 ft,,23-23,,
1:42.0,,,23-23,,Defensive rebound by K. Kuzma
1:31.0,,,23-23,,Turnover by B. Ingram (step out of bounds)
1:31.0,J. Collins enters the game for E. Ilyasova,,23-23,,
1:31.0,I. Taylor enters the game for D. Schroder,,23-23,,
1:22.0,M. Belinelli misses 2-pt shot from 16 ft,,23-23,,
1:18.0,Offensive rebound by Team,,23-23,,
1:14.0,M. Delaney makes 2-pt shot from 2 ft (assist by M. Belinelli),2,25-23,,
1:04.0,,,25-25,2,J. Clarkson makes 2-pt shot from 18 ft
0:49.0,I. Taylor misses 2-pt shot from 3 ft,,25-25,,
0:47.0,,,25-25,,Defensive rebound by L. Nance
0:42.0,,,25-25,,Offensive charge foul by K. Kuzma (drawn by M. Delaney)
0:42.0,,,25-25,,Turnover by K. Kuzma (offensive foul)
0:33.0,M. Delaney makes 2-pt shot from 21 ft,2,27-25,,
0:25.0,,,27-27,2,B. Ingram makes 2-pt shot from 16 ft
0:05.0,I. Taylor misses 2-pt shot from 2 ft,,27-27,,
0:02.0,,,27-27,,Defensive rebound by K. Kuzma
0:00.0,,,27-29,2,K. Kuzma makes 2-pt shot from 4 ft
0:00.0,,,27-29,,Shooting foul by J. Collins (drawn by K. Kuzma)
0:00.0,,,27-29,,K. Kuzma misses free throw 1 of 1
0:00.0,Defensive rebound by J. Collins,,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,27-29,,Shooting foul by J. Collins (drawn by L. Nance)
11:48.0,,,27-29,,L. Nance misses free throw 1 of 2
11:48.0,,,27-29,,Offensive rebound by Team
11:48.0,,,27-30,1,L. Nance makes free throw 2 of 2
11:27.0,I. Taylor misses 2-pt shot from 4 ft,,27-30,,
11:25.0,,,27-30,,Defensive rebound by L. Nance
11:19.0,,,27-30,,K. Kuzma misses 2-pt shot from 2 ft
11:15.0,,,27-30,,Offensive rebound by L. Ball
11:15.0,,,27-32,2,L. Ball makes 2-pt shot at rim
10:57.0,M. Delaney misses 3-pt shot from 23 ft,,27-32,,
10:54.0,,,27-32,,Defensive rebound by J. Hart
10:46.0,,,27-35,3,J. Clarkson makes 3-pt shot from 25 ft
10:26.0,M. Belinelli misses 2-pt shot from 18 ft,,27-35,,
10:21.0,Offensive rebound by T. Cavanaugh,,27-35,,
10:20.0,M. Delaney misses 3-pt shot from 23 ft,,27-35,,
10:20.0,,,27-35,,Defensive rebound by J. Hart
10:12.0,,,27-37,2,J. Clarkson makes 2-pt shot from 2 ft (assist by L. Ball)
10:12.0,Atlanta full timeout,,27-37,,
10:12.0,T. Dorsey enters the game for I. Taylor,,27-37,,
9:58.0,T. Cavanaugh makes 3-pt shot from 27 ft (assist by M. Delaney),3,30-37,,
9:40.0,,,30-37,,Offensive foul by K. Kuzma (drawn by M. Delaney)
9:40.0,,,30-37,,Turnover by K. Kuzma (offensive foul)
9:23.0,M. Belinelli misses 2-pt shot from 1 ft (block by K. Kuzma),,30-37,,
9:21.0,,,30-37,,Defensive rebound by L. Nance
9:16.0,,,30-39,2,J. Clarkson makes 2-pt shot from 3 ft
9:16.0,,,30-39,,Shooting foul by T. Dorsey (drawn by J. Clarkson)
9:16.0,,,30-40,1,J. Clarkson makes free throw 1 of 1
9:00.0,M. Belinelli misses 2-pt shot from 2 ft,,30-40,,
8:58.0,,,30-40,,Defensive rebound by K. Kuzma
8:53.0,,,30-43,3,L. Ball makes 3-pt shot from 25 ft (assist by J. Clarkson)
8:29.0,M. Delaney misses 2-pt shot from 17 ft,,30-43,,
8:26.0,,,30-43,,Defensive rebound by J. Hart
8:23.0,,,30-45,2,L. Nance makes 2-pt shot from 2 ft (assist by J. Hart)
8:23.0,Atlanta full timeout,,30-45,,
8:23.0,K. Bazemore enters the game for M. Belinelli,,30-45,,
8:23.0,E. Ilyasova enters the game for M. Delaney,,30-45,,
8:23.0,M. Plumlee enters the game for J. Collins,,30-45,,
8:23.0,D. Schroder enters the game for T. Cavanaugh,,30-45,,
8:15.0,,,30-45,,Personal foul by J. Hart (drawn by K. Bazemore)
7:56.0,D. Schroder misses 2-pt shot from 5 ft,,30-45,,
7:56.0,Offensive rebound by E. Ilyasova,,30-45,,
7:50.0,E. Ilyasova misses 2-pt shot at rim,,30-45,,
7:49.0,,,30-45,,Defensive rebound by J. Hart
7:45.0,,,30-48,3,L. Ball makes 3-pt shot from 24 ft (assist by J. Hart)
7:33.0,K. Bazemore misses 2-pt shot from 3 ft,,30-48,,
7:31.0,,,30-48,,Defensive rebound by K. Kuzma
7:26.0,,,30-50,2,K. Kuzma makes 2-pt shot from 2 ft
7:06.0,T. Dorsey misses 3-pt shot from 27 ft,,30-50,,
7:06.0,Offensive rebound by Team,,30-50,,
7:06.0,,,30-50,,Loose ball foul by L. Ball (drawn by E. Ilyasova)
7:06.0,M. Delaney enters the game for D. Schroder,,30-50,,
6:54.0,Turnover by K. Bazemore (turnover),,30-50,,
6:54.0,D. Schroder enters the game for T. Dorsey,,30-50,,
6:43.0,,,30-50,,Turnover by L. Ball (bad pass)
6:28.0,Turnover by K. Bazemore (bad pass; steal by L. Nance),,30-50,,
6:15.0,,,30-50,,L. Ball misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by E. Ilyasova,,30-50,,
6:06.0,K. Bazemore misses 3-pt shot from 26 ft,,30-50,,
6:02.0,,,30-50,,Defensive rebound by L. Nance
5:55.0,,,30-50,,L. Ball misses 3-pt shot from 22 ft
5:52.0,Defensive rebound by M. Plumlee,,30-50,,
5:44.0,D. Schroder makes 2-pt shot from 1 ft,2,32-50,,
5:44.0,,,32-50,,LA Lakers full timeout
5:44.0,,,32-50,,J. Randle enters the game for J. Hart
5:44.0,,,32-50,,B. Ingram enters the game for J. Clarkson
5:44.0,,,32-50,,K. Caldwell-Pope enters the game for L. Nance
5:25.0,,,32-50,,K. Kuzma misses 3-pt shot from 26 ft
5:23.0,Defensive rebound by M. Delaney,,32-50,,
5:10.0,D. Schroder makes 2-pt shot from 3 ft (assist by M. Delaney),2,34-50,,
4:58.0,,,34-50,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by M. Plumlee,,34-50,,
4:49.0,K. Bazemore misses 3-pt shot from 26 ft,,34-50,,
4:47.0,,,34-50,,Defensive rebound by J. Randle
4:43.0,,,34-50,,B. Ingram misses 2-pt shot from 20 ft
4:37.0,Defensive rebound by M. Plumlee,,34-50,,
4:32.0,D. Schroder misses 2-pt shot from 19 ft,,34-50,,
4:29.0,Offensive rebound by E. Ilyasova,,34-50,,
4:29.0,E. Ilyasova makes 2-pt shot at rim,2,36-50,,
4:29.0,,,36-50,,LA Lakers full timeout
4:29.0,,,36-50,,B. Lopez enters the game for K. Kuzma
4:29.0,T. Waller-Prince enters the game for K. Bazemore,,36-50,,
4:12.0,,,36-50,,B. Lopez misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by T. Waller-Prince,,36-50,,
4:04.0,Turnover by T. Waller-Prince (bad pass; steal by K. Caldwell-Pope),,36-50,,
3:57.0,Personal foul by T. Waller-Prince (drawn by B. Ingram),,36-50,,
3:57.0,,,36-50,,T. Ennis enters the game for L. Ball
3:43.0,,,36-53,3,T. Ennis makes 3-pt shot from 24 ft (assist by B. Ingram)
3:28.0,T. Waller-Prince misses 3-pt shot from 26 ft,,36-53,,
3:26.0,,,36-53,,Defensive rebound by J. Randle
3:17.0,,,36-55,2,J. Randle makes 2-pt shot from 8 ft
3:00.0,D. Schroder misses 2-pt shot from 2 ft,,36-55,,
2:57.0,,,36-55,,Defensive rebound by B. Lopez
2:54.0,,,36-55,,Offensive charge foul by B. Ingram (drawn by E. Ilyasova)
2:54.0,,,36-55,,Turnover by B. Ingram (offensive foul)
2:54.0,K. Bazemore enters the game for M. Delaney,,36-55,,
2:54.0,T. Cavanaugh enters the game for E. Ilyasova,,36-55,,
2:37.0,Turnover by K. Bazemore (bad pass; steal by T. Ennis),,36-55,,
2:37.0,Violation by K. Bazemore (kicked ball),,36-55,,
2:21.0,,,36-57,2,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by B. Lopez)
2:06.0,K. Bazemore makes 3-pt shot from 22 ft (assist by T. Waller-Prince),3,39-57,,
1:48.0,,,39-57,,J. Randle misses 2-pt shot from 9 ft
1:48.0,Defensive rebound by Team,,39-57,,
1:47.0,,,39-57,,Loose ball foul by J. Randle (drawn by M. Plumlee)
1:34.0,T. Cavanaugh makes 3-pt shot from 27 ft (assist by M. Plumlee),3,42-57,,
1:26.0,,,42-57,,Shooting foul by M. Plumlee (drawn by J. Randle)
1:26.0,,,42-58,1,J. Randle makes free throw 1 of 2
1:26.0,,,42-59,1,J. Randle makes free throw 2 of 2
1:08.0,Turnover by M. Plumlee (bad pass; steal by K. Caldwell-Pope),,42-59,,
1:06.0,,,42-61,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
0:57.0,D. Schroder makes 2-pt shot from 18 ft,2,44-61,,
0:47.0,,,44-64,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by T. Ennis)
0:39.0,Shooting foul by B. Lopez (drawn by D. Schroder),,44-64,,
0:39.0,D. Schroder makes free throw 1 of 2,1,45-64,,
0:39.0,M. Delaney enters the game for K. Bazemore,,45-64,,
0:39.0,D. Schroder makes free throw 2 of 2,1,46-64,,
0:26.0,,,46-64,,B. Lopez misses 3-pt shot from 28 ft
0:26.0,,,46-64,,Offensive rebound by J. Randle
0:26.0,,,46-64,,Shooting foul by T. Waller-Prince (drawn by J. Randle)
0:26.0,,,46-65,1,J. Randle makes free throw 1 of 2
0:26.0,,,46-65,,J. Hart enters the game for B. Lopez
0:26.0,,,46-66,1,J. Randle makes free throw 2 of 2
0:09.0,D. Schroder makes 2-pt shot from 17 ft,2,48-66,,
0:00.0,,,48-66,,J. Randle misses 2-pt shot from 22 ft
0:00.0,,,48-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,48-66,,Turnover by B. Lopez (bad pass)
11:37.0,,,48-66,,Personal foul by B. Lopez (drawn by D. Schroder)
11:30.0,K. Bazemore misses 2-pt shot from 19 ft,,48-66,,
11:27.0,,,48-66,,Defensive rebound by L. Ball
11:10.0,,,48-69,3,B. Lopez makes 3-pt shot from 25 ft (assist by B. Ingram)
10:53.0,Shooting foul by B. Ingram (drawn by T. Waller-Prince),,48-69,,
10:53.0,T. Waller-Prince makes free throw 1 of 2,1,49-69,,
10:53.0,T. Waller-Prince makes free throw 2 of 2,1,50-69,,
10:38.0,,,50-69,,B. Lopez misses 3-pt shot from 29 ft
10:34.0,Defensive rebound by E. Ilyasova,,50-69,,
10:28.0,Turnover by K. Bazemore (bad pass; steal by J. Randle),,50-69,,
10:24.0,,,50-71,2,J. Randle makes 2-pt shot at rim
10:12.0,K. Bazemore misses 3-pt shot from 24 ft,,50-71,,
10:09.0,,,50-71,,Defensive rebound by J. Randle
10:03.0,,,50-71,,Shooting foul by E. Ilyasova (drawn by B. Ingram)
10:03.0,,,50-71,,B. Ingram misses free throw 1 of 2
10:03.0,,,50-71,,Offensive rebound by Team
10:03.0,,,50-72,1,B. Ingram makes free throw 2 of 2
9:53.0,D. Schroder makes 2-pt shot from 15 ft,2,52-72,,
9:45.0,,,52-72,,Turnover by B. Lopez (bad pass)
9:31.0,K. Bazemore makes 2-pt shot from 3 ft (assist by E. Ilyasova),2,54-72,,
9:31.0,Shooting foul by J. Randle (drawn by K. Bazemore),,54-72,,
9:31.0,K. Bazemore misses free throw 1 of 1,,54-72,,
9:28.0,,,54-72,,Defensive rebound by J. Randle
9:17.0,,,54-72,,Shooting foul by T. Waller-Prince (drawn by B. Ingram)
9:17.0,,,54-73,1,B. Ingram makes free throw 1 of 2
9:17.0,,,54-74,1,B. Ingram makes free throw 2 of 2
9:09.0,D. Schroder misses 2-pt shot from 2 ft (block by B. Ingram),,54-74,,
9:06.0,,,54-74,,Defensive rebound by L. Ball
9:01.0,,,54-76,2,B. Ingram makes 2-pt shot from 2 ft (assist by B. Lopez)
8:46.0,E. Ilyasova misses 3-pt shot from 27 ft,,54-76,,
8:43.0,,,54-76,,Defensive rebound by K. Caldwell-Pope
8:32.0,,,54-76,,Turnover by K. Caldwell-Pope (traveling)
8:16.0,T. Waller-Prince misses 2-pt shot from 13 ft,,54-76,,
8:16.0,,,54-76,,Defensive rebound by B. Ingram
8:09.0,,,54-79,3,B. Ingram makes 3-pt shot from 24 ft (assist by L. Ball)
7:52.0,Turnover by E. Ilyasova (lost ball; steal by B. Lopez),,54-79,,
7:45.0,,,54-79,,L. Ball misses 3-pt shot from 27 ft
7:42.0,Defensive rebound by E. Ilyasova,,54-79,,
7:39.0,M. Plumlee makes 2-pt shot from 2 ft (assist by K. Bazemore),2,56-79,,
7:39.0,,,56-79,,LA Lakers full timeout
