time,Phoenix,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: J. Nurkic vs. T. Chandler (M. Chriss gains possession)
11:42.0,D. Booker makes 2-pt shot from 13 ft (assist by T. Chandler),2,2-0,,
11:23.0,,,2-2,2,C. McCollum makes 2-pt shot from 5 ft
11:11.0,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker),3,5-2,,
10:52.0,,,5-4,2,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic)
10:42.0,T. Warren misses 3-pt shot from 22 ft,,5-4,,
10:42.0,,,5-4,,Defensive rebound by A. Aminu
10:30.0,,,5-6,2,A. Aminu makes 2-pt shot at rim (assist by J. Nurkic)
10:08.0,T. Warren makes 2-pt shot at rim,2,7-6,,
9:51.0,,,7-6,,Shooting foul by T. Chandler (drawn by J. Nurkic)
9:51.0,,,7-7,1,J. Nurkic makes free throw 1 of 2
9:51.0,,,7-8,1,J. Nurkic makes free throw 2 of 2
9:35.0,D. Booker misses 2-pt shot from 12 ft,,7-8,,
9:31.0,,,7-8,,Defensive rebound by M. Harkless
9:25.0,,,7-8,,J. Nurkic misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by T. Chandler,,7-8,,
9:10.0,M. James misses 2-pt shot from 8 ft,,7-8,,
9:06.0,Offensive rebound by M. James,,7-8,,
9:05.0,M. Chriss misses 3-pt shot from 24 ft,,7-8,,
9:05.0,Offensive rebound by T. Warren,,7-8,,
8:59.0,T. Warren makes 2-pt shot from 12 ft,2,9-8,,
8:48.0,,,9-8,,J. Nurkic misses 2-pt shot from 2 ft
8:45.0,Defensive rebound by T. Warren,,9-8,,
8:38.0,T. Warren makes 2-pt shot from 6 ft,2,11-8,,
8:20.0,,,11-8,,Turnover by D. Lillard (bad pass)
8:07.0,,,11-8,,Personal foul by A. Aminu (drawn by M. Chriss)
8:02.0,T. Warren makes 2-pt shot from 14 ft (assist by D. Booker),2,13-8,,
