time,Philadelphia,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Holmes (D. Favors gains possession),,,,Jump ball: R. Gobert vs. R. Holmes (D. Favors gains possession)
11:40.0,,,0-0,,R. Rubio misses 2-pt shot from 13 ft
11:37.0,Defensive rebound by B. Simmons,,0-0,,
11:23.0,B. Simmons misses 2-pt shot from 12 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by R. Gobert
11:11.0,,,0-0,,R. Rubio misses 2-pt shot from 13 ft
11:11.0,,,0-0,,R. Gobert misses 2-pt shot from 2 ft
11:11.0,,,0-0,,Offensive rebound by Team
11:09.0,,,0-0,,Offensive rebound by R. Gobert
11:04.0,,,0-0,,Shooting foul by R. Covington (drawn by R. Hood)
11:04.0,,,0-1,1,R. Hood makes free throw 1 of 2
11:04.0,,,0-2,1,R. Hood makes free throw 2 of 2
10:54.0,B. Simmons makes 2-pt shot from 2 ft (assist by R. Holmes),2,2-2,,
10:36.0,,,2-2,,R. Rubio misses 3-pt shot from 23 ft
10:33.0,Defensive rebound by R. Covington,,2-2,,
10:23.0,D. Saric makes 2-pt shot from 20 ft (assist by R. Holmes),2,4-2,,
10:03.0,,,4-4,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
9:57.0,R. Holmes makes 2-pt shot from 2 ft (assist by B. Simmons),2,6-4,,
9:34.0,Personal foul by R. Holmes (drawn by R. Gobert),,6-4,,
9:26.0,,,6-7,3,J. Ingles makes 3-pt shot from 25 ft
9:04.0,R. Holmes makes 2-pt shot from 2 ft,2,8-7,,
8:51.0,,,8-7,,R. Rubio misses 2-pt shot from 20 ft
8:48.0,Defensive rebound by R. Holmes,,8-7,,
8:42.0,B. Simmons misses 2-pt shot from 15 ft,,8-7,,
8:38.0,Offensive rebound by B. Simmons,,8-7,,
8:25.0,Turnover by B. Simmons (bad pass; steal by R. Hood),,8-7,,
8:11.0,,,8-7,,R. Rubio misses 2-pt shot from 19 ft
8:07.0,Defensive rebound by R. Covington,,8-7,,
8:03.0,,,8-7,,Personal foul by R. Hood (drawn by J. Redick)
8:03.0,T. McConnell enters the game for D. Saric,,8-7,,
7:58.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,11-7,,
7:58.0,Shooting foul by D. Favors (drawn by R. Covington),,11-7,,
7:58.0,,,11-7,,Utah full timeout
7:58.0,T. Luwawu-Cabarrot enters the game for J. Redick,,11-7,,
7:58.0,R. Covington makes free throw 1 of 1,1,12-7,,
7:44.0,Def 3 sec tech foul by R. Holmes,,12-7,,
7:44.0,,,12-8,1,R. Rubio makes technical free throw
7:41.0,,,12-8,,D. Favors misses 2-pt shot from 1 ft (block by B. Simmons)
7:39.0,Defensive rebound by R. Holmes,,12-8,,
7:34.0,B. Simmons misses 2-pt shot from 6 ft,,12-8,,
7:32.0,Offensive rebound by Team,,12-8,,
7:32.0,,,12-8,,D. Mitchell enters the game for R. Rubio
7:15.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft,,12-8,,
7:15.0,,,12-8,,Defensive rebound by Team
7:15.0,Loose ball foul by R. Holmes (drawn by R. Gobert),,12-8,,
7:15.0,A. Johnson enters the game for R. Holmes,,12-8,,
7:04.0,,,12-10,2,D. Favors makes 2-pt shot from 6 ft
7:04.0,,,12-10,,Shooting foul by B. Simmons (drawn by D. Favors)
7:04.0,,,12-10,,D. Favors misses free throw 1 of 1
7:02.0,,,12-10,,Offensive rebound by J. Ingles
7:00.0,,,12-10,,Turnover by J. Ingles (turnover)
6:53.0,B. Simmons makes 2-pt shot from 15 ft,2,14-10,,
6:35.0,Violation by B. Simmons (kicked ball),,14-10,,
6:26.0,,,14-10,,D. Mitchell misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by R. Covington,,14-10,,
6:15.0,B. Simmons misses 2-pt shot from 9 ft,,14-10,,
6:13.0,Offensive rebound by A. Johnson,,14-10,,
6:12.0,A. Johnson misses 2-pt shot from 3 ft,,14-10,,
6:12.0,,,14-10,,Defensive rebound by R. Gobert
6:03.0,,,14-10,,Turnover by R. Gobert (offensive goaltending)
6:03.0,D. Saric enters the game for B. Simmons,,14-10,,
5:55.0,D. Saric makes 2-pt shot from 2 ft (assist by T. McConnell),2,16-10,,
5:30.0,,,16-10,,J. Jerebko enters the game for D. Favors
5:26.0,,,16-10,,Shooting foul by A. Johnson (drawn by R. Gobert)
5:26.0,,,16-10,,R. Gobert misses free throw 1 of 2
5:26.0,,,16-10,,Offensive rebound by Team
5:26.0,,,16-10,,A. Burks enters the game for R. Hood
5:26.0,,,16-10,,R. Gobert misses free throw 2 of 2
5:23.0,Defensive rebound by A. Johnson,,16-10,,
5:07.0,Shooting foul by D. Mitchell (drawn by T. Luwawu-Cabarrot),,16-10,,
5:07.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,17-10,,
5:07.0,J. Anderson enters the game for R. Covington,,17-10,,
5:07.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,18-10,,
4:58.0,,,18-10,,J. Ingles misses 2-pt shot from 16 ft
4:55.0,Defensive rebound by D. Saric,,18-10,,
4:45.0,T. McConnell makes 2-pt shot from 12 ft,2,20-10,,
4:36.0,,,20-10,,D. Mitchell misses 2-pt shot from 7 ft
4:36.0,,,20-10,,Offensive rebound by D. Mitchell
4:35.0,,,20-10,,T. Sefolosha enters the game for J. Ingles
4:35.0,J. Redick enters the game for T. Luwawu-Cabarrot,,20-10,,
4:28.0,,,20-10,,D. Mitchell misses 2-pt shot from 12 ft
4:26.0,Defensive rebound by D. Saric,,20-10,,
4:16.0,D. Saric makes 3-pt shot from 24 ft (assist by J. Redick),3,23-10,,
3:57.0,,,23-10,,A. Burks misses 2-pt shot from 12 ft
3:54.0,,,23-10,,Offensive rebound by R. Gobert
3:53.0,,,23-10,,R. Gobert misses 2-pt shot from 1 ft
3:50.0,Defensive rebound by T. McConnell,,23-10,,
3:44.0,J. Anderson misses 3-pt shot from 23 ft,,23-10,,
3:40.0,,,23-10,,Defensive rebound by J. Jerebko
3:27.0,,,23-10,,Offensive charge foul by T. Sefolosha (drawn by J. Anderson)
3:27.0,,,23-10,,Turnover by T. Sefolosha (offensive foul)
3:27.0,Philadelphia full timeout,,23-10,,
3:27.0,B. Simmons enters the game for T. McConnell,,23-10,,
3:15.0,J. Redick misses 2-pt shot from 23 ft,,23-10,,
3:11.0,Offensive rebound by A. Johnson,,23-10,,
3:08.0,Shooting foul by J. Jerebko (drawn by J. Redick),,23-10,,
3:08.0,J. Redick makes free throw 1 of 3,1,24-10,,
3:08.0,J. Redick makes free throw 2 of 3,1,25-10,,
3:08.0,J. Okafor enters the game for A. Johnson,,25-10,,
3:08.0,,,25-10,,E. Udoh enters the game for R. Gobert
3:08.0,J. Redick makes free throw 3 of 3,1,26-10,,
3:01.0,Personal foul by J. Okafor (drawn by E. Udoh),,26-10,,
3:01.0,,,26-11,1,E. Udoh makes free throw 1 of 2
3:01.0,,,26-12,1,E. Udoh makes free throw 2 of 2
2:50.0,J. Redick makes 2-pt shot from 22 ft (assist by J. Okafor),2,28-12,,
2:36.0,,,28-12,,T. Sefolosha misses 2-pt shot from 18 ft
2:34.0,Defensive rebound by B. Simmons,,28-12,,
2:24.0,J. Okafor misses 2-pt shot from 19 ft,,28-12,,
2:21.0,,,28-12,,Defensive rebound by T. Sefolosha
2:15.0,Violation by D. Saric (kicked ball),,28-12,,
2:15.0,,,28-12,,R. Rubio enters the game for A. Burks
2:00.0,,,28-12,,Shooting foul by J. Okafor (drawn by E. Udoh)
2:00.0,,,28-13,1,E. Udoh makes free throw 1 of 2
2:00.0,,,28-14,1,E. Udoh makes free throw 2 of 2
2:00.0,Violation by J. Okafor (lane),,28-14,,
1:49.0,Turnover by J. Redick (bad pass; steal by R. Rubio),,28-14,,
1:42.0,,,28-17,3,J. Jerebko makes 3-pt shot from 22 ft (assist by T. Sefolosha)
1:29.0,J. Anderson makes 2-pt shot from 1 ft (assist by B. Simmons),2,30-17,,
1:16.0,,,30-17,,D. Mitchell misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by B. Simmons,,30-17,,
1:05.0,Turnover by J. Okafor (lost ball; steal by E. Udoh),,30-17,,
0:56.0,,,30-17,,Shooting foul by J. Okafor (drawn by T. Sefolosha)
0:56.0,,,30-18,1,T. Sefolosha makes free throw 1 of 2
0:56.0,R. Covington enters the game for D. Saric,,30-18,,
0:56.0,,,30-19,1,T. Sefolosha makes free throw 2 of 2
0:42.0,Turnover by R. Covington (bad pass; steal by D. Mitchell),,30-19,,
0:30.0,,,30-21,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by R. Rubio)
0:22.0,J. Okafor misses 2-pt shot from 2 ft (block by D. Mitchell),,30-21,,
0:20.0,Jump ball: D. Mitchell vs. J. Okafor (J. Anderson gains possession),,,,Jump ball: D. Mitchell vs. J. Okafor (J. Anderson gains possession)
0:20.0,Defensive rebound by Team,,30-21,,
0:05.0,J. Anderson makes 2-pt shot from 3 ft,2,32-21,,
0:00.0,,,32-21,,D. Mitchell misses 2-pt shot from 22 ft
0:00.0,,,32-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by T. Sefolosha),,32-21,,
11:35.0,,,32-21,,Turnover by J. Jerebko (bad pass)
11:25.0,,,32-21,,Personal foul by R. Hood (drawn by J. Redick)
11:15.0,R. Covington misses 3-pt shot from 26 ft,,32-21,,
11:12.0,,,32-21,,Defensive rebound by T. Sefolosha
10:55.0,,,32-21,,R. Rubio misses 3-pt shot from 24 ft
10:52.0,Defensive rebound by J. Redick,,32-21,,
10:47.0,J. Redick misses 3-pt shot from 27 ft,,32-21,,
10:43.0,Offensive rebound by R. Covington,,32-21,,
10:41.0,Turnover by R. Covington (lost ball; steal by J. Jerebko),,32-21,,
10:33.0,,,32-23,2,E. Udoh makes 2-pt shot from 1 ft (assist by R. Rubio)
10:23.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell),3,35-23,,
10:01.0,,,35-23,,R. Hood misses 2-pt shot from 16 ft
9:58.0,Defensive rebound by R. Covington,,35-23,,
9:53.0,Shooting foul by R. Rubio (drawn by T. McConnell),,35-23,,
9:53.0,T. McConnell misses free throw 1 of 2,,35-23,,
9:53.0,Offensive rebound by Team,,35-23,,
9:53.0,,,35-23,,D. Favors enters the game for J. Jerebko
9:53.0,T. McConnell makes free throw 2 of 2,1,36-23,,
9:37.0,,,36-25,2,T. Sefolosha makes 2-pt shot from 1 ft
9:22.0,Offensive foul by A. Johnson (drawn by R. Rubio),,36-25,,
9:22.0,Turnover by A. Johnson (offensive foul),,36-25,,
9:22.0,R. Holmes enters the game for A. Johnson,,36-25,,
9:04.0,,,36-25,,D. Favors misses 3-pt shot from 22 ft
9:01.0,Defensive rebound by R. Covington,,36-25,,
