time,New York,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. K. Porzingis (K. O'Quinn gains possession),,,,Jump ball: D. Dedmon vs. K. Porzingis (K. O'Quinn gains possession)
11:42.0,K. Porzingis misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by D. Dedmon
11:21.0,,,0-0,,D. Dedmon misses 2-pt shot from 3 ft (block by K. O'Quinn)
11:20.0,,,0-0,,Offensive rebound by D. Dedmon
11:18.0,,,0-2,2,D. Schroder makes 2-pt shot from 12 ft (assist by K. Bazemore)
11:11.0,Turnover by K. O'Quinn (traveling),,0-2,,
11:03.0,,,0-2,,Offensive foul by D. Dedmon (drawn by K. Porzingis)
11:03.0,,,0-2,,Turnover by D. Dedmon (offensive foul)
10:51.0,Turnover by T. Hardaway (lost ball; steal by K. Bazemore),,0-2,,
10:45.0,,,0-4,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Dedmon)
10:34.0,J. Jack makes 2-pt shot from 9 ft,2,2-4,,
10:34.0,Shooting foul by K. Bazemore (drawn by J. Jack),,2-4,,
10:34.0,J. Jack makes free throw 1 of 1,1,3-4,,
10:25.0,,,3-7,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by K. Bazemore)
10:03.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack),3,6-7,,
9:48.0,,,6-7,,T. Waller-Prince misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by C. Lee,,6-7,,
9:38.0,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Jack),3,9-7,,
9:26.0,,,9-7,,Turnover by T. Waller-Prince (traveling)
9:13.0,Shooting foul by J. Collins (drawn by C. Lee),,9-7,,
9:13.0,C. Lee makes free throw 1 of 2,1,10-7,,
9:13.0,C. Lee makes free throw 2 of 2,1,11-7,,
8:57.0,,,11-9,2,D. Schroder makes 2-pt shot from 1 ft
8:45.0,T. Hardaway makes 2-pt shot from 21 ft,2,13-9,,
8:33.0,,,13-9,,D. Schroder misses 2-pt shot from 17 ft
8:28.0,Defensive rebound by K. O'Quinn,,13-9,,
8:17.0,K. Porzingis makes 2-pt shot from 6 ft (assist by T. Hardaway),2,15-9,,
8:03.0,,,15-12,3,D. Dedmon makes 3-pt shot from 24 ft (assist by D. Schroder)
7:54.0,,,15-12,,Personal foul by D. Schroder (drawn by J. Jack)
