time,Oklahoma City,pts.away,score,pts.home,Miami
7:39.0,,,1-14,2,J. Richardson makes 2-pt shot from 15 ft
7:22.0,C. Anthony misses 2-pt shot from 21 ft,,1-14,,
7:20.0,,,1-14,,Defensive rebound by T. Johnson
7:11.0,,,1-16,2,J. Johnson makes 2-pt shot from 1 ft
6:56.0,,,1-16,,Shooting block foul by J. Johnson (drawn by P. George)
6:56.0,P. George makes free throw 1 of 2,1,2-16,,
6:56.0,,,2-16,,J. Winslow enters the game for J. Johnson
6:56.0,P. George makes free throw 2 of 2,1,3-16,,
6:45.0,,,3-18,2,G. Dragic makes 2-pt shot from 16 ft
6:31.0,Shooting foul by H. Whiteside (drawn by C. Anthony),,3-18,,
6:31.0,C. Anthony makes free throw 1 of 2,1,4-18,,
6:31.0,,,4-18,,K. Olynyk enters the game for H. Whiteside
6:31.0,C. Anthony makes free throw 2 of 2,1,5-18,,
6:24.0,,,5-18,,G. Dragic misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by C. Anthony,,5-18,,
6:19.0,,,5-18,,Personal foul by G. Dragic (drawn by S. Adams)
6:19.0,S. Adams misses free throw 1 of 2,,5-18,,
6:19.0,Offensive rebound by Team,,5-18,,
6:19.0,S. Adams misses free throw 2 of 2,,5-18,,
6:17.0,,,5-18,,Defensive rebound by K. Olynyk
5:55.0,,,5-18,,K. Olynyk misses 2-pt shot from 6 ft
5:54.0,,,5-18,,Offensive rebound by J. Winslow
5:54.0,,,5-18,,J. Winslow misses 2-pt shot from 3 ft
5:52.0,,,5-18,,Offensive rebound by K. Olynyk
5:51.0,,,5-20,2,K. Olynyk makes 2-pt shot from 3 ft
5:35.0,C. Anthony misses 2-pt shot from 13 ft,,5-20,,
5:35.0,,,5-20,,Defensive rebound by Team
5:34.0,A. Abrines enters the game for P. George,,5-20,,
5:18.0,,,5-20,,T. Johnson misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by Team,,5-20,,
5:17.0,,,5-20,,D. Wade enters the game for J. Richardson
5:04.0,Turnover by R. Westbrook (bad pass; steal by T. Johnson),,5-20,,
4:58.0,,,5-23,3,K. Olynyk makes 3-pt shot from 24 ft (assist by T. Johnson)
4:47.0,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook),3,8-23,,
4:24.0,,,8-23,,Turnover by G. Dragic (bad pass; steal by C. Brewer)
4:21.0,C. Brewer makes 2-pt shot from 1 ft,2,10-23,,
4:05.0,,,10-23,,D. Wade misses 2-pt shot from 9 ft
4:03.0,Defensive rebound by C. Brewer,,10-23,,
3:59.0,R. Westbrook misses 2-pt shot from 14 ft,,10-23,,
3:57.0,Offensive rebound by S. Adams,,10-23,,
3:54.0,Turnover by S. Adams (lost ball; steal by T. Johnson),,10-23,,
3:50.0,,,10-23,,G. Dragic misses 2-pt shot from 2 ft (block by C. Anthony)
3:49.0,Defensive rebound by A. Abrines,,10-23,,
3:49.0,,,10-23,,Personal foul by K. Olynyk (drawn by A. Abrines)
3:49.0,A. Abrines makes free throw 1 of 2,1,11-23,,
3:49.0,,,11-23,,W. Ellington enters the game for T. Johnson
3:49.0,A. Abrines makes free throw 2 of 2,1,12-23,,
3:29.0,,,12-23,,G. Dragic misses 2-pt shot from 13 ft
3:27.0,Defensive rebound by R. Westbrook,,12-23,,
3:23.0,C. Anthony makes 2-pt shot at rim (assist by R. Westbrook),2,14-23,,
3:23.0,,,14-23,,Miami full timeout
3:23.0,,,14-23,,J. Richardson enters the game for G. Dragic
3:12.0,,,14-25,2,J. Winslow makes 2-pt shot at rim (assist by D. Wade)
2:55.0,C. Anthony makes 2-pt shot from 21 ft,2,16-25,,
2:36.0,,,16-25,,K. Olynyk misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by Team,,16-25,,
2:35.0,R. Felton enters the game for R. Westbrook,,16-25,,
2:35.0,J. Grant enters the game for C. Brewer,,16-25,,
2:35.0,P. George enters the game for S. Adams,,16-25,,
2:16.0,C. Anthony misses 2-pt shot from 11 ft,,16-25,,
2:13.0,,,16-25,,Defensive rebound by K. Olynyk
1:57.0,,,16-25,,J. Richardson misses 2-pt shot from 2 ft (block by J. Grant)
1:54.0,Defensive rebound by P. George,,16-25,,
1:36.0,R. Felton makes 3-pt shot from 22 ft (assist by C. Anthony),3,19-25,,
1:15.0,Personal foul by R. Felton (drawn by K. Olynyk),,19-25,,
1:15.0,P. Patterson enters the game for C. Anthony,,19-25,,
1:07.0,,,19-25,,Shooting foul by P. George (drawn by D. Wade)
1:07.0,,,19-25,,D. Wade misses free throw 1 of 2
1:07.0,,,19-25,,Offensive rebound by Team
1:07.0,,,19-26,1,D. Wade makes free throw 2 of 2
0:54.0,P. George makes 2-pt shot from 18 ft,2,21-26,,
0:37.0,,,21-26,,K. Olynyk misses 3-pt shot from 25 ft
0:35.0,,,21-26,,Offensive rebound by Team
0:31.0,,,21-26,,Turnover by J. Richardson (bad pass; steal by P. Patterson)
0:12.0,P. George misses 2-pt shot from 16 ft,,21-26,,
0:10.0,,,21-26,,Defensive rebound by K. Olynyk
0:03.0,,,21-26,,Shooting foul by A. Abrines (drawn by J. Richardson)
0:03.0,,,21-26,,J. Richardson misses free throw 1 of 2
0:03.0,,,21-26,,Offensive rebound by Team
0:03.0,,,21-26,,B. Adebayo enters the game for K. Olynyk
0:03.0,,,21-27,1,J. Richardson makes free throw 2 of 2
0:00.0,R. Felton misses 3-pt shot from 30 ft,,21-27,,
0:00.0,Offensive rebound by Team,,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,21-27,,Turnover by K. Olynyk (traveling)
11:32.0,J. Grant misses 2-pt shot from 1 ft,,21-27,,
11:31.0,Offensive rebound by Team,,21-27,,
11:22.0,Shooting foul by K. Olynyk (drawn by J. Grant),,21-27,,
11:22.0,J. Grant makes free throw 1 of 2,1,22-27,,
11:22.0,,,22-27,,B. Adebayo enters the game for K. Olynyk
11:22.0,J. Grant misses free throw 2 of 2,,22-27,,
11:19.0,,,22-27,,Defensive rebound by J. Richardson
11:06.0,,,22-29,2,J. Richardson makes 2-pt shot from 15 ft (assist by D. Wade)
10:49.0,J. Grant misses 2-pt shot at rim,,22-29,,
10:47.0,,,22-29,,Defensive rebound by J. Richardson
10:37.0,,,22-31,2,J. Winslow makes 2-pt shot from 1 ft (assist by J. Richardson)
10:26.0,Shooting foul by B. Adebayo (drawn by J. Grant),,22-31,,
10:26.0,J. Grant makes free throw 1 of 2,1,23-31,,
10:26.0,J. Grant makes free throw 2 of 2,1,24-31,,
10:10.0,,,24-31,,Turnover by D. Wade (bad pass; steal by P. George)
10:01.0,P. Patterson makes 3-pt shot from 22 ft (assist by P. George),3,27-31,,
9:46.0,,,27-31,,J. Richardson misses 2-pt shot at rim
9:45.0,,,27-31,,Offensive rebound by B. Adebayo
9:43.0,,,27-31,,Shooting foul by J. Grant (drawn by B. Adebayo)
9:43.0,,,27-32,1,B. Adebayo makes free throw 1 of 2
9:43.0,,,27-33,1,B. Adebayo makes free throw 2 of 2
9:33.0,Turnover by R. Felton (bad pass),,27-33,,
9:33.0,R. Westbrook enters the game for A. Abrines,,27-33,,
9:15.0,,,27-33,,D. Wade misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by R. Westbrook,,27-33,,
9:06.0,R. Westbrook makes 2-pt shot from 19 ft,2,29-33,,
8:49.0,,,29-33,,Turnover by J. Winslow (step out of bounds)
8:49.0,A. Abrines enters the game for P. George,,29-33,,
8:37.0,P. Patterson misses 3-pt shot from 23 ft,,29-33,,
8:35.0,,,29-33,,Defensive rebound by D. Wade
8:28.0,,,29-33,,B. Adebayo misses 2-pt shot from 4 ft
8:25.0,Defensive rebound by R. Felton,,29-33,,
8:17.0,R. Felton misses 2-pt shot from 2 ft (block by D. Wade),,29-33,,
8:14.0,,,29-33,,Defensive rebound by J. Winslow
8:11.0,,,29-35,2,D. Wade makes 2-pt shot from 1 ft (assist by W. Ellington)
7:52.0,R. Westbrook makes 3-pt shot from 24 ft (assist by P. Patterson),3,32-35,,
7:27.0,,,32-35,,Shooting foul by R. Westbrook (drawn by B. Adebayo)
7:27.0,,,32-36,1,B. Adebayo makes free throw 1 of 2
7:27.0,,,32-36,,J. Johnson enters the game for J. Richardson
7:27.0,,,32-36,,T. Johnson enters the game for D. Wade
7:27.0,C. Anthony enters the game for R. Felton,,32-36,,
7:27.0,C. Brewer enters the game for J. Grant,,32-36,,
7:27.0,,,32-37,1,B. Adebayo makes free throw 2 of 2
7:19.0,,,32-37,,Personal foul by W. Ellington (drawn by A. Abrines)
7:19.0,S. Adams enters the game for A. Abrines,,32-37,,
7:19.0,P. George enters the game for P. Patterson,,32-37,,
7:11.0,R. Westbrook misses 2-pt shot from 17 ft,,32-37,,
7:08.0,,,32-37,,Defensive rebound by J. Winslow
6:55.0,,,32-39,2,J. Johnson makes 2-pt shot from 1 ft (assist by J. Winslow)
6:46.0,C. Anthony misses 3-pt shot from 24 ft,,32-39,,
6:45.0,Offensive rebound by R. Westbrook,,32-39,,
6:34.0,R. Westbrook misses 2-pt shot from 11 ft,,32-39,,
6:32.0,,,32-39,,Defensive rebound by B. Adebayo
6:27.0,,,32-39,,T. Johnson misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by R. Westbrook,,32-39,,
6:19.0,S. Adams misses 2-pt shot from 5 ft,,32-39,,
6:19.0,,,32-39,,Defensive rebound by Team
6:19.0,,,32-39,,Miami full timeout
6:19.0,,,32-39,,H. Whiteside enters the game for W. Ellington
6:19.0,,,32-39,,G. Dragic enters the game for B. Adebayo
6:08.0,,,32-39,,J. Johnson misses 2-pt shot from 1 ft (block by S. Adams)
6:06.0,Defensive rebound by P. George,,32-39,,
6:02.0,P. George misses 3-pt shot from 25 ft,,32-39,,
5:59.0,Offensive rebound by R. Westbrook,,32-39,,
5:52.0,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook),3,35-39,,
5:24.0,,,35-41,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
5:01.0,Shooting foul by T. Johnson (drawn by R. Westbrook),,35-41,,
5:01.0,R. Westbrook makes free throw 1 of 2,1,36-41,,
5:01.0,R. Westbrook misses free throw 2 of 2,,36-41,,
4:58.0,,,36-41,,Defensive rebound by J. Johnson
4:42.0,Personal foul by C. Brewer (drawn by H. Whiteside),,36-41,,
4:36.0,Violation by C. Anthony (kicked ball),,36-41,,
4:21.0,,,36-43,2,J. Winslow makes 2-pt shot at rim (assist by T. Johnson)
4:01.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,39-43,,
3:40.0,,,39-45,2,H. Whiteside makes 2-pt shot from 9 ft (assist by G. Dragic)
3:40.0,,,39-45,,Shooting foul by C. Brewer (drawn by H. Whiteside)
3:40.0,,,39-45,,H. Whiteside misses free throw 1 of 1
3:40.0,Defensive rebound by R. Westbrook,,39-45,,
3:34.0,R. Westbrook misses 2-pt shot from 1 ft (block by H. Whiteside),,39-45,,
3:32.0,,,39-45,,Defensive rebound by T. Johnson
3:17.0,,,39-47,2,H. Whiteside makes 2-pt shot from 5 ft
3:10.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,42-47,,
2:57.0,,,42-47,,J. Winslow misses 3-pt shot from 22 ft
2:56.0,Defensive rebound by Team,,42-47,,
2:55.0,,,42-47,,Loose ball foul by H. Whiteside (drawn by S. Adams)
2:55.0,Oklahoma City full timeout,,42-47,,
2:55.0,,,42-47,,B. Adebayo enters the game for J. Winslow
2:55.0,,,42-47,,J. Richardson enters the game for H. Whiteside
2:55.0,A. Abrines enters the game for C. Brewer,,42-47,,
2:55.0,S. Adams makes free throw 1 of 2,1,43-47,,
2:55.0,S. Adams misses free throw 2 of 2,,43-47,,
2:52.0,,,43-47,,Defensive rebound by J. Johnson
2:39.0,,,43-49,2,B. Adebayo makes 2-pt shot at rim (assist by G. Dragic)
2:19.0,C. Anthony makes 2-pt shot from 11 ft,2,45-49,,
2:04.0,,,45-49,,G. Dragic misses 2-pt shot from 19 ft
2:00.0,Defensive rebound by C. Anthony,,45-49,,
1:56.0,C. Anthony misses 3-pt shot from 25 ft,,45-49,,
1:52.0,,,45-49,,Defensive rebound by B. Adebayo
1:44.0,,,45-49,,J. Richardson misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by R. Westbrook,,45-49,,
1:36.0,R. Westbrook makes 2-pt shot from 1 ft,2,47-49,,
1:10.0,,,47-51,2,J. Richardson makes 2-pt shot from 8 ft
0:54.0,P. George misses 2-pt shot from 18 ft,,47-51,,
0:52.0,,,47-51,,Defensive rebound by J. Johnson
0:45.0,,,47-51,,G. Dragic misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by R. Westbrook,,47-51,,
0:39.0,,,47-51,,Personal foul by J. Richardson (drawn by R. Westbrook)
0:39.0,R. Westbrook makes free throw 1 of 2,1,48-51,,
0:39.0,,,48-51,,D. Wade enters the game for J. Johnson
0:39.0,C. Brewer enters the game for A. Abrines,,48-51,,
0:39.0,R. Westbrook makes free throw 2 of 2,1,49-51,,
0:20.0,,,49-51,,B. Adebayo misses 2-pt shot from 6 ft
0:19.0,,,49-51,,Offensive rebound by D. Wade
0:17.0,Personal foul by C. Brewer (drawn by D. Wade),,49-51,,
0:17.0,,,49-52,1,D. Wade makes free throw 1 of 2
0:17.0,,,49-52,,J. Winslow enters the game for G. Dragic
0:17.0,,,49-52,,D. Wade misses free throw 2 of 2
0:17.0,Defensive rebound by R. Westbrook,,49-52,,
0:00.0,P. George misses 3-pt shot from 24 ft,,49-52,,
0:00.0,Offensive rebound by Team,,49-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,49-54,2,J. Johnson makes 2-pt shot at rim (assist by G. Dragic)
11:33.0,R. Westbrook misses 2-pt shot from 16 ft,,49-54,,
11:32.0,Offensive rebound by R. Westbrook,,49-54,,
11:29.0,C. Anthony makes 3-pt shot from 25 ft (assist by S. Adams),3,52-54,,
11:00.0,,,52-57,3,J. Richardson makes 3-pt shot from 26 ft (assist by T. Johnson)
10:43.0,P. George makes 2-pt shot from 2 ft (assist by R. Westbrook),2,54-57,,
10:26.0,,,54-57,,Turnover by G. Dragic (step out of bounds)
10:14.0,Turnover by R. Westbrook (bad pass),,54-57,,
10:02.0,,,54-57,,G. Dragic misses 2-pt shot from 1 ft
10:01.0,,,54-57,,Offensive rebound by H. Whiteside
10:01.0,,,54-59,2,H. Whiteside makes 2-pt shot from 4 ft
9:44.0,R. Westbrook makes 3-pt shot from 24 ft (assist by C. Anthony),3,57-59,,
9:29.0,,,57-61,2,J. Johnson makes 2-pt shot from 9 ft
9:17.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,60-61,,
8:58.0,,,60-63,2,T. Johnson makes 2-pt shot from 11 ft
8:51.0,R. Westbrook misses 2-pt shot from 2 ft,,60-63,,
8:44.0,,,60-63,,Defensive rebound by J. Richardson
8:42.0,,,60-65,2,T. Johnson makes 2-pt shot at rim
8:42.0,Oklahoma City full timeout,,60-65,,
8:31.0,Shooting foul by H. Whiteside (drawn by P. George),,60-65,,
8:31.0,,,60-65,,Technical foul by H. Whiteside
8:31.0,P. George makes technical free throw,1,61-65,,
8:31.0,P. George makes free throw 1 of 2,1,62-65,,
8:31.0,P. George makes free throw 2 of 2,1,63-65,,
8:17.0,,,63-65,,G. Dragic misses 2-pt shot from 11 ft
8:14.0,Defensive rebound by R. Westbrook,,63-65,,
8:10.0,C. Anthony misses 3-pt shot from 24 ft,,63-65,,
8:05.0,Offensive rebound by S. Adams,,63-65,,
8:05.0,S. Adams makes 2-pt shot at rim,2,65-65,,
7:49.0,,,65-65,,T. Johnson misses 2-pt shot from 1 ft
7:48.0,Defensive rebound by R. Westbrook,,65-65,,
7:42.0,Turnover by R. Westbrook (bad pass; steal by J. Richardson),,65-65,,
7:38.0,,,65-67,2,J. Richardson makes 2-pt shot at rim
7:21.0,R. Westbrook misses 3-pt shot from 27 ft,,65-67,,
7:18.0,,,65-67,,Defensive rebound by J. Johnson
7:16.0,,,65-67,,Offensive charge foul by J. Johnson (drawn by R. Westbrook)
7:16.0,,,65-67,,Turnover by J. Johnson (offensive foul)
7:02.0,P. George misses 3-pt shot from 25 ft,,65-67,,
6:59.0,,,65-67,,Defensive rebound by H. Whiteside
6:55.0,,,65-69,2,H. Whiteside makes 2-pt shot at rim (assist by J. Richardson)
6:31.0,S. Adams misses 2-pt shot from 9 ft,,65-69,,
6:27.0,,,65-69,,Defensive rebound by H. Whiteside
6:20.0,,,65-69,,Turnover by T. Johnson (lost ball; steal by R. Westbrook)
6:15.0,R. Westbrook misses 2-pt shot from 19 ft,,65-69,,
6:13.0,,,65-69,,Defensive rebound by Team
6:02.0,,,65-69,,J. Winslow enters the game for J. Richardson
5:58.0,,,65-69,,H. Whiteside misses 2-pt shot from 10 ft
5:55.0,Defensive rebound by R. Westbrook,,65-69,,
5:52.0,C. Brewer misses 3-pt shot from 23 ft,,65-69,,
5:49.0,,,65-69,,Defensive rebound by H. Whiteside
5:36.0,,,65-71,2,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic)
5:16.0,R. Westbrook misses 3-pt shot from 24 ft,,65-71,,
5:15.0,,,65-71,,Defensive rebound by Team
5:15.0,Loose ball foul by S. Adams (drawn by H. Whiteside),,65-71,,
5:15.0,J. Grant enters the game for C. Anthony,,65-71,,
4:53.0,,,65-73,2,J. Johnson makes 2-pt shot from 9 ft
4:45.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,67-73,,
4:37.0,,,67-73,,Miami full timeout
4:37.0,,,67-73,,B. Adebayo enters the game for J. Johnson
4:37.0,,,67-73,,D. Wade enters the game for H. Whiteside
4:37.0,T. Ferguson enters the game for C. Brewer,,67-73,,
4:24.0,,,67-73,,Turnover by D. Wade (bad pass; steal by S. Adams)
4:07.0,P. George misses 3-pt shot from 24 ft,,67-73,,
4:03.0,,,67-73,,Defensive rebound by T. Johnson
4:02.0,,,67-73,,Turnover by T. Johnson (bad pass)
3:54.0,R. Westbrook makes 2-pt shot at rim,2,69-73,,
3:28.0,,,69-73,,D. Wade misses 2-pt shot from 12 ft
3:26.0,,,69-73,,Offensive rebound by Team
3:26.0,Loose ball foul by T. Ferguson (drawn by B. Adebayo),,69-73,,
3:13.0,,,69-73,,J. Winslow misses 2-pt shot at rim
3:12.0,,,69-73,,Offensive rebound by J. Winslow
3:11.0,,,69-76,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Winslow)
2:47.0,R. Westbrook makes 2-pt shot from 6 ft,2,71-76,,
2:33.0,,,71-76,,D. Wade misses 2-pt shot from 20 ft
2:29.0,Defensive rebound by R. Westbrook,,71-76,,
2:26.0,T. Ferguson makes 3-pt shot from 23 ft (assist by R. Westbrook),3,74-76,,
2:05.0,,,74-76,,T. Johnson misses 2-pt shot from 12 ft
2:03.0,Defensive rebound by R. Westbrook,,74-76,,
1:59.0,J. Grant makes 2-pt shot at rim (assist by R. Westbrook),2,76-76,,
1:41.0,,,76-78,2,J. Winslow makes 2-pt shot from 1 ft
1:41.0,Violation by J. Grant (def goaltending),,76-78,,
1:30.0,R. Westbrook misses 3-pt shot from 25 ft,,76-78,,
1:27.0,,,76-78,,Defensive rebound by G. Dragic
1:18.0,,,76-81,3,T. Johnson makes 3-pt shot from 22 ft (assist by G. Dragic)
0:49.0,P. George misses 3-pt shot from 24 ft,,76-81,,
0:45.0,,,76-81,,Defensive rebound by G. Dragic
0:37.0,,,76-81,,G. Dragic misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by J. Grant,,76-81,,
0:27.0,R. Westbrook misses 2-pt shot from 4 ft,,76-81,,
0:25.0,,,76-81,,Defensive rebound by B. Adebayo
0:04.0,,,76-81,,D. Wade misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by R. Westbrook,,76-81,,
0:00.0,Turnover by P. George (lost ball; steal by D. Wade),,76-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,R. Felton makes 3-pt shot from 25 ft (assist by P. Patterson),3,79-81,,
11:24.0,,,79-84,3,W. Ellington makes 3-pt shot from 25 ft (assist by K. Olynyk)
10:59.0,P. Patterson makes 3-pt shot from 25 ft (assist by R. Felton),3,82-84,,
10:59.0,Shooting foul by K. Olynyk (drawn by P. Patterson),,82-84,,
10:59.0,P. Patterson makes free throw 1 of 1,1,83-84,,
10:44.0,,,83-84,,K. Olynyk misses 2-pt shot at rim
10:41.0,Defensive rebound by J. Grant,,83-84,,
10:28.0,C. Brewer makes 2-pt shot from 1 ft,2,85-84,,
10:02.0,,,85-84,,D. Wade misses 2-pt shot from 8 ft
9:59.0,Defensive rebound by C. Brewer,,85-84,,
9:42.0,R. Felton misses 3-pt shot from 26 ft,,85-84,,
9:39.0,,,85-84,,Defensive rebound by K. Olynyk
9:29.0,,,85-84,,J. Richardson misses 3-pt shot from 24 ft
9:25.0,,,85-84,,Offensive rebound by J. Winslow
9:24.0,,,85-84,,W. Ellington misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by P. Patterson,,85-84,,
9:12.0,T. Ferguson misses 3-pt shot from 25 ft,,85-84,,
9:08.0,,,85-84,,Defensive rebound by K. Olynyk
9:04.0,,,85-86,2,J. Winslow makes 2-pt shot at rim
8:41.0,Shooting foul by J. Richardson (drawn by J. Grant),,85-86,,
8:41.0,J. Grant makes free throw 1 of 2,1,86-86,,
8:41.0,J. Grant misses free throw 2 of 2,,86-86,,
8:38.0,,,86-86,,Defensive rebound by J. Winslow
8:23.0,,,86-86,,W. Ellington misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by P. Patterson,,86-86,,
8:22.0,Oklahoma City full timeout,,86-86,,
8:22.0,R. Westbrook enters the game for T. Ferguson,,86-86,,
8:10.0,R. Felton misses 2-pt shot from 13 ft,,86-86,,
8:05.0,,,86-86,,Defensive rebound by J. Winslow
7:53.0,,,86-86,,Turnover by D. Wade (bad pass; steal by J. Grant)
7:46.0,J. Grant makes 2-pt shot at rim (assist by R. Westbrook),2,88-86,,
7:46.0,Shooting foul by K. Olynyk (drawn by J. Grant),,88-86,,
7:46.0,J. Grant makes free throw 1 of 1,1,89-86,,
7:24.0,,,89-86,,W. Ellington misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by J. Grant,,89-86,,
7:02.0,Turnover by R. Westbrook (lost ball; steal by W. Ellington),,89-86,,
6:56.0,,,89-86,,W. Ellington misses 2-pt shot at rim (block by J. Grant)
6:55.0,,,89-86,,Offensive rebound by J. Winslow
6:54.0,,,89-88,2,J. Winslow makes 2-pt shot at rim
6:47.0,R. Felton makes 2-pt shot at rim (assist by C. Brewer),2,91-88,,
6:47.0,Shooting foul by J. Winslow (drawn by R. Felton),,91-88,,
6:47.0,,,91-88,,J. Johnson enters the game for K. Olynyk
6:47.0,C. Anthony enters the game for P. Patterson,,91-88,,
6:47.0,R. Felton makes free throw 1 of 1,1,92-88,,
6:42.0,,,92-88,,Miami full timeout
6:42.0,,,92-88,,G. Dragic enters the game for W. Ellington
6:42.0,,,92-88,,T. Johnson enters the game for D. Wade
6:42.0,P. George enters the game for R. Felton,,92-88,,
6:31.0,,,92-88,,Shooting foul by R. Westbrook (drawn by J. Johnson)
6:31.0,,,92-88,,J. Johnson misses free throw 1 of 2
6:31.0,,,92-88,,Offensive rebound by Team
6:31.0,,,92-88,,H. Whiteside enters the game for J. Richardson
6:31.0,,,92-89,1,J. Johnson makes free throw 2 of 2
6:20.0,Shooting foul by J. Johnson (drawn by J. Grant),,92-89,,
6:20.0,J. Grant makes free throw 1 of 2,1,93-89,,
6:20.0,J. Grant makes free throw 2 of 2,1,94-89,,
5:59.0,,,94-91,2,H. Whiteside makes 2-pt shot from 7 ft
5:41.0,P. George makes 3-pt shot from 24 ft,3,97-91,,
5:28.0,,,97-91,,Offensive charge foul by J. Johnson (drawn by J. Grant)
5:28.0,,,97-91,,Turnover by J. Johnson (offensive foul)
5:28.0,S. Adams enters the game for J. Grant,,97-91,,
5:28.0,,,97-91,,J. Richardson enters the game for J. Johnson
5:19.0,R. Westbrook makes 2-pt shot from 15 ft,2,99-91,,
5:19.0,,,99-91,,Miami full timeout
5:19.0,,,99-91,,D. Wade enters the game for T. Johnson
5:01.0,,,99-91,,Turnover by J. Richardson (bad pass; steal by C. Brewer)
5:01.0,,,99-91,,Personal foul by D. Wade (drawn by R. Westbrook)
5:01.0,R. Westbrook makes free throw 1 of 2,1,100-91,,
5:01.0,R. Westbrook makes free throw 2 of 2,1,101-91,,
4:39.0,,,101-91,,D. Wade misses 2-pt shot from 16 ft
4:36.0,Defensive rebound by C. Anthony,,101-91,,
4:20.0,Shooting foul by J. Winslow (drawn by P. George),,101-91,,
4:20.0,P. George makes free throw 1 of 2,1,102-91,,
