time,Philadelphia,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: D. Howard vs. J. Embiid (B. Simmons gains possession)
11:41.0,Jump ball: B. Simmons vs.,,,,Jump ball: B. Simmons vs.
11:34.0,J. Redick misses 3-pt shot from 25 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by D. Howard
11:21.0,,,0-2,2,N. Batum makes 2-pt shot from 15 ft (assist by K. Walker)
11:02.0,B. Simmons makes 2-pt shot at rim,2,2-2,,
10:51.0,,,2-2,,Shooting foul by J. Redick (drawn by M. Kidd-Gilchrist)
10:51.0,,,2-3,1,M. Kidd-Gilchrist makes free throw 1 of 2
10:51.0,,,2-4,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:31.0,J. Embiid misses 2-pt shot from 4 ft (block by D. Howard),,2-4,,
10:31.0,Offensive rebound by Team,,2-4,,
10:27.0,J. Embiid misses 3-pt shot from 24 ft,,2-4,,
10:25.0,,,2-4,,Defensive rebound by N. Batum
10:19.0,,,2-4,,M. Williams misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by B. Simmons,,2-4,,
10:05.0,Shooting foul by K. Walker (drawn by J. Embiid),,2-4,,
10:05.0,J. Embiid makes free throw 1 of 2,1,3-4,,
10:05.0,J. Embiid makes free throw 2 of 2,1,4-4,,
9:49.0,,,4-4,,Turnover by D. Howard (out of bounds lost ball)
9:37.0,J. Redick misses 2-pt shot from 20 ft,,4-4,,
9:33.0,,,4-4,,Defensive rebound by D. Howard
9:27.0,,,4-4,,N. Batum misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by D. Saric,,4-4,,
9:17.0,D. Saric makes 3-pt shot from 24 ft (assist by R. Covington),3,7-4,,
9:03.0,,,7-4,,Shooting foul by J. Redick (drawn by K. Walker)
9:03.0,,,7-5,1,K. Walker makes free throw 1 of 2
9:03.0,,,7-5,,K. Walker misses free throw 2 of 2
9:01.0,Defensive rebound by B. Simmons,,7-5,,
8:52.0,Turnover by J. Embiid (bad pass),,7-5,,
8:41.0,,,7-8,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
8:21.0,J. Embiid misses 2-pt shot from 7 ft (block by D. Howard),,7-8,,
8:18.0,,,7-8,,Defensive rebound by M. Kidd-Gilchrist
8:17.0,M. Belinelli enters the game for J. Redick,,7-8,,
8:15.0,,,7-8,,K. Walker misses 2-pt shot from 16 ft (block by R. Covington)
8:14.0,Defensive rebound by Team,,7-8,,
8:04.0,M. Belinelli makes 2-pt shot from 18 ft,2,9-8,,
7:48.0,,,9-8,,M. Williams misses 2-pt shot from 3 ft
7:43.0,,,9-8,,Offensive rebound by D. Howard
7:43.0,,,9-10,2,D. Howard makes 2-pt shot at rim
7:32.0,,,9-10,,Personal foul by D. Howard (drawn by J. Embiid)
7:19.0,D. Saric misses 3-pt shot from 27 ft,,9-10,,
7:15.0,,,9-10,,Defensive rebound by D. Howard
7:03.0,,,9-13,3,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum)
6:49.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,11-13,,
6:32.0,,,11-15,2,D. Howard makes 2-pt shot from 3 ft (assist by K. Walker)
6:20.0,B. Simmons makes 2-pt shot from 1 ft (assist by D. Saric),2,13-15,,
6:06.0,,,13-15,,D. Howard misses 2-pt shot from 15 ft
6:01.0,Defensive rebound by D. Saric,,13-15,,
5:58.0,M. Belinelli misses 3-pt shot from 25 ft,,13-15,,
5:55.0,,,13-15,,Defensive rebound by D. Howard
5:50.0,,,13-17,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum)
5:50.0,Philadelphia full timeout,,13-17,,
5:50.0,A. Johnson enters the game for J. Embiid,,13-17,,
5:37.0,Turnover by D. Saric (bad pass; steal by D. Howard),,13-17,,
5:36.0,,,13-17,,Shooting foul by A. Johnson (drawn by M. Kidd-Gilchrist)
5:36.0,,,13-17,,M. Kidd-Gilchrist misses free throw 1 of 2
5:36.0,,,13-17,,Offensive rebound by Team
5:36.0,T. McConnell enters the game for R. Covington,,13-17,,
5:36.0,,,13-18,1,M. Kidd-Gilchrist makes free throw 2 of 2
5:25.0,Offensive foul by A. Johnson (drawn by M. Williams),,13-18,,
5:25.0,Turnover by A. Johnson (offensive foul),,13-18,,
5:14.0,,,13-18,,Turnover by N. Batum (bad pass; steal by A. Johnson)
5:03.0,T. McConnell misses 2-pt shot from 1 ft,,13-18,,
5:03.0,Offensive rebound by Team,,13-18,,
5:03.0,,,13-18,,F. Kaminsky enters the game for M. Williams
4:52.0,M. Belinelli makes 2-pt shot from 1 ft (assist by D. Saric),2,15-18,,
4:38.0,,,15-21,3,F. Kaminsky makes 3-pt shot from 23 ft (assist by N. Batum)
4:10.0,A. Johnson makes 3-pt shot from 25 ft (assist by T. McConnell),3,18-21,,
3:57.0,,,18-21,,Turnover by K. Walker (bad pass; steal by T. McConnell)
3:52.0,B. Simmons makes 2-pt shot from 1 ft (assist by T. McConnell),2,20-21,,
3:34.0,,,20-23,2,D. Howard makes 2-pt shot from 3 ft (assist by K. Walker)
