time,Milwaukee,pts.away,score,pts.home,Boston
1:09.0,T. Snell misses 3-pt shot from 25 ft,,15-23,,
1:09.0,,,15-23,,Defensive rebound by S. Larkin
0:55.0,Personal foul by T. Zeller (drawn by J. Tatum),,15-23,,
0:55.0,,,15-24,1,J. Tatum makes free throw 1 of 2
0:55.0,E. Bledsoe enters the game for M. Dellavedova,,15-24,,
0:55.0,K. Middleton enters the game for G. Antetokounmpo,,15-24,,
0:55.0,,,15-25,1,J. Tatum makes free throw 2 of 2
0:47.0,,,15-25,,J. Brown enters the game for J. Tatum
0:39.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by J. Parker),2,17-25,,
0:32.0,Personal foul by E. Bledsoe,,17-25,,
0:32.0,Technical foul by E. Bledsoe,,17-25,,
0:32.0,,,17-26,1,S. Larkin makes technical free throw
0:32.0,,,17-27,1,S. Larkin makes free throw 1 of 2
0:32.0,,,17-28,1,S. Larkin makes free throw 2 of 2
0:20.0,,,17-28,,Personal foul by S. Larkin (drawn by K. Middleton)
0:20.0,,,17-28,,S. Ojeleye enters the game for S. Larkin
0:10.0,E. Bledsoe misses 2-pt shot from 5 ft,,17-28,,
0:08.0,,,17-28,,Defensive rebound by M. Morris
0:00.0,,,17-30,2,A. Baynes makes 2-pt shot from 15 ft (assist by M. Smart)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Offensive foul by E. Bledsoe (drawn by A. Baynes),,17-30,,
11:53.0,Turnover by E. Bledsoe (offensive foul),,17-30,,
11:44.0,,,17-30,,Shooting foul by G. Antetokounmpo (drawn by J. Brown)
11:44.0,,,17-30,,J. Brown misses free throw 1 of 2
11:44.0,,,17-30,,Offensive rebound by Team
11:44.0,,,17-30,,J. Brown misses free throw 2 of 2
11:41.0,Defensive rebound by J. Terry,,17-30,,
11:31.0,K. Middleton makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,19-30,,
11:20.0,,,19-30,,M. Smart misses 2-pt shot from 1 ft
11:11.0,,,19-30,,Offensive rebound by M. Smart
11:11.0,,,19-32,2,M. Smart makes 2-pt shot at rim
11:03.0,Shooting foul by A. Baynes (drawn by E. Bledsoe),,19-32,,
11:03.0,E. Bledsoe makes free throw 1 of 2,1,20-32,,
11:03.0,E. Bledsoe makes free throw 2 of 2,1,21-32,,
10:50.0,,,21-32,,Turnover by M. Smart (bad pass)
10:35.0,Shooting foul by M. Smart (drawn by E. Bledsoe),,21-32,,
10:35.0,E. Bledsoe makes free throw 1 of 2,1,22-32,,
10:35.0,,,22-32,,T. Rozier enters the game for S. Larkin
10:35.0,E. Bledsoe makes free throw 2 of 2,1,23-32,,
10:15.0,,,23-32,,M. Morris misses 2-pt shot from 2 ft
10:13.0,,,23-32,,Offensive rebound by M. Smart
10:11.0,,,23-32,,J. Brown misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by K. Middleton,,23-32,,
9:54.0,K. Middleton makes 2-pt shot from 2 ft,2,25-32,,
9:54.0,,,25-32,,Violation by A. Baynes (def goaltending)
9:39.0,,,25-32,,J. Brown misses 3-pt shot from 27 ft
9:36.0,Defensive rebound by E. Bledsoe,,25-32,,
9:20.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by K. Middleton),3,28-32,,
9:15.0,,,28-32,,A. Horford enters the game for A. Baynes
9:05.0,,,28-32,,M. Morris misses 2-pt shot from 16 ft
9:01.0,Defensive rebound by T. Maker,,28-32,,
8:47.0,E. Bledsoe makes 2-pt shot from 5 ft,2,30-32,,
8:47.0,,,30-32,,Boston full timeout
8:47.0,,,30-32,,S. Ojeleye enters the game for M. Morris
8:47.0,,,30-32,,J. Tatum enters the game for M. Smart
8:31.0,,,30-34,2,A. Horford makes 2-pt shot from 1 ft (assist by T. Rozier)
8:05.0,K. Middleton misses 3-pt shot from 28 ft,,30-34,,
8:02.0,,,30-34,,Defensive rebound by J. Tatum
7:42.0,,,30-36,2,A. Horford makes 2-pt shot from 5 ft
7:21.0,Turnover by G. Antetokounmpo (bad pass),,30-36,,
7:21.0,M. Brogdon enters the game for J. Terry,,30-36,,
7:21.0,J. Parker enters the game for T. Maker,,30-36,,
7:08.0,,,30-36,,T. Rozier misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by G. Antetokounmpo,,30-36,,
7:01.0,Offensive charge foul by E. Bledsoe (drawn by S. Ojeleye),,30-36,,
7:01.0,Turnover by E. Bledsoe (offensive foul),,30-36,,
7:01.0,M. Dellavedova enters the game for E. Bledsoe,,30-36,,
6:48.0,,,30-38,2,T. Rozier makes 2-pt shot from 11 ft
6:47.0,Milwaukee full timeout,,30-38,,
6:37.0,M. Brogdon misses 2-pt shot from 6 ft (block by T. Rozier),,30-38,,
6:35.0,,,30-38,,Defensive rebound by Team
6:22.0,,,30-40,2,T. Rozier makes 2-pt shot from 12 ft
5:58.0,K. Middleton misses 2-pt shot from 15 ft,,30-40,,
5:56.0,,,30-40,,Defensive rebound by S. Ojeleye
5:48.0,,,30-40,,T. Rozier misses 2-pt shot from 18 ft
5:48.0,,,30-40,,Offensive rebound by A. Horford
5:43.0,,,30-40,,A. Horford misses 2-pt shot at rim
5:43.0,,,30-40,,Offensive rebound by A. Horford
5:41.0,,,30-40,,J. Tatum misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by J. Parker,,30-40,,
5:35.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,30-40,,
5:33.0,,,30-40,,Defensive rebound by A. Horford
5:30.0,,,30-40,,J. Tatum misses 2-pt shot from 3 ft (block by K. Middleton)
5:30.0,,,30-40,,Offensive rebound by Team
5:30.0,J. Terry enters the game for M. Dellavedova,,30-40,,
5:30.0,Away from play foul by G. Antetokounmpo (drawn by M. Smart),,30-40,,
5:30.0,,,30-41,1,M. Smart makes free throw 1 of 1
5:30.0,T. Maker enters the game for G. Antetokounmpo,,30-41,,
5:30.0,,,30-41,,M. Smart enters the game for J. Brown
5:30.0,,,30-41,,J. Brown enters the game for S. Ojeleye
5:25.0,,,30-41,,J. Brown misses 3-pt shot from 23 ft
5:23.0,Defensive rebound by T. Maker,,30-41,,
5:12.0,J. Parker makes 2-pt shot from 18 ft (assist by T. Maker),2,32-41,,
4:54.0,,,32-41,,J. Tatum misses 2-pt shot from 13 ft
4:51.0,Defensive rebound by J. Parker,,32-41,,
4:38.0,Turnover by K. Middleton (lost ball; steal by M. Smart),,32-41,,
4:33.0,,,32-43,2,A. Horford makes 2-pt shot from 2 ft (assist by M. Smart)
4:33.0,Milwaukee full timeout,,32-43,,
4:33.0,E. Bledsoe enters the game for J. Terry,,32-43,,
4:26.0,,,32-43,,Personal foul by J. Brown (drawn by K. Middleton)
4:21.0,J. Parker makes 2-pt shot from 8 ft (assist by T. Maker),2,34-43,,
3:58.0,,,34-46,3,T. Rozier makes 3-pt shot from 22 ft (assist by J. Brown)
3:42.0,J. Parker makes 2-pt shot from 1 ft (assist by T. Maker),2,36-46,,
3:17.0,,,36-48,2,A. Horford makes 2-pt shot from 17 ft
3:04.0,,,36-48,,Personal foul by J. Tatum (drawn by K. Middleton)
3:04.0,,,36-48,,M. Morris enters the game for J. Brown
2:56.0,M. Brogdon misses 2-pt shot from 9 ft,,36-48,,
2:54.0,,,36-48,,Defensive rebound by M. Morris
2:44.0,,,36-48,,T. Rozier misses 2-pt shot from 3 ft
2:42.0,Defensive rebound by E. Bledsoe,,36-48,,
2:38.0,J. Parker misses 2-pt shot from 2 ft,,36-48,,
2:35.0,,,36-48,,Defensive rebound by A. Horford
2:21.0,,,36-48,,Turnover by A. Horford (bad pass; steal by E. Bledsoe)
2:15.0,M. Brogdon misses 2-pt shot from 1 ft,,36-48,,
2:13.0,,,36-48,,Defensive rebound by T. Rozier
2:09.0,,,36-48,,A. Horford misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by M. Brogdon,,36-48,,
1:52.0,K. Middleton misses 3-pt shot from 25 ft,,36-48,,
1:48.0,,,36-48,,Defensive rebound by J. Tatum
1:32.0,,,36-48,,Turnover by M. Smart (bad pass; steal by J. Parker)
1:31.0,Shooting foul by M. Smart (drawn by J. Parker),,36-48,,
1:31.0,J. Parker misses free throw 1 of 2,,36-48,,
1:31.0,Offensive rebound by Team,,36-48,,
1:31.0,J. Parker makes free throw 2 of 2,1,37-48,,
1:09.0,,,37-48,,M. Smart misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by T. Maker,,37-48,,
0:55.0,K. Middleton makes 3-pt shot from 22 ft (assist by T. Maker),3,40-48,,
0:32.0,,,40-50,2,A. Horford makes 2-pt shot from 2 ft (assist by J. Tatum)
0:32.0,Violation by T. Maker (def goaltending),,40-50,,
0:24.0,K. Middleton makes 2-pt shot from 8 ft,2,42-50,,
0:00.0,,,42-50,,J. Tatum misses 3-pt shot from 24 ft
0:00.0,,,42-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,K. Middleton makes 2-pt shot from 13 ft (assist by E. Bledsoe),2,44-50,,
11:27.0,,,44-52,2,A. Horford makes 2-pt shot from 10 ft (assist by T. Rozier)
11:00.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,46-52,,
10:41.0,,,46-52,,M. Smart misses 2-pt shot from 1 ft
10:38.0,Defensive rebound by G. Antetokounmpo,,46-52,,
10:31.0,,,46-52,,Personal foul by M. Smart (drawn by M. Brogdon)
10:20.0,E. Bledsoe makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,49-52,,
10:13.0,,,49-52,,Turnover by T. Rozier (out of bounds lost ball)
10:01.0,M. Brogdon misses 2-pt shot from 12 ft,,49-52,,
9:58.0,,,49-52,,Defensive rebound by T. Rozier
9:48.0,,,49-54,2,A. Horford makes 2-pt shot at rim (assist by T. Rozier)
9:33.0,E. Bledsoe makes 2-pt shot from 4 ft,2,51-54,,
9:33.0,,,51-54,,Violation by A. Horford (def goaltending)
9:16.0,Personal foul by K. Middleton (drawn by J. Tatum),,51-54,,
9:05.0,,,51-54,,T. Rozier misses 2-pt shot from 4 ft
9:03.0,Defensive rebound by G. Antetokounmpo,,51-54,,
8:59.0,M. Brogdon misses 3-pt shot from 22 ft,,51-54,,
8:55.0,,,51-54,,Defensive rebound by M. Smart
8:44.0,,,51-56,2,A. Horford makes 2-pt shot from 1 ft (assist by T. Rozier)
8:29.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,51-56,,
8:26.0,,,51-56,,Defensive rebound by A. Horford
