time,Houston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Anderson (O. Porter gains possession),,,,Jump ball: M. Gortat vs. R. Anderson (O. Porter gains possession)
11:43.0,,,0-0,,Turnover by O. Porter (bad pass; steal by T. Ariza)
11:40.0,T. Ariza makes 2-pt shot from 1 ft,2,2-0,,
11:22.0,,,2-0,,B. Beal misses 2-pt shot from 16 ft (block by J. Harden)
11:19.0,Defensive rebound by R. Anderson,,2-0,,
11:14.0,P. Tucker misses 3-pt shot from 23 ft,,2-0,,
11:11.0,,,2-0,,Defensive rebound by M. Morris
11:00.0,,,2-2,2,M. Morris makes 2-pt shot from 11 ft (assist by O. Porter)
10:35.0,C. Paul misses 3-pt shot from 27 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by M. Gortat
10:28.0,,,2-2,,B. Beal misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by T. Ariza,,2-2,,
10:14.0,T. Ariza makes 3-pt shot from 26 ft (assist by P. Tucker),3,5-2,,
10:01.0,,,5-5,3,O. Porter makes 3-pt shot from 26 ft
9:40.0,P. Tucker makes 2-pt shot from 5 ft,2,7-5,,
9:27.0,,,7-5,,O. Porter misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by R. Anderson,,7-5,,
9:07.0,P. Tucker misses 3-pt shot from 27 ft,,7-5,,
9:04.0,Offensive rebound by R. Anderson,,7-5,,
9:00.0,C. Paul makes 3-pt shot from 22 ft (assist by T. Ariza),3,10-5,,
8:48.0,,,10-7,2,O. Porter makes 2-pt shot at rim (assist by B. Beal)
8:34.0,R. Anderson misses 3-pt shot from 30 ft,,10-7,,
8:31.0,,,10-7,,Defensive rebound by J. Wall
8:27.0,,,10-7,,J. Wall misses 2-pt shot from 20 ft
8:23.0,Defensive rebound by T. Ariza,,10-7,,
8:16.0,Turnover by J. Harden (lost ball; steal by J. Wall),,10-7,,
8:13.0,,,10-9,2,J. Wall makes 2-pt shot at rim
7:50.0,P. Tucker misses 3-pt shot from 23 ft,,10-9,,
7:47.0,,,10-9,,Defensive rebound by B. Beal
7:38.0,,,10-9,,M. Morris misses 2-pt shot from 15 ft
7:34.0,Defensive rebound by C. Paul,,10-9,,
7:27.0,T. Ariza misses 3-pt shot from 26 ft,,10-9,,
7:24.0,Offensive rebound by R. Anderson,,10-9,,
7:23.0,R. Anderson misses 2-pt shot from 15 ft,,10-9,,
7:20.0,,,10-9,,Defensive rebound by M. Gortat
7:10.0,E. Gordon enters the game for C. Paul,,10-9,,
7:02.0,,,10-9,,O. Porter misses 2-pt shot from 9 ft
6:59.0,Defensive rebound by P. Tucker,,10-9,,
6:44.0,R. Anderson misses 3-pt shot from 25 ft,,10-9,,
6:40.0,,,10-9,,Defensive rebound by M. Gortat
6:36.0,,,10-9,,Shooting foul by P. Tucker (drawn by M. Morris)
6:36.0,,,10-9,,Washington full timeout
6:36.0,T. Black enters the game for P. Tucker,,10-9,,
6:36.0,,,10-10,1,M. Morris makes free throw 1 of 2
6:36.0,,,10-11,1,M. Morris makes free throw 2 of 2
6:22.0,E. Gordon misses 2-pt shot from 14 ft,,10-11,,
6:17.0,,,10-11,,Defensive rebound by M. Morris
6:10.0,,,10-14,3,O. Porter makes 3-pt shot from 23 ft (assist by M. Morris)
5:43.0,T. Black misses 2-pt shot from 2 ft,,10-14,,
5:42.0,,,10-14,,Defensive rebound by M. Morris
5:37.0,Violation by T. Black (kicked ball),,10-14,,
5:28.0,,,10-14,,B. Beal misses 3-pt shot from 26 ft
5:23.0,Defensive rebound by R. Anderson,,10-14,,
5:02.0,Shooting foul by B. Beal (drawn by J. Harden),,10-14,,
5:02.0,J. Harden makes free throw 1 of 2,1,11-14,,
5:02.0,G. Green enters the game for T. Ariza,,11-14,,
