time,Detroit,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. A. Drummond (R. Hollis-Jefferson gains possession),,,,Jump ball: J. Allen vs. A. Drummond (R. Hollis-Jefferson gains possession)
11:37.0,,,0-0,,Shooting foul by A. Drummond (drawn by J. Allen)
11:37.0,,,0-0,,J. Allen misses free throw 1 of 2
11:37.0,,,0-0,,Offensive rebound by Team
11:37.0,,,0-1,1,J. Allen makes free throw 2 of 2
11:17.0,Turnover by R. Jackson (bad pass; steal by D. Russell),,0-1,,
11:12.0,,,0-3,2,J. Allen makes 2-pt shot from 1 ft (assist by D. Carroll)
10:57.0,S. Johnson makes 2-pt shot from 2 ft (assist by R. Jackson),2,2-3,,
10:57.0,Shooting foul by J. Allen (drawn by S. Johnson),,2-3,,
10:57.0,S. Johnson makes free throw 1 of 1,1,3-3,,
10:49.0,,,3-3,,A. Crabbe misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by R. Jackson,,3-3,,
10:40.0,Turnover by R. Jackson (lost ball; steal by A. Crabbe),,3-3,,
10:35.0,,,3-5,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell)
10:09.0,R. Jackson misses 2-pt shot from 13 ft,,3-5,,
10:06.0,,,3-5,,Defensive rebound by D. Russell
10:03.0,,,3-5,,J. Allen misses 2-pt shot from 1 ft
10:00.0,,,3-5,,Offensive rebound by R. Hollis-Jefferson
9:58.0,,,3-5,,Shooting foul by A. Tolliver (drawn by D. Carroll)
9:58.0,,,3-6,1,D. Carroll makes free throw 1 of 3
9:58.0,,,3-7,1,D. Carroll makes free throw 2 of 3
9:58.0,,,3-7,,D. Carroll misses free throw 3 of 3
9:54.0,Defensive rebound by A. Drummond,,3-7,,
9:51.0,Detroit full timeout,,3-7,,
9:42.0,R. Jackson makes 2-pt shot from 13 ft,2,5-7,,
9:32.0,,,5-9,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Russell)
9:13.0,R. Bullock misses 2-pt shot from 13 ft (block by A. Crabbe),,5-9,,
9:07.0,Offensive rebound by A. Drummond,,5-9,,
9:07.0,A. Drummond makes 2-pt shot at rim,2,7-9,,
8:54.0,,,7-11,2,R. Hollis-Jefferson makes 2-pt shot from 14 ft
8:36.0,R. Jackson misses 2-pt shot from 8 ft,,7-11,,
8:33.0,Offensive rebound by A. Drummond,,7-11,,
8:31.0,R. Jackson makes 2-pt shot from 8 ft (assist by A. Drummond),2,9-11,,
8:16.0,,,9-11,,Turnover by D. Carroll (lost ball; steal by S. Johnson)
8:11.0,R. Bullock makes 2-pt shot from 1 ft (assist by S. Johnson),2,11-11,,
8:01.0,Personal foul by R. Jackson (drawn by D. Russell),,11-11,,
7:55.0,,,11-13,2,J. Allen makes 2-pt shot from 1 ft (assist by D. Russell)
7:36.0,A. Tolliver makes 2-pt shot from 2 ft (assist by R. Jackson),2,13-13,,
7:24.0,Jump ball: D. Russell vs. S. Johnson (A. Drummond gains possession),,,,Jump ball: D. Russell vs. S. Johnson (A. Drummond gains possession)
7:24.0,,,13-13,,Turnover by D. Russell (turnover; steal by S. Johnson)
7:09.0,R. Bullock misses 2-pt shot from 6 ft,,13-13,,
7:09.0,Offensive rebound by A. Drummond,,13-13,,
7:09.0,Shooting foul by D. Carroll (drawn by A. Drummond),,13-13,,
7:09.0,A. Drummond makes free throw 1 of 2,1,14-13,,
7:09.0,A. Drummond makes free throw 2 of 2,1,15-13,,
6:56.0,,,15-13,,R. Hollis-Jefferson misses 3-pt shot from 22 ft
6:53.0,Defensive rebound by A. Tolliver,,15-13,,
6:50.0,R. Jackson misses 2-pt shot from 16 ft,,15-13,,
6:45.0,,,15-13,,Defensive rebound by J. Allen
6:41.0,,,15-13,,D. Russell misses 3-pt shot from 27 ft
6:38.0,,,15-13,,Offensive rebound by D. Carroll
6:36.0,,,15-13,,D. Carroll misses 2-pt shot from 5 ft
6:34.0,Defensive rebound by R. Bullock,,15-13,,
6:31.0,S. Johnson makes 2-pt shot from 2 ft,2,17-13,,
6:31.0,Shooting foul by J. Allen (drawn by S. Johnson),,17-13,,
6:31.0,S. Johnson makes free throw 1 of 1,1,18-13,,
6:16.0,,,18-15,2,A. Crabbe makes 2-pt shot from 10 ft (assist by D. Carroll)
5:56.0,A. Drummond misses 2-pt shot from 3 ft,,18-15,,
5:53.0,Offensive rebound by A. Drummond,,18-15,,
5:53.0,A. Drummond misses 2-pt shot at rim,,18-15,,
