time,Minnesota,pts.away,score,pts.home,Oklahoma City
1:31.0,G. Dieng makes 2-pt shot from 1 ft (assist by J. Teague),2,33-39,,
1:14.0,,,33-42,3,J. Huestis makes 3-pt shot from 26 ft (assist by R. Westbrook)
0:58.0,A. Wiggins misses 3-pt shot from 26 ft,,33-42,,
0:55.0,,,33-42,,Defensive rebound by P. Patterson
0:46.0,,,33-42,,J. Huestis misses 2-pt shot at rim (block by A. Wiggins)
0:43.0,Defensive rebound by J. Teague,,33-42,,
0:38.0,T. Gibson misses 2-pt shot from 2 ft (block by J. Grant),,33-42,,
0:36.0,,,33-42,,Defensive rebound by J. Grant
0:32.0,,,33-42,,T. Ferguson misses 2-pt shot at rim (block by J. Butler)
0:32.0,,,33-42,,Offensive rebound by J. Huestis
0:18.0,,,33-42,,J. Huestis misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by A. Wiggins,,33-42,,
0:06.0,,,33-42,,Personal take foul by J. Huestis (drawn by A. Wiggins)
0:06.0,,,33-42,,A. Roberson enters the game for R. Westbrook
0:06.0,J. Crawford enters the game for J. Teague,,33-42,,
0:06.0,T. Jones enters the game for T. Gibson,,33-42,,
0:01.0,Turnover by J. Butler (lost ball; steal by A. Roberson),,33-42,,
0:00.0,,,33-42,,A. Roberson misses 3-pt shot from 34 ft
0:00.0,,,33-42,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by T. Jones (bad pass; steal by S. Adams),,33-42,,
11:39.0,,,33-44,2,S. Adams makes 2-pt shot at rim
11:16.0,J. Butler misses 2-pt shot from 4 ft,,33-44,,
11:15.0,,,33-44,,Defensive rebound by S. Adams
11:08.0,,,33-46,2,A. Roberson makes 2-pt shot at rim (assist by P. George)
10:49.0,J. Butler misses 2-pt shot from 16 ft,,33-46,,
10:45.0,,,33-46,,Defensive rebound by R. Felton
10:37.0,,,33-48,2,S. Adams makes 2-pt shot from 1 ft (assist by P. George)
10:27.0,Minnesota full timeout,,33-48,,
10:27.0,S. Muhammad enters the game for J. Butler,,33-48,,
10:12.0,Turnover by G. Dieng (out of bounds lost ball),,33-48,,
10:03.0,,,33-50,2,S. Adams makes 2-pt shot at rim (assist by P. George)
9:38.0,S. Muhammad misses 2-pt shot from 1 ft,,33-50,,
9:34.0,,,33-50,,Defensive rebound by P. George
9:30.0,Personal foul by J. Crawford (drawn by P. George),,33-50,,
9:30.0,K. Towns enters the game for A. Wiggins,,33-50,,
9:17.0,,,33-52,2,R. Felton makes 2-pt shot from 16 ft (assist by P. George)
8:53.0,K. Towns misses 2-pt shot from 18 ft,,33-52,,
8:52.0,,,33-52,,Defensive rebound by P. Patterson
8:41.0,,,33-52,,Offensive foul by A. Roberson (drawn by T. Jones)
8:41.0,,,33-52,,Turnover by A. Roberson (offensive foul)
8:30.0,T. Jones misses 2-pt shot from 8 ft,,33-52,,
8:28.0,,,33-52,,Defensive rebound by P. Patterson
8:15.0,Personal foul by K. Towns (drawn by P. George),,33-52,,
8:02.0,,,33-52,,R. Felton misses 2-pt shot from 21 ft
7:59.0,,,33-52,,Offensive rebound by A. Roberson
7:52.0,Violation by G. Dieng (kicked ball),,33-52,,
7:42.0,,,33-52,,P. George misses 2-pt shot from 16 ft
7:40.0,Defensive rebound by K. Towns,,33-52,,
7:31.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Crawford),2,35-52,,
7:09.0,,,35-52,,Loose ball foul by S. Adams (drawn by G. Dieng)
7:09.0,,,35-52,,Turnover by S. Adams (turnover)
7:09.0,,,35-52,,R. Westbrook enters the game for R. Felton
7:09.0,,,35-52,,C. Anthony enters the game for P. Patterson
7:09.0,J. Butler enters the game for S. Muhammad,,35-52,,
7:01.0,K. Towns misses 3-pt shot from 26 ft,,35-52,,
6:58.0,,,35-52,,Defensive rebound by R. Westbrook
6:52.0,,,35-54,2,R. Westbrook makes 2-pt shot from 11 ft
6:32.0,J. Crawford misses 2-pt shot from 17 ft,,35-54,,
