time,Chicago,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. R. Lopez (J. Jack gains possession),,,,Jump ball: K. Porzingis vs. R. Lopez (J. Jack gains possession)
11:46.0,,,0-0,,E. Kanter misses 2-pt shot from 18 ft
11:45.0,Defensive rebound by D. Valentine,,0-0,,
11:23.0,R. Lopez misses 2-pt shot from 8 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by L. Thomas
11:14.0,,,0-2,2,K. Porzingis makes 2-pt shot from 9 ft (assist by C. Lee)
10:56.0,L. Markkanen misses 3-pt shot from 26 ft,,0-2,,
10:54.0,,,0-2,,Defensive rebound by J. Jack
10:39.0,,,0-2,,E. Kanter misses 2-pt shot from 1 ft
10:37.0,Defensive rebound by R. Lopez,,0-2,,
10:31.0,D. Valentine makes 2-pt shot from 18 ft,2,2-2,,
10:17.0,,,2-2,,Turnover by J. Jack (bad pass; steal by K. Dunn)
10:11.0,D. Valentine misses 2-pt shot from 1 ft,,2-2,,
10:09.0,,,2-2,,Defensive rebound by E. Kanter
9:54.0,,,2-2,,Turnover by K. Porzingis (lost ball; steal by L. Markkanen)
9:49.0,D. Valentine makes 2-pt shot from 2 ft,2,4-2,,
9:35.0,,,4-4,2,K. Porzingis makes 2-pt shot from 15 ft (assist by C. Lee)
9:19.0,L. Markkanen makes 3-pt shot from 25 ft (assist by K. Dunn),3,7-4,,
9:06.0,,,7-4,,K. Porzingis misses 2-pt shot from 16 ft
9:04.0,Defensive rebound by L. Markkanen,,7-4,,
8:58.0,K. Dunn makes 3-pt shot from 25 ft,3,10-4,,
8:44.0,,,10-6,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
8:33.0,Turnover by K. Dunn (bad pass),,10-6,,
8:16.0,,,10-8,2,K. Porzingis makes 2-pt shot from 9 ft
7:58.0,J. Holiday misses 2-pt shot from 22 ft,,10-8,,
7:56.0,,,10-8,,Defensive rebound by E. Kanter
7:52.0,Personal foul by K. Dunn (drawn by J. Jack),,10-8,,
7:45.0,,,10-8,,Turnover by K. Porzingis (lost ball; steal by K. Dunn)
7:45.0,,,10-8,,Personal foul by J. Jack (drawn by K. Dunn)
7:38.0,K. Dunn makes 2-pt shot from 1 ft,2,12-8,,
7:28.0,,,12-10,2,J. Jack makes 2-pt shot from 23 ft
7:14.0,R. Lopez makes 2-pt shot from 2 ft (assist by D. Valentine),2,14-10,,
6:55.0,,,14-10,,K. Porzingis misses 2-pt shot from 14 ft
6:52.0,Defensive rebound by D. Valentine,,14-10,,
6:48.0,D. Valentine misses 3-pt shot from 25 ft,,14-10,,
6:46.0,,,14-10,,Defensive rebound by L. Thomas
6:36.0,,,14-10,,Turnover by J. Jack (bad pass; steal by K. Dunn)
6:28.0,L. Markkanen makes 3-pt shot from 22 ft (assist by K. Dunn),3,17-10,,
6:20.0,,,17-10,,New York full timeout
6:10.0,,,17-12,2,K. Porzingis makes 2-pt shot at rim (assist by J. Jack)
5:47.0,L. Markkanen makes 2-pt shot from 14 ft,2,19-12,,
5:31.0,,,19-15,3,C. Lee makes 3-pt shot from 26 ft (assist by L. Thomas)
5:19.0,J. Holiday misses 2-pt shot at rim,,19-15,,
5:18.0,J. Holiday misses 2-pt shot at rim,,19-15,,
5:18.0,Offensive rebound by J. Holiday,,19-15,,
5:17.0,Offensive rebound by J. Holiday,,19-15,,
5:17.0,J. Holiday makes 2-pt shot at rim,2,21-15,,
4:55.0,,,21-15,,L. Thomas misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by L. Markkanen,,21-15,,
4:48.0,L. Markkanen misses 3-pt shot from 25 ft,,21-15,,
4:46.0,,,21-15,,Defensive rebound by E. Kanter
4:35.0,,,21-15,,J. Jack misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by D. Valentine,,21-15,,
4:28.0,Offensive foul by R. Lopez (drawn by L. Thomas),,21-15,,
4:28.0,Turnover by R. Lopez (offensive foul),,21-15,,
4:28.0,,,21-15,,D. McDermott enters the game for L. Thomas
4:28.0,,,21-15,,F. Ntilikina enters the game for J. Jack
4:28.0,D. Nwaba enters the game for D. Valentine,,21-15,,
4:12.0,,,21-17,2,K. Porzingis makes 2-pt shot from 17 ft (assist by E. Kanter)
3:55.0,,,21-17,,Personal foul by F. Ntilikina (drawn by K. Dunn)
3:55.0,Turnover by D. Nwaba (bad pass),,21-17,,
3:37.0,,,21-17,,K. Porzingis misses 3-pt shot from 22 ft
3:35.0,Defensive rebound by J. Holiday,,21-17,,
3:28.0,K. Dunn misses 2-pt shot from 20 ft,,21-17,,
3:26.0,,,21-17,,Defensive rebound by K. Porzingis
3:17.0,,,21-17,,K. Porzingis misses 2-pt shot from 13 ft
3:15.0,Defensive rebound by J. Holiday,,21-17,,
3:06.0,L. Markkanen makes 3-pt shot from 25 ft (assist by K. Dunn),3,24-17,,
2:46.0,,,24-19,2,D. McDermott makes 2-pt shot from 6 ft
2:33.0,K. Dunn misses 2-pt shot from 2 ft,,24-19,,
2:31.0,,,24-19,,Defensive rebound by E. Kanter
2:26.0,,,24-19,,K. Porzingis misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by J. Holiday,,24-19,,
2:17.0,L. Markkanen misses 2-pt shot from 7 ft,,24-19,,
2:15.0,,,24-19,,Defensive rebound by E. Kanter
2:04.0,,,24-22,3,C. Lee makes 3-pt shot from 23 ft (assist by D. McDermott)
2:04.0,Chicago full timeout,,24-22,,
2:04.0,,,24-22,,M. Beasley enters the game for K. Porzingis
2:04.0,B. Portis enters the game for L. Markkanen,,24-22,,
1:50.0,K. Dunn misses 2-pt shot from 15 ft,,24-22,,
1:48.0,,,24-22,,Defensive rebound by M. Beasley
1:36.0,,,24-22,,Turnover by F. Ntilikina (bad pass; steal by B. Portis)
1:32.0,B. Portis makes 2-pt shot at rim,2,26-22,,
1:14.0,,,26-24,2,E. Kanter makes 2-pt shot from 5 ft
0:57.0,B. Portis misses 2-pt shot from 19 ft,,26-24,,
0:55.0,,,26-24,,Defensive rebound by C. Lee
0:41.0,,,26-24,,Shooting foul by B. Portis (drawn by M. Beasley)
0:41.0,J. Grant enters the game for K. Dunn,,26-24,,
0:41.0,,,26-24,,M. Beasley misses free throw 1 of 2
0:41.0,,,26-24,,Offensive rebound by Team
0:41.0,,,26-25,1,M. Beasley makes free throw 2 of 2
0:29.0,Turnover by R. Lopez (traveling),,26-25,,
0:07.0,,,26-25,,C. Lee misses 2-pt shot from 15 ft
0:05.0,Defensive rebound by J. Grant,,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Grant makes 2-pt shot from 20 ft,2,28-25,,
11:18.0,,,28-28,3,M. Beasley makes 3-pt shot from 25 ft
11:03.0,Turnover by J. Grant (bad pass),,28-28,,
10:46.0,,,28-28,,Shooting foul by B. Portis (drawn by M. Beasley)
10:46.0,,,28-29,1,M. Beasley makes free throw 1 of 2
10:46.0,,,28-30,1,M. Beasley makes free throw 2 of 2
10:34.0,D. Nwaba makes 2-pt shot from 6 ft (assist by J. Grant),2,30-30,,
10:08.0,,,30-30,,Turnover by F. Ntilikina (traveling)
9:59.0,D. Nwaba misses 2-pt shot from 2 ft,,30-30,,
9:57.0,,,30-30,,Defensive rebound by M. Beasley
9:52.0,,,30-30,,New York full timeout
9:39.0,,,30-30,,Shooting foul by P. Zipser (drawn by D. McDermott)
9:39.0,,,30-30,,D. McDermott misses free throw 1 of 2
9:39.0,,,30-30,,Offensive rebound by Team
9:39.0,,,30-31,1,D. McDermott makes free throw 2 of 2
9:22.0,B. Portis misses 3-pt shot from 25 ft,,30-31,,
9:20.0,,,30-31,,Defensive rebound by Team
9:03.0,,,30-33,2,R. Baker makes 2-pt shot at rim
8:56.0,,,30-33,,Personal foul by F. Ntilikina (drawn by J. Grant)
8:40.0,B. Portis misses 2-pt shot from 3 ft,,30-33,,
