time,Atlanta,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. D. Dedmon (D. Schroder gains possession),,,,Jump ball: T. Maker vs. D. Dedmon (D. Schroder gains possession)
11:44.0,E. Ilyasova misses 3-pt shot from 25 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by E. Bledsoe
11:31.0,,,0-0,,Turnover by K. Middleton (bad pass)
11:14.0,K. Bazemore makes 2-pt shot from 21 ft (assist by D. Schroder),2,2-0,,
11:01.0,,,2-3,3,T. Snell makes 3-pt shot from 25 ft (assist by E. Bledsoe)
10:43.0,Turnover by T. Waller-Prince (bad pass),,2-3,,
10:27.0,,,2-3,,G. Antetokounmpo misses 2-pt shot from 14 ft
10:25.0,Defensive rebound by D. Dedmon,,2-3,,
10:12.0,D. Schroder makes 2-pt shot from 16 ft (assist by K. Bazemore),2,4-3,,
9:51.0,,,4-3,,E. Bledsoe misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by D. Dedmon,,4-3,,
9:37.0,D. Schroder makes 3-pt shot from 24 ft (assist by K. Bazemore),3,7-3,,
9:27.0,,,7-3,,E. Bledsoe misses 2-pt shot from 16 ft
9:25.0,Defensive rebound by T. Waller-Prince,,7-3,,
9:22.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder),2,9-3,,
9:03.0,,,9-3,,K. Middleton misses 2-pt shot from 8 ft
9:00.0,Defensive rebound by D. Dedmon,,9-3,,
8:49.0,E. Ilyasova misses 2-pt shot from 2 ft,,9-3,,
8:44.0,Offensive rebound by E. Ilyasova,,9-3,,
8:44.0,E. Ilyasova misses 2-pt shot at rim,,9-3,,
8:44.0,,,9-3,,Defensive rebound by K. Middleton
8:31.0,,,9-5,2,K. Middleton makes 2-pt shot from 13 ft
8:13.0,Shooting foul by G. Antetokounmpo (drawn by E. Ilyasova),,9-5,,
8:13.0,E. Ilyasova misses free throw 1 of 2,,9-5,,
8:13.0,Offensive rebound by Team,,9-5,,
8:13.0,E. Ilyasova makes free throw 2 of 2,1,10-5,,
7:58.0,,,10-5,,Turnover by E. Bledsoe (bad pass)
7:36.0,T. Waller-Prince misses 2-pt shot from 1 ft,,10-5,,
7:34.0,,,10-5,,Defensive rebound by T. Maker
7:25.0,,,10-5,,K. Middleton misses 3-pt shot from 22 ft
7:23.0,,,10-5,,Offensive rebound by G. Antetokounmpo
7:20.0,,,10-5,,E. Bledsoe misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by D. Dedmon,,10-5,,
7:07.0,Turnover by D. Schroder (lost ball; steal by K. Middleton),,10-5,,
7:04.0,,,10-5,,Shooting foul by K. Bazemore (drawn by K. Middleton)
7:04.0,,,10-6,1,K. Middleton makes free throw 1 of 2
7:04.0,T. Dorsey enters the game for T. Waller-Prince,,10-6,,
7:04.0,,,10-7,1,K. Middleton makes free throw 2 of 2
6:45.0,K. Bazemore misses 2-pt shot from 12 ft,,10-7,,
6:45.0,,,10-7,,Defensive rebound by Team
6:45.0,,,10-7,,Milwaukee full timeout
6:28.0,,,10-7,,G. Antetokounmpo misses 2-pt shot from 6 ft
6:20.0,Defensive rebound by T. Dorsey,,10-7,,
6:03.0,D. Dedmon misses 2-pt shot from 14 ft,,10-7,,
6:00.0,,,10-7,,Defensive rebound by G. Antetokounmpo
5:52.0,,,10-7,,T. Snell misses 2-pt shot from 5 ft
5:50.0,Defensive rebound by K. Bazemore,,10-7,,
