time,Denver,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Jokic (T. Harris gains possession),,,,Jump ball: D. Jordan vs. N. Jokic (T. Harris gains possession)
11:44.0,,,0-0,,W. Johnson misses 3-pt shot from 22 ft
11:39.0,Defensive rebound by J. Murray,,0-0,,
11:37.0,,,0-0,,Personal foul by A. Rivers (drawn by J. Murray)
11:29.0,P. Millsap misses 3-pt shot from 24 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by Team
11:16.0,,,0-2,2,T. Wallace makes 2-pt shot from 4 ft (assist by T. Harris)
11:16.0,Violation by P. Millsap (def goaltending),,0-2,,
10:54.0,W. Barton makes 2-pt shot from 1 ft (assist by J. Murray),2,2-2,,
10:40.0,,,2-2,,T. Harris misses 2-pt shot from 19 ft
10:40.0,Defensive rebound by Team,,2-2,,
10:40.0,,,2-2,,Loose ball foul by D. Jordan (drawn by P. Millsap)
10:27.0,Turnover by P. Millsap (lost ball; steal by T. Harris),,2-2,,
10:22.0,,,2-4,2,T. Wallace makes 2-pt shot from 1 ft (assist by T. Harris)
10:06.0,J. Murray makes 2-pt shot from 6 ft (assist by N. Jokic),2,4-4,,
9:50.0,,,4-4,,T. Harris misses 3-pt shot from 24 ft
9:46.0,,,4-4,,Offensive rebound by D. Jordan
9:44.0,,,4-7,3,T. Harris makes 3-pt shot from 22 ft (assist by A. Rivers)
9:26.0,J. Murray makes 2-pt shot from 20 ft (assist by P. Millsap),2,6-7,,
9:09.0,,,6-9,2,W. Johnson makes 2-pt shot from 19 ft
8:48.0,N. Jokic makes 3-pt shot from 23 ft (assist by P. Millsap),3,9-9,,
8:24.0,,,9-9,,A. Rivers misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by Team,,9-9,,
8:12.0,,,9-9,,Personal foul by W. Johnson (drawn by J. Murray)
8:06.0,J. Murray makes 2-pt shot from 12 ft,2,11-9,,
7:41.0,,,11-9,,T. Harris misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by W. Chandler,,11-9,,
7:33.0,P. Millsap makes 2-pt shot from 7 ft (assist by W. Chandler),2,13-9,,
7:14.0,Personal foul by P. Millsap (drawn by D. Jordan),,13-9,,
7:00.0,,,13-9,,A. Rivers misses 2-pt shot from 5 ft
6:58.0,Defensive rebound by N. Jokic,,13-9,,
6:40.0,W. Chandler misses 3-pt shot from 23 ft,,13-9,,
6:34.0,,,13-9,,Defensive rebound by T. Harris
6:30.0,,,13-11,2,W. Johnson makes 2-pt shot from 1 ft (assist by T. Harris)
6:13.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,15-11,,
5:56.0,,,15-11,,T. Harris misses 2-pt shot from 21 ft
5:46.0,,,15-11,,Offensive rebound by D. Jordan
5:46.0,,,15-13,2,D. Jordan makes 2-pt shot at rim
5:42.0,N. Jokic makes 2-pt shot from 15 ft (assist by J. Murray),2,17-13,,
5:23.0,,,17-13,,T. Harris misses 2-pt shot from 16 ft
5:20.0,Defensive rebound by W. Chandler,,17-13,,
5:12.0,W. Barton makes 2-pt shot from 12 ft,2,19-13,,
5:10.0,,,19-13,,LA Clippers full timeout
