time,Dallas,pts.away,score,pts.home,Indiana
11:24.0,Defensive rebound by D. Harris,,22-29,,
11:17.0,Shooting foul by A. Poythress (drawn by D. Powell),,22-29,,
11:17.0,D. Powell makes free throw 1 of 2,1,23-29,,
11:17.0,D. Powell makes free throw 2 of 2,1,24-29,,
10:58.0,,,24-29,,B. Bogdanovic misses 2-pt shot from 4 ft (block by D. Harris)
10:54.0,Defensive rebound by D. Nowitzki,,24-29,,
10:52.0,Y. Ferrell makes 2-pt shot from 2 ft (assist by D. Harris),2,26-29,,
10:38.0,,,26-29,,B. Bogdanovic misses 2-pt shot from 19 ft
10:36.0,,,26-29,,Offensive rebound by A. Poythress
10:29.0,,,26-29,,Offensive foul by A. Poythress (drawn by D. Harris)
10:29.0,,,26-29,,Turnover by A. Poythress (offensive foul)
10:17.0,D. Powell makes 2-pt shot at rim (assist by D. Nowitzki),2,28-29,,
10:10.0,,,28-29,,Indiana full timeout
10:10.0,,,28-29,,T. Young enters the game for A. Poythress
9:59.0,,,28-31,2,T. Young makes 2-pt shot from 17 ft (assist by C. Joseph)
9:43.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris),2,30-31,,
9:32.0,,,30-34,3,J. Young makes 3-pt shot from 28 ft (assist by D. Sabonis)
9:05.0,Y. Ferrell makes 2-pt shot from 14 ft,2,32-34,,
8:52.0,,,32-34,,T. Young misses 3-pt shot from 28 ft
8:51.0,,,32-34,,Offensive rebound by Team
8:51.0,Loose ball foul by D. Powell (drawn by D. Sabonis),,32-34,,
8:51.0,W. Matthews enters the game for D. Harris,,32-34,,
8:43.0,,,32-36,2,C. Joseph makes 2-pt shot from 1 ft
8:27.0,D. Nowitzki makes 2-pt shot from 1 ft,2,34-36,,
8:10.0,,,34-38,2,T. Young makes 2-pt shot from 4 ft
8:02.0,,,34-38,,Personal foul by T. Young (drawn by J. Barea)
8:02.0,D. Smith enters the game for Y. Ferrell,,34-38,,
7:56.0,D. Nowitzki misses 3-pt shot from 25 ft,,34-38,,
7:53.0,,,34-38,,Defensive rebound by D. Sabonis
7:43.0,,,34-38,,Turnover by C. Joseph (bad pass; steal by D. Powell)
7:41.0,D. Smith makes 2-pt shot from 1 ft (assist by J. Barea),2,36-38,,
7:24.0,,,36-38,,Offensive charge foul by D. Sabonis (drawn by D. Powell)
7:24.0,,,36-38,,Turnover by D. Sabonis (offensive foul)
7:24.0,,,36-38,,D. Collison enters the game for J. Young
7:24.0,H. Barnes enters the game for D. Powell,,36-38,,
7:24.0,S. Mejri enters the game for D. Nowitzki,,36-38,,
7:10.0,J. Barea misses 3-pt shot from 28 ft,,36-38,,
7:07.0,,,36-38,,Defensive rebound by D. Sabonis
6:53.0,,,36-41,3,D. Collison makes 3-pt shot from 22 ft (assist by C. Joseph)
6:49.0,Dallas full timeout,,36-41,,
6:35.0,W. Matthews misses 3-pt shot from 27 ft,,36-41,,
6:32.0,,,36-41,,Defensive rebound by D. Collison
6:16.0,,,36-41,,D. Collison misses 2-pt shot from 17 ft
6:12.0,Defensive rebound by S. Mejri,,36-41,,
6:01.0,D. Smith makes 3-pt shot from 25 ft (assist by J. Barea),3,39-41,,
5:42.0,,,39-41,,Turnover by B. Bogdanovic (lost ball; steal by W. Matthews)
5:42.0,,,39-41,,Personal foul by B. Bogdanovic (drawn by W. Matthews)
5:42.0,,,39-41,,L. Stephenson enters the game for D. Sabonis
5:42.0,,,39-41,,M. Turner enters the game for B. Bogdanovic
5:24.0,S. Mejri misses 2-pt shot from 1 ft (block by C. Joseph),,39-41,,
5:21.0,Offensive rebound by S. Mejri,,39-41,,
5:21.0,S. Mejri makes 2-pt shot from 1 ft,2,41-41,,
5:09.0,D. Harris enters the game for J. Barea,,41-41,,
5:00.0,,,41-43,2,C. Joseph makes 2-pt shot from 7 ft (assist by T. Young)
4:47.0,Turnover by D. Smith (lost ball; steal by T. Young),,41-43,,
4:47.0,Personal foul by D. Smith (drawn by T. Young),,41-43,,
4:31.0,,,41-43,,T. Young misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by S. Mejri,,41-43,,
4:22.0,D. Smith misses 3-pt shot from 26 ft,,41-43,,
4:19.0,,,41-43,,Defensive rebound by L. Stephenson
4:12.0,,,41-45,2,T. Young makes 2-pt shot at rim (assist by D. Collison)
3:53.0,W. Matthews makes 2-pt shot from 1 ft (assist by S. Mejri),2,43-45,,
3:53.0,Shooting foul by L. Stephenson (drawn by W. Matthews),,43-45,,
3:53.0,W. Matthews makes free throw 1 of 1,1,44-45,,
3:41.0,,,44-47,2,C. Joseph makes 2-pt shot from 13 ft
3:23.0,D. Harris makes 3-pt shot from 23 ft (assist by H. Barnes),3,47-47,,
3:02.0,,,47-49,2,L. Stephenson makes 2-pt shot at rim (assist by D. Collison)
2:45.0,W. Matthews makes 3-pt shot from 26 ft (assist by S. Mejri),3,50-49,,
2:29.0,,,50-51,2,D. Collison makes 2-pt shot at rim (assist by L. Stephenson)
2:29.0,,,50-51,,Shooting foul by S. Mejri (drawn by D. Collison)
2:29.0,,,50-51,,B. Bogdanovic enters the game for T. Young
2:29.0,,,50-52,1,D. Collison makes free throw 1 of 1
2:10.0,S. Mejri makes 2-pt shot from 1 ft (assist by D. Smith),2,52-52,,
1:54.0,,,52-52,,C. Joseph misses 3-pt shot from 27 ft
1:48.0,,,52-52,,Offensive rebound by M. Turner
1:48.0,,,52-52,,Turnover by M. Turner (bad pass; steal by D. Smith)
1:26.0,D. Harris misses 3-pt shot from 28 ft,,52-52,,
1:23.0,,,52-52,,Defensive rebound by B. Bogdanovic
1:15.0,,,52-54,2,M. Turner makes 2-pt shot at rim (assist by B. Bogdanovic)
0:58.0,Shooting foul by C. Joseph (drawn by S. Mejri),,52-54,,
0:58.0,S. Mejri makes free throw 1 of 2,1,53-54,,
0:58.0,,,53-54,,T. Young enters the game for L. Stephenson
0:58.0,Y. Ferrell enters the game for D. Smith,,53-54,,
0:58.0,S. Mejri misses free throw 2 of 2,,53-54,,
0:56.0,,,53-54,,Defensive rebound by M. Turner
0:41.0,,,53-54,,B. Bogdanovic misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by D. Harris,,53-54,,
0:28.0,Y. Ferrell misses 3-pt shot from 27 ft,,53-54,,
0:25.0,Offensive rebound by S. Mejri,,53-54,,
0:05.0,H. Barnes misses 2-pt shot from 12 ft,,53-54,,
0:02.0,,,53-54,,Defensive rebound by Team
0:02.0,,,53-54,,Turnover by T. Young (bad pass; steal by S. Mejri)
0:00.0,H. Barnes misses 3-pt shot from 45 ft,,53-54,,
0:00.0,Offensive rebound by Team,,53-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,53-54,,B. Bogdanovic misses 2-pt shot from 6 ft
11:43.0,Defensive rebound by M. Kleber,,53-54,,
11:26.0,Turnover by W. Matthews (bad pass; steal by M. Turner),,53-54,,
11:14.0,,,53-54,,T. Young misses 2-pt shot from 2 ft (block by D. Nowitzki)
11:10.0,Defensive rebound by D. Nowitzki,,53-54,,
11:05.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by M. Kleber),3,56-54,,
10:47.0,,,56-54,,D. Collison misses 3-pt shot from 26 ft
10:44.0,Defensive rebound by W. Matthews,,56-54,,
10:27.0,H. Barnes misses 3-pt shot from 26 ft,,56-54,,
10:23.0,,,56-54,,Defensive rebound by L. Stephenson
10:16.0,,,56-54,,L. Stephenson misses 2-pt shot from 19 ft
10:13.0,Defensive rebound by D. Nowitzki,,56-54,,
10:01.0,H. Barnes makes 2-pt shot from 3 ft (assist by W. Matthews),2,58-54,,
9:46.0,,,58-54,,Shooting foul by D. Smith (drawn by D. Collison)
9:46.0,,,58-55,1,D. Collison makes free throw 1 of 2
9:46.0,,,58-56,1,D. Collison makes free throw 2 of 2
9:24.0,Shooting foul by L. Stephenson (drawn by H. Barnes),,58-56,,
9:24.0,H. Barnes makes free throw 1 of 2,1,59-56,,
9:24.0,H. Barnes misses free throw 2 of 2,,59-56,,
9:22.0,,,59-56,,Defensive rebound by M. Turner
9:10.0,,,59-56,,T. Young misses 2-pt shot from 19 ft
