time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. C. Capela (D. Nowitzki gains possession),,,,Jump ball: M. Kleber vs. C. Capela (D. Nowitzki gains possession)
11:46.0,,,0-3,3,W. Matthews makes 3-pt shot from 25 ft (assist by M. Kleber)
11:27.0,,,0-3,,Personal foul by M. Kleber (drawn by J. Harden)
11:19.0,J. Harden makes 3-pt shot from 25 ft,3,3-3,,
10:59.0,,,3-3,,H. Barnes misses 2-pt shot from 6 ft
10:57.0,Defensive rebound by R. Anderson,,3-3,,
10:44.0,C. Paul makes 3-pt shot from 23 ft (assist by J. Harden),3,6-3,,
10:35.0,,,6-3,,Turnover by D. Smith (bad pass; steal by T. Ariza)
10:33.0,T. Ariza makes 2-pt shot from 1 ft,2,8-3,,
10:33.0,,,8-3,,Dallas full timeout
10:21.0,,,8-3,,Turnover by H. Barnes (turnover)
10:09.0,C. Capela makes 2-pt shot at rim (assist by T. Ariza),2,10-3,,
9:48.0,,,10-3,,D. Smith misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by R. Anderson,,10-3,,
9:29.0,Shooting foul by W. Matthews (drawn by R. Anderson),,10-3,,
9:29.0,R. Anderson misses free throw 1 of 2,,10-3,,
9:29.0,Offensive rebound by Team,,10-3,,
9:29.0,,,10-3,,Y. Ferrell enters the game for M. Kleber
9:29.0,R. Anderson makes free throw 2 of 2,1,11-3,,
9:17.0,,,11-5,2,H. Barnes makes 2-pt shot from 3 ft (assist by Y. Ferrell)
9:00.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,14-5,,
8:36.0,,,14-7,2,H. Barnes makes 2-pt shot from 6 ft (assist by D. Nowitzki)
8:23.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,17-7,,
8:07.0,,,17-7,,W. Matthews misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by R. Anderson,,17-7,,
7:59.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,20-7,,
7:37.0,,,20-10,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by W. Matthews)
7:18.0,C. Paul makes 3-pt shot from 25 ft,3,23-10,,
6:57.0,,,23-10,,Shooting foul by C. Paul (drawn by D. Nowitzki)
6:57.0,,,23-10,,D. Nowitzki misses free throw 1 of 2
6:57.0,,,23-10,,Offensive rebound by Team
6:57.0,E. Gordon enters the game for C. Paul,,23-10,,
6:57.0,,,23-11,1,D. Nowitzki makes free throw 2 of 2
6:48.0,R. Anderson misses 3-pt shot from 27 ft,,23-11,,
6:44.0,,,23-11,,Defensive rebound by Y. Ferrell
6:31.0,,,23-11,,Turnover by W. Matthews (traveling)
6:31.0,,,23-11,,S. Mejri enters the game for D. Nowitzki
6:21.0,E. Gordon misses 2-pt shot from 4 ft,,23-11,,
6:18.0,,,23-11,,Defensive rebound by S. Mejri
6:12.0,,,23-11,,D. Smith misses 2-pt shot from 2 ft
6:10.0,,,23-11,,Offensive rebound by S. Mejri
6:09.0,,,23-11,,S. Mejri misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by Team,,23-11,,
6:08.0,P. Tucker enters the game for R. Anderson,,23-11,,
5:53.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,25-11,,
5:53.0,Shooting foul by S. Mejri (drawn by C. Capela),,25-11,,
5:53.0,C. Capela makes free throw 1 of 1,1,26-11,,
5:34.0,,,26-11,,D. Smith misses 2-pt shot from 22 ft
5:29.0,,,26-11,,Offensive rebound by S. Mejri
5:28.0,,,26-13,2,S. Mejri makes 2-pt shot from 4 ft
5:10.0,J. Harden misses 3-pt shot from 28 ft,,26-13,,
5:08.0,,,26-13,,Defensive rebound by H. Barnes
5:05.0,,,26-15,2,D. Smith makes 2-pt shot from 2 ft
5:05.0,Personal block foul by P. Tucker (drawn by D. Smith),,26-15,,
5:05.0,T. Black enters the game for C. Capela,,26-15,,
5:05.0,,,26-16,1,D. Smith makes free throw 1 of 1
4:47.0,T. Ariza makes 3-pt shot from 23 ft (assist by E. Gordon),3,29-16,,
4:32.0,L. Mbah a Moute enters the game for T. Ariza,,29-16,,
4:25.0,,,29-16,,Shooting foul by E. Gordon (drawn by D. Smith)
4:25.0,,,29-17,1,D. Smith makes free throw 1 of 2
4:25.0,,,29-17,,D. Smith misses free throw 2 of 2
4:23.0,Defensive rebound by J. Harden,,29-17,,
4:14.0,T. Black misses 2-pt shot from 2 ft (block by W. Matthews),,29-17,,
4:12.0,,,29-17,,Defensive rebound by W. Matthews
4:09.0,,,29-17,,Y. Ferrell misses 3-pt shot from 25 ft
4:09.0,,,29-17,,Offensive rebound by S. Mejri
3:59.0,,,29-19,2,W. Matthews makes 2-pt shot from 2 ft (assist by H. Barnes)
3:47.0,J. Harden makes 3-pt shot from 24 ft,3,32-19,,
3:33.0,,,32-19,,Shooting foul by T. Black (drawn by D. Smith)
3:33.0,,,32-20,1,D. Smith makes free throw 1 of 2
3:33.0,,,32-21,1,D. Smith makes free throw 2 of 2
3:23.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,32-21,,
3:18.0,,,32-21,,Defensive rebound by Y. Ferrell
3:10.0,,,32-21,,Turnover by Y. Ferrell (bad pass; steal by J. Harden)
3:03.0,J. Harden makes 3-pt shot from 25 ft,3,35-21,,
3:00.0,,,35-21,,Dallas full timeout
3:00.0,,,35-21,,J. Barea enters the game for D. Smith
3:00.0,C. Paul enters the game for J. Harden,,35-21,,
2:42.0,,,35-23,2,W. Matthews makes 2-pt shot from 11 ft
2:23.0,E. Gordon misses 2-pt shot from 3 ft,,35-23,,
2:22.0,,,35-23,,Defensive rebound by S. Mejri
2:04.0,,,35-26,3,W. Matthews makes 3-pt shot from 29 ft (assist by S. Mejri)
1:40.0,C. Paul misses 2-pt shot from 19 ft,,35-26,,
1:38.0,,,35-26,,Defensive rebound by J. Barea
1:23.0,,,35-26,,J. Barea misses 2-pt shot from 18 ft
1:19.0,Defensive rebound by P. Tucker,,35-26,,
1:12.0,C. Paul misses 2-pt shot from 8 ft,,35-26,,
1:10.0,,,35-26,,Defensive rebound by S. Mejri
0:51.0,,,35-28,2,H. Barnes makes 2-pt shot from 19 ft (assist by J. Barea)
0:35.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,35-28,,
0:31.0,,,35-28,,Defensive rebound by Y. Ferrell
0:24.0,,,35-28,,Y. Ferrell misses 2-pt shot from 1 ft
0:22.0,Defensive rebound by P. Tucker,,35-28,,
0:01.0,C. Paul makes 3-pt shot from 27 ft,3,38-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,C. Paul misses 2-pt shot from 17 ft,,38-28,,
11:33.0,,,38-28,,Defensive rebound by K. Collinsworth
11:13.0,,,38-28,,D. Powell misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by C. Paul,,38-28,,
10:53.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,38-28,,
10:49.0,,,38-28,,Defensive rebound by J. Barea
10:42.0,,,38-28,,D. Nowitzki misses 2-pt shot from 17 ft
10:39.0,Defensive rebound by C. Capela,,38-28,,
10:33.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,38-28,,
10:33.0,Offensive rebound by Team,,38-28,,
10:33.0,R. Anderson enters the game for P. Tucker,,38-28,,
10:33.0,T. Ariza enters the game for E. Gordon,,38-28,,
10:21.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,38-28,,
10:17.0,,,38-28,,Defensive rebound by D. Nowitzki
10:12.0,,,38-31,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by K. Collinsworth)
9:47.0,R. Anderson misses 2-pt shot from 20 ft,,38-31,,
9:45.0,Offensive rebound by C. Capela,,38-31,,
9:43.0,C. Capela misses 2-pt shot at rim,,38-31,,
9:39.0,,,38-31,,Defensive rebound by J. Barea
9:33.0,,,38-31,,Turnover by D. Powell (lost ball; steal by C. Paul)
9:28.0,T. Ariza misses 3-pt shot from 23 ft,,38-31,,
9:28.0,,,38-31,,Defensive rebound by K. Collinsworth
9:21.0,,,38-31,,J. Barea misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by C. Paul,,38-31,,
9:17.0,T. Ariza misses 3-pt shot from 25 ft,,38-31,,
9:15.0,,,38-31,,Defensive rebound by Team
9:15.0,Loose ball foul by C. Capela (drawn by D. Powell),,38-31,,
9:15.0,J. Harden enters the game for L. Mbah a Moute,,38-31,,
8:54.0,,,38-31,,D. Nowitzki misses 2-pt shot from 17 ft
8:51.0,Defensive rebound by C. Capela,,38-31,,
8:37.0,T. Ariza misses 3-pt shot from 26 ft,,38-31,,
8:33.0,,,38-31,,Defensive rebound by D. Nowitzki
8:29.0,,,38-33,2,Y. Ferrell makes 2-pt shot at rim
8:29.0,,,38-33,,Shooting foul by J. Harden (drawn by Y. Ferrell)
8:29.0,,,38-34,1,Y. Ferrell makes free throw 1 of 1
8:15.0,T. Ariza makes 2-pt shot from 3 ft,2,40-34,,
7:59.0,,,40-34,,J. Barea misses 3-pt shot from 26 ft
7:57.0,Defensive rebound by T. Ariza,,40-34,,
