time,Oklahoma City,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. S. Adams (C. Anthony gains possession),,,,Jump ball: D. Jordan vs. S. Adams (C. Anthony gains possession)
11:34.0,Turnover by Team (shot clock),,0-0,,
11:23.0,,,0-3,3,B. Griffin makes 3-pt shot from 24 ft
11:06.0,P. George makes 2-pt shot from 16 ft,2,2-3,,
10:48.0,,,2-5,2,B. Griffin makes 2-pt shot from 6 ft (assist by M. Teodosic)
10:26.0,Oklahoma City full timeout,,2-5,,
10:18.0,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook),2,4-5,,
10:02.0,,,4-5,,B. Griffin misses 2-pt shot from 9 ft
10:00.0,Defensive rebound by R. Westbrook,,4-5,,
9:57.0,T. Ferguson misses 3-pt shot from 23 ft,,4-5,,
9:53.0,,,4-5,,Defensive rebound by D. Jordan
9:44.0,,,4-7,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
9:32.0,Loose ball foul by P. George (drawn by W. Johnson),,4-7,,
9:32.0,Turnover by P. George (turnover),,4-7,,
9:20.0,,,4-9,2,W. Johnson makes 2-pt shot from 1 ft (assist by M. Teodosic)
9:12.0,R. Westbrook misses 2-pt shot from 16 ft,,4-9,,
9:12.0,,,4-9,,Defensive rebound by D. Jordan
8:58.0,,,4-11,2,B. Griffin makes 2-pt shot at rim (assist by D. Jordan)
8:42.0,T. Ferguson misses 3-pt shot from 23 ft,,4-11,,
8:42.0,Offensive rebound by S. Adams,,4-11,,
8:38.0,S. Adams makes 2-pt shot from 1 ft,2,6-11,,
8:19.0,,,6-13,2,M. Teodosic makes 2-pt shot from 19 ft
8:02.0,C. Anthony makes 2-pt shot from 1 ft,2,8-13,,
8:02.0,Shooting foul by C. Williams (drawn by C. Anthony),,8-13,,
8:02.0,C. Anthony makes free throw 1 of 1,1,9-13,,
7:48.0,,,9-13,,Turnover by M. Teodosic (out of bounds lost ball)
7:32.0,T. Ferguson misses 3-pt shot from 24 ft,,9-13,,
7:28.0,Offensive rebound by S. Adams,,9-13,,
7:28.0,Shooting foul by D. Jordan (drawn by R. Westbrook),,9-13,,
7:28.0,R. Westbrook misses free throw 1 of 2,,9-13,,
7:28.0,Offensive rebound by Team,,9-13,,
7:28.0,R. Westbrook makes free throw 2 of 2,1,10-13,,
7:16.0,,,10-13,,W. Johnson misses 2-pt shot from 15 ft
7:15.0,,,10-13,,Offensive rebound by Team
7:15.0,Loose ball foul by C. Anthony (drawn by D. Jordan),,10-13,,
7:07.0,,,10-15,2,D. Jordan makes 2-pt shot at rim (assist by M. Teodosic)
6:46.0,C. Anthony makes 3-pt shot from 23 ft (assist by P. George),3,13-15,,
6:41.0,,,13-15,,Shooting foul by R. Westbrook (drawn by B. Griffin)
6:41.0,,,13-16,1,B. Griffin makes free throw 1 of 2
6:41.0,,,13-16,,J. Evans enters the game for M. Teodosic
6:41.0,,,13-17,1,B. Griffin makes free throw 2 of 2
6:28.0,S. Adams misses 2-pt shot from 2 ft,,13-17,,
6:25.0,,,13-17,,Defensive rebound by D. Jordan
6:21.0,,,13-17,,C. Williams misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by P. George,,13-17,,
6:15.0,R. Westbrook misses 2-pt shot from 14 ft,,13-17,,
6:13.0,,,13-17,,Defensive rebound by Team
5:55.0,,,13-17,,D. Jordan misses 2-pt shot from 1 ft
5:50.0,,,13-17,,Offensive rebound by D. Jordan
5:50.0,,,13-19,2,D. Jordan makes 2-pt shot at rim
5:32.0,C. Anthony makes 2-pt shot from 21 ft,2,15-19,,
5:22.0,,,15-21,2,W. Johnson makes 2-pt shot from 18 ft
5:15.0,R. Westbrook makes 2-pt shot from 1 ft,2,17-21,,
4:46.0,,,17-21,,B. Griffin misses 2-pt shot from 3 ft
4:45.0,,,17-21,,Offensive rebound by B. Griffin
4:42.0,,,17-21,,B. Griffin misses 2-pt shot at rim
4:42.0,,,17-21,,Offensive rebound by Team
4:42.0,,,17-21,,L. Williams enters the game for C. Williams
4:42.0,J. Huestis enters the game for P. George,,17-21,,
4:38.0,,,17-21,,Turnover by L. Williams (step out of bounds)
4:26.0,R. Westbrook misses 2-pt shot from 20 ft,,17-21,,
4:19.0,Offensive rebound by S. Adams,,17-21,,
4:19.0,S. Adams misses 2-pt shot at rim,,17-21,,
4:18.0,,,17-21,,Defensive rebound by L. Williams
4:14.0,,,17-23,2,D. Jordan makes 2-pt shot at rim (assist by W. Johnson)
4:07.0,R. Westbrook misses 2-pt shot from 2 ft (block by W. Johnson),,17-23,,
4:07.0,Offensive rebound by S. Adams,,17-23,,
4:04.0,S. Adams makes 2-pt shot at rim,2,19-23,,
3:59.0,,,19-23,,LA Clippers full timeout
3:59.0,,,19-23,,C. Williams enters the game for W. Johnson
3:59.0,R. Felton enters the game for T. Ferguson,,19-23,,
3:44.0,,,19-23,,B. Griffin misses 3-pt shot from 22 ft
3:39.0,Defensive rebound by R. Westbrook,,19-23,,
3:33.0,R. Westbrook makes 2-pt shot from 4 ft,2,21-23,,
3:29.0,,,21-25,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
3:05.0,C. Anthony makes 2-pt shot from 14 ft,2,23-25,,
3:01.0,Personal foul by C. Anthony (drawn by B. Griffin),,23-25,,
2:52.0,,,23-27,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
2:52.0,,,23-27,,Shooting foul by R. Westbrook (drawn by D. Jordan)
2:52.0,,,23-27,,S. Dekker enters the game for B. Griffin
2:52.0,J. Grant enters the game for C. Anthony,,23-27,,
2:52.0,,,23-27,,D. Jordan misses free throw 1 of 1
2:49.0,Defensive rebound by R. Westbrook,,23-27,,
2:39.0,R. Westbrook misses 2-pt shot from 2 ft,,23-27,,
2:36.0,,,23-27,,Defensive rebound by D. Jordan
2:34.0,,,23-27,,L. Williams misses 3-pt shot from 27 ft
2:28.0,Defensive rebound by R. Westbrook,,23-27,,
2:13.0,R. Felton makes 2-pt shot from 6 ft,2,25-27,,
1:55.0,,,25-27,,Shooting foul by R. Felton (drawn by L. Williams)
1:55.0,,,25-27,,L. Williams misses free throw 1 of 2
1:55.0,,,25-27,,Offensive rebound by Team
1:55.0,,,25-28,1,L. Williams makes free throw 2 of 2
1:55.0,,,25-29,1,L. Williams makes technical free throw
1:55.0,P. George enters the game for R. Westbrook,,25-29,,
1:43.0,R. Felton misses 2-pt shot from 17 ft,,25-29,,
1:42.0,,,25-29,,Defensive rebound by D. Jordan
1:32.0,,,25-31,2,L. Williams makes 2-pt shot at rim
1:14.0,J. Huestis misses 3-pt shot from 25 ft,,25-31,,
1:06.0,Offensive rebound by J. Grant,,25-31,,
1:06.0,J. Grant makes 2-pt shot at rim,2,27-31,,
1:01.0,Personal foul by P. George (drawn by D. Jordan),,27-31,,
1:01.0,,,27-32,1,D. Jordan makes free throw 1 of 2
1:01.0,P. Patterson enters the game for S. Adams,,27-32,,
1:01.0,,,27-33,1,D. Jordan makes free throw 2 of 2
0:48.0,,,27-33,,Personal foul by C. Williams (drawn by J. Grant)
0:48.0,,,27-33,,M. Harrell enters the game for D. Jordan
0:48.0,,,27-33,,W. Johnson enters the game for C. Williams
0:37.0,P. George misses 2-pt shot from 18 ft,,27-33,,
0:31.0,,,27-33,,Defensive rebound by W. Johnson
0:22.0,,,27-33,,M. Harrell misses 2-pt shot from 7 ft
0:20.0,Defensive rebound by P. Patterson,,27-33,,
0:01.0,R. Felton makes 3-pt shot from 25 ft (assist by P. George),3,30-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,30-33,,S. Dekker misses 3-pt shot from 22 ft
11:33.0,,,30-33,,Offensive rebound by M. Harrell
11:33.0,,,30-35,2,M. Harrell makes 2-pt shot at rim
11:16.0,P. Patterson misses 2-pt shot from 13 ft,,30-35,,
11:16.0,Offensive rebound by Team,,30-35,,
11:16.0,,,30-35,,Loose ball foul by J. Evans (drawn by P. George)
11:09.0,R. Felton misses 3-pt shot from 22 ft,,30-35,,
11:05.0,,,30-35,,Defensive rebound by M. Harrell
10:56.0,,,30-38,3,W. Johnson makes 3-pt shot from 23 ft (assist by L. Williams)
10:43.0,P. George makes 2-pt shot from 15 ft,2,32-38,,
10:32.0,,,32-40,2,M. Harrell makes 2-pt shot from 2 ft (assist by L. Williams)
10:32.0,,,32-40,,Shooting foul by J. Grant (drawn by M. Harrell)
10:32.0,,,32-40,,M. Harrell misses free throw 1 of 1
10:28.0,Defensive rebound by J. Huestis,,32-40,,
10:19.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton),2,34-40,,
10:06.0,,,34-40,,J. Evans misses 2-pt shot from 6 ft
10:03.0,Defensive rebound by P. Patterson,,34-40,,
9:59.0,P. George makes 2-pt shot from 7 ft,2,36-40,,
9:59.0,Shooting foul by W. Johnson (drawn by P. George),,36-40,,
9:59.0,T. Ferguson enters the game for J. Huestis,,36-40,,
9:59.0,P. George makes free throw 1 of 1,1,37-40,,
9:45.0,,,37-42,2,L. Williams makes 2-pt shot from 4 ft (assist by J. Evans)
9:30.0,Offensive charge foul by P. Patterson (drawn by M. Harrell),,37-42,,
9:30.0,Turnover by P. Patterson (offensive foul),,37-42,,
