time,LA Lakers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. B. Lopez (L. Nance gains possession),,,,Jump ball: T. Chandler vs. B. Lopez (L. Nance gains possession)
11:44.0,B. Ingram makes 2-pt shot at rim,2,2-0,,
11:24.0,,,2-0,,D. Booker misses 2-pt shot from 8 ft
11:21.0,Defensive rebound by B. Lopez,,2-0,,
11:11.0,B. Ingram makes 2-pt shot from 7 ft,2,4-0,,
10:50.0,,,4-0,,J. Jackson misses 2-pt shot from 1 ft
10:50.0,Defensive rebound by Team,,4-0,,
10:38.0,B. Lopez makes 2-pt shot at rim,2,6-0,,
10:38.0,Shooting foul by T. Chandler (drawn by B. Lopez),,6-0,,
10:38.0,B. Lopez misses free throw 1 of 1,,6-0,,
10:36.0,,,6-0,,Defensive rebound by T. Chandler
10:31.0,,,6-0,,E. Bledsoe misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by L. Nance,,6-0,,
10:24.0,C. Brewer misses 2-pt shot at rim,,6-0,,
10:24.0,,,6-0,,Defensive rebound by D. Booker
10:17.0,,,6-2,2,D. Booker makes 2-pt shot at rim
10:02.0,Shooting foul by J. Jackson (drawn by L. Nance),,6-2,,
10:02.0,L. Nance makes free throw 1 of 2,1,7-2,,
10:02.0,L. Nance makes free throw 2 of 2,1,8-2,,
9:57.0,Personal block foul by C. Brewer (drawn by E. Bledsoe),,8-2,,
9:47.0,,,8-2,,Shooting foul by L. Ball (drawn by D. Booker)
9:47.0,,,8-2,,D. Booker misses free throw 1 of 2
9:47.0,,,8-2,,Offensive rebound by Team
9:47.0,,,8-3,1,D. Booker makes free throw 2 of 2
9:37.0,L. Nance misses 2-pt shot from 10 ft,,8-3,,
9:34.0,,,8-3,,Defensive rebound by T. Warren
9:30.0,,,8-5,2,T. Chandler makes 2-pt shot at rim (assist by T. Warren)
9:19.0,L. Nance makes 2-pt shot at rim (assist by L. Ball),2,10-5,,
9:14.0,,,10-5,,Shooting foul by L. Nance (drawn by J. Jackson)
9:14.0,,,10-6,1,J. Jackson makes free throw 1 of 2
9:14.0,,,10-6,,J. Jackson misses free throw 2 of 2
9:12.0,Defensive rebound by L. Ball,,10-6,,
