time,Golden State,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. McGee (T. Satoransky gains possession),,,,Jump ball: M. Gortat vs. J. McGee (T. Satoransky gains possession)
11:36.0,,,0-0,,M. Gortat misses 2-pt shot from 9 ft
11:32.0,Defensive rebound by D. Green,,0-0,,
11:29.0,D. Green misses 3-pt shot from 27 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by O. Porter
11:16.0,,,0-0,,T. Satoransky misses 2-pt shot from 2 ft (block by J. McGee)
11:14.0,Defensive rebound by D. Green,,0-0,,
11:13.0,K. Durant makes 2-pt shot from 3 ft (assist by D. Green),2,2-0,,
10:56.0,,,2-2,2,O. Porter makes 2-pt shot from 19 ft (assist by M. Gortat)
10:38.0,,,2-2,,Personal foul by O. Porter (drawn by J. McGee)
10:32.0,K. Thompson misses 2-pt shot from 19 ft,,2-2,,
10:28.0,,,2-2,,Defensive rebound by T. Satoransky
10:22.0,,,2-2,,B. Beal misses 3-pt shot from 24 ft (block by D. Green)
10:17.0,,,2-2,,Offensive rebound by M. Gortat
10:16.0,,,2-5,3,O. Porter makes 3-pt shot from 24 ft (assist by M. Gortat)
10:03.0,D. Green makes 2-pt shot from 1 ft (assist by J. McGee),2,4-5,,
9:40.0,,,4-5,,B. Beal misses 3-pt shot from 22 ft
9:36.0,Defensive rebound by S. Curry,,4-5,,
9:27.0,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green),3,7-5,,
9:02.0,,,7-5,,O. Porter misses 2-pt shot from 14 ft
9:00.0,Defensive rebound by J. McGee,,7-5,,
8:56.0,S. Curry misses 2-pt shot from 13 ft,,7-5,,
8:53.0,,,7-5,,Defensive rebound by M. Gortat
8:38.0,,,7-5,,Turnover by M. Gortat (bad pass; steal by K. Thompson)
8:33.0,D. Green makes 2-pt shot from 2 ft (assist by K. Durant),2,9-5,,
8:21.0,,,9-5,,Turnover by B. Beal (lost ball; steal by K. Thompson)
8:17.0,S. Curry misses 2-pt shot from 3 ft,,9-5,,
8:16.0,Offensive rebound by Team,,9-5,,
8:15.0,Shooting foul by B. Beal (drawn by K. Durant),,9-5,,
8:15.0,K. Durant makes free throw 1 of 2,1,10-5,,
8:15.0,K. Durant makes free throw 2 of 2,1,11-5,,
8:01.0,,,11-8,3,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal)
7:53.0,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry),3,14-8,,
7:32.0,,,14-8,,O. Porter misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by K. Durant,,14-8,,
7:16.0,K. Durant misses 2-pt shot from 22 ft,,14-8,,
7:12.0,,,14-8,,Defensive rebound by M. Morris
7:05.0,,,14-11,3,M. Morris makes 3-pt shot from 23 ft (assist by M. Gortat)
6:49.0,S. Curry makes 3-pt shot from 24 ft,3,17-11,,
6:33.0,,,17-14,3,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky)
6:06.0,Turnover by S. Curry (lost ball; steal by O. Porter),,17-14,,
6:06.0,Personal foul by J. McGee (drawn by O. Porter),,17-14,,
6:06.0,,,17-14,,Washington full timeout
5:53.0,,,17-14,,Turnover by M. Gortat (bad pass; steal by D. Green)
5:50.0,K. Durant makes 2-pt shot from 2 ft (assist by D. Green),2,19-14,,
5:34.0,,,19-14,,M. Morris misses 3-pt shot from 25 ft
5:30.0,,,19-14,,Offensive rebound by T. Satoransky
5:20.0,,,19-14,,M. Gortat misses 2-pt shot from 2 ft
5:18.0,Defensive rebound by J. McGee,,19-14,,
5:07.0,J. McGee makes 2-pt shot from 1 ft (assist by D. Green),2,21-14,,
4:43.0,,,21-14,,B. Beal misses 2-pt shot from 17 ft
4:41.0,Defensive rebound by J. McGee,,21-14,,
4:23.0,K. Thompson misses 3-pt shot from 23 ft,,21-14,,
4:20.0,,,21-14,,Defensive rebound by B. Beal
4:07.0,Personal foul by D. Green (drawn by M. Morris),,21-14,,
4:07.0,,,21-14,,I. Mahinmi enters the game for O. Porter
4:07.0,,,21-14,,K. Oubre enters the game for M. Gortat
4:07.0,Z. Pachulia enters the game for D. Green,,21-14,,
4:07.0,A. Iguodala enters the game for J. McGee,,21-14,,
3:58.0,,,21-14,,I. Mahinmi misses 2-pt shot from 13 ft
3:55.0,Defensive rebound by K. Durant,,21-14,,
3:50.0,Shooting foul by I. Mahinmi (drawn by Z. Pachulia),,21-14,,
3:50.0,Z. Pachulia misses free throw 1 of 2,,21-14,,
3:50.0,Offensive rebound by Team,,21-14,,
3:50.0,N. Young enters the game for K. Thompson,,21-14,,
3:50.0,Z. Pachulia makes free throw 2 of 2,1,22-14,,
3:40.0,Personal foul by S. Curry (drawn by T. Satoransky),,22-14,,
3:26.0,,,22-17,3,K. Oubre makes 3-pt shot from 23 ft (assist by M. Morris)
3:14.0,Turnover by Z. Pachulia (lost ball; steal by M. Morris),,22-17,,
3:07.0,,,22-17,,K. Oubre misses 3-pt shot from 23 ft
3:03.0,Defensive rebound by A. Iguodala,,22-17,,
2:58.0,S. Curry misses 3-pt shot from 34 ft,,22-17,,
2:54.0,,,22-17,,Defensive rebound by M. Morris
2:39.0,,,22-17,,K. Oubre misses 3-pt shot from 25 ft
2:35.0,,,22-17,,Offensive rebound by T. Satoransky
2:35.0,,,22-19,2,T. Satoransky makes 2-pt shot from 3 ft
2:27.0,Golden State full timeout,,22-19,,
2:22.0,S. Curry makes 3-pt shot from 27 ft (assist by A. Iguodala),3,25-19,,
