time,Miami,pts.away,score,pts.home,Orlando
8:40.0,H. Whiteside misses 2-pt shot from 3 ft,,9-7,,
8:40.0,,,9-7,,Defensive rebound by J. Simmons
8:29.0,,,9-7,,J. Simmons misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by K. Olynyk,,9-7,,
8:11.0,H. Whiteside misses 2-pt shot from 7 ft,,9-7,,
8:09.0,,,9-7,,Defensive rebound by E. Payton
8:05.0,,,9-9,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
7:45.0,J. Richardson misses 3-pt shot from 24 ft,,9-9,,
7:40.0,,,9-9,,Defensive rebound by J. Simmons
7:37.0,,,9-11,2,E. Payton makes 2-pt shot from 1 ft (assist by J. Simmons)
7:14.0,T. Johnson misses 3-pt shot from 25 ft,,9-11,,
7:09.0,,,9-11,,Defensive rebound by B. Biyombo
7:05.0,,,9-13,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
6:54.0,Miami full timeout,,9-13,,
6:41.0,J. Richardson makes 2-pt shot from 1 ft,2,11-13,,
6:26.0,,,11-15,2,B. Biyombo makes 2-pt shot from 1 ft (assist by J. Simmons)
6:02.0,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Richardson),2,13-15,,
5:54.0,,,13-18,3,J. Simmons makes 3-pt shot from 22 ft (assist by E. Payton)
5:43.0,G. Dragic misses 2-pt shot from 1 ft,,13-18,,
5:43.0,Offensive rebound by H. Whiteside,,13-18,,
5:43.0,,,13-18,,Personal foul by B. Biyombo (drawn by H. Whiteside)
5:43.0,W. Ellington enters the game for K. Olynyk,,13-18,,
5:43.0,B. Adebayo enters the game for G. Dragic,,13-18,,
5:31.0,,,13-18,,Personal foul by J. Simmons (drawn by J. Richardson)
5:20.0,H. Whiteside makes 2-pt shot from 5 ft,2,15-18,,
5:10.0,,,15-20,2,A. Gordon makes 2-pt shot from 7 ft (assist by E. Payton)
4:50.0,W. Ellington misses 3-pt shot from 26 ft,,15-20,,
4:47.0,Offensive rebound by H. Whiteside,,15-20,,
4:41.0,H. Whiteside misses 2-pt shot from 10 ft (block by B. Biyombo),,15-20,,
4:36.0,,,15-20,,Defensive rebound by A. Gordon
4:36.0,,,15-20,,Shooting foul by B. Adebayo (drawn by A. Gordon)
4:36.0,,,15-21,1,A. Gordon makes free throw 1 of 2
4:36.0,K. Olynyk enters the game for H. Whiteside,,15-21,,
4:36.0,,,15-21,,A. Gordon misses free throw 2 of 2
4:34.0,Defensive rebound by B. Adebayo,,15-21,,
4:24.0,J. Richardson makes 2-pt shot from 14 ft,2,17-21,,
4:09.0,,,17-21,,E. Payton misses 2-pt shot from 14 ft
4:07.0,,,17-21,,Offensive rebound by B. Biyombo
4:05.0,,,17-21,,Turnover by E. Payton (traveling)
3:48.0,T. Johnson misses 2-pt shot from 1 ft (block by B. Biyombo),,17-21,,
3:45.0,Offensive rebound by T. Johnson,,17-21,,
3:42.0,W. Ellington misses 3-pt shot from 24 ft,,17-21,,
3:39.0,,,17-21,,Defensive rebound by E. Payton
3:35.0,,,17-24,3,J. Simmons makes 3-pt shot from 22 ft (assist by E. Fournier)
3:17.0,Personal foul by B. Adebayo (drawn by E. Fournier),,17-24,,
3:17.0,Turnover by B. Adebayo (turnover),,17-24,,
3:06.0,,,17-26,2,E. Fournier makes 2-pt shot from 1 ft
2:47.0,B. Adebayo misses 2-pt shot from 2 ft (block by A. Gordon),,17-26,,
2:44.0,,,17-26,,Defensive rebound by B. Biyombo
2:38.0,,,17-28,2,E. Payton makes 2-pt shot from 2 ft
2:31.0,Miami full timeout,,17-28,,
2:31.0,,,17-28,,M. Speights enters the game for B. Biyombo
2:31.0,,,17-28,,A. Afflalo enters the game for J. Simmons
2:31.0,G. Dragic enters the game for T. Johnson,,17-28,,
2:14.0,G. Dragic makes 2-pt shot from 14 ft,2,19-28,,
1:51.0,,,19-28,,M. Speights misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by J. Richardson,,19-28,,
1:37.0,Shooting foul by A. Gordon (drawn by K. Olynyk),,19-28,,
1:37.0,K. Olynyk makes free throw 1 of 2,1,20-28,,
1:37.0,,,20-28,,D. Augustin enters the game for A. Gordon
1:37.0,,,20-28,,M. Hezonja enters the game for E. Payton
1:37.0,T. Johnson enters the game for J. Richardson,,20-28,,
1:37.0,K. Olynyk makes free throw 2 of 2,1,21-28,,
1:24.0,,,21-30,2,E. Fournier makes 2-pt shot from 16 ft
1:10.0,G. Dragic misses 2-pt shot from 12 ft,,21-30,,
1:08.0,,,21-30,,Defensive rebound by M. Speights
1:08.0,Personal foul by G. Dragic (drawn by M. Speights),,21-30,,
0:53.0,,,21-30,,Turnover by A. Afflalo (step out of bounds)
0:40.0,K. Olynyk misses 3-pt shot from 23 ft,,21-30,,
0:37.0,,,21-30,,Defensive rebound by E. Fournier
0:31.0,,,21-32,2,E. Fournier makes 2-pt shot at rim (assist by M. Speights)
0:15.0,G. Dragic misses 2-pt shot from 6 ft,,21-32,,
0:12.0,,,21-32,,Defensive rebound by M. Speights
0:01.0,,,21-32,,M. Hezonja misses 3-pt shot from 28 ft
0:01.0,,,21-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,21-34,2,M. Hezonja makes 2-pt shot from 1 ft (assist by W. Iwundu)
11:38.0,B. Adebayo makes 2-pt shot from 1 ft (assist by G. Dragic),2,23-34,,
11:14.0,,,23-34,,D. Augustin misses 2-pt shot from 1 ft (block by G. Dragic)
11:10.0,Defensive rebound by W. Ellington,,23-34,,
11:09.0,,,23-34,,Personal foul by W. Iwundu (drawn by G. Dragic)
11:02.0,Turnover by G. Dragic (bad pass; steal by D. Augustin),,23-34,,
10:46.0,,,23-34,,Shooting foul by B. Adebayo (drawn by M. Speights)
10:46.0,,,23-35,1,M. Speights makes free throw 1 of 2
10:46.0,J. Mickey enters the game for B. Adebayo,,23-35,,
10:46.0,,,23-36,1,M. Speights makes free throw 2 of 2
10:35.0,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic),3,26-36,,
10:09.0,,,26-39,3,D. Augustin makes 3-pt shot from 26 ft (assist by M. Hezonja)
9:55.0,,,26-39,,Personal foul by W. Iwundu (drawn by T. Johnson)
9:40.0,Turnover by Team (shot clock),,26-39,,
9:17.0,,,26-41,2,M. Hezonja makes 2-pt shot from 6 ft
8:58.0,T. Johnson makes 2-pt shot from 3 ft,2,28-41,,
8:58.0,Shooting foul by M. Hezonja (drawn by T. Johnson),,28-41,,
8:58.0,T. Johnson makes free throw 1 of 1,1,29-41,,
8:44.0,,,29-43,2,D. Augustin makes 2-pt shot from 1 ft (assist by M. Speights)
8:33.0,,,29-43,,Technical foul by D. Augustin
8:33.0,T. Johnson makes technical free throw,1,30-43,,
8:22.0,J. Mickey makes 2-pt shot from 2 ft (assist by G. Dragic),2,32-43,,
8:01.0,,,32-43,,M. Hezonja misses 3-pt shot from 26 ft
7:57.0,Defensive rebound by T. Johnson,,32-43,,
7:55.0,Shooting foul by A. Afflalo (drawn by K. Olynyk),,32-43,,
7:55.0,K. Olynyk makes free throw 1 of 2,1,33-43,,
7:55.0,,,33-43,,J. Simmons enters the game for A. Afflalo
7:55.0,D. Walton enters the game for G. Dragic,,33-43,,
7:55.0,K. Olynyk makes free throw 2 of 2,1,34-43,,
7:38.0,,,34-45,2,W. Iwundu makes 2-pt shot from 2 ft (assist by M. Hezonja)
7:28.0,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson),3,37-45,,
7:11.0,,,37-45,,J. Simmons misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by D. Walton,,37-45,,
6:59.0,,,37-45,,Personal foul by W. Iwundu (drawn by K. Olynyk)
6:59.0,,,37-45,,Orlando full timeout
6:59.0,,,37-45,,A. Gordon enters the game for M. Speights
6:59.0,,,37-45,,B. Biyombo enters the game for M. Hezonja
6:59.0,,,37-45,,E. Payton enters the game for W. Iwundu
6:59.0,K. Olynyk makes free throw 1 of 2,1,38-45,,
6:59.0,K. Olynyk makes free throw 2 of 2,1,39-45,,
6:44.0,,,39-45,,J. Simmons misses 2-pt shot from 1 ft
6:41.0,,,39-45,,Offensive rebound by B. Biyombo
6:41.0,,,39-47,2,B. Biyombo makes 2-pt shot at rim
6:18.0,Turnover by K. Olynyk (bad pass; steal by D. Augustin),,39-47,,
6:12.0,,,39-47,,Turnover by J. Simmons (bad pass; steal by K. Olynyk)
6:10.0,,,39-47,,Personal foul by D. Augustin (drawn by K. Olynyk)
6:10.0,K. Olynyk makes free throw 1 of 2,1,40-47,,
6:10.0,,,40-47,,E. Fournier enters the game for D. Augustin
6:10.0,H. Whiteside enters the game for T. Johnson,,40-47,,
6:10.0,J. Richardson enters the game for J. Mickey,,40-47,,
6:10.0,K. Olynyk makes free throw 2 of 2,1,41-47,,
6:02.0,,,41-47,,E. Fournier misses 2-pt shot from 12 ft
5:58.0,Defensive rebound by W. Ellington,,41-47,,
5:44.0,H. Whiteside makes 2-pt shot from 1 ft (assist by K. Olynyk),2,43-47,,
5:34.0,,,43-50,3,A. Gordon makes 3-pt shot from 25 ft (assist by E. Payton)
5:14.0,K. Olynyk misses 2-pt shot from 2 ft,,43-50,,
5:12.0,,,43-50,,Defensive rebound by E. Fournier
5:08.0,,,43-52,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Fournier)
5:00.0,Miami full timeout,,43-52,,
5:00.0,G. Dragic enters the game for K. Olynyk,,43-52,,
5:00.0,J. Mickey enters the game for D. Walton,,43-52,,
4:49.0,Turnover by J. Richardson (traveling),,43-52,,
4:29.0,,,43-52,,B. Biyombo misses 2-pt shot from 14 ft
4:26.0,Defensive rebound by G. Dragic,,43-52,,
4:16.0,J. Mickey makes 2-pt shot from 1 ft (assist by W. Ellington),2,45-52,,
4:07.0,,,45-52,,Shooting foul by W. Ellington (drawn by E. Payton)
4:07.0,,,45-52,,E. Payton misses free throw 1 of 2
4:07.0,,,45-52,,Offensive rebound by Team
4:07.0,,,45-52,,E. Payton misses free throw 2 of 2
4:04.0,,,45-52,,Offensive rebound by B. Biyombo
4:02.0,,,45-54,2,E. Payton makes 2-pt shot from 9 ft
3:40.0,H. Whiteside misses 2-pt shot from 8 ft,,45-54,,
3:36.0,Offensive rebound by H. Whiteside,,45-54,,
3:36.0,H. Whiteside misses 2-pt shot from 9 ft,,45-54,,
3:36.0,,,45-54,,Defensive rebound by Team
3:36.0,Loose ball foul by J. Mickey (drawn by A. Gordon),,45-54,,
3:17.0,,,45-56,2,A. Gordon makes 2-pt shot from 1 ft
3:03.0,J. Mickey misses 2-pt shot from 1 ft (block by B. Biyombo),,45-56,,
3:03.0,,,45-56,,Defensive rebound by E. Fournier
2:57.0,,,45-59,3,A. Gordon makes 3-pt shot from 24 ft (assist by E. Fournier)
2:40.0,G. Dragic makes 2-pt shot from 1 ft,2,47-59,,
2:34.0,,,47-61,2,E. Payton makes 2-pt shot from 1 ft
2:17.0,W. Ellington makes 3-pt shot from 24 ft (assist by G. Dragic),3,50-61,,
1:58.0,,,50-64,3,A. Gordon makes 3-pt shot from 25 ft (assist by E. Payton)
1:30.0,W. Ellington misses 3-pt shot from 24 ft,,50-64,,
1:30.0,Offensive rebound by Team,,50-64,,
1:28.0,T. Johnson enters the game for W. Ellington,,50-64,,
1:28.0,Jump ball: J. Simmons vs. J. Mickey (E. Fournier gains possession),,,,Jump ball: J. Simmons vs. J. Mickey (E. Fournier gains possession)
1:05.0,,,50-66,2,E. Fournier makes 2-pt shot from 1 ft
0:49.0,J. Mickey misses 3-pt shot from 23 ft,,50-66,,
0:46.0,Offensive rebound by H. Whiteside,,50-66,,
0:38.0,G. Dragic misses 3-pt shot from 25 ft,,50-66,,
0:35.0,,,50-66,,Defensive rebound by A. Gordon
0:28.0,K. Olynyk enters the game for J. Mickey,,50-66,,
0:25.0,,,50-66,,J. Simmons misses 2-pt shot from 3 ft (block by J. Richardson)
0:20.0,Defensive rebound by G. Dragic,,50-66,,
0:19.0,G. Dragic misses 2-pt shot from 1 ft (block by B. Biyombo),,50-66,,
0:19.0,,,50-66,,Defensive rebound by J. Simmons
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,50-68,2,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Payton)
11:22.0,Turnover by T. Johnson (discontinued dribble),,50-68,,
11:10.0,,,50-68,,E. Fournier misses 2-pt shot from 4 ft
11:09.0,,,50-68,,Offensive rebound by B. Biyombo
11:09.0,Personal foul by T. Johnson (drawn by B. Biyombo),,50-68,,
10:55.0,,,50-68,,E. Payton misses 2-pt shot from 8 ft
10:51.0,Defensive rebound by K. Olynyk,,50-68,,
10:36.0,G. Dragic misses 3-pt shot from 22 ft,,50-68,,
10:31.0,,,50-68,,Defensive rebound by E. Fournier
10:24.0,,,50-68,,J. Simmons misses 2-pt shot at rim
10:22.0,Defensive rebound by K. Olynyk,,50-68,,
10:18.0,J. Richardson makes 3-pt shot from 23 ft (assist by K. Olynyk),3,53-68,,
10:12.0,,,53-70,2,J. Simmons makes 2-pt shot at rim (assist by A. Gordon)
10:00.0,,,53-70,,Personal foul by E. Fournier (drawn by T. Johnson)
9:54.0,T. Johnson makes 2-pt shot from 7 ft (assist by G. Dragic),2,55-70,,
9:34.0,,,55-70,,Shooting foul by T. Johnson (drawn by J. Simmons)
9:34.0,,,55-71,1,J. Simmons makes free throw 1 of 2
9:34.0,,,55-71,,J. Simmons misses free throw 2 of 2
9:31.0,Defensive rebound by K. Olynyk,,55-71,,
9:22.0,Turnover by G. Dragic (bad pass),,55-71,,
9:05.0,,,55-71,,Turnover by E. Payton (bad pass; steal by G. Dragic)
9:02.0,G. Dragic makes 2-pt shot from 1 ft,2,57-71,,
8:57.0,Personal foul by G. Dragic (drawn by E. Fournier),,57-71,,
8:50.0,,,57-71,,A. Gordon misses 2-pt shot from 9 ft
8:46.0,Defensive rebound by H. Whiteside,,57-71,,
8:35.0,T. Johnson makes 3-pt shot from 22 ft (assist by J. Richardson),3,60-71,,
8:35.0,,,60-71,,Orlando full timeout
8:22.0,,,60-73,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
8:06.0,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Richardson),3,63-73,,
7:52.0,,,63-76,3,A. Gordon makes 3-pt shot from 25 ft (assist by E. Payton)
7:37.0,T. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson),2,65-76,,
7:28.0,Personal foul by T. Johnson (drawn by E. Payton),,65-76,,
7:21.0,,,65-76,,Turnover by E. Payton (out of bounds lost ball)
7:07.0,T. Johnson makes 2-pt shot from 1 ft (assist by H. Whiteside),2,67-76,,
6:57.0,,,67-79,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
6:43.0,J. Richardson makes 2-pt shot from 8 ft,2,69-79,,
6:29.0,,,69-79,,E. Fournier misses 3-pt shot from 23 ft
6:29.0,,,69-79,,Offensive rebound by B. Biyombo
6:25.0,,,69-79,,A. Gordon misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by J. Richardson,,69-79,,
6:05.0,,,69-79,,Personal foul by J. Simmons (drawn by K. Olynyk)
5:57.0,T. Johnson makes 2-pt shot from 17 ft,2,71-79,,
5:57.0,Shooting foul by B. Biyombo (drawn by T. Johnson),,71-79,,
5:57.0,T. Johnson misses free throw 1 of 1,,71-79,,
5:55.0,,,71-79,,Defensive rebound by B. Biyombo
5:45.0,,,71-79,,E. Payton misses 2-pt shot from 11 ft
5:41.0,Defensive rebound by H. Whiteside,,71-79,,
5:24.0,T. Johnson makes 3-pt shot from 25 ft (assist by H. Whiteside),3,74-79,,
5:24.0,,,74-79,,Orlando full timeout
5:09.0,,,74-82,3,A. Gordon makes 3-pt shot from 24 ft (assist by J. Simmons)
4:48.0,T. Johnson makes 2-pt shot from 1 ft (assist by H. Whiteside),2,76-82,,
4:34.0,,,76-84,2,E. Fournier makes 2-pt shot from 16 ft (assist by B. Biyombo)
4:24.0,Personal foul by K. Olynyk (drawn by E. Payton),,76-84,,
4:24.0,Turnover by K. Olynyk (turnover),,76-84,,
4:04.0,,,76-86,2,A. Gordon makes 2-pt shot from 13 ft
4:03.0,Miami full timeout,,76-86,,
3:50.0,G. Dragic misses 2-pt shot from 3 ft,,76-86,,
3:47.0,Offensive rebound by G. Dragic,,76-86,,
3:47.0,G. Dragic misses 2-pt shot from 3 ft,,76-86,,
3:46.0,Offensive rebound by Team,,76-86,,
3:46.0,H. Whiteside misses 2-pt shot from 3 ft (block by E. Fournier),,76-86,,
3:44.0,,,76-86,,Defensive rebound by E. Fournier
3:32.0,,,76-86,,Turnover by E. Payton (bad pass; steal by J. Richardson)
3:30.0,Shooting foul by J. Simmons (drawn by K. Olynyk),,76-86,,
3:30.0,K. Olynyk makes free throw 1 of 2,1,77-86,,
3:30.0,W. Ellington enters the game for G. Dragic,,77-86,,
3:30.0,K. Olynyk misses free throw 2 of 2,,77-86,,
3:27.0,,,77-86,,Defensive rebound by A. Gordon
3:17.0,,,77-86,,A. Gordon misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by J. Richardson,,77-86,,
3:05.0,T. Johnson makes 2-pt shot from 8 ft,2,79-86,,
2:52.0,,,79-86,,Turnover by J. Simmons (lost ball; steal by J. Richardson)
2:37.0,K. Olynyk misses 3-pt shot from 26 ft,,79-86,,
2:34.0,,,79-86,,Defensive rebound by J. Simmons
2:29.0,,,79-86,,A. Afflalo enters the game for B. Biyombo
2:29.0,,,79-86,,M. Speights enters the game for J. Simmons
2:29.0,B. Adebayo enters the game for H. Whiteside,,79-86,,
2:22.0,,,79-86,,E. Fournier misses 2-pt shot from 14 ft
2:18.0,Defensive rebound by K. Olynyk,,79-86,,
2:10.0,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Johnson),3,82-86,,
1:59.0,,,82-86,,E. Payton misses 2-pt shot from 2 ft
1:55.0,Defensive rebound by K. Olynyk,,82-86,,
1:48.0,J. Richardson misses 2-pt shot from 18 ft,,82-86,,
1:44.0,,,82-86,,Defensive rebound by A. Gordon
1:39.0,,,82-86,,M. Speights misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by J. Richardson,,82-86,,
1:25.0,,,82-86,,D. Augustin enters the game for E. Payton
1:14.0,Turnover by Team (shot clock),,82-86,,
0:57.0,,,82-88,2,A. Gordon makes 2-pt shot from 11 ft (assist by D. Augustin)
0:39.0,T. Johnson makes 2-pt shot from 18 ft,2,84-88,,
0:22.0,,,84-90,2,A. Gordon makes 2-pt shot from 16 ft
0:04.0,T. Johnson makes 2-pt shot from 2 ft,2,86-90,,
0:02.0,Personal foul by B. Adebayo (drawn by E. Fournier),,86-90,,
0:02.0,,,86-91,1,E. Fournier makes free throw 1 of 2
0:02.0,,,86-91,,M. Hezonja enters the game for A. Gordon
0:02.0,,,86-92,1,E. Fournier makes free throw 2 of 2
0:00.0,T. Johnson misses 2-pt shot from 23 ft,,86-92,,
0:00.0,Offensive rebound by Team,,86-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,W. Ellington misses 3-pt shot from 25 ft,,86-92,,
11:42.0,,,86-92,,Defensive rebound by M. Hezonja
11:26.0,,,86-92,,M. Speights misses 2-pt shot from 17 ft
11:23.0,Defensive rebound by W. Ellington,,86-92,,
11:03.0,B. Adebayo misses 2-pt shot from 6 ft,,86-92,,
10:59.0,Offensive rebound by J. Mickey,,86-92,,
10:58.0,J. Mickey makes 2-pt shot from 1 ft,2,88-92,,
10:40.0,,,88-94,2,A. Afflalo makes 2-pt shot from 7 ft
10:28.0,G. Dragic makes 2-pt shot from 1 ft,2,90-94,,
10:05.0,,,90-96,2,M. Speights makes 2-pt shot from 10 ft
9:52.0,G. Dragic makes 2-pt shot from 10 ft,2,92-96,,
9:52.0,Shooting foul by M. Speights (drawn by G. Dragic),,92-96,,
9:52.0,G. Dragic makes free throw 1 of 1,1,93-96,,
9:44.0,Personal foul by W. Ellington (drawn by A. Afflalo),,93-96,,
9:38.0,,,93-96,,D. Augustin misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by W. Ellington,,93-96,,
9:24.0,G. Dragic misses 2-pt shot from 2 ft,,93-96,,
9:21.0,,,93-96,,Defensive rebound by M. Speights
9:09.0,,,93-96,,Turnover by E. Payton (out of bounds lost ball)
9:03.0,,,93-96,,Personal foul by E. Payton (drawn by J. Mickey)
8:51.0,J. Richardson misses 2-pt shot from 18 ft,,93-96,,
8:47.0,,,93-96,,Defensive rebound by M. Hezonja
8:27.0,,,93-98,2,M. Hezonja makes 2-pt shot at rim (assist by A. Afflalo)
8:09.0,G. Dragic misses 2-pt shot from 3 ft (block by E. Payton),,93-98,,
8:07.0,Offensive rebound by B. Adebayo,,93-98,,
8:07.0,B. Adebayo makes 2-pt shot at rim,2,95-98,,
8:07.0,,,95-98,,Orlando full timeout
8:07.0,,,95-98,,J. Simmons enters the game for D. Augustin
8:07.0,T. Johnson enters the game for J. Mickey,,95-98,,
7:50.0,,,95-98,,M. Speights misses 2-pt shot from 3 ft
7:47.0,Defensive rebound by B. Adebayo,,95-98,,
7:34.0,B. Adebayo makes 2-pt shot from 1 ft (assist by G. Dragic),2,97-98,,
7:14.0,,,97-101,3,J. Simmons makes 3-pt shot from 25 ft (assist by E. Payton)
6:55.0,W. Ellington misses 3-pt shot from 24 ft,,97-101,,
6:51.0,,,97-101,,Defensive rebound by M. Hezonja
6:40.0,,,97-101,,E. Payton misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by T. Johnson,,97-101,,
6:34.0,T. Johnson misses 2-pt shot from 19 ft,,97-101,,
6:32.0,Offensive rebound by Team,,97-101,,
6:32.0,,,97-101,,Personal foul by E. Payton (drawn by G. Dragic)
6:32.0,,,97-101,,B. Biyombo enters the game for A. Afflalo
6:32.0,,,97-101,,E. Fournier enters the game for M. Speights
6:32.0,,,97-101,,A. Gordon enters the game for M. Hezonja
6:28.0,Turnover by W. Ellington (step out of bounds),,97-101,,
6:14.0,Personal foul by J. Richardson (drawn by A. Gordon),,97-101,,
6:14.0,,,97-103,2,A. Gordon makes 2-pt shot from 2 ft (assist by J. Simmons)
5:54.0,,,97-103,,Personal foul by E. Payton (drawn by J. Richardson)
5:44.0,T. Johnson misses 2-pt shot from 2 ft,,97-103,,
5:40.0,,,97-103,,Defensive rebound by J. Simmons
5:34.0,,,97-103,,Turnover by B. Biyombo (offensive goaltending)
5:34.0,Miami full timeout,,97-103,,
5:34.0,H. Whiteside enters the game for B. Adebayo,,97-103,,
5:12.0,W. Ellington makes 3-pt shot from 22 ft (assist by T. Johnson),3,100-103,,
4:53.0,,,100-103,,A. Gordon misses 2-pt shot from 10 ft
4:50.0,Defensive rebound by G. Dragic,,100-103,,
4:43.0,J. Richardson misses 2-pt shot from 14 ft (block by A. Gordon),,100-103,,
4:39.0,,,100-103,,Defensive rebound by A. Gordon
4:29.0,,,100-103,,E. Payton misses 2-pt shot from 4 ft
4:29.0,,,100-103,,Offensive rebound by A. Gordon
4:29.0,Personal foul by J. Richardson (drawn by A. Gordon),,100-103,,
4:14.0,,,100-103,,E. Fournier misses 2-pt shot from 21 ft
4:12.0,,,100-103,,Offensive rebound by Team
3:56.0,,,100-103,,E. Fournier misses 3-pt shot from 24 ft
3:51.0,,,100-103,,Offensive rebound by B. Biyombo
3:49.0,,,100-105,2,B. Biyombo makes 2-pt shot from 2 ft (assist by J. Simmons)
3:36.0,G. Dragic makes 3-pt shot from 25 ft,3,103-105,,
3:16.0,,,103-105,,A. Gordon misses 3-pt shot from 25 ft
3:13.0,,,103-105,,Offensive rebound by B. Biyombo
3:13.0,,,103-105,,Orlando full timeout
3:02.0,,,103-105,,E. Fournier misses 2-pt shot from 2 ft
3:00.0,Defensive rebound by H. Whiteside,,103-105,,
2:38.0,J. Richardson makes 2-pt shot from 3 ft (assist by G. Dragic),2,105-105,,
2:15.0,,,105-105,,Turnover by E. Fournier (bad pass; steal by G. Dragic)
2:04.0,G. Dragic makes 2-pt shot from 8 ft (assist by H. Whiteside),2,107-105,,
1:46.0,,,107-105,,Turnover by E. Payton (turnover)
1:35.0,G. Dragic makes 2-pt shot from 3 ft,2,109-105,,
1:35.0,,,109-105,,Orlando full timeout
1:12.0,,,109-105,,Shooting foul by J. Richardson (drawn by A. Gordon)
1:12.0,,,109-106,1,A. Gordon makes free throw 1 of 3
1:12.0,,,109-107,1,A. Gordon makes free throw 2 of 3
1:12.0,,,109-108,1,A. Gordon makes free throw 3 of 3
0:59.0,T. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic),3,112-108,,
0:48.0,,,112-108,,A. Gordon misses 3-pt shot from 24 ft
0:44.0,,,112-108,,Offensive rebound by J. Simmons
0:42.0,,,112-111,3,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton)
0:24.0,G. Dragic makes 2-pt shot from 15 ft,2,114-111,,
0:23.0,,,114-111,,Orlando full timeout
0:15.0,,,114-111,,A. Gordon misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by T. Johnson,,114-111,,
0:13.0,,,114-111,,Personal foul by B. Biyombo (drawn by T. Johnson)
0:13.0,T. Johnson makes free throw 1 of 2,1,115-111,,
0:13.0,T. Johnson makes free throw 2 of 2,1,116-111,,
0:03.0,,,116-111,,E. Fournier misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by H. Whiteside,,116-111,,
