time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Maker (M. Smart gains possession),,,,Jump ball: A. Horford vs. T. Maker (M. Smart gains possession)
11:38.0,,,0-0,,M. Smart misses 3-pt shot from 22 ft
11:33.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:33.0,,,0-0,,Personal foul by J. Brown (drawn by G. Antetokounmpo)
11:26.0,T. Maker misses 3-pt shot from 25 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by J. Brown
11:16.0,,,0-0,,Turnover by A. Horford (bad pass; steal by K. Middleton)
11:10.0,K. Middleton makes 2-pt shot from 1 ft (assist by M. Brogdon),2,2-0,,
10:53.0,,,2-0,,K. Irving misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by G. Antetokounmpo,,2-0,,
10:47.0,Offensive charge foul by G. Antetokounmpo (drawn by J. Brown),,2-0,,
10:47.0,Turnover by G. Antetokounmpo (offensive foul),,2-0,,
10:28.0,,,2-0,,J. Brown misses 2-pt shot from 6 ft
10:24.0,Defensive rebound by G. Antetokounmpo,,2-0,,
10:19.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,2-0,,
10:16.0,Offensive rebound by T. Maker,,2-0,,
10:15.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Irving),,2-0,,
10:07.0,,,2-0,,Turnover by K. Irving (bad pass; steal by T. Maker)
9:58.0,Shooting foul by A. Horford (drawn by G. Antetokounmpo),,2-0,,
9:58.0,G. Antetokounmpo makes free throw 1 of 2,1,3-0,,
9:58.0,G. Antetokounmpo makes free throw 2 of 2,1,4-0,,
9:36.0,,,4-2,2,A. Horford makes 2-pt shot from 2 ft (assist by M. Smart)
9:13.0,T. Maker misses 2-pt shot from 2 ft (block by A. Horford),,4-2,,
9:11.0,,,4-2,,Defensive rebound by J. Tatum
9:10.0,,,4-4,2,J. Tatum makes 2-pt shot from 1 ft
9:10.0,,,4-4,,Shooting foul by K. Middleton (drawn by J. Tatum)
9:10.0,,,4-4,,J. Tatum misses free throw 1 of 1
9:08.0,,,4-4,,Offensive rebound by J. Brown
9:08.0,,,4-4,,Shooting foul by G. Antetokounmpo (drawn by J. Brown)
9:08.0,,,4-5,1,J. Brown makes free throw 1 of 2
9:08.0,,,4-6,1,J. Brown makes free throw 2 of 2
8:56.0,K. Middleton misses 3-pt shot from 25 ft,,4-6,,
8:53.0,,,4-6,,Defensive rebound by J. Brown
8:44.0,,,4-8,2,A. Horford makes 2-pt shot from 8 ft
8:28.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,4-8,,
8:25.0,,,4-8,,Defensive rebound by A. Horford
8:21.0,,,4-8,,J. Brown misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by T. Snell,,4-8,,
8:14.0,K. Middleton misses 2-pt shot from 3 ft,,4-8,,
8:14.0,Offensive rebound by K. Middleton,,4-8,,
8:09.0,K. Middleton makes 2-pt shot from 14 ft,2,6-8,,
7:53.0,,,6-11,3,M. Smart makes 3-pt shot from 23 ft
7:41.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,6-11,,
7:38.0,,,6-11,,Defensive rebound by K. Irving
7:35.0,,,6-11,,J. Brown misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by T. Snell,,6-11,,
7:26.0,K. Middleton misses 2-pt shot from 3 ft,,6-11,,
7:23.0,,,6-11,,Defensive rebound by A. Horford
7:14.0,,,6-11,,K. Irving misses 2-pt shot from 12 ft
7:10.0,Defensive rebound by G. Antetokounmpo,,6-11,,
7:09.0,,,6-11,,Personal foul by M. Smart (drawn by G. Antetokounmpo)
7:09.0,,,6-11,,A. Nader enters the game for M. Smart
7:09.0,G. Monroe enters the game for T. Maker,,6-11,,
7:03.0,T. Snell makes 3-pt shot from 27 ft (assist by K. Middleton),3,9-11,,
6:45.0,,,9-11,,Turnover by K. Irving (turnover)
6:45.0,,,9-11,,Boston full timeout
6:45.0,M. Dellavedova enters the game for G. Antetokounmpo,,9-11,,
6:38.0,,,9-11,,Personal foul by J. Tatum (drawn by M. Brogdon)
6:34.0,M. Dellavedova misses 2-pt shot from 20 ft,,9-11,,
6:33.0,,,9-11,,Defensive rebound by J. Tatum
6:14.0,,,9-13,2,J. Brown makes 2-pt shot at rim (assist by A. Horford)
5:56.0,Turnover by K. Middleton (bad pass; steal by J. Tatum),,9-13,,
5:48.0,,,9-15,2,K. Irving makes 2-pt shot from 15 ft
5:22.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Monroe),3,12-15,,
5:01.0,Personal foul by G. Monroe (drawn by A. Horford),,12-15,,
4:53.0,,,12-17,2,J. Tatum makes 2-pt shot from 9 ft
4:32.0,M. Brogdon makes 3-pt shot from 26 ft,3,15-17,,
4:17.0,,,15-19,2,K. Irving makes 2-pt shot at rim
4:09.0,G. Monroe makes 2-pt shot from 3 ft (assist by T. Snell),2,17-19,,
3:52.0,,,17-19,,A. Nader misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by G. Monroe,,17-19,,
3:37.0,M. Brogdon misses 2-pt shot from 3 ft,,17-19,,
