time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: C. Capela vs. Z. Pachulia (D. Green gains possession)
11:43.0,K. Thompson makes 2-pt shot from 21 ft (assist by S. Curry),2,2-0,,
11:22.0,,,2-0,,Shooting foul by D. Green (drawn by C. Capela)
11:22.0,,,2-0,,C. Capela misses free throw 1 of 2
11:22.0,,,2-0,,Offensive rebound by Team
11:22.0,,,2-1,1,C. Capela makes free throw 2 of 2
11:12.0,K. Durant makes 2-pt shot from 12 ft (assist by D. Green),2,4-1,,
10:45.0,,,4-4,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Paul)
10:39.0,Turnover by S. Curry (bad pass),,4-4,,
10:31.0,,,4-7,3,J. Harden makes 3-pt shot from 24 ft (assist by C. Paul)
10:18.0,S. Curry misses 3-pt shot from 25 ft,,4-7,,
10:14.0,,,4-7,,Defensive rebound by R. Anderson
10:03.0,,,4-10,3,J. Harden makes 3-pt shot from 26 ft
9:43.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Green),3,7-10,,
9:32.0,,,7-12,2,C. Capela makes 2-pt shot from 4 ft (assist by L. Mbah a Moute)
9:25.0,Turnover by S. Curry (bad pass; steal by C. Capela),,7-12,,
9:13.0,,,7-12,,Turnover by J. Harden (bad pass; steal by K. Thompson)
9:09.0,K. Thompson misses 3-pt shot from 24 ft,,7-12,,
9:06.0,,,7-12,,Defensive rebound by R. Anderson
9:00.0,,,7-12,,C. Paul misses 2-pt shot from 16 ft
8:57.0,Defensive rebound by Z. Pachulia,,7-12,,
8:45.0,K. Durant misses 2-pt shot from 8 ft,,7-12,,
8:43.0,,,7-12,,Defensive rebound by C. Capela
8:36.0,,,7-12,,Turnover by J. Harden (bad pass)
8:36.0,,,7-12,,E. Gordon enters the game for C. Paul
8:26.0,K. Thompson misses 2-pt shot from 18 ft,,7-12,,
8:24.0,,,7-12,,Defensive rebound by R. Anderson
8:20.0,,,7-14,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Harden)
8:20.0,Golden State full timeout,,7-14,,
8:03.0,S. Curry misses 3-pt shot from 24 ft,,7-14,,
7:59.0,,,7-14,,Defensive rebound by L. Mbah a Moute
7:52.0,,,7-14,,Turnover by J. Harden (bad pass; steal by D. Green)
7:41.0,Z. Pachulia misses 2-pt shot from 16 ft,,7-14,,
7:39.0,,,7-14,,Defensive rebound by R. Anderson
7:24.0,,,7-16,2,C. Capela makes 2-pt shot from 1 ft
7:11.0,,,7-16,,Personal foul by L. Mbah a Moute (drawn by D. Green)
7:11.0,,,7-16,,N. Hilario enters the game for C. Capela
7:02.0,S. Curry misses 2-pt shot at rim,,7-16,,
7:02.0,Offensive rebound by Team,,7-16,,
7:02.0,,,7-16,,Loose ball foul by N. Hilario (drawn by Z. Pachulia)
6:57.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,10-16,,
6:38.0,,,10-16,,E. Gordon misses 3-pt shot from 27 ft
6:34.0,Defensive rebound by Z. Pachulia,,10-16,,
6:29.0,S. Curry misses 3-pt shot from 26 ft,,10-16,,
6:25.0,,,10-16,,Defensive rebound by R. Anderson
6:17.0,,,10-18,2,J. Harden makes 2-pt shot from 5 ft
