time,Cleveland,pts.away,score,pts.home,Boston
6:21.0,,,9-10,,Defensive rebound by A. Horford
6:18.0,,,9-10,,Shooting foul by J. Crowder (drawn by J. Brown)
6:18.0,,,9-10,,Boston full timeout
6:18.0,,,9-10,,M. Smart enters the game for J. Tatum
6:18.0,,,9-11,1,J. Brown makes free throw 1 of 3
6:18.0,,,9-12,1,J. Brown makes free throw 2 of 3
6:18.0,,,9-13,1,J. Brown makes free throw 3 of 3
6:05.0,K. Love misses 2-pt shot from 3 ft,,9-13,,
6:03.0,Offensive rebound by K. Love,,9-13,,
6:00.0,K. Love misses 2-pt shot from 1 ft,,9-13,,
5:58.0,,,9-13,,Defensive rebound by A. Horford
5:52.0,,,9-15,2,K. Irving makes 2-pt shot from 1 ft
5:29.0,L. James makes 2-pt shot from 1 ft (assist by J. Crowder),2,11-15,,
5:13.0,,,11-15,,K. Irving misses 3-pt shot from 26 ft
5:13.0,,,11-15,,Offensive rebound by A. Horford
5:09.0,,,11-15,,J. Brown misses 3-pt shot from 25 ft
5:09.0,,,11-15,,Offensive rebound by A. Horford
4:57.0,,,11-15,,J. Brown misses 3-pt shot from 23 ft
4:52.0,Defensive rebound by J. Crowder,,11-15,,
4:43.0,J. Crowder misses 2-pt shot from 1 ft,,11-15,,
4:43.0,,,11-15,,Defensive rebound by J. Brown
4:38.0,,,11-17,2,J. Brown makes 2-pt shot at rim
4:35.0,Cleveland full timeout,,11-17,,
4:35.0,,,11-17,,A. Baynes enters the game for M. Morris
4:35.0,,,11-17,,S. Ojeleye enters the game for A. Horford
4:35.0,T. Thompson enters the game for K. Love,,11-17,,
4:35.0,D. Wade enters the game for J. Calderon,,11-17,,
4:35.0,J. Green enters the game for J. Crowder,,11-17,,
4:24.0,Shooting foul by S. Ojeleye (drawn by T. Thompson),,11-17,,
4:24.0,T. Thompson makes free throw 1 of 2,1,12-17,,
4:24.0,T. Thompson makes free throw 2 of 2,1,13-17,,
4:11.0,,,13-17,,M. Smart misses 2-pt shot from 16 ft
4:08.0,Defensive rebound by T. Thompson,,13-17,,
3:50.0,J. Green misses 2-pt shot from 10 ft,,13-17,,
3:47.0,,,13-17,,Defensive rebound by A. Baynes
3:28.0,,,13-19,2,M. Smart makes 2-pt shot from 6 ft
3:05.0,Turnover by D. Wade (bad pass; steal by A. Baynes),,13-19,,
2:54.0,,,13-22,3,M. Smart makes 3-pt shot from 23 ft (assist by K. Irving)
2:35.0,Shooting foul by J. Brown (drawn by J. Green),,13-22,,
2:35.0,J. Green makes free throw 1 of 2,1,14-22,,
2:35.0,,,14-22,,T. Rozier enters the game for K. Irving
2:35.0,K. Korver enters the game for J. Smith,,14-22,,
2:35.0,J. Green makes free throw 2 of 2,1,15-22,,
2:21.0,,,15-24,2,M. Smart makes 2-pt shot from 15 ft (assist by J. Brown)
1:57.0,T. Thompson misses 2-pt shot from 8 ft,,15-24,,
1:53.0,,,15-24,,Defensive rebound by T. Rozier
1:45.0,,,15-24,,T. Rozier misses 2-pt shot from 1 ft (block by J. Green)
1:41.0,Defensive rebound by K. Korver,,15-24,,
1:35.0,D. Wade misses 2-pt shot from 13 ft,,15-24,,
1:33.0,Offensive rebound by T. Thompson,,15-24,,
1:32.0,T. Thompson makes 2-pt shot from 2 ft,2,17-24,,
1:32.0,Shooting foul by M. Smart (drawn by T. Thompson),,17-24,,
1:32.0,T. Thompson makes free throw 1 of 1,1,18-24,,
1:19.0,,,18-24,,M. Smart misses 3-pt shot from 27 ft
1:16.0,Defensive rebound by T. Thompson,,18-24,,
1:07.0,Turnover by L. James (bad pass; steal by J. Brown),,18-24,,
1:00.0,,,18-24,,J. Brown misses 2-pt shot from 2 ft
0:57.0,Defensive rebound by T. Thompson,,18-24,,
0:51.0,J. Green misses 3-pt shot from 22 ft,,18-24,,
0:50.0,,,18-24,,Defensive rebound by Team
0:50.0,Loose ball foul by T. Thompson (drawn by J. Brown),,18-24,,
0:50.0,,,18-24,,J. Tatum enters the game for J. Brown
0:50.0,C. Osman enters the game for L. James,,18-24,,
0:39.0,,,18-27,3,T. Rozier makes 3-pt shot from 25 ft
0:35.0,D. Wade makes 2-pt shot from 3 ft,2,20-27,,
0:35.0,Shooting foul by T. Rozier (drawn by D. Wade),,20-27,,
0:35.0,D. Wade makes free throw 1 of 1,1,21-27,,
0:28.0,,,21-27,,T. Rozier misses 2-pt shot at rim
0:27.0,,,21-27,,Offensive rebound by T. Rozier
0:27.0,,,21-29,2,T. Rozier makes 2-pt shot at rim
0:06.0,D. Wade misses 2-pt shot from 14 ft,,21-29,,
0:03.0,,,21-29,,Defensive rebound by J. Tatum
0:03.0,,,21-32,3,T. Rozier makes 3-pt shot from 26 ft (assist by A. Baynes)
0:01.0,J. Green misses 3-pt shot from 68 ft,,21-32,,
0:00.0,Offensive rebound by Team,,21-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Green misses 2-pt shot from 4 ft,,21-32,,
11:45.0,Offensive rebound by J. Green,,21-32,,
11:44.0,J. Green misses 2-pt shot from 2 ft,,21-32,,
11:43.0,Offensive rebound by T. Thompson,,21-32,,
11:43.0,T. Thompson misses 2-pt shot from 2 ft,,21-32,,
11:42.0,,,21-32,,Defensive rebound by M. Smart
11:39.0,Personal foul by C. Osman (drawn by M. Smart),,21-32,,
11:30.0,,,21-32,,J. Tatum misses 2-pt shot from 13 ft
11:30.0,Defensive rebound by C. Osman,,21-32,,
11:22.0,D. Wade misses 2-pt shot from 15 ft,,21-32,,
11:19.0,Offensive rebound by T. Thompson,,21-32,,
11:15.0,Turnover by T. Thompson (bad pass; steal by S. Ojeleye),,21-32,,
11:07.0,,,21-32,,S. Ojeleye misses 3-pt shot from 23 ft
11:05.0,,,21-32,,Offensive rebound by A. Baynes
11:02.0,,,21-34,2,A. Baynes makes 2-pt shot from 7 ft
10:49.0,K. Korver misses 2-pt shot from 23 ft,,21-34,,
10:47.0,,,21-34,,Defensive rebound by J. Tatum
10:38.0,,,21-34,,Offensive foul by A. Baynes (drawn by T. Thompson)
10:38.0,,,21-34,,Turnover by A. Baynes (offensive foul)
10:24.0,K. Korver misses 3-pt shot from 26 ft,,21-34,,
10:22.0,,,21-34,,Defensive rebound by S. Ojeleye
10:10.0,,,21-34,,M. Smart misses 2-pt shot from 13 ft
10:07.0,Defensive rebound by J. Green,,21-34,,
9:55.0,,,21-34,,A. Horford enters the game for A. Baynes
9:45.0,Turnover by Team (shot clock),,21-34,,
9:32.0,,,21-34,,Turnover by T. Rozier (bad pass)
9:32.0,K. Love enters the game for J. Green,,21-34,,
9:32.0,L. James enters the game for C. Osman,,21-34,,
9:18.0,,,21-34,,Personal foul by S. Ojeleye (drawn by L. James)
9:18.0,,,21-34,,D. Theis enters the game for S. Ojeleye
9:12.0,K. Korver makes 3-pt shot from 26 ft (assist by K. Love),3,24-34,,
