time,Detroit,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. A. Drummond (T. Harris gains possession),,,,Jump ball: B. Biyombo vs. A. Drummond (T. Harris gains possession)
11:44.0,T. Harris misses 2-pt shot from 2 ft,,0-0,,
11:38.0,Offensive rebound by A. Drummond,,0-0,,
11:38.0,A. Drummond misses 2-pt shot at rim,,0-0,,
11:38.0,,,0-0,,Defensive rebound by B. Biyombo
11:25.0,,,0-3,3,A. Gordon makes 3-pt shot from 22 ft (assist by J. Simmons)
11:03.0,T. Harris makes 2-pt shot from 9 ft (assist by A. Drummond),2,2-3,,
10:51.0,,,2-5,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
10:31.0,L. Kennard misses 2-pt shot from 17 ft,,2-5,,
10:29.0,,,2-5,,Defensive rebound by A. Gordon
10:25.0,Personal foul by L. Kennard (drawn by J. Simmons),,2-5,,
10:17.0,,,2-7,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Fournier)
10:10.0,Detroit full timeout,,2-7,,
9:54.0,Turnover by L. Kennard (lost ball; steal by J. Simmons),,2-7,,
9:39.0,,,2-9,2,E. Fournier makes 2-pt shot from 1 ft (assist by A. Gordon)
9:20.0,L. Kennard misses 3-pt shot from 25 ft,,2-9,,
9:18.0,,,2-9,,Defensive rebound by J. Simmons
9:13.0,,,2-9,,Turnover by J. Simmons (out of bounds lost ball)
9:02.0,R. Bullock makes 3-pt shot from 23 ft (assist by I. Smith),3,5-9,,
8:45.0,,,5-11,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton)
8:28.0,A. Drummond makes 2-pt shot at rim (assist by R. Bullock),2,7-11,,
8:17.0,,,7-11,,J. Simmons misses 3-pt shot from 22 ft
8:12.0,Defensive rebound by T. Harris,,7-11,,
8:08.0,R. Bullock makes 3-pt shot from 27 ft (assist by T. Harris),3,10-11,,
8:06.0,,,10-11,,Orlando full timeout
7:49.0,,,10-11,,A. Gordon misses 2-pt shot from 21 ft
7:46.0,,,10-11,,Offensive rebound by B. Biyombo
7:45.0,,,10-11,,A. Gordon misses 2-pt shot from 7 ft
7:45.0,Defensive rebound by T. Harris,,10-11,,
7:38.0,T. Harris misses 2-pt shot from 5 ft,,10-11,,
7:38.0,,,10-11,,Defensive rebound by E. Payton
7:31.0,,,10-13,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
7:13.0,Turnover by L. Kennard (traveling),,10-13,,
7:03.0,,,10-13,,E. Payton misses 2-pt shot from 8 ft
7:00.0,Defensive rebound by I. Smith,,10-13,,
6:56.0,T. Harris misses 3-pt shot from 24 ft,,10-13,,
6:56.0,,,10-13,,Defensive rebound by E. Fournier
6:46.0,,,10-15,2,J. Simmons makes 2-pt shot from 2 ft
6:46.0,,,10-15,,Shooting foul by L. Kennard (drawn by J. Simmons)
6:46.0,S. Johnson enters the game for L. Kennard,,10-15,,
6:46.0,,,10-16,1,J. Simmons makes free throw 1 of 1
6:35.0,T. Harris makes 2-pt shot from 8 ft,2,12-16,,
6:24.0,Personal foul by S. Johnson (drawn by B. Biyombo),,12-16,,
6:16.0,,,12-18,2,E. Payton makes 2-pt shot from 2 ft
5:56.0,T. Harris makes 3-pt shot from 27 ft (assist by S. Johnson),3,15-18,,
5:43.0,,,15-18,,A. Gordon misses 2-pt shot from 8 ft
5:39.0,Defensive rebound by A. Drummond,,15-18,,
5:35.0,S. Johnson makes 3-pt shot from 25 ft (assist by I. Smith),3,18-18,,
5:12.0,,,18-18,,Shooting foul by R. Bullock (drawn by E. Fournier)
5:12.0,,,18-19,1,E. Fournier makes free throw 1 of 2
5:12.0,,,18-20,1,E. Fournier makes free throw 2 of 2
4:54.0,Turnover by T. Harris (bad pass; steal by B. Biyombo),,18-20,,
4:50.0,,,18-20,,Turnover by E. Payton (bad pass)
4:37.0,Turnover by R. Bullock (lost ball; steal by J. Simmons),,18-20,,
4:24.0,,,18-20,,A. Gordon misses 2-pt shot from 7 ft
4:21.0,,,18-20,,Offensive rebound by J. Simmons
4:21.0,,,18-20,,J. Simmons misses 2-pt shot at rim
4:21.0,,,18-20,,Offensive rebound by B. Biyombo
4:21.0,,,18-20,,Shooting foul by A. Drummond (drawn by B. Biyombo)
4:21.0,,,18-21,1,B. Biyombo makes free throw 1 of 2
4:21.0,,,18-21,,M. Hezonja enters the game for A. Gordon
4:21.0,,,18-22,1,B. Biyombo makes free throw 2 of 2
4:12.0,I. Smith misses 2-pt shot from 18 ft,,18-22,,
4:09.0,Offensive rebound by A. Drummond,,18-22,,
4:09.0,Shooting foul by E. Fournier (drawn by A. Drummond),,18-22,,
4:09.0,A. Drummond misses free throw 1 of 2,,18-22,,
4:09.0,Offensive rebound by Team,,18-22,,
4:09.0,A. Drummond makes free throw 2 of 2,1,19-22,,
4:02.0,,,19-22,,Offensive charge foul by B. Biyombo (drawn by S. Johnson)
4:02.0,,,19-22,,Turnover by B. Biyombo (offensive foul)
4:02.0,,,19-22,,M. Speights enters the game for E. Fournier
