time,Portland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Nurkic (R. Hood gains possession),,,,Jump ball: R. Gobert vs. J. Nurkic (R. Hood gains possession)
11:37.0,,,0-0,,Turnover by R. Rubio (bad pass; steal by J. Nurkic)
11:28.0,M. Harkless misses 2-pt shot from 3 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by R. Hood
11:18.0,,,0-0,,R. Gobert misses 2-pt shot from 1 ft (block by J. Nurkic)
11:15.0,Defensive rebound by J. Nurkic,,0-0,,
11:08.0,C. McCollum misses 2-pt shot from 9 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by R. Rubio
10:57.0,,,0-0,,Turnover by R. Gobert (bad pass)
10:41.0,J. Nurkic makes 2-pt shot from 6 ft,2,2-0,,
10:22.0,,,2-0,,R. Hood misses 2-pt shot from 17 ft
10:18.0,Defensive rebound by C. McCollum,,2-0,,
10:05.0,J. Nurkic makes 2-pt shot from 3 ft (assist by C. McCollum),2,4-0,,
9:49.0,,,4-0,,R. Rubio misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by J. Nurkic,,4-0,,
9:38.0,C. McCollum misses 3-pt shot from 24 ft (block by J. Ingles),,4-0,,
9:34.0,,,4-0,,Defensive rebound by D. Favors
9:22.0,,,4-0,,Turnover by J. Ingles (bad pass; steal by M. Harkless)
9:02.0,J. Nurkic misses 2-pt shot at rim,,4-0,,
9:02.0,Offensive rebound by J. Nurkic,,4-0,,
9:02.0,J. Nurkic makes 2-pt shot at rim,2,6-0,,
9:02.0,,,6-0,,Utah full timeout
8:52.0,,,6-3,3,J. Ingles makes 3-pt shot from 22 ft (assist by R. Hood)
8:33.0,Shooting foul by R. Gobert (drawn by J. Nurkic),,6-3,,
8:33.0,J. Nurkic makes free throw 1 of 2,1,7-3,,
8:33.0,J. Nurkic misses free throw 2 of 2,,7-3,,
8:31.0,,,7-3,,Defensive rebound by R. Gobert
8:19.0,,,7-3,,R. Hood misses 2-pt shot from 18 ft
8:14.0,Defensive rebound by M. Harkless,,7-3,,
8:10.0,Turnover by D. Lillard (bad pass; steal by R. Hood),,7-3,,
8:01.0,,,7-5,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
8:01.0,,,7-5,,Shooting foul by J. Nurkic (drawn by R. Gobert)
8:01.0,,,7-6,1,R. Gobert makes free throw 1 of 1
7:51.0,D. Lillard makes 2-pt shot from 16 ft,2,9-6,,
7:38.0,,,9-6,,R. Rubio misses 2-pt shot from 9 ft (block by D. Lillard)
7:30.0,Defensive rebound by D. Lillard,,9-6,,
7:29.0,M. Harkless makes 3-pt shot from 24 ft (assist by D. Lillard),3,12-6,,
7:03.0,,,12-6,,R. Gobert misses 2-pt shot from 13 ft
7:00.0,,,12-6,,Offensive rebound by D. Favors
6:56.0,,,12-6,,D. Favors misses 2-pt shot from 1 ft
6:54.0,Defensive rebound by C. McCollum,,12-6,,
6:49.0,Turnover by C. McCollum (traveling),,12-6,,
6:30.0,,,12-6,,D. Favors misses 2-pt shot from 17 ft
