time,Phoenix,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Len (R. O'Neale gains possession),,,,Jump ball: R. Gobert vs. A. Len (R. O'Neale gains possession)
11:46.0,,,0-2,2,R. Gobert makes 2-pt shot from 3 ft
11:32.0,D. Bender makes 3-pt shot from 25 ft (assist by D. Booker),3,3-2,,
11:15.0,,,3-5,3,J. Ingles makes 3-pt shot from 26 ft (assist by D. Favors)
11:00.0,D. Booker misses 3-pt shot from 26 ft,,3-5,,
10:57.0,,,3-5,,Defensive rebound by R. Gobert
10:43.0,,,3-5,,R. O'Neale misses 2-pt shot from 3 ft (block by A. Len)
10:38.0,Defensive rebound by D. Bender,,3-5,,
10:32.0,T. Warren misses 2-pt shot from 17 ft,,3-5,,
10:31.0,,,3-5,,Defensive rebound by Team
10:16.0,,,3-5,,J. Ingles misses 3-pt shot from 25 ft
10:13.0,,,3-5,,Offensive rebound by R. O'Neale
10:02.0,Personal foul by T. Warren (drawn by J. Ingles),,3-5,,
9:56.0,,,3-8,3,D. Mitchell makes 3-pt shot from 25 ft
9:43.0,Turnover by E. Payton (bad pass; steal by R. O'Neale),,3-8,,
9:42.0,Personal foul by E. Payton (drawn by R. O'Neale),,3-8,,
9:29.0,,,3-8,,D. Favors misses 2-pt shot from 16 ft
9:27.0,Defensive rebound by D. Booker,,3-8,,
9:21.0,Shooting foul by R. O'Neale (drawn by D. Booker),,3-8,,
9:21.0,D. Booker misses free throw 1 of 2,,3-8,,
9:21.0,Offensive rebound by Team,,3-8,,
9:21.0,D. Booker makes free throw 2 of 2,1,4-8,,
9:09.0,,,4-8,,J. Ingles misses 2-pt shot from 3 ft
9:07.0,,,4-8,,Offensive rebound by D. Favors
9:01.0,,,4-8,,D. Mitchell misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by D. Bender,,4-8,,
8:52.0,Shooting foul by R. O'Neale (drawn by D. Booker),,4-8,,
8:52.0,D. Booker makes free throw 1 of 2,1,5-8,,
8:52.0,,,5-8,,J. Crowder enters the game for R. O'Neale
8:52.0,D. Booker makes free throw 2 of 2,1,6-8,,
8:40.0,,,6-10,2,D. Favors makes 2-pt shot from 18 ft (assist by D. Mitchell)
8:19.0,T. Warren misses 2-pt shot from 15 ft,,6-10,,
8:16.0,,,6-10,,Defensive rebound by D. Mitchell
8:12.0,,,6-12,2,D. Favors makes 2-pt shot from 4 ft (assist by J. Ingles)
7:56.0,D. Bender misses 3-pt shot from 25 ft,,6-12,,
7:52.0,,,6-12,,Defensive rebound by J. Crowder
7:46.0,,,6-12,,Shooting foul by T. Warren (drawn by J. Crowder)
7:46.0,,,6-12,,J. Crowder misses free throw 1 of 2
7:46.0,,,6-12,,Offensive rebound by Team
7:46.0,J. Jackson enters the game for T. Warren,,6-12,,
7:46.0,,,6-13,1,J. Crowder makes free throw 2 of 2
7:31.0,D. Booker misses 3-pt shot from 25 ft,,6-13,,
7:27.0,,,6-13,,Defensive rebound by D. Favors
7:16.0,,,6-16,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Gobert)
7:14.0,Phoenix full timeout,,6-16,,
6:59.0,E. Payton misses 2-pt shot from 12 ft,,6-16,,
6:58.0,Offensive rebound by E. Payton,,6-16,,
6:55.0,E. Payton makes 2-pt shot from 4 ft,2,8-16,,
6:42.0,,,8-16,,Turnover by D. Favors (traveling)
6:27.0,J. Jackson makes 3-pt shot from 25 ft (assist by D. Booker),3,11-16,,
6:05.0,,,11-16,,J. Ingles misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by J. Jackson,,11-16,,
5:53.0,J. Jackson misses 2-pt shot from 14 ft,,11-16,,
5:51.0,,,11-16,,Defensive rebound by R. Gobert
5:43.0,,,11-16,,J. Crowder misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by Team,,11-16,,
5:41.0,,,11-16,,J. Jerebko enters the game for D. Favors
5:41.0,M. Chriss enters the game for D. Bender,,11-16,,
5:25.0,E. Payton misses 3-pt shot from 24 ft,,11-16,,
5:22.0,,,11-16,,Defensive rebound by R. Gobert
5:14.0,,,11-16,,D. Mitchell misses 2-pt shot from 4 ft
5:13.0,Defensive rebound by M. Chriss,,11-16,,
5:07.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Payton),3,14-16,,
4:53.0,,,14-18,2,J. Ingles makes 2-pt shot from 1 ft
4:44.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Payton),3,17-18,,
4:31.0,,,17-18,,J. Crowder misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by M. Chriss,,17-18,,
4:17.0,M. Chriss misses 2-pt shot from 3 ft,,17-18,,
4:14.0,,,17-18,,Defensive rebound by J. Crowder
4:12.0,,,17-18,,J. Crowder misses 2-pt shot from 2 ft (block by A. Len)
4:08.0,Defensive rebound by D. Booker,,17-18,,
4:08.0,,,17-18,,Personal foul by J. Ingles (drawn by D. Booker)
3:54.0,A. Len misses 2-pt shot from 5 ft,,17-18,,
3:52.0,,,17-18,,Defensive rebound by R. Gobert
3:47.0,Personal foul by J. Jackson (drawn by J. Crowder),,17-18,,
3:35.0,,,17-20,2,D. Mitchell makes 2-pt shot from 17 ft
3:09.0,Turnover by D. Booker (bad pass; steal by J. Ingles),,17-20,,
2:51.0,,,17-20,,J. Crowder misses 2-pt shot from 21 ft
2:47.0,Defensive rebound by A. Len,,17-20,,
2:31.0,Shooting foul by J. Jerebko (drawn by A. Len),,17-20,,
2:31.0,,,17-20,,Utah full timeout
2:31.0,,,17-20,,A. Burks enters the game for J. Ingles
2:31.0,T. Daniels enters the game for D. Booker,,17-20,,
2:31.0,T. Ulis enters the game for E. Payton,,17-20,,
2:31.0,A. Len makes free throw 1 of 2,1,18-20,,
2:31.0,A. Len misses free throw 2 of 2,,18-20,,
2:31.0,,,18-20,,Defensive rebound by D. Favors
2:31.0,,,18-20,,R. O'Neale enters the game for R. Gobert
2:31.0,,,18-20,,D. Favors enters the game for J. Crowder
2:13.0,,,18-20,,R. O'Neale misses 2-pt shot from 3 ft
2:11.0,,,18-20,,Offensive rebound by D. Favors
2:07.0,,,18-22,2,D. Favors makes 2-pt shot from 1 ft
1:54.0,M. Chriss misses 2-pt shot from 2 ft,,18-22,,
1:52.0,,,18-22,,Defensive rebound by D. Favors
1:46.0,,,18-22,,Turnover by D. Mitchell (bad pass; steal by A. Len)
1:41.0,Shooting foul by J. Jerebko (drawn by A. Len),,18-22,,
1:41.0,,,18-22,,R. Neto enters the game for D. Mitchell
1:41.0,A. Len makes free throw 1 of 2,1,19-22,,
1:41.0,A. Len misses free throw 2 of 2,,19-22,,
1:36.0,,,19-22,,Defensive rebound by A. Burks
1:19.0,,,19-25,3,R. O'Neale makes 3-pt shot from 26 ft
1:05.0,T. Daniels misses 2-pt shot from 18 ft,,19-25,,
1:02.0,,,19-25,,Defensive rebound by A. Burks
0:47.0,,,19-25,,Turnover by A. Burks (bad pass; steal by J. Jackson)
0:42.0,J. Jackson makes 2-pt shot from 4 ft,2,21-25,,
0:28.0,,,21-25,,R. Neto misses 2-pt shot from 10 ft
0:26.0,Defensive rebound by A. Len,,21-25,,
0:25.0,Offensive foul by T. Ulis (drawn by R. Neto),,21-25,,
0:25.0,Turnover by T. Ulis (offensive foul),,21-25,,
0:25.0,D. Bender enters the game for A. Len,,21-25,,
0:03.0,,,21-27,2,D. Favors makes 2-pt shot from 5 ft (assist by R. Neto)
0:00.0,J. Jackson makes 2-pt shot from 2 ft,2,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,T. Daniels makes 2-pt shot from 8 ft (assist by T. Ulis),2,25-27,,
11:30.0,Violation by T. Ulis (kicked ball),,25-27,,
11:25.0,Personal foul by T. Daniels (drawn by R. O'Neale),,25-27,,
11:16.0,,,25-27,,J. Jerebko misses 3-pt shot from 23 ft
11:13.0,,,25-27,,Offensive rebound by D. Favors
10:58.0,,,25-27,,J. Jerebko misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by J. Jackson,,25-27,,
10:45.0,T. Daniels misses 3-pt shot from 25 ft,,25-27,,
10:43.0,,,25-27,,Defensive rebound by A. Burks
10:32.0,,,25-27,,A. Burks misses 2-pt shot from 20 ft
10:25.0,Defensive rebound by T. Daniels,,25-27,,
10:23.0,J. Jackson makes 2-pt shot from 3 ft (assist by T. Ulis),2,27-27,,
10:06.0,,,27-29,2,R. Neto makes 2-pt shot from 12 ft
9:56.0,T. Ulis misses 2-pt shot from 5 ft (block by D. Favors),,27-29,,
9:56.0,Offensive rebound by Team,,27-29,,
9:56.0,,,27-29,,J. Crowder enters the game for J. Jerebko
9:56.0,T. Warren enters the game for M. Chriss,,27-29,,
9:56.0,J. Dudley enters the game for T. Daniels,,27-29,,
9:46.0,T. Ulis misses 3-pt shot from 24 ft,,27-29,,
9:42.0,Offensive rebound by J. Jackson,,27-29,,
9:41.0,J. Jackson makes 2-pt shot from 3 ft,2,29-29,,
9:31.0,Personal foul by T. Ulis (drawn by R. Neto),,29-29,,
9:31.0,D. Booker enters the game for J. Jackson,,29-29,,
9:20.0,,,29-29,,J. Crowder misses 2-pt shot from 2 ft
9:17.0,Defensive rebound by J. Dudley,,29-29,,
9:01.0,D. Booker makes 2-pt shot from 13 ft,2,31-29,,
8:45.0,,,31-29,,Shooting foul by D. Bender (drawn by D. Favors)
8:45.0,,,31-30,1,D. Favors makes free throw 1 of 2
8:45.0,,,31-30,,D. Mitchell enters the game for A. Burks
8:45.0,E. Payton enters the game for T. Ulis,,31-30,,
8:45.0,,,31-30,,D. Favors misses free throw 2 of 2
8:42.0,Defensive rebound by D. Bender,,31-30,,
8:25.0,D. Booker misses 3-pt shot from 25 ft,,31-30,,
8:23.0,,,31-30,,Defensive rebound by J. Crowder
8:04.0,,,31-32,2,J. Crowder makes 2-pt shot from 1 ft
7:51.0,Turnover by D. Booker (bad pass; steal by R. O'Neale),,31-32,,
7:44.0,,,31-32,,R. O'Neale misses 2-pt shot from 2 ft
7:41.0,,,31-32,,Offensive rebound by R. O'Neale
7:31.0,,,31-32,,R. Gobert enters the game for D. Favors
7:31.0,A. Len enters the game for D. Bender,,31-32,,
7:31.0,Jump ball: D. Mitchell vs. E. Payton (R. Gobert gains possession),,,,Jump ball: D. Mitchell vs. E. Payton (R. Gobert gains possession)
7:23.0,,,31-32,,Turnover by R. Neto (bad pass; steal by A. Len)
7:04.0,Shooting foul by J. Crowder (drawn by T. Warren),,31-32,,
7:04.0,,,31-32,,Utah full timeout
7:04.0,,,31-32,,J. Ingles enters the game for J. Crowder
7:04.0,T. Warren makes free throw 1 of 2,1,32-32,,
7:04.0,,,32-32,,J. Crowder enters the game for R. O'Neale
7:04.0,T. Warren misses free throw 2 of 2,,32-32,,
7:02.0,,,32-32,,Defensive rebound by R. Gobert
6:45.0,,,32-32,,D. Mitchell misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by T. Warren,,32-32,,
