time,Oklahoma City,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. S. Adams (C. Anthony gains possession),,,,Jump ball: K. Towns vs. S. Adams (C. Anthony gains possession)
11:46.0,S. Adams misses 2-pt shot from 1 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Teague
11:28.0,,,0-0,,Shooting foul by C. Anthony (drawn by J. Teague)
11:28.0,,,0-0,,J. Teague misses free throw 1 of 2
11:28.0,,,0-0,,Offensive rebound by Team
11:28.0,,,0-0,,J. Teague misses free throw 2 of 2
11:26.0,Defensive rebound by R. Westbrook,,0-0,,
11:16.0,P. George makes 2-pt shot from 18 ft (assist by T. Ferguson),2,2-0,,
10:57.0,,,2-2,2,K. Towns makes 2-pt shot from 7 ft (assist by J. Butler)
10:32.0,P. George misses 3-pt shot from 23 ft,,2-2,,
10:29.0,,,2-2,,Defensive rebound by T. Gibson
10:22.0,,,2-2,,A. Wiggins misses 2-pt shot from 17 ft
10:19.0,Defensive rebound by C. Anthony,,2-2,,
10:09.0,Offensive foul by S. Adams (drawn by K. Towns),,2-2,,
10:09.0,Turnover by S. Adams (offensive foul),,2-2,,
9:56.0,,,2-2,,Turnover by J. Butler (bad pass; steal by T. Ferguson)
9:50.0,C. Anthony misses 3-pt shot from 25 ft,,2-2,,
9:47.0,,,2-2,,Defensive rebound by K. Towns
9:35.0,,,2-4,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
9:18.0,S. Adams misses 2-pt shot from 3 ft,,2-4,,
9:17.0,Offensive rebound by Team,,2-4,,
9:14.0,Jump ball: K. Towns vs. S. Adams,,,,Jump ball: K. Towns vs. S. Adams
9:10.0,P. George misses 2-pt shot from 13 ft,,2-4,,
9:07.0,,,2-4,,Defensive rebound by J. Butler
8:52.0,,,2-6,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
8:35.0,Turnover by C. Anthony (lost ball; steal by J. Teague),,2-6,,
8:29.0,,,2-6,,A. Wiggins misses 2-pt shot at rim
8:29.0,,,2-6,,Offensive rebound by J. Butler
8:28.0,,,2-8,2,J. Butler makes 2-pt shot at rim
8:17.0,Turnover by R. Westbrook (lost ball; steal by J. Butler),,2-8,,
8:13.0,,,2-10,2,J. Butler makes 2-pt shot at rim (assist by A. Wiggins)
8:13.0,Oklahoma City full timeout,,2-10,,
8:04.0,C. Anthony misses 3-pt shot from 23 ft,,2-10,,
8:01.0,Offensive rebound by Team,,2-10,,
7:58.0,R. Westbrook misses 2-pt shot from 21 ft,,2-10,,
7:55.0,,,2-10,,Defensive rebound by T. Gibson
7:46.0,,,2-12,2,A. Wiggins makes 2-pt shot from 20 ft (assist by K. Towns)
7:25.0,R. Westbrook makes 2-pt shot from 20 ft (assist by P. George),2,4-12,,
7:07.0,,,4-12,,K. Towns misses 2-pt shot from 7 ft
7:05.0,Defensive rebound by R. Westbrook,,4-12,,
7:02.0,R. Westbrook makes 2-pt shot from 1 ft,2,6-12,,
7:02.0,Shooting foul by J. Teague (drawn by R. Westbrook),,6-12,,
7:02.0,J. Grant enters the game for T. Ferguson,,6-12,,
7:02.0,R. Westbrook makes free throw 1 of 1,1,7-12,,
6:48.0,,,7-12,,K. Towns misses 2-pt shot from 5 ft
6:44.0,Defensive rebound by S. Adams,,7-12,,
6:34.0,C. Anthony makes 2-pt shot from 12 ft,2,9-12,,
6:21.0,,,9-12,,K. Towns misses 2-pt shot from 5 ft
6:21.0,Defensive rebound by S. Adams,,9-12,,
6:09.0,Turnover by S. Adams (lost ball; steal by J. Teague),,9-12,,
6:07.0,,,9-12,,J. Butler misses 2-pt shot from 2 ft
6:06.0,,,9-12,,Offensive rebound by T. Gibson
6:05.0,,,9-12,,Shooting foul by J. Grant (drawn by T. Gibson)
6:05.0,,,9-13,1,T. Gibson makes free throw 1 of 2
6:05.0,,,9-13,,T. Gibson misses free throw 2 of 2
6:03.0,Defensive rebound by R. Westbrook,,9-13,,
5:50.0,R. Westbrook makes 2-pt shot from 1 ft,2,11-13,,
5:28.0,,,11-15,2,T. Gibson makes 2-pt shot from 4 ft
5:13.0,C. Anthony misses 3-pt shot from 24 ft,,11-15,,
5:09.0,,,11-15,,Defensive rebound by K. Towns
5:05.0,,,11-15,,J. Teague misses 3-pt shot from 24 ft
5:01.0,,,11-15,,Offensive rebound by T. Gibson
4:58.0,,,11-15,,J. Teague misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by S. Adams,,11-15,,
4:52.0,Offensive foul by C. Anthony (drawn by A. Wiggins),,11-15,,
4:52.0,Turnover by C. Anthony (offensive foul),,11-15,,
4:52.0,,,11-15,,G. Dieng enters the game for K. Towns
4:52.0,J. Huestis enters the game for P. George,,11-15,,
4:30.0,,,11-15,,J. Butler misses 2-pt shot from 19 ft
4:26.0,Defensive rebound by J. Grant,,11-15,,
4:24.0,R. Westbrook makes 2-pt shot from 17 ft,2,13-15,,
3:58.0,,,13-15,,Offensive charge foul by T. Gibson (drawn by J. Grant)
3:58.0,,,13-15,,Turnover by T. Gibson (offensive foul)
3:58.0,P. Patterson enters the game for C. Anthony,,13-15,,
3:45.0,Shooting foul by J. Teague (drawn by R. Westbrook),,13-15,,
3:45.0,R. Westbrook makes free throw 1 of 2,1,14-15,,
3:45.0,,,14-15,,T. Jones enters the game for J. Teague
3:45.0,R. Westbrook makes free throw 2 of 2,1,15-15,,
3:23.0,,,15-17,2,G. Dieng makes 2-pt shot from 1 ft
3:08.0,,,15-17,,Personal foul by A. Wiggins (drawn by J. Grant)
3:08.0,T. Ferguson enters the game for S. Adams,,15-17,,
2:58.0,T. Ferguson makes 3-pt shot from 23 ft (assist by R. Westbrook),3,18-17,,
2:42.0,,,18-17,,A. Wiggins misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by R. Westbrook,,18-17,,
2:36.0,T. Ferguson misses 2-pt shot from 2 ft (block by J. Butler),,18-17,,
2:36.0,,,18-17,,Defensive rebound by Team
2:36.0,,,18-17,,Minnesota full timeout
2:36.0,,,18-17,,J. Crawford enters the game for J. Butler
2:36.0,R. Felton enters the game for R. Westbrook,,18-17,,
2:19.0,,,18-17,,Turnover by G. Dieng (lost ball; steal by R. Felton)
2:01.0,J. Grant misses 3-pt shot from 23 ft,,18-17,,
1:59.0,,,18-17,,Defensive rebound by G. Dieng
1:53.0,,,18-17,,T. Jones misses 2-pt shot from 5 ft
1:53.0,Defensive rebound by J. Huestis,,18-17,,
1:40.0,R. Felton makes 2-pt shot from 19 ft,2,20-17,,
1:17.0,,,20-19,2,J. Crawford makes 2-pt shot from 20 ft
1:03.0,Turnover by R. Felton (out of bounds lost ball),,20-19,,
1:03.0,P. George enters the game for J. Huestis,,20-19,,
0:54.0,,,20-19,,T. Jones misses 2-pt shot from 23 ft
0:54.0,,,20-19,,Offensive rebound by G. Dieng
0:43.0,,,20-19,,G. Dieng misses 2-pt shot from 20 ft
0:41.0,Defensive rebound by P. George,,20-19,,
0:32.0,Turnover by P. George (bad pass; steal by A. Wiggins),,20-19,,
0:27.0,,,20-21,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Crawford)
0:06.0,R. Felton makes 3-pt shot from 25 ft (assist by P. George),3,23-21,,
0:00.0,,,23-23,2,J. Crawford makes 2-pt shot from 20 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Personal foul by T. Ferguson (drawn by J. Crawford),,23-23,,
11:41.0,,,23-23,,J. Crawford misses 2-pt shot from 6 ft
11:38.0,,,23-23,,Offensive rebound by G. Dieng
11:38.0,,,23-23,,G. Dieng misses 2-pt shot from 2 ft
11:35.0,Defensive rebound by P. Patterson,,23-23,,
11:31.0,T. Ferguson misses 3-pt shot from 26 ft,,23-23,,
11:31.0,,,23-23,,Defensive rebound by G. Dieng
11:08.0,,,23-23,,N. Bjelica misses 3-pt shot from 26 ft
11:05.0,,,23-23,,Offensive rebound by T. Jones
10:56.0,,,23-23,,N. Bjelica misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by P. Patterson,,23-23,,
10:48.0,Offensive charge foul by P. George (drawn by M. Georges-Hunt),,23-23,,
10:48.0,Turnover by P. George (offensive foul),,23-23,,
10:32.0,,,23-25,2,J. Crawford makes 2-pt shot from 19 ft
10:08.0,P. George misses 2-pt shot from 15 ft,,23-25,,
10:05.0,,,23-25,,Defensive rebound by J. Crawford
10:01.0,,,23-25,,J. Crawford misses 2-pt shot from 11 ft
9:58.0,Defensive rebound by J. Grant,,23-25,,
9:58.0,,,23-25,,Personal foul by M. Georges-Hunt (drawn by P. George)
9:37.0,Turnover by P. Patterson (lost ball; steal by J. Crawford),,23-25,,
9:31.0,,,23-25,,J. Crawford misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by J. Grant,,23-25,,
9:24.0,R. Felton makes 2-pt shot from 2 ft,2,25-25,,
9:00.0,,,25-25,,J. Crawford misses 2-pt shot from 19 ft
8:57.0,Defensive rebound by P. Patterson,,25-25,,
8:53.0,Turnover by R. Felton (lost ball; steal by J. Crawford),,25-25,,
