time,Chicago,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. R. Lopez (J. Grant gains possession),,,,Jump ball: J. Valanciunas vs. R. Lopez (J. Grant gains possession)
11:45.0,L. Markkanen misses 3-pt shot from 23 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by K. Lowry
11:38.0,,,0-2,2,K. Lowry makes 2-pt shot from 1 ft
11:25.0,J. Grant misses 2-pt shot from 1 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by S. Ibaka
11:12.0,,,0-4,2,J. Valanciunas makes 2-pt shot from 10 ft
10:54.0,J. Grant misses 2-pt shot from 15 ft,,0-4,,
10:51.0,,,0-4,,Defensive rebound by J. Valanciunas
10:44.0,,,0-4,,J. Valanciunas misses 2-pt shot from 8 ft
10:41.0,Defensive rebound by L. Markkanen,,0-4,,
10:22.0,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Holiday),3,3-4,,
10:02.0,,,3-4,,K. Lowry misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by J. Holiday,,3-4,,
9:41.0,J. Holiday misses 2-pt shot from 9 ft,,3-4,,
9:38.0,,,3-4,,Defensive rebound by J. Valanciunas
9:34.0,,,3-4,,S. Ibaka misses 3-pt shot from 27 ft
9:31.0,Defensive rebound by P. Zipser,,3-4,,
9:20.0,J. Holiday misses 2-pt shot from 13 ft,,3-4,,
9:18.0,,,3-4,,Defensive rebound by J. Valanciunas
9:07.0,,,3-4,,Shooting foul by L. Markkanen (drawn by J. Valanciunas)
9:07.0,,,3-5,1,J. Valanciunas makes free throw 1 of 2
9:07.0,,,3-6,1,J. Valanciunas makes free throw 2 of 2
8:56.0,R. Lopez makes 2-pt shot at rim (assist by J. Holiday),2,5-6,,
8:35.0,,,5-8,2,D. DeRozan makes 2-pt shot from 13 ft
8:19.0,J. Holiday misses 2-pt shot from 12 ft,,5-8,,
8:15.0,,,5-8,,Defensive rebound by S. Ibaka
8:03.0,,,5-8,,N. Powell misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by L. Markkanen,,5-8,,
7:46.0,L. Markkanen makes 3-pt shot from 26 ft (assist by J. Holiday),3,8-8,,
7:30.0,,,8-10,2,D. DeRozan makes 2-pt shot from 10 ft (assist by K. Lowry)
7:13.0,Turnover by L. Markkanen (bad pass),,8-10,,
6:58.0,,,8-10,,Turnover by D. DeRozan (bad pass; steal by R. Lopez)
6:47.0,L. Markkanen misses 3-pt shot from 25 ft,,8-10,,
6:44.0,,,8-10,,Defensive rebound by K. Lowry
6:34.0,,,8-10,,S. Ibaka misses 2-pt shot from 3 ft (block by L. Markkanen)
6:32.0,Defensive rebound by J. Grant,,8-10,,
6:27.0,J. Grant misses 2-pt shot from 2 ft,,8-10,,
6:26.0,Offensive rebound by J. Grant,,8-10,,
6:26.0,Shooting foul by S. Ibaka (drawn by J. Grant),,8-10,,
6:26.0,,,8-10,,Toronto full timeout
6:26.0,J. Grant makes free throw 1 of 2,1,9-10,,
6:26.0,J. Grant makes free throw 2 of 2,1,10-10,,
6:14.0,,,10-12,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
6:14.0,,,10-12,,Shooting foul by L. Markkanen (drawn by J. Valanciunas)
6:14.0,B. Portis enters the game for L. Markkanen,,10-12,,
6:14.0,,,10-12,,J. Valanciunas misses free throw 1 of 1
6:12.0,Defensive rebound by P. Zipser,,10-12,,
6:02.0,R. Lopez makes 2-pt shot from 21 ft (assist by J. Grant),2,12-12,,
5:45.0,,,12-12,,D. DeRozan misses 2-pt shot from 4 ft
5:42.0,,,12-12,,Offensive rebound by J. Valanciunas
5:41.0,,,12-14,2,J. Valanciunas makes 2-pt shot from 1 ft
5:22.0,R. Lopez makes 2-pt shot from 16 ft,2,14-14,,
5:10.0,,,14-16,2,K. Lowry makes 2-pt shot from 5 ft
4:56.0,Shooting foul by D. DeRozan (drawn by B. Portis),,14-16,,
4:56.0,B. Portis makes free throw 1 of 2,1,15-16,,
4:56.0,B. Portis misses free throw 2 of 2,,15-16,,
4:54.0,,,15-16,,Defensive rebound by S. Ibaka
4:41.0,Personal foul by B. Portis (drawn by N. Powell),,15-16,,
4:41.0,,,15-16,,P. Siakam enters the game for S. Ibaka
4:41.0,,,15-16,,C. Miles enters the game for N. Powell
4:26.0,,,15-16,,Turnover by P. Siakam (lost ball; steal by J. Grant)
4:22.0,J. Holiday makes 2-pt shot from 1 ft (assist by J. Grant),2,17-16,,
4:08.0,,,17-19,3,J. Valanciunas makes 3-pt shot from 26 ft
3:55.0,Shooting foul by C. Miles (drawn by J. Holiday),,17-19,,
3:55.0,J. Holiday misses free throw 1 of 3,,17-19,,
3:55.0,Offensive rebound by Team,,17-19,,
3:55.0,J. Holiday makes free throw 2 of 3,1,18-19,,
3:55.0,J. Holiday misses free throw 3 of 3,,18-19,,
3:53.0,,,18-19,,Defensive rebound by J. Valanciunas
3:44.0,,,18-19,,D. DeRozan misses 2-pt shot from 16 ft
3:41.0,Defensive rebound by J. Holiday,,18-19,,
3:35.0,P. Zipser misses 2-pt shot from 17 ft,,18-19,,
3:33.0,,,18-19,,Defensive rebound by K. Lowry
3:28.0,,,18-21,2,K. Lowry makes 2-pt shot from 4 ft
3:14.0,Turnover by B. Portis (step out of bounds),,18-21,,
3:14.0,K. Dunn enters the game for J. Grant,,18-21,,
3:14.0,D. Valentine enters the game for P. Zipser,,18-21,,
2:55.0,,,18-21,,P. Siakam misses 3-pt shot from 23 ft
2:53.0,Defensive rebound by R. Lopez,,18-21,,
2:49.0,Shooting foul by C. Miles (drawn by B. Portis),,18-21,,
2:49.0,Chicago full timeout,,18-21,,
2:49.0,,,18-21,,D. Wright enters the game for K. Lowry
2:49.0,,,18-21,,L. Nogueira enters the game for J. Valanciunas
2:49.0,B. Portis makes free throw 1 of 2,1,19-21,,
2:49.0,B. Portis misses free throw 2 of 2,,19-21,,
2:46.0,,,19-21,,Defensive rebound by P. Siakam
2:40.0,,,19-21,,Offensive charge foul by L. Nogueira (drawn by D. Valentine)
2:40.0,,,19-21,,Turnover by L. Nogueira (offensive foul)
2:26.0,R. Lopez makes 2-pt shot from 4 ft (assist by B. Portis),2,21-21,,
2:10.0,,,21-24,3,C. Miles makes 3-pt shot from 25 ft
1:54.0,J. Holiday misses 3-pt shot from 25 ft,,21-24,,
1:51.0,,,21-24,,Defensive rebound by P. Siakam
1:30.0,,,21-27,3,C. Miles makes 3-pt shot from 26 ft (assist by D. Wright)
1:04.0,D. Valentine misses 3-pt shot from 25 ft,,21-27,,
1:02.0,,,21-27,,Defensive rebound by D. DeRozan
0:52.0,,,21-27,,P. Siakam misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by B. Portis,,21-27,,
0:40.0,B. Portis makes 3-pt shot from 25 ft (assist by K. Dunn),3,24-27,,
0:28.0,Shooting block foul by R. Lopez (drawn by D. DeRozan),,24-27,,
0:28.0,,,24-28,1,D. DeRozan makes free throw 1 of 2
0:28.0,K. Felder enters the game for J. Holiday,,24-28,,
0:28.0,C. Felicio enters the game for R. Lopez,,24-28,,
0:28.0,,,24-29,1,D. DeRozan makes free throw 2 of 2
0:10.0,K. Dunn makes 2-pt shot from 15 ft,2,26-29,,
0:01.0,,,26-29,,D. DeRozan misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by K. Felder,,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-31,2,P. Siakam makes 2-pt shot from 1 ft (assist by D. Wright)
11:20.0,Turnover by D. Valentine (bad pass),,26-31,,
11:20.0,,,26-31,,O. Anunoby enters the game for P. Siakam
11:06.0,,,26-34,3,O. Anunoby makes 3-pt shot from 22 ft (assist by D. Wright)
10:51.0,C. Felicio makes 2-pt shot at rim (assist by D. Valentine),2,28-34,,
10:41.0,,,28-34,,C. Miles misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by K. Dunn,,28-34,,
10:27.0,C. Felicio makes 2-pt shot from 9 ft,2,30-34,,
10:16.0,Personal block foul by C. Felicio (drawn by D. Wright),,30-34,,
10:16.0,,,30-34,,J. Poeltl enters the game for L. Nogueira
10:09.0,,,30-34,,O. Anunoby misses 3-pt shot from 23 ft
10:07.0,Defensive rebound by K. Dunn,,30-34,,
9:59.0,B. Portis misses 2-pt shot from 20 ft,,30-34,,
9:56.0,,,30-34,,Defensive rebound by D. Wright
9:48.0,,,30-34,,J. Poeltl misses 2-pt shot from 2 ft
9:47.0,Defensive rebound by K. Dunn,,30-34,,
9:42.0,C. Felicio misses 2-pt shot from 2 ft,,30-34,,
9:35.0,Offensive rebound by B. Portis,,30-34,,
9:35.0,B. Portis makes 2-pt shot at rim,2,32-34,,
9:32.0,,,32-34,,Shooting foul by K. Felder (drawn by F. VanVleet)
9:32.0,,,32-35,1,F. VanVleet makes free throw 1 of 2
9:32.0,L. Markkanen enters the game for B. Portis,,32-35,,
9:32.0,,,32-36,1,F. VanVleet makes free throw 2 of 2
9:09.0,K. Dunn misses 2-pt shot from 2 ft,,32-36,,
9:07.0,Offensive rebound by C. Felicio,,32-36,,
9:07.0,Turnover by Team (shot clock),,32-36,,
8:48.0,,,32-38,2,J. Poeltl makes 2-pt shot from 3 ft (assist by F. VanVleet)
8:22.0,K. Felder misses 2-pt shot from 17 ft,,32-38,,
8:18.0,,,32-38,,Defensive rebound by C. Miles
8:13.0,,,32-38,,Shooting foul by K. Dunn (drawn by D. Wright)
8:13.0,,,32-41,1,D. Wright makes free throw 1 of 1
8:12.0,,,32-40,2,D. Wright makes 2-pt shot from 2 ft
8:10.0,Chicago full timeout,,32-40,,
7:56.0,K. Felder misses 2-pt shot from 7 ft,,32-40,,
7:54.0,,,32-40,,Defensive rebound by O. Anunoby
7:38.0,,,32-40,,C. Miles misses 3-pt shot from 25 ft
7:36.0,,,32-40,,Offensive rebound by O. Anunoby
7:28.0,,,32-44,3,D. Wright makes 3-pt shot from 22 ft (assist by O. Anunoby)
7:07.0,Shooting foul by F. VanVleet (drawn by K. Felder),,32-44,,
7:07.0,K. Felder makes free throw 1 of 2,1,33-44,,
7:07.0,K. Felder makes free throw 2 of 2,1,34-44,,
6:54.0,,,34-44,,Turnover by D. Wright (bad pass; steal by D. Valentine)
6:47.0,K. Felder makes 3-pt shot from 23 ft (assist by D. Valentine),3,37-44,,
6:40.0,Personal foul by D. Valentine (drawn by C. Miles),,37-44,,
6:40.0,,,37-44,,K. Lowry enters the game for C. Miles
6:40.0,,,37-44,,N. Powell enters the game for F. VanVleet
6:40.0,P. Zipser enters the game for D. Valentine,,37-44,,
6:31.0,,,37-44,,N. Powell misses 2-pt shot from 14 ft
6:30.0,Defensive rebound by P. Zipser,,37-44,,
6:21.0,Turnover by C. Felicio (bad pass; steal by D. Wright),,37-44,,
6:14.0,,,37-47,3,N. Powell makes 3-pt shot from 26 ft (assist by D. Wright)
