time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (K. Lowry gains possession)
11:48.0,S. Ibaka makes 3-pt shot from 28 ft (assist by K. Lowry),3,3-0,,
11:33.0,,,3-2,2,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter)
11:21.0,J. Valanciunas makes 3-pt shot from 25 ft (assist by D. DeRozan),3,6-2,,
11:05.0,,,6-4,2,M. Morris makes 2-pt shot from 19 ft (assist by O. Porter)
10:46.0,D. DeRozan makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,8-4,,
10:35.0,,,8-4,,T. Satoransky misses 2-pt shot from 6 ft
10:33.0,,,8-4,,Offensive rebound by T. Satoransky
10:27.0,,,8-4,,T. Satoransky misses 3-pt shot from 25 ft
10:24.0,,,8-4,,Offensive rebound by M. Gortat
10:20.0,,,8-6,2,T. Satoransky makes 2-pt shot at rim (assist by M. Gortat)
10:03.0,O. Anunoby misses 3-pt shot from 27 ft,,8-6,,
10:00.0,,,8-6,,Defensive rebound by M. Gortat
9:49.0,,,8-8,2,M. Gortat makes 2-pt shot from 12 ft (assist by O. Porter)
9:29.0,Turnover by J. Valanciunas (bad pass; steal by B. Beal),,8-8,,
9:24.0,,,8-8,,Turnover by M. Morris (offensive goaltending)
9:04.0,J. Valanciunas makes 2-pt shot from 7 ft,2,10-8,,
8:44.0,,,10-8,,M. Morris misses 2-pt shot from 13 ft
8:40.0,Defensive rebound by D. DeRozan,,10-8,,
8:20.0,J. Valanciunas misses 2-pt shot from 12 ft,,10-8,,
8:18.0,,,10-8,,Defensive rebound by M. Morris
8:11.0,,,10-8,,O. Porter misses 2-pt shot from 4 ft
8:10.0,Defensive rebound by D. DeRozan,,10-8,,
8:02.0,D. DeRozan misses 2-pt shot from 14 ft,,10-8,,
7:59.0,,,10-8,,Defensive rebound by O. Porter
7:54.0,,,10-8,,T. Satoransky misses 2-pt shot at rim
7:50.0,,,10-8,,Offensive rebound by M. Morris
7:50.0,,,10-10,2,M. Morris makes 2-pt shot at rim
7:38.0,S. Ibaka makes 2-pt shot from 6 ft,2,12-10,,
7:38.0,Shooting foul by M. Morris (drawn by S. Ibaka),,12-10,,
7:38.0,S. Ibaka makes free throw 1 of 1,1,13-10,,
7:22.0,,,13-12,2,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal)
7:22.0,Violation by S. Ibaka (def goaltending),,13-12,,
7:12.0,K. Lowry misses 3-pt shot from 25 ft,,13-12,,
7:10.0,,,13-12,,Defensive rebound by M. Gortat
7:01.0,,,13-12,,Turnover by T. Satoransky (bad pass)
6:52.0,Offensive foul by S. Ibaka (drawn by T. Satoransky),,13-12,,
6:52.0,Turnover by S. Ibaka (offensive foul),,13-12,,
6:52.0,,,13-12,,Washington full timeout
6:36.0,,,13-12,,M. Morris misses 2-pt shot from 4 ft
6:34.0,Defensive rebound by D. DeRozan,,13-12,,
6:26.0,O. Anunoby misses 2-pt shot from 6 ft (block by B. Beal),,13-12,,
6:23.0,Offensive rebound by K. Lowry,,13-12,,
6:17.0,S. Ibaka makes 2-pt shot from 10 ft,2,15-12,,
5:51.0,,,15-12,,B. Beal misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by J. Valanciunas,,15-12,,
5:34.0,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Lowry),2,17-12,,
5:15.0,Personal foul by O. Anunoby (drawn by M. Morris),,17-12,,
5:04.0,,,17-12,,B. Beal misses 3-pt shot from 23 ft
5:02.0,Defensive rebound by J. Valanciunas,,17-12,,
4:44.0,O. Anunoby makes 3-pt shot from 25 ft (assist by D. DeRozan),3,20-12,,
4:19.0,,,20-14,2,O. Porter makes 2-pt shot from 11 ft
4:07.0,K. Lowry makes 2-pt shot at rim,2,22-14,,
3:54.0,,,22-14,,M. Morris misses 3-pt shot from 25 ft
