time,San Antonio,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. L. Aldridge (M. Morris gains possession),,,,Jump ball: M. Gortat vs. L. Aldridge (M. Morris gains possession)
11:35.0,,,0-0,,M. Gortat misses 2-pt shot at rim (block by D. Green)
11:34.0,Defensive rebound by L. Aldridge,,0-0,,
11:17.0,L. Aldridge misses 2-pt shot from 14 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by T. Satoransky
10:59.0,,,0-2,2,T. Satoransky makes 2-pt shot from 21 ft
10:49.0,,,0-2,,Personal foul by T. Satoransky (drawn by D. Murray)
10:39.0,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills),2,2-2,,
10:20.0,,,2-4,2,M. Morris makes 2-pt shot at rim (assist by B. Beal)
10:02.0,D. Murray misses 2-pt shot from 7 ft,,2-4,,
9:59.0,Offensive rebound by D. Murray,,2-4,,
9:54.0,D. Green makes 2-pt shot from 19 ft (assist by D. Murray),2,4-4,,
9:38.0,,,4-4,,B. Beal misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by P. Mills,,4-4,,
9:24.0,D. Green misses 3-pt shot from 22 ft,,4-4,,
9:21.0,,,4-4,,Defensive rebound by T. Satoransky
9:17.0,,,4-4,,B. Beal misses 3-pt shot from 27 ft
9:11.0,,,4-4,,Offensive rebound by M. Gortat
9:11.0,,,4-4,,M. Gortat misses 2-pt shot at rim
9:10.0,Defensive rebound by L. Aldridge,,4-4,,
9:09.0,Shooting foul by M. Morris (drawn by L. Aldridge),,4-4,,
9:09.0,L. Aldridge misses free throw 1 of 2,,4-4,,
9:09.0,Offensive rebound by Team,,4-4,,
9:09.0,L. Aldridge makes free throw 2 of 2,1,5-4,,
8:58.0,,,5-6,2,O. Porter makes 2-pt shot from 15 ft (assist by T. Satoransky)
8:43.0,D. Green makes 3-pt shot from 27 ft (assist by D. Murray),3,8-6,,
8:19.0,,,8-8,2,O. Porter makes 2-pt shot from 16 ft (assist by M. Gortat)
8:04.0,Turnover by P. Mills (bad pass; steal by O. Porter),,8-8,,
8:01.0,,,8-10,2,O. Porter makes 2-pt shot from 1 ft
7:38.0,P. Mills makes 3-pt shot from 26 ft (assist by L. Aldridge),3,11-10,,
7:25.0,Personal foul by D. Green (drawn by M. Morris),,11-10,,
7:18.0,,,11-12,2,M. Morris makes 2-pt shot from 12 ft
6:57.0,D. Murray makes 2-pt shot from 5 ft (assist by L. Aldridge),2,13-12,,
6:43.0,,,13-14,2,T. Satoransky makes 2-pt shot from 8 ft (assist by M. Morris)
6:28.0,Turnover by P. Mills (bad pass; steal by O. Porter),,13-14,,
6:23.0,,,13-16,2,O. Porter makes 2-pt shot from 12 ft
5:59.0,D. Murray misses 2-pt shot from 9 ft,,13-16,,
5:56.0,,,13-16,,Defensive rebound by M. Gortat
5:52.0,,,13-16,,Washington full timeout
5:36.0,,,13-18,2,M. Morris makes 2-pt shot from 10 ft (assist by T. Satoransky)
5:20.0,,,13-18,,Personal foul by M. Gortat (drawn by L. Aldridge)
5:20.0,M. Ginobili enters the game for D. Green,,13-18,,
5:20.0,T. Parker enters the game for D. Murray,,13-18,,
5:20.0,R. Gay enters the game for K. Anderson,,13-18,,
5:04.0,Turnover by M. Ginobili (bad pass; steal by M. Morris),,13-18,,
5:01.0,,,13-18,,Turnover by M. Morris (lost ball; steal by P. Mills)
4:52.0,M. Ginobili makes 3-pt shot from 26 ft (assist by R. Gay),3,16-18,,
4:34.0,,,16-18,,T. Satoransky misses 2-pt shot from 16 ft
4:31.0,Defensive rebound by L. Aldridge,,16-18,,
4:23.0,R. Gay misses 3-pt shot from 24 ft,,16-18,,
4:21.0,,,16-18,,Defensive rebound by B. Beal
4:13.0,,,16-18,,B. Beal misses 2-pt shot from 12 ft
4:11.0,Defensive rebound by R. Gay,,16-18,,
4:01.0,Shooting foul by T. Satoransky (drawn by R. Gay),,16-18,,
4:01.0,R. Gay makes free throw 1 of 2,1,17-18,,
4:01.0,,,17-18,,R. Sessions enters the game for O. Porter
4:01.0,,,17-18,,I. Mahinmi enters the game for M. Gortat
4:01.0,,,17-18,,K. Oubre enters the game for T. Satoransky
4:01.0,R. Gay makes free throw 2 of 2,1,18-18,,
4:01.0,P. Gasol enters the game for P. Mills,,18-18,,
3:45.0,,,18-18,,K. Oubre misses 3-pt shot from 23 ft
3:42.0,Defensive rebound by P. Gasol,,18-18,,
