time,Utah,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. E. Udoh (J. Wall gains possession),,,,Jump ball: M. Gortat vs. E. Udoh (J. Wall gains possession)
11:49.0,,,0-0,,Turnover by J. Wall (bad pass; steal by D. Mitchell)
11:45.0,D. Mitchell misses 2-pt shot from 1 ft,,0-0,,
11:45.0,Offensive rebound by Team,,0-0,,
11:39.0,D. Mitchell makes 3-pt shot from 25 ft (assist by J. Ingles),3,3-0,,
11:20.0,,,3-0,,J. Wall misses 2-pt shot from 1 ft
11:18.0,Defensive rebound by R. Rubio,,3-0,,
11:02.0,J. Ingles makes 2-pt shot from 15 ft,2,5-0,,
10:46.0,,,5-2,2,O. Porter makes 2-pt shot from 5 ft (assist by J. Wall)
10:27.0,E. Udoh makes 2-pt shot from 7 ft (assist by D. Mitchell),2,7-2,,
10:09.0,,,7-2,,B. Beal misses 2-pt shot from 2 ft (block by E. Udoh)
10:05.0,Defensive rebound by D. Mitchell,,7-2,,
10:04.0,D. Mitchell misses 3-pt shot from 24 ft,,7-2,,
10:01.0,,,7-2,,Defensive rebound by B. Beal
10:01.0,Personal take foul by D. Mitchell (drawn by B. Beal),,7-2,,
9:54.0,,,7-2,,Offensive foul by J. Wall (drawn by R. Rubio)
9:54.0,,,7-2,,Turnover by J. Wall (offensive foul)
9:33.0,D. Mitchell misses 3-pt shot from 25 ft,,7-2,,
9:26.0,Offensive rebound by J. Ingles,,7-2,,
9:22.0,J. Ingles misses 3-pt shot from 25 ft,,7-2,,
9:18.0,,,7-2,,Defensive rebound by M. Gortat
9:12.0,,,7-4,2,J. Wall makes 2-pt shot from 9 ft
9:12.0,,,7-4,,Shooting foul by D. Mitchell (drawn by J. Wall)
9:12.0,,,7-4,,J. Wall misses free throw 1 of 1
9:10.0,Defensive rebound by E. Udoh,,7-4,,
8:50.0,Turnover by J. Jerebko (step out of bounds),,7-4,,
8:50.0,J. Johnson enters the game for J. Jerebko,,7-4,,
8:34.0,,,7-6,2,M. Gortat makes 2-pt shot from 6 ft (assist by B. Beal)
8:16.0,E. Udoh makes 2-pt shot from 1 ft (assist by J. Ingles),2,9-6,,
8:05.0,,,9-8,2,B. Beal makes 2-pt shot from 21 ft
7:37.0,D. Mitchell misses 3-pt shot from 36 ft,,9-8,,
7:34.0,,,9-8,,Defensive rebound by J. Wall
7:30.0,,,9-10,2,J. Wall makes 2-pt shot from 1 ft
7:30.0,Utah full timeout,,9-10,,
