time,Portland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Nurkic (K. Kuzma gains possession),,,,Jump ball: B. Lopez vs. J. Nurkic (K. Kuzma gains possession)
11:40.0,,,0-0,,J. Randle misses 2-pt shot from 3 ft
11:38.0,Defensive rebound by J. Nurkic,,0-0,,
11:34.0,D. Lillard misses 3-pt shot from 27 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by K. Caldwell-Pope
11:21.0,,,0-2,2,B. Lopez makes 2-pt shot from 10 ft
11:06.0,J. Nurkic misses 2-pt shot from 2 ft (block by K. Kuzma),,0-2,,
11:06.0,,,0-2,,Defensive rebound by J. Randle
11:01.0,,,0-4,2,J. Randle makes 2-pt shot at rim
10:45.0,Turnover by D. Lillard (bad pass; steal by B. Lopez),,0-4,,
10:39.0,,,0-4,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by A. Aminu,,0-4,,
10:22.0,D. Lillard misses 3-pt shot from 27 ft,,0-4,,
10:20.0,,,0-4,,Defensive rebound by J. Randle
10:12.0,,,0-4,,J. Randle misses 2-pt shot from 4 ft
10:12.0,Defensive rebound by Team,,0-4,,
9:59.0,C. McCollum misses 3-pt shot from 25 ft,,0-4,,
9:55.0,,,0-4,,Defensive rebound by J. Randle
9:51.0,,,0-4,,Turnover by K. Kuzma (lost ball; steal by A. Aminu)
9:49.0,Turnover by A. Aminu (bad pass; steal by L. Ball),,0-4,,
9:43.0,,,0-4,,L. Ball misses 3-pt shot from 27 ft
9:41.0,Defensive rebound by A. Aminu,,0-4,,
9:41.0,E. Turner makes 2-pt shot at rim (assist by D. Lillard),2,2-4,,
9:41.0,Shooting foul by B. Lopez (drawn by E. Turner),,2-4,,
9:41.0,E. Turner makes free throw 1 of 1,1,3-4,,
9:25.0,,,3-4,,K. Kuzma misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by J. Nurkic,,3-4,,
9:15.0,D. Lillard makes 2-pt shot from 1 ft,2,5-4,,
9:02.0,,,5-4,,B. Lopez misses 3-pt shot from 25 ft
