time,Utah,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Gobert (N. Mirotic gains possession),,,,Jump ball: A. Davis vs. R. Gobert (N. Mirotic gains possession)
11:47.0,,,0-2,2,R. Rondo makes 2-pt shot from 2 ft
11:30.0,D. Mitchell misses 3-pt shot from 24 ft,,0-2,,
11:27.0,Offensive rebound by D. Favors,,0-2,,
11:15.0,R. Rubio misses 2-pt shot from 13 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by R. Rondo
11:07.0,,,0-2,,J. Holiday misses 2-pt shot from 3 ft
11:05.0,Defensive rebound by R. Gobert,,0-2,,
10:57.0,J. Ingles makes 2-pt shot at rim,2,2-2,,
10:46.0,,,2-2,,R. Rondo misses 2-pt shot from 17 ft
10:46.0,Defensive rebound by Team,,2-2,,
10:35.0,D. Favors makes 3-pt shot from 23 ft (assist by D. Mitchell),3,5-2,,
10:24.0,,,5-4,2,N. Mirotic makes 2-pt shot from 21 ft (assist by J. Holiday)
10:10.0,J. Ingles makes 3-pt shot from 26 ft (assist by R. Rubio),3,8-4,,
9:53.0,,,8-4,,N. Mirotic misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by J. Ingles,,8-4,,
9:40.0,R. Rubio makes 2-pt shot from 19 ft (assist by R. Gobert),2,10-4,,
9:29.0,,,10-4,,R. Rondo misses 3-pt shot from 22 ft
9:24.0,Defensive rebound by J. Ingles,,10-4,,
9:15.0,J. Ingles misses 2-pt shot from 2 ft (block by A. Davis),,10-4,,
9:11.0,,,10-4,,Defensive rebound by J. Holiday
9:08.0,,,10-4,,J. Holiday misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by J. Ingles,,10-4,,
8:53.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell),2,12-4,,
8:53.0,Shooting foul by N. Mirotic (drawn by R. Gobert),,12-4,,
8:53.0,R. Gobert makes free throw 1 of 1,1,13-4,,
8:39.0,,,13-4,,A. Davis misses 2-pt shot from 11 ft
8:37.0,Defensive rebound by R. Gobert,,13-4,,
8:30.0,Turnover by D. Mitchell (bad pass; steal by R. Rondo),,13-4,,
8:29.0,Personal foul by J. Ingles (drawn by R. Rondo),,13-4,,
8:15.0,,,13-4,,Turnover by R. Rondo (bad pass; steal by D. Mitchell)
8:10.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,15-4,,
8:03.0,,,15-6,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
7:43.0,D. Favors misses 2-pt shot from 15 ft,,15-6,,
7:40.0,,,15-6,,Defensive rebound by J. Holiday
7:30.0,,,15-8,2,R. Rondo makes 2-pt shot from 21 ft (assist by E. Moore)
7:14.0,Turnover by D. Mitchell (bad pass; steal by E. Moore),,15-8,,
7:10.0,,,15-8,,Turnover by N. Mirotic (bad pass)
