time,LA Clippers,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. D. Jordan (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. D. Jordan (E. Kanter gains possession)
11:38.0,,,0-3,3,J. Jack makes 3-pt shot from 22 ft (assist by C. Lee)
11:16.0,W. Johnson makes 3-pt shot from 23 ft (assist by P. Beverley),3,3-3,,
11:02.0,,,3-5,2,J. Jack makes 2-pt shot from 8 ft
10:53.0,Turnover by P. Beverley (step out of bounds),,3-5,,
10:46.0,,,3-5,,Turnover by T. Hardaway (bad pass; steal by W. Johnson)
10:42.0,B. Griffin makes 2-pt shot from 1 ft (assist by W. Johnson),2,5-5,,
10:18.0,,,5-5,,Shooting foul by P. Beverley (drawn by K. Porzingis)
10:18.0,,,5-6,1,K. Porzingis makes free throw 1 of 2
10:18.0,,,5-7,1,K. Porzingis makes free throw 2 of 2
9:59.0,B. Griffin makes 3-pt shot from 24 ft,3,8-7,,
9:47.0,,,8-7,,Turnover by K. Porzingis (lost ball; steal by B. Griffin)
9:42.0,,,8-7,,Personal foul by K. Porzingis (drawn by P. Beverley)
9:36.0,Shooting foul by E. Kanter (drawn by B. Griffin),,8-7,,
9:36.0,B. Griffin makes free throw 1 of 2,1,9-7,,
9:36.0,B. Griffin misses free throw 2 of 2,,9-7,,
9:33.0,,,9-7,,Defensive rebound by T. Hardaway
9:25.0,,,9-10,3,T. Hardaway makes 3-pt shot from 25 ft (assist by C. Lee)
9:05.0,P. Beverley makes 3-pt shot from 25 ft (assist by B. Griffin),3,12-10,,
8:55.0,,,12-10,,K. Porzingis misses 3-pt shot from 27 ft
8:54.0,Defensive rebound by D. Jordan,,12-10,,
8:47.0,W. Johnson makes 3-pt shot from 25 ft (assist by B. Griffin),3,15-10,,
8:27.0,,,15-10,,Turnover by E. Kanter (lost ball; steal by D. Jordan)
8:02.0,P. Beverley misses 3-pt shot from 25 ft,,15-10,,
8:01.0,,,15-10,,Defensive rebound by C. Lee
7:54.0,,,15-10,,J. Jack misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by W. Johnson,,15-10,,
7:32.0,W. Johnson misses 2-pt shot from 12 ft,,15-10,,
7:31.0,,,15-10,,Defensive rebound by E. Kanter
7:21.0,,,15-12,2,K. Porzingis makes 2-pt shot from 14 ft
7:03.0,B. Griffin misses 2-pt shot from 8 ft,,15-12,,
7:02.0,,,15-12,,Defensive rebound by E. Kanter
6:57.0,,,15-12,,New York full timeout
6:57.0,Personal foul by A. Rivers (drawn by T. Hardaway),,15-12,,
6:57.0,,,15-13,1,C. Lee makes free throw 1 of 1
6:55.0,,,15-13,,K. Porzingis misses 3-pt shot from 28 ft
6:52.0,Defensive rebound by W. Johnson,,15-13,,
6:42.0,B. Griffin misses 2-pt shot from 1 ft (block by K. Porzingis),,15-13,,
6:41.0,Offensive rebound by D. Jordan,,15-13,,
6:33.0,P. Beverley misses 3-pt shot from 27 ft,,15-13,,
6:32.0,,,15-13,,Defensive rebound by Team
6:14.0,,,15-13,,Turnover by K. Porzingis (lost ball; steal by W. Johnson)
6:10.0,Turnover by P. Beverley (bad pass),,15-13,,
5:52.0,Personal foul by A. Rivers (drawn by J. Jack),,15-13,,
5:52.0,L. Williams enters the game for P. Beverley,,15-13,,
5:52.0,S. Thornwell enters the game for A. Rivers,,15-13,,
5:44.0,,,15-13,,K. Porzingis misses 2-pt shot from 15 ft
5:43.0,Defensive rebound by B. Griffin,,15-13,,
5:31.0,Turnover by L. Williams (bad pass; steal by K. Porzingis),,15-13,,
5:18.0,,,15-13,,T. Hardaway misses 3-pt shot from 23 ft
5:17.0,Defensive rebound by L. Williams,,15-13,,
5:08.0,Turnover by B. Griffin (bad pass),,15-13,,
4:53.0,,,15-15,2,C. Lee makes 2-pt shot at rim (assist by J. Jack)
4:43.0,LA Clippers full timeout,,15-15,,
4:43.0,,,15-15,,D. McDermott enters the game for T. Hardaway
4:35.0,B. Griffin misses 3-pt shot from 24 ft,,15-15,,
