time,Brooklyn,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. T. Mozgov (B. Bogdanovic gains possession),,,,Jump ball: M. Turner vs. T. Mozgov (B. Bogdanovic gains possession)
11:36.0,,,0-2,2,D. Collison makes 2-pt shot from 1 ft
11:19.0,Shooting foul by T. Young (drawn by R. Hollis-Jefferson),,0-2,,
11:19.0,R. Hollis-Jefferson makes free throw 1 of 2,1,1-2,,
11:19.0,R. Hollis-Jefferson makes free throw 2 of 2,1,2-2,,
11:09.0,,,2-2,,V. Oladipo misses 2-pt shot from 21 ft
11:07.0,Defensive rebound by D. Carroll,,2-2,,
10:52.0,D. Carroll makes 2-pt shot from 17 ft (assist by R. Hollis-Jefferson),2,4-2,,
10:31.0,,,4-4,2,V. Oladipo makes 2-pt shot from 19 ft
10:15.0,Turnover by J. Lin (bad pass; steal by V. Oladipo),,4-4,,
10:11.0,,,4-6,2,V. Oladipo makes 2-pt shot from 1 ft
9:58.0,D. Russell makes 3-pt shot from 26 ft (assist by J. Lin),3,7-6,,
9:39.0,,,7-6,,T. Young misses 2-pt shot from 5 ft
9:37.0,Defensive rebound by T. Mozgov,,7-6,,
9:30.0,R. Hollis-Jefferson makes 2-pt shot from 17 ft (assist by D. Carroll),2,9-6,,
9:13.0,,,9-9,3,M. Turner makes 3-pt shot from 25 ft (assist by D. Collison)
8:57.0,D. Russell misses 2-pt shot from 16 ft,,9-9,,
8:55.0,,,9-9,,Defensive rebound by M. Turner
8:47.0,,,9-11,2,D. Collison makes 2-pt shot at rim
8:30.0,D. Russell makes 2-pt shot from 1 ft (assist by D. Carroll),2,11-11,,
8:24.0,Shooting block foul by J. Lin (drawn by V. Oladipo),,11-11,,
8:24.0,,,11-12,1,V. Oladipo makes free throw 1 of 2
8:24.0,,,11-13,1,V. Oladipo makes free throw 2 of 2
8:14.0,Turnover by J. Lin (lost ball; steal by D. Collison),,11-13,,
8:10.0,Shooting block foul by D. Russell (drawn by V. Oladipo),,11-13,,
8:10.0,,,11-14,1,V. Oladipo makes free throw 1 of 2
8:10.0,,,11-14,,V. Oladipo misses free throw 2 of 2
8:08.0,Defensive rebound by R. Hollis-Jefferson,,11-14,,
7:53.0,Turnover by D. Carroll (lost ball; steal by V. Oladipo),,11-14,,
