time,Indiana,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Sabonis (T. Young gains possession),,,,Jump ball: P. Gasol vs. D. Sabonis (T. Young gains possession)
11:36.0,D. Sabonis makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,2-0,,
11:19.0,,,2-0,,Turnover by P. Gasol (lost ball; steal by D. Collison)
11:05.0,D. Collison misses 2-pt shot from 17 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by L. Aldridge
10:45.0,,,2-0,,D. Murray misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by D. Sabonis,,2-0,,
10:34.0,V. Oladipo misses 2-pt shot from 17 ft,,2-0,,
10:30.0,,,2-0,,Defensive rebound by P. Gasol
10:20.0,,,2-0,,D. Green misses 2-pt shot from 20 ft
10:20.0,,,2-0,,Offensive rebound by L. Aldridge
10:15.0,,,2-2,2,L. Aldridge makes 2-pt shot at rim
10:08.0,V. Oladipo makes 2-pt shot from 5 ft,2,4-2,,
9:52.0,,,4-2,,L. Aldridge misses 2-pt shot from 18 ft
9:52.0,Defensive rebound by T. Young,,4-2,,
9:35.0,T. Young misses 2-pt shot from 15 ft,,4-2,,
9:31.0,,,4-2,,Defensive rebound by D. Murray
9:25.0,,,4-2,,D. Green misses 2-pt shot from 14 ft
9:25.0,Defensive rebound by B. Bogdanovic,,4-2,,
9:13.0,Shooting foul by P. Gasol (drawn by D. Sabonis),,4-2,,
9:13.0,D. Sabonis makes free throw 1 of 2,1,5-2,,
9:13.0,D. Sabonis makes free throw 2 of 2,1,6-2,,
8:52.0,,,6-2,,D. Green misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by V. Oladipo,,6-2,,
8:42.0,D. Sabonis misses 3-pt shot from 25 ft,,6-2,,
8:39.0,Offensive rebound by Team,,6-2,,
8:34.0,B. Bogdanovic makes 2-pt shot from 19 ft (assist by D. Collison),2,8-2,,
8:21.0,,,8-4,2,D. Murray makes 2-pt shot from 3 ft (assist by P. Gasol)
8:04.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by K. Anderson),,8-4,,
8:02.0,,,8-4,,Defensive rebound by P. Gasol
7:50.0,,,8-4,,Turnover by L. Aldridge (lost ball; steal by T. Young)
7:45.0,D. Collison misses 2-pt shot from 15 ft,,8-4,,
7:42.0,Offensive rebound by D. Sabonis,,8-4,,
7:39.0,T. Young misses 3-pt shot from 25 ft,,8-4,,
7:39.0,,,8-4,,Defensive rebound by K. Anderson
7:14.0,,,8-6,2,D. Green makes 2-pt shot from 2 ft (assist by P. Gasol)
6:57.0,Turnover by V. Oladipo (lost ball; steal by K. Anderson),,8-6,,
6:53.0,,,8-9,3,D. Green makes 3-pt shot from 24 ft (assist by D. Murray)
6:24.0,B. Bogdanovic misses 2-pt shot from 20 ft,,8-9,,
6:21.0,,,8-9,,Defensive rebound by D. Murray
6:19.0,,,8-11,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. Murray)
6:19.0,Indiana full timeout,,8-11,,
5:56.0,D. Collison misses 2-pt shot from 21 ft,,8-11,,
5:54.0,,,8-11,,Defensive rebound by K. Anderson
5:47.0,,,8-11,,Turnover by D. Murray (bad pass; steal by V. Oladipo)
5:35.0,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo),2,10-11,,
5:08.0,,,10-14,3,K. Anderson makes 3-pt shot from 25 ft (assist by D. Murray)
4:56.0,V. Oladipo misses 2-pt shot from 7 ft,,10-14,,
4:54.0,,,10-14,,Defensive rebound by D. Murray
4:46.0,,,10-14,,L. Aldridge misses 2-pt shot from 21 ft
4:43.0,Defensive rebound by D. Collison,,10-14,,
4:40.0,Shooting foul by D. Green (drawn by D. Collison),,10-14,,
4:40.0,D. Collison makes free throw 1 of 2,1,11-14,,
4:40.0,,,11-14,,P. Mills enters the game for D. Murray
4:40.0,,,11-14,,D. Bertans enters the game for D. Green
4:40.0,,,11-14,,T. Parker enters the game for P. Gasol
4:40.0,C. Joseph enters the game for B. Bogdanovic,,11-14,,
4:40.0,D. Collison makes free throw 2 of 2,1,12-14,,
4:22.0,,,12-14,,Turnover by L. Aldridge (bad pass)
4:10.0,D. Collison makes 2-pt shot from 16 ft,2,14-14,,
3:51.0,,,14-16,2,D. Bertans makes 2-pt shot from 17 ft (assist by P. Mills)
3:39.0,T. Young makes 2-pt shot from 1 ft,2,16-16,,
3:38.0,,,16-16,,San Antonio full timeout
3:38.0,,,16-16,,B. Forbes enters the game for K. Anderson
3:29.0,Personal foul by C. Joseph (drawn by P. Mills),,16-16,,
3:19.0,,,16-16,,Turnover by P. Mills (bad pass; steal by D. Sabonis)
3:01.0,C. Joseph misses 2-pt shot from 8 ft,,16-16,,
3:00.0,,,16-16,,Defensive rebound by D. Bertans
2:39.0,,,16-16,,D. Bertans misses 3-pt shot from 25 ft
2:39.0,,,16-16,,Offensive rebound by L. Aldridge
