time,Minnesota,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. K. Towns (J. Clarkson gains possession),,,,Jump ball: A. Bogut vs. K. Towns (J. Clarkson gains possession)
11:40.0,,,0-0,,K. Kuzma misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by Team,,0-0,,
11:27.0,K. Towns misses 3-pt shot from 25 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by J. Hart
11:12.0,,,0-0,,J. Hart misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by J. Teague,,0-0,,
11:02.0,K. Towns makes 3-pt shot from 26 ft (assist by J. Teague),3,3-0,,
10:50.0,,,3-0,,Shooting foul by K. Towns (drawn by K. Kuzma)
10:50.0,,,3-1,1,K. Kuzma makes free throw 1 of 2
10:50.0,,,3-2,1,K. Kuzma makes free throw 2 of 2
10:42.0,A. Wiggins makes 2-pt shot from 1 ft,2,5-2,,
10:37.0,,,5-4,2,K. Kuzma makes 2-pt shot from 1 ft (assist by J. Clarkson)
10:37.0,,,5-4,,Shooting foul by J. Teague (drawn by K. Kuzma)
10:37.0,,,5-4,,K. Kuzma misses free throw 1 of 1
10:31.0,Defensive rebound by K. Towns,,5-4,,
10:22.0,A. Wiggins misses 2-pt shot from 19 ft,,5-4,,
10:22.0,Offensive rebound by Team,,5-4,,
10:10.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Teague),2,7-4,,
9:56.0,,,7-6,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by A. Bogut)
9:31.0,A. Wiggins misses 3-pt shot from 28 ft,,7-6,,
9:26.0,,,7-6,,Defensive rebound by J. Hart
9:08.0,,,7-6,,J. Clarkson misses 2-pt shot from 15 ft
9:06.0,Defensive rebound by J. Teague,,7-6,,
8:46.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague),2,9-6,,
8:31.0,,,9-6,,J. Clarkson misses 2-pt shot from 16 ft
8:29.0,Defensive rebound by J. Teague,,9-6,,
8:24.0,J. Teague misses 3-pt shot from 26 ft,,9-6,,
8:21.0,,,9-6,,Defensive rebound by K. Kuzma
8:14.0,,,9-8,2,J. Hart makes 2-pt shot at rim (assist by K. Kuzma)
