time,Dallas,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Bell vs. M. Kleber (K. Thompson gains possession),,,,Jump ball: J. Bell vs. M. Kleber (K. Thompson gains possession)
11:41.0,,,0-2,2,K. Thompson makes 2-pt shot from 12 ft (assist by J. Bell)
11:25.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by M. Kleber),2,2-2,,
11:09.0,,,2-2,,Turnover by K. Thompson (bad pass; steal by Y. Ferrell)
10:45.0,Y. Ferrell makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,5-2,,
10:32.0,,,5-2,,K. Durant misses 2-pt shot from 13 ft
10:27.0,Defensive rebound by D. Nowitzki,,5-2,,
10:23.0,H. Barnes makes 3-pt shot from 23 ft (assist by M. Kleber),3,8-2,,
10:09.0,,,8-4,2,K. Thompson makes 2-pt shot from 18 ft (assist by J. Bell)
9:59.0,Y. Ferrell misses 3-pt shot from 27 ft,,8-4,,
9:54.0,,,8-4,,Defensive rebound by O. Casspi
9:48.0,,,8-4,,Offensive charge foul by S. Livingston (drawn by Y. Ferrell)
9:48.0,,,8-4,,Turnover by S. Livingston (offensive foul)
9:33.0,Y. Ferrell makes 2-pt shot from 1 ft (assist by W. Matthews),2,10-4,,
9:19.0,,,10-6,2,K. Durant makes 2-pt shot from 17 ft (assist by J. Bell)
8:52.0,W. Matthews makes 2-pt shot from 11 ft,2,12-6,,
8:36.0,,,12-8,2,K. Durant makes 2-pt shot from 9 ft
8:17.0,D. Nowitzki misses 2-pt shot from 12 ft,,12-8,,
8:11.0,,,12-8,,Defensive rebound by K. Durant
8:09.0,,,12-8,,Offensive charge foul by J. Bell (drawn by M. Kleber)
8:09.0,,,12-8,,Turnover by J. Bell (offensive foul)
7:54.0,H. Barnes misses 2-pt shot from 9 ft,,12-8,,
7:49.0,,,12-8,,Defensive rebound by K. Durant
7:40.0,,,12-8,,K. Durant misses 2-pt shot from 20 ft
7:35.0,Defensive rebound by D. Nowitzki,,12-8,,
7:22.0,W. Matthews makes 2-pt shot from 5 ft,2,14-8,,
7:21.0,,,14-8,,Golden State full timeout
7:21.0,A. Cleveland enters the game for D. Nowitzki,,14-8,,
7:06.0,,,14-10,2,S. Livingston makes 2-pt shot from 20 ft
6:53.0,Turnover by Y. Ferrell (bad pass; steal by J. Bell),,14-10,,
6:52.0,,,14-10,,Turnover by S. Livingston (bad pass)
6:34.0,H. Barnes makes 2-pt shot from 9 ft,2,16-10,,
6:15.0,,,16-10,,K. Durant misses 3-pt shot from 26 ft
6:13.0,,,16-10,,Offensive rebound by Team
6:10.0,,,16-10,,K. Thompson misses 2-pt shot from 7 ft
6:04.0,,,16-10,,Offensive rebound by O. Casspi
6:04.0,,,16-12,2,O. Casspi makes 2-pt shot at rim
5:54.0,W. Matthews misses 3-pt shot from 27 ft,,16-12,,
5:51.0,,,16-12,,Defensive rebound by O. Casspi
5:41.0,,,16-14,2,S. Livingston makes 2-pt shot from 10 ft
5:15.0,H. Barnes misses 3-pt shot from 26 ft,,16-14,,
5:11.0,,,16-14,,Defensive rebound by O. Casspi
4:59.0,,,16-16,2,J. Bell makes 2-pt shot from 6 ft
4:57.0,Dallas full timeout,,16-16,,
4:57.0,,,16-16,,A. Iguodala enters the game for O. Casspi
4:57.0,,,16-16,,P. McCaw enters the game for S. Livingston
4:41.0,H. Barnes makes 2-pt shot from 20 ft,2,18-16,,
4:16.0,,,18-16,,K. Thompson misses 2-pt shot from 12 ft
4:12.0,Defensive rebound by W. Matthews,,18-16,,
3:59.0,Y. Ferrell misses 3-pt shot from 25 ft,,18-16,,
3:54.0,,,18-16,,Defensive rebound by K. Durant
3:50.0,,,18-18,2,K. Durant makes 2-pt shot from 1 ft
3:27.0,W. Matthews misses 3-pt shot from 25 ft,,18-18,,
3:24.0,,,18-18,,Defensive rebound by J. Bell
3:14.0,Personal foul by A. Cleveland (drawn by K. Thompson),,18-18,,
3:14.0,,,18-18,,Q. Cook enters the game for J. Bell
3:14.0,,,18-18,,K. Looney enters the game for K. Thompson
3:14.0,D. Harris enters the game for Y. Ferrell,,18-18,,
3:14.0,J. Barea enters the game for A. Cleveland,,18-18,,
3:07.0,,,18-18,,A. Iguodala misses 3-pt shot from 26 ft
3:05.0,,,18-18,,Offensive rebound by K. Looney
2:54.0,,,18-21,3,K. Durant makes 3-pt shot from 25 ft (assist by Q. Cook)
2:36.0,J. Barea makes 3-pt shot from 22 ft,3,21-21,,
2:26.0,Personal foul by M. Kleber (drawn by K. Durant),,21-21,,
2:26.0,D. Nowitzki enters the game for H. Barnes,,21-21,,
2:26.0,D. Powell enters the game for M. Kleber,,21-21,,
2:21.0,,,21-21,,Offensive charge foul by Q. Cook (drawn by J. Barea)
2:21.0,,,21-21,,Turnover by Q. Cook (offensive foul)
2:09.0,D. Harris makes 2-pt shot at rim (assist by J. Barea),2,23-21,,
1:51.0,,,23-23,2,K. Durant makes 2-pt shot from 11 ft
1:51.0,,,23-23,,Shooting foul by D. Harris (drawn by K. Durant)
1:51.0,,,23-24,1,K. Durant makes free throw 1 of 1
1:30.0,D. Harris misses 2-pt shot from 8 ft,,23-24,,
1:25.0,,,23-24,,Defensive rebound by A. Iguodala
1:14.0,,,23-24,,P. McCaw misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by D. Nowitzki,,23-24,,
1:01.0,J. Barea makes 3-pt shot from 24 ft (assist by W. Matthews),3,26-24,,
0:46.0,,,26-24,,Turnover by K. Durant (bad pass; steal by D. Harris)
0:29.0,J. Barea makes 2-pt shot from 7 ft,2,28-24,,
0:11.0,,,28-24,,Offensive charge foul by K. Looney (drawn by J. Barea)
0:11.0,,,28-24,,Turnover by K. Looney (offensive foul)
0:05.0,,,28-24,,Personal foul by Q. Cook (drawn by D. Harris)
0:05.0,,,28-24,,S. Livingston enters the game for Q. Cook
0:01.0,Turnover by D. Harris (out of bounds lost ball),,28-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Harris makes 2-pt shot at rim (assist by D. Nowitzki),2,30-24,,
11:19.0,,,30-24,,K. Thompson misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by D. Nowitzki,,30-24,,
11:10.0,Turnover by J. Barea (bad pass; steal by D. West),,30-24,,
11:05.0,,,30-27,3,K. Thompson makes 3-pt shot from 26 ft (assist by A. Iguodala)
10:41.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by D. Harris),2,32-27,,
10:41.0,Shooting foul by K. Thompson (drawn by D. Nowitzki),,32-27,,
10:41.0,D. Nowitzki makes free throw 1 of 1,1,33-27,,
10:24.0,,,33-27,,Turnover by D. West (bad pass; steal by D. Harris)
10:08.0,D. Harris misses 3-pt shot from 26 ft,,33-27,,
10:02.0,,,33-27,,Defensive rebound by O. Casspi
9:56.0,,,33-27,,A. Iguodala misses 2-pt shot from 15 ft
9:52.0,Defensive rebound by D. Nowitzki,,33-27,,
9:48.0,,,33-27,,Personal foul by O. Casspi (drawn by D. Powell)
9:22.0,Turnover by Team (shot clock),,33-27,,
9:07.0,,,33-27,,Turnover by K. Thompson (lost ball; steal by D. Harris)
8:56.0,A. Cleveland misses 2-pt shot from 20 ft,,33-27,,
8:52.0,,,33-27,,Defensive rebound by A. Iguodala
8:47.0,,,33-27,,O. Casspi misses 3-pt shot from 27 ft
8:42.0,Defensive rebound by D. Nowitzki,,33-27,,
8:38.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,35-27,,
