time,LA Clippers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. D. Jordan,,,,Jump ball: J. McGee vs. D. Jordan
11:47.0,M. Teodosic misses 3-pt shot from 25 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by D. Green
11:32.0,,,0-2,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
11:18.0,T. Harris misses 3-pt shot from 28 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by S. Curry
11:08.0,,,0-2,,K. Durant misses 2-pt shot from 1 ft
11:03.0,Defensive rebound by D. Jordan,,0-2,,
11:01.0,T. Harris makes 2-pt shot from 1 ft (assist by M. Teodosic),2,2-2,,
10:45.0,,,2-5,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
10:37.0,D. Jordan makes 2-pt shot from 1 ft (assist by M. Teodosic),2,4-5,,
10:17.0,,,4-8,3,K. Thompson makes 3-pt shot from 23 ft (assist by K. Durant)
10:02.0,D. Gallinari misses 2-pt shot from 10 ft,,4-8,,
10:01.0,Offensive rebound by Team,,4-8,,
10:01.0,,,4-8,,Loose ball foul by J. McGee (drawn by D. Jordan)
9:45.0,A. Rivers misses 2-pt shot from 10 ft,,4-8,,
9:40.0,Offensive rebound by D. Jordan,,4-8,,
9:40.0,D. Jordan makes 2-pt shot at rim,2,6-8,,
9:24.0,,,6-8,,J. McGee misses 2-pt shot from 2 ft (block by D. Jordan)
9:20.0,Defensive rebound by D. Jordan,,6-8,,
9:15.0,A. Rivers misses 3-pt shot from 24 ft,,6-8,,
9:11.0,,,6-8,,Defensive rebound by J. McGee
9:01.0,,,6-8,,J. McGee misses 2-pt shot from 2 ft
8:59.0,Defensive rebound by D. Jordan,,6-8,,
8:54.0,M. Teodosic makes 3-pt shot from 26 ft (assist by T. Harris),3,9-8,,
8:40.0,,,9-10,2,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry)
8:23.0,A. Rivers misses 3-pt shot from 23 ft,,9-10,,
8:17.0,,,9-10,,Defensive rebound by D. Green
8:10.0,,,9-13,3,D. Green makes 3-pt shot from 26 ft (assist by K. Thompson)
7:54.0,A. Rivers makes 2-pt shot from 2 ft (assist by D. Jordan),2,11-13,,
7:37.0,,,11-15,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
7:26.0,Turnover by M. Teodosic (bad pass; steal by J. McGee),,11-15,,
7:21.0,,,11-17,2,K. Thompson makes 2-pt shot at rim (assist by K. Durant)
7:03.0,D. Gallinari misses 3-pt shot from 22 ft,,11-17,,
6:59.0,,,11-17,,Defensive rebound by D. Green
6:42.0,,,11-19,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
6:42.0,LA Clippers full timeout,,11-19,,
6:21.0,T. Harris makes 2-pt shot from 11 ft (assist by D. Gallinari),2,13-19,,
6:02.0,,,13-21,2,K. Durant makes 2-pt shot from 3 ft
5:53.0,M. Teodosic misses 2-pt shot from 15 ft,,13-21,,
5:47.0,,,13-21,,Defensive rebound by D. Green
5:31.0,,,13-23,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant)
5:07.0,Turnover by D. Jordan (bad pass; steal by D. Green),,13-23,,
4:53.0,,,13-23,,Turnover by S. Curry (bad pass; steal by D. Jordan)
4:48.0,D. Gallinari misses 3-pt shot from 26 ft,,13-23,,
4:43.0,,,13-23,,Defensive rebound by J. McGee
4:38.0,,,13-23,,Turnover by K. Thompson (bad pass)
4:38.0,,,13-23,,Z. Pachulia enters the game for D. Green
4:38.0,,,13-23,,A. Iguodala enters the game for J. McGee
4:38.0,T. Wallace enters the game for D. Gallinari,,13-23,,
4:38.0,L. Williams enters the game for M. Teodosic,,13-23,,
4:26.0,Shooting foul by K. Thompson (drawn by T. Harris),,13-23,,
4:26.0,T. Harris makes free throw 1 of 2,1,14-23,,
4:26.0,T. Harris makes free throw 2 of 2,1,15-23,,
4:17.0,,,15-23,,Turnover by K. Durant (bad pass; steal by T. Harris)
4:06.0,T. Wallace makes 2-pt shot from 6 ft (assist by A. Rivers),2,17-23,,
4:06.0,,,17-23,,Golden State full timeout
4:06.0,,,17-23,,N. Young enters the game for K. Thompson
3:49.0,,,17-25,2,K. Durant makes 2-pt shot from 11 ft (assist by S. Curry)
3:28.0,Turnover by D. Jordan (traveling),,17-25,,
3:09.0,,,17-25,,S. Curry misses 2-pt shot from 17 ft
3:05.0,Defensive rebound by L. Williams,,17-25,,
2:58.0,,,17-25,,Personal foul by S. Curry (drawn by L. Williams)
2:58.0,M. Teodosic enters the game for A. Rivers,,17-25,,
2:52.0,L. Williams makes 2-pt shot from 6 ft,2,19-25,,
2:41.0,,,19-25,,S. Curry misses 2-pt shot from 20 ft
