time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. S. Adams (J. Jerebko gains possession),,,,Jump ball: D. Favors vs. S. Adams (J. Jerebko gains possession)
11:49.0,Personal foul by P. George (drawn by J. Ingles),,0-0,,
11:35.0,,,0-0,,Turnover by R. Rubio (bad pass)
11:22.0,C. Anthony makes 3-pt shot from 23 ft (assist by R. Westbrook),3,3-0,,
11:01.0,,,3-2,2,R. Rubio makes 2-pt shot from 17 ft
10:46.0,C. Anthony misses 3-pt shot from 23 ft,,3-2,,
10:43.0,,,3-2,,Defensive rebound by D. Mitchell
10:37.0,Violation by S. Adams (kicked ball),,3-2,,
10:28.0,,,3-4,2,D. Mitchell makes 2-pt shot from 20 ft
10:13.0,Turnover by P. George (bad pass),,3-4,,
10:00.0,,,3-4,,R. Rubio misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by R. Westbrook,,3-4,,
9:49.0,R. Westbrook misses 2-pt shot from 21 ft,,3-4,,
9:45.0,,,3-4,,Defensive rebound by J. Ingles
9:27.0,,,3-4,,R. Rubio misses 2-pt shot from 22 ft
9:24.0,Defensive rebound by R. Westbrook,,3-4,,
9:18.0,S. Adams misses 2-pt shot from 1 ft (block by D. Favors),,3-4,,
9:14.0,,,3-4,,Defensive rebound by D. Mitchell
8:55.0,,,3-4,,J. Ingles misses 3-pt shot from 23 ft
8:53.0,Defensive rebound by S. Adams,,3-4,,
8:34.0,S. Adams makes 2-pt shot from 7 ft (assist by A. Roberson),2,5-4,,
8:14.0,Personal foul by R. Westbrook (drawn by R. Rubio),,5-4,,
8:10.0,,,5-4,,R. Rubio misses 2-pt shot from 2 ft
8:07.0,Defensive rebound by P. George,,5-4,,
8:00.0,P. George makes 3-pt shot from 22 ft (assist by C. Anthony),3,8-4,,
7:34.0,,,8-6,2,R. Rubio makes 2-pt shot from 17 ft
7:23.0,P. George makes 2-pt shot from 12 ft (assist by R. Westbrook),2,10-6,,
7:04.0,,,10-6,,R. Rubio misses 3-pt shot from 23 ft
7:01.0,Defensive rebound by R. Westbrook,,10-6,,
6:57.0,R. Westbrook makes 2-pt shot from 14 ft,2,12-6,,
6:54.0,,,12-6,,Utah full timeout
6:54.0,,,12-6,,R. Hood enters the game for R. Rubio
6:29.0,,,12-6,,Turnover by Team (shot clock)
6:20.0,C. Anthony misses 2-pt shot from 17 ft,,12-6,,
6:15.0,Offensive rebound by P. George,,12-6,,
6:15.0,P. George misses 2-pt shot at rim,,12-6,,
6:15.0,Offensive rebound by P. George,,12-6,,
6:08.0,P. George makes 2-pt shot from 2 ft,2,14-6,,
6:01.0,,,14-8,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
5:52.0,Shooting foul by D. Mitchell (drawn by R. Westbrook),,14-8,,
5:52.0,R. Westbrook misses free throw 1 of 2,,14-8,,
5:52.0,Offensive rebound by Team,,14-8,,
5:52.0,,,14-8,,J. Johnson enters the game for J. Jerebko
5:52.0,R. Westbrook makes free throw 2 of 2,1,15-8,,
5:43.0,,,15-8,,R. Hood misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by C. Anthony,,15-8,,
5:35.0,C. Anthony makes 2-pt shot from 20 ft,2,17-8,,
5:07.0,,,17-11,3,J. Ingles makes 3-pt shot from 22 ft (assist by J. Johnson)
4:48.0,Turnover by R. Westbrook (traveling),,17-11,,
4:48.0,J. Huestis enters the game for P. George,,17-11,,
4:32.0,,,17-11,,J. Ingles misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by C. Anthony,,17-11,,
4:21.0,C. Anthony misses 3-pt shot from 24 ft,,17-11,,
4:18.0,,,17-11,,Defensive rebound by D. Mitchell
4:11.0,,,17-14,3,J. Johnson makes 3-pt shot from 22 ft (assist by J. Ingles)
3:56.0,,,17-14,,Personal foul by D. Favors (drawn by C. Anthony)
3:47.0,R. Westbrook makes 2-pt shot from 19 ft (assist by C. Anthony),2,19-14,,
3:28.0,,,19-14,,J. Ingles misses 2-pt shot from 3 ft
3:26.0,Defensive rebound by J. Huestis,,19-14,,
3:20.0,J. Huestis misses 3-pt shot from 24 ft,,19-14,,
3:16.0,,,19-14,,Defensive rebound by J. Ingles
3:12.0,,,19-16,2,J. Ingles makes 2-pt shot from 1 ft
2:57.0,R. Westbrook makes 2-pt shot from 13 ft,2,21-16,,
2:42.0,,,21-18,2,D. Mitchell makes 2-pt shot from 11 ft
2:35.0,Oklahoma City full timeout,,21-18,,
2:35.0,,,21-18,,A. Burks enters the game for J. Ingles
2:35.0,,,21-18,,E. Udoh enters the game for D. Favors
2:35.0,A. Abrines enters the game for C. Anthony,,21-18,,
2:35.0,J. Grant enters the game for A. Roberson,,21-18,,
2:29.0,S. Adams misses 2-pt shot from 2 ft,,21-18,,
2:26.0,,,21-18,,Defensive rebound by D. Mitchell
2:23.0,,,21-20,2,D. Mitchell makes 2-pt shot from 2 ft
2:07.0,R. Westbrook makes 2-pt shot from 1 ft,2,23-20,,
1:50.0,,,23-20,,D. Mitchell misses 2-pt shot from 1 ft (block by R. Westbrook)
1:48.0,Defensive rebound by A. Abrines,,23-20,,
1:43.0,J. Huestis misses 3-pt shot from 24 ft,,23-20,,
1:40.0,,,23-20,,Defensive rebound by J. Johnson
1:25.0,,,23-20,,A. Burks misses 2-pt shot from 4 ft
1:22.0,Defensive rebound by R. Westbrook,,23-20,,
1:08.0,Shooting foul by E. Udoh (drawn by J. Grant),,23-20,,
1:08.0,J. Grant makes free throw 1 of 2,1,24-20,,
1:08.0,,,24-20,,R. Rubio enters the game for D. Mitchell
1:08.0,R. Felton enters the game for R. Westbrook,,24-20,,
1:08.0,P. Patterson enters the game for S. Adams,,24-20,,
1:08.0,J. Grant makes free throw 2 of 2,1,25-20,,
0:50.0,,,25-20,,R. Hood misses 2-pt shot from 17 ft
0:47.0,Defensive rebound by J. Grant,,25-20,,
0:38.0,Turnover by J. Huestis (bad pass; steal by A. Burks),,25-20,,
0:30.0,,,25-22,2,A. Burks makes 2-pt shot from 2 ft (assist by J. Johnson)
0:30.0,,,25-22,,Shooting foul by A. Abrines (drawn by A. Burks)
0:30.0,,,25-22,,A. Burks misses free throw 1 of 1
0:29.0,Defensive rebound by J. Grant,,25-22,,
0:10.0,A. Abrines makes 3-pt shot from 25 ft (assist by P. Patterson),3,28-22,,
0:00.0,,,28-22,,Turnover by J. Johnson (bad pass; steal by A. Abrines)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by J. Grant (lost ball; steal by R. Hood),,28-22,,
11:36.0,,,28-22,,A. Burks misses 2-pt shot from 1 ft (block by J. Grant)
11:33.0,Defensive rebound by J. Grant,,28-22,,
11:24.0,A. Abrines misses 3-pt shot from 25 ft,,28-22,,
11:20.0,,,28-22,,Defensive rebound by R. Rubio
11:03.0,,,28-24,2,A. Burks makes 2-pt shot from 1 ft (assist by R. Rubio)
10:39.0,R. Felton misses 2-pt shot from 20 ft,,28-24,,
10:37.0,,,28-24,,Defensive rebound by A. Burks
10:17.0,,,28-24,,R. Hood misses 2-pt shot from 13 ft
10:13.0,Defensive rebound by A. Abrines,,28-24,,
9:59.0,Shooting foul by T. Sefolosha (drawn by P. George),,28-24,,
9:59.0,P. George makes free throw 1 of 2,1,29-24,,
9:59.0,P. George makes free throw 2 of 2,1,30-24,,
9:44.0,,,30-24,,Turnover by R. Hood (bad pass; steal by P. George)
9:34.0,P. Patterson misses 2-pt shot from 5 ft,,30-24,,
9:32.0,,,30-24,,Defensive rebound by T. Sefolosha
9:25.0,,,30-24,,A. Burks misses 3-pt shot from 22 ft
9:22.0,Defensive rebound by P. Patterson,,30-24,,
9:11.0,P. Patterson misses 3-pt shot from 23 ft,,30-24,,
9:09.0,,,30-24,,Defensive rebound by A. Burks
9:02.0,,,30-24,,Shooting foul by J. Grant (drawn by T. Sefolosha)
9:02.0,,,30-25,1,T. Sefolosha makes free throw 1 of 2
9:02.0,R. Westbrook enters the game for A. Abrines,,30-25,,
9:02.0,,,30-26,1,T. Sefolosha makes free throw 2 of 2
8:49.0,R. Westbrook misses 2-pt shot from 2 ft,,30-26,,
8:47.0,,,30-26,,Defensive rebound by R. Rubio
8:44.0,,,30-26,,T. Sefolosha misses 2-pt shot from 3 ft (block by P. George)
8:44.0,,,30-26,,Offensive rebound by Team
8:44.0,,,30-26,,J. Jerebko enters the game for R. Hood
8:35.0,,,30-28,2,R. Rubio makes 2-pt shot from 13 ft
8:18.0,P. George makes 2-pt shot from 1 ft,2,32-28,,
8:10.0,,,32-28,,T. Sefolosha misses 2-pt shot from 2 ft
8:10.0,,,32-28,,Offensive rebound by Team
8:10.0,,,32-28,,D. Mitchell enters the game for R. Rubio
