time,San Antonio,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. P. Gasol (D. Murray gains possession),,,,Jump ball: J. Nurkic vs. P. Gasol (D. Murray gains possession)
11:42.0,P. Gasol makes 2-pt shot from 13 ft,2,2-0,,
11:23.0,,,2-2,2,E. Turner makes 2-pt shot from 8 ft
11:09.0,P. Gasol makes 2-pt shot from 20 ft (assist by B. Forbes),2,4-2,,
10:52.0,,,4-2,,C. McCollum misses 2-pt shot from 13 ft
10:49.0,,,4-2,,Offensive rebound by J. Nurkic
10:43.0,,,4-2,,J. Nurkic misses 2-pt shot from 4 ft
10:40.0,Defensive rebound by D. Murray,,4-2,,
10:35.0,D. Murray misses 2-pt shot from 3 ft,,4-2,,
10:34.0,,,4-2,,Defensive rebound by J. Nurkic
10:24.0,,,4-2,,A. Aminu misses 2-pt shot from 16 ft
10:24.0,,,4-2,,Offensive rebound by Team
10:24.0,Loose ball foul by L. Aldridge (drawn by J. Nurkic),,4-2,,
10:19.0,,,4-4,2,E. Turner makes 2-pt shot from 15 ft
10:02.0,L. Aldridge makes 2-pt shot from 8 ft,2,6-4,,
9:48.0,,,6-4,,E. Turner misses 2-pt shot from 14 ft
9:45.0,Defensive rebound by P. Gasol,,6-4,,
9:36.0,P. Gasol misses 3-pt shot from 24 ft,,6-4,,
9:35.0,,,6-4,,Defensive rebound by A. Aminu
9:19.0,,,6-4,,A. Aminu misses 2-pt shot from 9 ft
9:16.0,Defensive rebound by D. Murray,,6-4,,
9:10.0,P. Gasol misses 2-pt shot from 11 ft,,6-4,,
9:07.0,,,6-4,,Defensive rebound by C. McCollum
8:58.0,,,6-4,,C. McCollum misses 2-pt shot from 17 ft
8:56.0,Defensive rebound by D. Green,,6-4,,
8:48.0,L. Aldridge misses 3-pt shot from 24 ft,,6-4,,
8:46.0,,,6-4,,Defensive rebound by D. Lillard
8:42.0,,,6-4,,C. McCollum misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by D. Murray,,6-4,,
8:32.0,D. Murray misses 2-pt shot from 11 ft,,6-4,,
8:25.0,Offensive rebound by P. Gasol,,6-4,,
8:25.0,P. Gasol misses 2-pt shot at rim,,6-4,,
8:24.0,,,6-4,,Defensive rebound by A. Aminu
8:15.0,,,6-4,,Turnover by J. Nurkic (traveling)
7:56.0,L. Aldridge makes 2-pt shot from 11 ft (assist by P. Gasol),2,8-4,,
7:39.0,,,8-6,2,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard)
7:19.0,D. Murray makes 2-pt shot at rim (assist by P. Gasol),2,10-6,,
7:05.0,,,10-8,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
7:05.0,San Antonio full timeout,,10-8,,
6:51.0,B. Forbes misses 3-pt shot from 24 ft,,10-8,,
6:49.0,,,10-8,,Defensive rebound by A. Aminu
6:41.0,,,10-8,,D. Lillard misses 2-pt shot from 14 ft
6:38.0,Defensive rebound by D. Green,,10-8,,
6:32.0,L. Aldridge makes 2-pt shot at rim (assist by P. Gasol),2,12-8,,
6:12.0,,,12-10,2,E. Turner makes 2-pt shot from 15 ft
5:53.0,D. Murray misses 2-pt shot from 17 ft,,12-10,,
5:50.0,Offensive rebound by P. Gasol,,12-10,,
5:46.0,D. Green misses 2-pt shot from 17 ft,,12-10,,
5:43.0,Offensive rebound by L. Aldridge,,12-10,,
5:36.0,D. Murray misses 2-pt shot from 13 ft,,12-10,,
5:33.0,,,12-10,,Defensive rebound by J. Nurkic
5:24.0,,,12-10,,A. Aminu misses 2-pt shot from 7 ft
5:22.0,Defensive rebound by P. Gasol,,12-10,,
5:12.0,Turnover by D. Murray (lost ball; steal by D. Lillard),,12-10,,
5:08.0,,,12-12,2,D. Lillard makes 2-pt shot from 1 ft (assist by A. Aminu)
4:46.0,B. Forbes makes 2-pt shot from 16 ft,2,14-12,,
4:35.0,Violation by L. Aldridge (kicked ball),,14-12,,
4:35.0,,,14-12,,E. Davis enters the game for E. Turner
4:35.0,,,14-12,,Z. Collins enters the game for J. Nurkic
4:35.0,R. Gay enters the game for B. Forbes,,14-12,,
4:35.0,K. Anderson enters the game for P. Gasol,,14-12,,
4:35.0,P. Mills enters the game for D. Green,,14-12,,
4:35.0,M. Ginobili enters the game for D. Murray,,14-12,,
4:25.0,,,14-12,,C. McCollum misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by L. Aldridge,,14-12,,
4:11.0,L. Aldridge misses 2-pt shot from 17 ft,,14-12,,
4:08.0,,,14-12,,Defensive rebound by E. Davis
4:01.0,,,14-12,,D. Lillard misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by Team,,14-12,,
4:01.0,,,14-12,,Loose ball foul by E. Davis (drawn by R. Gay)
4:01.0,,,14-12,,P. Connaughton enters the game for C. McCollum
3:44.0,,,14-12,,Personal foul by D. Lillard (drawn by P. Mills)
3:39.0,P. Mills makes 2-pt shot from 22 ft,2,16-12,,
3:23.0,,,16-12,,E. Davis misses 2-pt shot from 7 ft
3:20.0,Defensive rebound by K. Anderson,,16-12,,
3:10.0,P. Mills misses 3-pt shot from 25 ft,,16-12,,
3:07.0,,,16-12,,Defensive rebound by D. Lillard
2:59.0,,,16-12,,Z. Collins misses 2-pt shot from 3 ft
2:55.0,,,16-12,,Offensive rebound by E. Davis
2:55.0,,,16-14,2,E. Davis makes 2-pt shot at rim
2:46.0,Turnover by L. Aldridge (turnover),,16-14,,
2:46.0,,,16-14,,Portland full timeout
2:46.0,P. Gasol enters the game for L. Aldridge,,16-14,,
2:27.0,,,16-16,2,Z. Collins makes 2-pt shot from 3 ft
2:11.0,R. Gay makes 2-pt shot at rim (assist by M. Ginobili),2,18-16,,
2:01.0,,,18-18,2,D. Lillard makes 2-pt shot from 1 ft
1:51.0,,,18-18,,Personal foul by A. Aminu (drawn by R. Gay)
1:38.0,M. Ginobili misses 2-pt shot from 14 ft,,18-18,,
1:36.0,Offensive rebound by Team,,18-18,,
1:23.0,Turnover by M. Ginobili (bad pass; steal by A. Aminu),,18-18,,
1:13.0,,,18-18,,P. Connaughton misses 2-pt shot from 1 ft
1:10.0,,,18-18,,Offensive rebound by E. Davis
1:10.0,,,18-20,2,E. Davis makes 2-pt shot at rim
1:00.0,P. Mills makes 2-pt shot from 2 ft (assist by K. Anderson),2,20-20,,
0:43.0,,,20-20,,E. Davis misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by P. Gasol,,20-20,,
0:31.0,P. Gasol makes 2-pt shot from 2 ft,2,22-20,,
0:10.0,,,22-22,2,D. Lillard makes 2-pt shot from 1 ft
0:02.0,P. Gasol makes 3-pt shot from 25 ft (assist by K. Anderson),3,25-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-22,,C. McCollum misses 3-pt shot from 26 ft
11:44.0,,,25-22,,Offensive rebound by C. McCollum
11:41.0,,,25-22,,Turnover by E. Turner (bad pass; steal by K. Anderson)
11:33.0,P. Mills misses 3-pt shot from 25 ft,,25-22,,
11:30.0,,,25-22,,Defensive rebound by Z. Collins
11:15.0,,,25-22,,Turnover by S. Napier (bad pass; steal by M. Ginobili)
11:05.0,P. Gasol makes 2-pt shot from 1 ft,2,27-22,,
11:05.0,Shooting foul by Z. Collins (drawn by P. Gasol),,27-22,,
11:05.0,D. Murray enters the game for P. Mills,,27-22,,
11:05.0,P. Gasol makes free throw 1 of 1,1,28-22,,
10:48.0,,,28-22,,Z. Collins misses 2-pt shot at rim (block by R. Gay)
10:42.0,Defensive rebound by D. Murray,,28-22,,
10:37.0,K. Anderson misses 3-pt shot from 22 ft,,28-22,,
10:35.0,,,28-22,,Defensive rebound by E. Davis
10:27.0,,,28-22,,E. Turner misses 2-pt shot from 20 ft
10:23.0,Defensive rebound by P. Gasol,,28-22,,
10:11.0,R. Gay makes 2-pt shot from 13 ft,2,30-22,,
9:53.0,,,30-24,2,S. Napier makes 2-pt shot from 21 ft (assist by C. McCollum)
9:36.0,M. Ginobili makes 3-pt shot from 22 ft,3,33-24,,
9:14.0,,,33-26,2,S. Napier makes 2-pt shot from 16 ft
9:14.0,San Antonio full timeout,,33-26,,
9:14.0,L. Aldridge enters the game for K. Anderson,,33-26,,
9:14.0,D. Green enters the game for M. Ginobili,,33-26,,
9:14.0,B. Forbes enters the game for R. Gay,,33-26,,
8:57.0,P. Gasol makes 2-pt shot from 1 ft,2,35-26,,
8:32.0,,,35-28,2,E. Turner makes 2-pt shot from 20 ft
8:17.0,,,35-28,,Personal foul by E. Davis (drawn by L. Aldridge)
8:17.0,,,35-28,,J. Nurkic enters the game for E. Davis
8:17.0,,,35-28,,M. Leonard enters the game for Z. Collins
8:07.0,,,35-28,,Personal foul by J. Nurkic (drawn by P. Gasol)
7:57.0,L. Aldridge makes 2-pt shot from 15 ft (assist by P. Gasol),2,37-28,,
7:43.0,,,37-28,,S. Napier misses 3-pt shot from 26 ft
7:42.0,,,37-28,,Offensive rebound by C. McCollum
7:41.0,,,37-28,,C. McCollum misses 2-pt shot from 2 ft
7:39.0,Defensive rebound by D. Murray,,37-28,,
7:32.0,P. Gasol makes 2-pt shot from 3 ft (assist by D. Murray),2,39-28,,
7:32.0,,,39-28,,Portland full timeout
7:32.0,,,39-28,,D. Lillard enters the game for E. Turner
7:13.0,,,39-30,2,S. Napier makes 2-pt shot from 16 ft (assist by M. Leonard)
7:13.0,,,39-30,,Shooting foul by B. Forbes (drawn by S. Napier)
7:13.0,,,39-30,,S. Napier misses free throw 1 of 1
7:11.0,Defensive rebound by P. Gasol,,39-30,,
6:54.0,Turnover by L. Aldridge (bad pass),,39-30,,
6:41.0,,,39-30,,C. McCollum misses 2-pt shot from 12 ft
6:39.0,Defensive rebound by L. Aldridge,,39-30,,
6:36.0,Turnover by D. Murray (out of bounds lost ball),,39-30,,
6:23.0,,,39-30,,J. Nurkic misses 2-pt shot from 1 ft
6:21.0,Defensive rebound by D. Murray,,39-30,,
6:13.0,D. Green misses 2-pt shot from 15 ft,,39-30,,
6:12.0,,,39-30,,Defensive rebound by Team
6:12.0,Loose ball foul by D. Green (drawn by D. Lillard),,39-30,,
5:53.0,,,39-30,,D. Lillard misses 2-pt shot from 2 ft (block by P. Gasol)
5:50.0,Defensive rebound by P. Gasol,,39-30,,
5:37.0,Turnover by D. Green (bad pass; steal by M. Leonard),,39-30,,
5:25.0,,,39-30,,C. McCollum misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by D. Murray,,39-30,,
5:03.0,D. Green misses 2-pt shot at rim,,39-30,,
5:01.0,,,39-30,,Defensive rebound by M. Leonard
4:55.0,,,39-33,3,S. Napier makes 3-pt shot from 26 ft (assist by C. McCollum)
4:55.0,San Antonio full timeout,,39-33,,
4:55.0,,,39-33,,A. Aminu enters the game for M. Leonard
4:55.0,M. Ginobili enters the game for B. Forbes,,39-33,,
4:55.0,K. Anderson enters the game for D. Green,,39-33,,
4:55.0,R. Gay enters the game for P. Gasol,,39-33,,
4:41.0,L. Aldridge makes 2-pt shot from 11 ft,2,41-33,,
4:25.0,,,41-33,,Shooting foul by R. Gay (drawn by D. Lillard)
4:25.0,,,41-34,1,D. Lillard makes free throw 1 of 3
4:25.0,,,41-35,1,D. Lillard makes free throw 2 of 3
4:25.0,D. Bertans enters the game for D. Murray,,41-35,,
4:25.0,P. Mills enters the game for R. Gay,,41-35,,
4:25.0,,,41-36,1,D. Lillard makes free throw 3 of 3
4:11.0,L. Aldridge makes 2-pt shot from 12 ft,2,43-36,,
4:00.0,,,43-36,,D. Lillard misses 2-pt shot from 1 ft (block by L. Aldridge)
3:58.0,Defensive rebound by K. Anderson,,43-36,,
3:45.0,M. Ginobili makes 2-pt shot at rim,2,45-36,,
3:17.0,,,45-36,,C. McCollum misses 3-pt shot from 25 ft
3:17.0,,,45-36,,Offensive rebound by Team
3:17.0,,,45-36,,Turnover by Team (shot clock)
3:17.0,,,45-36,,E. Davis enters the game for J. Nurkic
3:03.0,L. Aldridge makes 2-pt shot from 9 ft,2,47-36,,
2:44.0,,,47-38,2,D. Lillard makes 2-pt shot from 1 ft
2:28.0,P. Mills makes 2-pt shot from 1 ft,2,49-38,,
2:17.0,,,49-38,,Turnover by D. Lillard (lost ball; steal by M. Ginobili)
2:13.0,Turnover by D. Bertans (lost ball; steal by C. McCollum),,49-38,,
2:08.0,,,49-40,2,E. Davis makes 2-pt shot from 1 ft (assist by S. Napier)
1:54.0,Turnover by L. Aldridge (out of bounds lost ball),,49-40,,
