time,Charlotte,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. D. Howard (K. Walker gains possession),,,,Jump ball: B. Biyombo vs. D. Howard (K. Walker gains possession)
11:43.0,M. Williams misses 2-pt shot from 8 ft,,0-0,,
11:39.0,Offensive rebound by M. Williams,,0-0,,
11:38.0,M. Williams makes 2-pt shot from 2 ft,2,2-0,,
11:17.0,,,2-3,3,D. Augustin makes 3-pt shot from 27 ft (assist by J. Simmons)
11:03.0,D. Howard misses 2-pt shot from 7 ft,,2-3,,
10:59.0,,,2-3,,Defensive rebound by B. Biyombo
10:51.0,,,2-3,,D. Augustin misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by D. Howard,,2-3,,
10:46.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,2-3,,
10:46.0,,,2-3,,Defensive rebound by B. Biyombo
10:34.0,,,2-6,3,E. Fournier makes 3-pt shot from 23 ft (assist by J. Simmons)
10:15.0,N. Batum misses 2-pt shot from 22 ft,,2-6,,
10:13.0,,,2-6,,Defensive rebound by M. Hezonja
10:08.0,,,2-8,2,M. Hezonja makes 2-pt shot from 2 ft
9:55.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker),2,4-8,,
9:37.0,,,4-8,,E. Fournier misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by D. Howard,,4-8,,
9:24.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,4-8,,
9:21.0,,,4-8,,Defensive rebound by M. Hezonja
9:14.0,,,4-10,2,M. Hezonja makes 2-pt shot from 21 ft
9:00.0,D. Howard misses 2-pt shot from 19 ft,,4-10,,
8:57.0,,,4-10,,Defensive rebound by J. Simmons
8:47.0,,,4-10,,Turnover by J. Simmons (step out of bounds)
8:36.0,Turnover by K. Walker (bad pass),,4-10,,
8:21.0,,,4-12,2,E. Fournier makes 2-pt shot from 6 ft (assist by D. Augustin)
8:14.0,Charlotte full timeout,,4-12,,
8:09.0,K. Walker misses 2-pt shot from 15 ft,,4-12,,
8:08.0,,,4-12,,Defensive rebound by Team
8:08.0,Loose ball foul by D. Howard (drawn by B. Biyombo),,4-12,,
7:46.0,,,4-12,,B. Biyombo misses 2-pt shot from 3 ft
7:44.0,Defensive rebound by D. Howard,,4-12,,
7:27.0,N. Batum misses 3-pt shot from 25 ft,,4-12,,
7:23.0,,,4-12,,Defensive rebound by B. Biyombo
7:15.0,,,4-12,,Turnover by D. Augustin (bad pass; steal by M. Williams)
7:04.0,D. Howard makes 2-pt shot from 9 ft,2,6-12,,
6:46.0,,,6-12,,M. Hezonja misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by D. Howard,,6-12,,
6:26.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,9-12,,
6:08.0,,,9-12,,D. Augustin misses 2-pt shot from 1 ft (block by D. Howard)
6:04.0,Defensive rebound by M. Kidd-Gilchrist,,9-12,,
6:03.0,Shooting foul by M. Hezonja (drawn by M. Williams),,9-12,,
6:03.0,M. Williams makes free throw 1 of 2,1,10-12,,
6:03.0,,,10-12,,Orlando full timeout
6:03.0,M. Williams misses free throw 2 of 2,,10-12,,
6:01.0,,,10-12,,Defensive rebound by M. Hezonja
5:41.0,,,10-12,,E. Fournier misses 3-pt shot from 26 ft
5:35.0,Defensive rebound by N. Batum,,10-12,,
5:29.0,Turnover by N. Batum (bad pass; steal by E. Fournier),,10-12,,
5:27.0,,,10-12,,Shooting foul by K. Walker (drawn by E. Fournier)
5:27.0,,,10-13,1,E. Fournier makes free throw 1 of 2
5:27.0,,,10-13,,E. Fournier misses free throw 2 of 2
5:25.0,,,10-13,,Offensive rebound by M. Hezonja
5:23.0,,,10-15,2,J. Simmons makes 2-pt shot from 15 ft (assist by E. Fournier)
5:06.0,M. Williams misses 3-pt shot from 26 ft,,10-15,,
5:02.0,,,10-15,,Defensive rebound by E. Fournier
4:53.0,,,10-15,,B. Biyombo misses 2-pt shot from 5 ft
4:50.0,Defensive rebound by M. Kidd-Gilchrist,,10-15,,
4:46.0,Turnover by D. Howard (lost ball; steal by M. Hezonja),,10-15,,
4:43.0,,,10-17,2,E. Fournier makes 2-pt shot from 1 ft (assist by D. Augustin)
4:30.0,,,10-17,,Personal foul by E. Fournier (drawn by N. Batum)
4:23.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams),3,13-17,,
4:10.0,,,13-17,,Turnover by D. Augustin (bad pass; steal by N. Batum)
4:03.0,N. Batum misses 2-pt shot from 23 ft,,13-17,,
3:59.0,,,13-17,,Defensive rebound by J. Simmons
3:52.0,,,13-17,,M. Hezonja misses 2-pt shot from 3 ft
3:48.0,Defensive rebound by M. Williams,,13-17,,
3:44.0,K. Walker misses 2-pt shot from 22 ft,,13-17,,
3:41.0,,,13-17,,Defensive rebound by J. Simmons
3:37.0,,,13-17,,D. Augustin misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by K. Walker,,13-17,,
3:29.0,M. Williams misses 3-pt shot from 26 ft,,13-17,,
3:29.0,,,13-17,,Defensive rebound by D. Augustin
3:23.0,,,13-19,2,D. Augustin makes 2-pt shot from 1 ft
3:05.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,13-19,,
3:03.0,,,13-19,,Defensive rebound by B. Biyombo
2:57.0,,,13-19,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Biyombo)
2:57.0,,,13-20,1,B. Biyombo makes free throw 1 of 2
2:57.0,,,13-20,,S. Mack enters the game for J. Simmons
2:57.0,,,13-20,,W. Iwundu enters the game for D. Augustin
2:57.0,J. Lamb enters the game for M. Kidd-Gilchrist,,13-20,,
2:57.0,F. Kaminsky enters the game for M. Williams,,13-20,,
2:57.0,,,13-21,1,B. Biyombo makes free throw 2 of 2
2:49.0,Shooting foul by B. Biyombo (drawn by D. Howard),,13-21,,
2:49.0,D. Howard misses free throw 1 of 2,,13-21,,
2:49.0,Offensive rebound by Team,,13-21,,
2:49.0,,,13-21,,M. Speights enters the game for B. Biyombo
2:49.0,D. Howard makes free throw 2 of 2,1,14-21,,
2:40.0,,,14-21,,E. Fournier misses 3-pt shot from 26 ft
2:40.0,Defensive rebound by D. Howard,,14-21,,
2:29.0,K. Walker misses 3-pt shot from 24 ft,,14-21,,
2:29.0,,,14-21,,Defensive rebound by M. Speights
2:18.0,,,14-21,,M. Hezonja misses 2-pt shot from 22 ft
2:15.0,Defensive rebound by D. Howard,,14-21,,
2:11.0,K. Walker makes 2-pt shot from 1 ft (assist by D. Howard),2,16-21,,
2:11.0,Shooting foul by S. Mack (drawn by K. Walker),,16-21,,
2:11.0,K. Walker makes free throw 1 of 1,1,17-21,,
2:11.0,C. Zeller enters the game for N. Batum,,17-21,,
2:11.0,T. Graham enters the game for D. Howard,,17-21,,
1:54.0,,,17-23,2,M. Speights makes 2-pt shot from 1 ft
1:36.0,F. Kaminsky misses 2-pt shot from 5 ft,,17-23,,
1:33.0,,,17-23,,Defensive rebound by W. Iwundu
1:29.0,,,17-23,,Turnover by W. Iwundu (bad pass; steal by C. Zeller)
1:22.0,K. Walker misses 3-pt shot from 26 ft,,17-23,,
1:17.0,,,17-23,,Defensive rebound by W. Iwundu
1:13.0,,,17-23,,E. Fournier misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by K. Walker,,17-23,,
1:06.0,J. Lamb misses 3-pt shot from 25 ft,,17-23,,
1:04.0,,,17-23,,Defensive rebound by Team
1:04.0,,,17-23,,A. Afflalo enters the game for M. Hezonja
1:04.0,,,17-23,,K. Birch enters the game for E. Fournier
1:04.0,M. Carter-Williams enters the game for K. Walker,,17-23,,
0:51.0,,,17-26,3,M. Speights makes 3-pt shot from 27 ft (assist by S. Mack)
0:38.0,J. Lamb makes 3-pt shot from 26 ft (assist by F. Kaminsky),3,20-26,,
0:31.0,,,20-26,,M. Speights misses 3-pt shot from 27 ft
0:27.0,Defensive rebound by C. Zeller,,20-26,,
0:07.0,F. Kaminsky misses 3-pt shot from 26 ft,,20-26,,
0:06.0,,,20-26,,Defensive rebound by Team
0:00.0,,,20-26,,Turnover by S. Mack (lost ball; steal by M. Carter-Williams)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,20-28,2,K. Birch makes 2-pt shot from 1 ft (assist by M. Speights)
11:23.0,J. Lamb makes 2-pt shot from 3 ft (assist by F. Kaminsky),2,22-28,,
11:09.0,,,22-28,,Turnover by A. Afflalo (bad pass; steal by J. Lamb)
11:03.0,F. Kaminsky misses 3-pt shot from 24 ft,,22-28,,
10:59.0,,,22-28,,Defensive rebound by W. Iwundu
10:53.0,,,22-28,,Turnover by S. Mack (bad pass; steal by M. Carter-Williams)
10:42.0,T. Graham makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,25-28,,
10:21.0,,,25-31,3,M. Speights makes 3-pt shot from 25 ft
10:03.0,J. Lamb makes 2-pt shot from 1 ft,2,27-31,,
9:43.0,,,27-31,,Shooting foul by J. Lamb (drawn by M. Speights)
9:43.0,,,27-32,1,M. Speights makes free throw 1 of 2
9:43.0,,,27-33,1,M. Speights makes free throw 2 of 2
9:26.0,M. Carter-Williams makes 2-pt shot at rim (assist by F. Kaminsky),2,29-33,,
9:26.0,,,29-33,,Violation by K. Birch (def goaltending)
9:05.0,,,29-33,,A. Afflalo misses 2-pt shot from 9 ft
9:00.0,Defensive rebound by C. Zeller,,29-33,,
8:51.0,F. Kaminsky misses 2-pt shot from 2 ft,,29-33,,
8:51.0,,,29-33,,Defensive rebound by M. Speights
8:45.0,,,29-33,,Shooting foul by T. Graham (drawn by W. Iwundu)
8:45.0,,,29-34,1,W. Iwundu makes free throw 1 of 2
8:45.0,,,29-35,1,W. Iwundu makes free throw 2 of 2
8:28.0,J. Lamb misses 2-pt shot from 8 ft,,29-35,,
8:24.0,,,29-35,,Defensive rebound by S. Mack
8:18.0,,,29-35,,M. Speights misses 3-pt shot from 27 ft
8:16.0,,,29-35,,Offensive rebound by Team
8:16.0,Jump ball: M. Carter-Williams vs.,,,,Jump ball: M. Carter-Williams vs.
8:03.0,,,29-35,,Offensive foul by K. Birch (drawn by M. Carter-Williams)
8:03.0,,,29-35,,Turnover by K. Birch (offensive foul)
7:49.0,C. Zeller makes 2-pt shot from 1 ft (assist by T. Graham),2,31-35,,
7:49.0,,,31-35,,Orlando full timeout
7:34.0,,,31-38,3,S. Mack makes 3-pt shot from 26 ft (assist by K. Birch)
7:09.0,T. Graham misses 2-pt shot from 20 ft,,31-38,,
7:04.0,Offensive rebound by C. Zeller,,31-38,,
6:56.0,F. Kaminsky makes 2-pt shot from 13 ft,2,33-38,,
6:39.0,,,33-38,,Offensive foul by A. Afflalo (drawn by T. Graham)
6:39.0,,,33-38,,Turnover by A. Afflalo (offensive foul)
6:39.0,,,33-38,,J. Simmons enters the game for M. Speights
6:39.0,,,33-38,,M. Hezonja enters the game for W. Iwundu
6:39.0,K. Walker enters the game for T. Graham,,33-38,,
6:30.0,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lamb),2,35-38,,
6:11.0,,,35-38,,S. Mack misses 2-pt shot from 11 ft
6:09.0,Defensive rebound by C. Zeller,,35-38,,
6:04.0,M. Carter-Williams misses 3-pt shot from 25 ft,,35-38,,
6:02.0,,,35-38,,Defensive rebound by S. Mack
5:53.0,,,35-40,2,M. Hezonja makes 2-pt shot from 1 ft
5:38.0,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker),2,37-40,,
5:26.0,,,37-43,3,M. Hezonja makes 3-pt shot from 25 ft (assist by K. Birch)
5:23.0,Charlotte full timeout,,37-43,,
5:23.0,D. Howard enters the game for M. Carter-Williams,,37-43,,
5:23.0,M. Williams enters the game for C. Zeller,,37-43,,
5:23.0,N. Batum enters the game for F. Kaminsky,,37-43,,
5:04.0,D. Howard misses 2-pt shot from 2 ft,,37-43,,
5:02.0,,,37-43,,Defensive rebound by J. Simmons
4:47.0,,,37-43,,M. Hezonja misses 2-pt shot from 2 ft
4:44.0,Defensive rebound by D. Howard,,37-43,,
4:37.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,40-43,,
4:14.0,,,40-43,,M. Hezonja misses 3-pt shot from 27 ft
4:12.0,Defensive rebound by N. Batum,,40-43,,
4:03.0,Turnover by N. Batum (lost ball; steal by J. Simmons),,40-43,,
3:57.0,,,40-43,,Turnover by S. Mack (lost ball; steal by M. Williams)
3:53.0,D. Howard makes 2-pt shot from 3 ft (assist by J. Lamb),2,42-43,,
3:51.0,,,42-43,,Orlando full timeout
3:51.0,,,42-43,,D. Augustin enters the game for A. Afflalo
3:51.0,,,42-43,,E. Fournier enters the game for S. Mack
3:51.0,,,42-43,,B. Biyombo enters the game for K. Birch
3:51.0,M. Kidd-Gilchrist enters the game for J. Lamb,,42-43,,
3:28.0,,,42-43,,Turnover by J. Simmons (bad pass; steal by K. Walker)
3:15.0,D. Howard misses 2-pt shot from 1 ft,,42-43,,
3:12.0,,,42-43,,Defensive rebound by M. Hezonja
3:05.0,,,42-45,2,J. Simmons makes 2-pt shot from 2 ft
3:05.0,,,42-45,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Simmons)
3:05.0,,,42-46,1,J. Simmons makes free throw 1 of 1
2:52.0,N. Batum misses 2-pt shot from 9 ft,,42-46,,
2:49.0,,,42-46,,Defensive rebound by J. Simmons
2:43.0,,,42-46,,E. Fournier misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by D. Howard,,42-46,,
2:30.0,Turnover by M. Williams (bad pass; steal by M. Hezonja),,42-46,,
2:25.0,,,42-48,2,E. Fournier makes 2-pt shot from 2 ft (assist by M. Hezonja)
