time,Cleveland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Love (K. Walker gains possession),,,,Jump ball: D. Howard vs. K. Love (K. Walker gains possession)
11:48.0,Personal foul by J. Smith (drawn by N. Batum),,0-0,,
11:34.0,,,0-2,2,N. Batum makes 2-pt shot from 1 ft (assist by D. Howard)
11:15.0,Shooting foul by D. Howard (drawn by I. Shumpert),,0-2,,
11:15.0,I. Shumpert makes free throw 1 of 2,1,1-2,,
11:15.0,I. Shumpert makes free throw 2 of 2,1,2-2,,
10:57.0,,,2-2,,M. Williams misses 2-pt shot from 5 ft
10:54.0,Defensive rebound by L. James,,2-2,,
10:51.0,L. James makes 2-pt shot from 2 ft,2,4-2,,
10:51.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. James),,4-2,,
10:51.0,L. James makes free throw 1 of 1,1,5-2,,
10:43.0,,,5-4,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
10:28.0,K. Love misses 3-pt shot from 25 ft,,5-4,,
10:25.0,,,5-4,,Defensive rebound by N. Batum
10:21.0,,,5-4,,Turnover by N. Batum (bad pass; steal by L. James)
10:16.0,L. James makes 2-pt shot from 1 ft,2,7-4,,
10:01.0,,,7-4,,K. Walker misses 3-pt shot from 29 ft
9:58.0,Defensive rebound by L. James,,7-4,,
9:52.0,K. Love makes 3-pt shot from 25 ft (assist by J. Crowder),3,10-4,,
9:39.0,,,10-4,,Offensive charge foul by M. Williams (drawn by K. Love)
9:39.0,,,10-4,,Turnover by M. Williams (offensive foul)
9:23.0,L. James misses 2-pt shot from 2 ft,,10-4,,
9:17.0,Offensive rebound by J. Crowder,,10-4,,
9:17.0,J. Crowder misses 2-pt shot at rim,,10-4,,
9:16.0,,,10-4,,Defensive rebound by M. Williams
9:13.0,,,10-4,,Turnover by D. Howard (step out of bounds)
8:57.0,K. Love makes 2-pt shot from 3 ft (assist by J. Smith),2,12-4,,
8:50.0,,,12-4,,N. Batum misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by K. Love,,12-4,,
8:41.0,L. James misses 2-pt shot from 2 ft,,12-4,,
8:41.0,Offensive rebound by I. Shumpert,,12-4,,
8:35.0,Shooting foul by D. Howard (drawn by K. Love),,12-4,,
8:35.0,K. Love makes free throw 1 of 2,1,13-4,,
8:35.0,K. Love makes free throw 2 of 2,1,14-4,,
8:23.0,,,14-6,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
8:09.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,16-6,,
7:52.0,,,16-6,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by K. Love)
7:48.0,Defensive rebound by K. Love,,16-6,,
7:38.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Shumpert),3,19-6,,
7:30.0,,,19-6,,Charlotte full timeout
7:21.0,,,19-6,,M. Williams misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by J. Smith,,19-6,,
7:08.0,Turnover by K. Love (bad pass; steal by M. Kidd-Gilchrist),,19-6,,
7:06.0,,,19-8,2,M. Williams makes 2-pt shot at rim
7:06.0,,,19-8,,Shooting foul by J. Crowder (drawn by M. Williams)
7:06.0,,,19-9,1,M. Williams makes free throw 1 of 1
6:44.0,Turnover by I. Shumpert (bad pass; steal by N. Batum),,19-9,,
6:41.0,,,19-9,,Shooting foul by I. Shumpert (drawn by D. Howard)
6:41.0,,,19-9,,D. Howard misses free throw 1 of 2
6:41.0,,,19-9,,Offensive rebound by Team
6:41.0,,,19-10,1,D. Howard makes free throw 2 of 2
6:27.0,K. Love misses 2-pt shot from 13 ft,,19-10,,
6:24.0,,,19-10,,Defensive rebound by M. Williams
6:18.0,,,19-12,2,D. Howard makes 2-pt shot from 6 ft (assist by K. Walker)
6:07.0,Turnover by J. Smith (bad pass; steal by N. Batum),,19-12,,
6:07.0,,,19-14,2,N. Batum makes 2-pt shot from 1 ft
6:07.0,Cleveland full timeout,,19-14,,
6:07.0,,,19-14,,J. Lamb enters the game for N. Batum
5:56.0,J. Crowder misses 2-pt shot from 22 ft,,19-14,,
5:53.0,,,19-14,,Defensive rebound by D. Howard
5:48.0,,,19-17,3,K. Walker makes 3-pt shot from 25 ft
5:30.0,J. Smith misses 3-pt shot from 26 ft,,19-17,,
5:30.0,,,19-17,,Defensive rebound by M. Kidd-Gilchrist
5:20.0,,,19-17,,D. Howard misses 2-pt shot from 3 ft
5:14.0,,,19-17,,Offensive rebound by D. Howard
5:14.0,,,19-19,2,D. Howard makes 2-pt shot at rim
4:54.0,K. Love misses 2-pt shot from 3 ft,,19-19,,
4:48.0,Offensive rebound by K. Love,,19-19,,
4:48.0,K. Love makes 2-pt shot at rim,2,21-19,,
4:36.0,,,21-21,2,K. Walker makes 2-pt shot from 1 ft (assist by J. Lamb)
4:25.0,I. Shumpert misses 2-pt shot from 21 ft,,21-21,,
4:22.0,Offensive rebound by J. Crowder,,21-21,,
4:20.0,I. Shumpert misses 3-pt shot from 25 ft,,21-21,,
4:16.0,,,21-21,,Defensive rebound by M. Williams
3:57.0,,,21-21,,J. Lamb misses 3-pt shot from 29 ft
3:55.0,,,21-21,,Offensive rebound by D. Howard
3:53.0,,,21-21,,Turnover by D. Howard (lost ball; steal by I. Shumpert)
3:48.0,L. James makes 2-pt shot from 1 ft,2,23-21,,
