time,Miami,pts.away,score,pts.home,Washington
1:24.0,,,26-13,,Defensive rebound by I. Mahinmi
1:16.0,,,26-13,,M. Scott misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by D. Waiters,,26-13,,
1:04.0,W. Ellington misses 3-pt shot from 25 ft,,26-13,,
1:03.0,,,26-13,,Defensive rebound by K. Oubre
1:03.0,Personal foul by T. Johnson (drawn by K. Oubre),,26-13,,
1:03.0,,,26-14,1,K. Oubre makes free throw 1 of 2
1:03.0,J. Richardson enters the game for D. Waiters,,26-14,,
1:03.0,,,26-15,1,K. Oubre makes free throw 2 of 2
0:46.0,J. Johnson misses 2-pt shot from 1 ft (block by I. Mahinmi),,26-15,,
0:43.0,,,26-15,,Defensive rebound by K. Oubre
0:27.0,,,26-15,,I. Mahinmi misses 2-pt shot from 4 ft (block by K. Olynyk)
0:25.0,Defensive rebound by J. Johnson,,26-15,,
0:07.0,Turnover by T. Johnson (out of bounds lost ball),,26-15,,
0:00.0,,,26-17,2,M. Scott makes 2-pt shot from 17 ft (assist by K. Oubre)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Richardson misses 3-pt shot from 31 ft,,26-17,,
11:33.0,Offensive rebound by K. Olynyk,,26-17,,
11:32.0,T. Johnson misses 3-pt shot from 27 ft,,26-17,,
11:29.0,,,26-17,,Defensive rebound by T. Frazier
11:13.0,,,26-17,,Turnover by K. Oubre (bad pass; steal by J. Winslow)
10:54.0,J. Richardson misses 2-pt shot from 3 ft,,26-17,,
10:54.0,Offensive rebound by Team,,26-17,,
10:53.0,K. Olynyk misses 2-pt shot from 13 ft,,26-17,,
10:49.0,,,26-17,,Defensive rebound by K. Oubre
10:38.0,,,26-17,,T. Frazier misses 3-pt shot from 26 ft (block by T. Johnson)
10:34.0,,,26-17,,Offensive rebound by I. Mahinmi
10:33.0,,,26-19,2,I. Mahinmi makes 2-pt shot from 9 ft
10:21.0,J. Winslow makes 2-pt shot from 2 ft (assist by T. Johnson),2,28-19,,
10:04.0,,,28-19,,Offensive foul by M. Scott (drawn by J. Winslow)
10:04.0,,,28-19,,Turnover by M. Scott (offensive foul)
9:51.0,W. Ellington makes 3-pt shot from 25 ft,3,31-19,,
9:51.0,Shooting foul by J. Meeks (drawn by W. Ellington),,31-19,,
9:51.0,W. Ellington makes free throw 1 of 1,1,32-19,,
9:39.0,,,32-19,,K. Oubre misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by T. Johnson,,32-19,,
9:27.0,T. Johnson misses 3-pt shot from 26 ft,,32-19,,
9:22.0,Offensive rebound by K. Olynyk,,32-19,,
9:21.0,,,32-19,,Personal foul by T. Frazier (drawn by J. Winslow)
9:08.0,J. Winslow misses 3-pt shot from 24 ft,,32-19,,
9:04.0,,,32-19,,Defensive rebound by T. Frazier
8:57.0,,,32-19,,J. Meeks misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by Team,,32-19,,
8:46.0,Turnover by K. Olynyk (turnover),,32-19,,
8:46.0,Loose ball foul by K. Olynyk (drawn by T. Frazier),,32-19,,
8:33.0,,,32-19,,K. Oubre misses 2-pt shot from 11 ft
8:31.0,Defensive rebound by J. Winslow,,32-19,,
8:26.0,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Winslow),2,34-19,,
8:26.0,,,34-19,,Washington full timeout
8:04.0,,,34-19,,K. Oubre misses 3-pt shot from 23 ft
8:00.0,Defensive rebound by W. Ellington,,34-19,,
7:49.0,K. Olynyk makes 3-pt shot from 23 ft (assist by T. Johnson),3,37-19,,
7:34.0,,,37-21,2,M. Scott makes 2-pt shot from 5 ft (assist by T. Frazier)
7:15.0,J. Winslow misses 2-pt shot from 3 ft (block by I. Mahinmi),,37-21,,
7:15.0,Offensive rebound by K. Olynyk,,37-21,,
7:09.0,J. Richardson makes 3-pt shot from 27 ft,3,40-21,,
6:59.0,,,40-21,,T. Frazier misses 2-pt shot from 1 ft
6:59.0,,,40-21,,Offensive rebound by K. Oubre
6:56.0,,,40-21,,K. Oubre misses 2-pt shot at rim
6:54.0,Defensive rebound by J. Winslow,,40-21,,
6:49.0,J. Richardson misses 3-pt shot from 25 ft,,40-21,,
6:49.0,,,40-21,,Defensive rebound by T. Frazier
6:42.0,,,40-21,,B. Beal enters the game for I. Mahinmi
6:42.0,,,40-21,,M. Morris enters the game for J. Meeks
6:42.0,H. Whiteside enters the game for J. Richardson,,40-21,,
6:42.0,D. Waiters enters the game for T. Johnson,,40-21,,
6:42.0,G. Dragic enters the game for K. Olynyk,,40-21,,
6:42.0,,,40-21,,J. Wall enters the game for K. Oubre
6:42.0,,,40-21,,O. Porter enters the game for T. Frazier
6:37.0,Personal foul by W. Ellington (drawn by M. Scott),,40-21,,
6:32.0,Personal foul by J. Winslow (drawn by J. Wall),,40-21,,
6:24.0,,,40-21,,Turnover by M. Morris (out of bounds lost ball)
6:11.0,Turnover by D. Waiters (bad pass; steal by B. Beal),,40-21,,
6:04.0,,,40-23,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
5:45.0,H. Whiteside misses 2-pt shot from 7 ft,,40-23,,
5:42.0,,,40-23,,Defensive rebound by M. Morris
5:39.0,,,40-23,,Turnover by J. Wall (lost ball; steal by D. Waiters)
5:33.0,G. Dragic makes 2-pt shot from 1 ft (assist by D. Waiters),2,42-23,,
5:16.0,,,42-25,2,B. Beal makes 2-pt shot from 3 ft (assist by M. Morris)
5:04.0,W. Ellington misses 3-pt shot from 25 ft,,42-25,,
4:58.0,Offensive rebound by J. Winslow,,42-25,,
4:58.0,J. Winslow makes 2-pt shot at rim,2,44-25,,
4:38.0,,,44-25,,O. Porter misses 2-pt shot from 3 ft
4:36.0,Defensive rebound by J. Winslow,,44-25,,
4:34.0,J. Winslow makes 2-pt shot from 1 ft,2,46-25,,
4:33.0,,,46-25,,Washington full timeout
4:33.0,,,46-25,,M. Gortat enters the game for M. Scott
4:22.0,,,46-25,,M. Gortat misses 2-pt shot from 2 ft (block by J. Winslow)
4:18.0,Defensive rebound by J. Winslow,,46-25,,
4:12.0,Turnover by D. Waiters (bad pass; steal by M. Morris),,46-25,,
4:07.0,,,46-25,,J. Wall misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by H. Whiteside,,46-25,,
3:46.0,G. Dragic misses 3-pt shot from 26 ft,,46-25,,
3:45.0,,,46-25,,Defensive rebound by B. Beal
3:45.0,Personal foul by J. Winslow (drawn by B. Beal),,46-25,,
3:28.0,,,46-25,,B. Beal misses 3-pt shot from 23 ft
3:26.0,Defensive rebound by H. Whiteside,,46-25,,
3:15.0,W. Ellington misses 3-pt shot from 29 ft,,46-25,,
3:13.0,,,46-25,,Defensive rebound by M. Gortat
3:08.0,,,46-25,,B. Beal misses 2-pt shot from 1 ft
3:07.0,Defensive rebound by W. Ellington,,46-25,,
3:07.0,,,46-25,,Personal foul by B. Beal (drawn by W. Ellington)
2:52.0,Turnover by H. Whiteside (traveling),,46-25,,
2:32.0,,,46-25,,Turnover by M. Morris (bad pass; steal by J. Winslow)
2:26.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,48-25,,
2:03.0,,,48-25,,Turnover by B. Beal (bad pass; steal by G. Dragic)
2:00.0,D. Waiters makes 2-pt shot from 1 ft (assist by G. Dragic),2,50-25,,
1:40.0,,,50-25,,J. Wall misses 2-pt shot at rim (block by H. Whiteside)
1:40.0,,,50-25,,Offensive rebound by Team
1:40.0,J. Johnson enters the game for W. Ellington,,50-25,,
1:40.0,B. Adebayo enters the game for J. Winslow,,50-25,,
1:40.0,J. Richardson enters the game for H. Whiteside,,50-25,,
1:33.0,,,50-27,2,O. Porter makes 2-pt shot from 1 ft (assist by M. Morris)
1:16.0,Turnover by B. Adebayo (lost ball; steal by M. Morris),,50-27,,
1:09.0,,,50-27,,M. Morris misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by D. Waiters,,50-27,,
0:48.0,D. Waiters misses 3-pt shot from 25 ft,,50-27,,
0:45.0,,,50-27,,Defensive rebound by M. Gortat
0:36.0,,,50-27,,J. Wall misses 2-pt shot from 4 ft
0:34.0,Defensive rebound by B. Adebayo,,50-27,,
0:17.0,Turnover by G. Dragic (out of bounds lost ball),,50-27,,
0:02.0,,,50-29,2,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,G. Dragic misses 2-pt shot from 2 ft (block by M. Gortat),,50-29,,
11:40.0,,,50-29,,Defensive rebound by B. Beal
11:24.0,,,50-31,2,M. Gortat makes 2-pt shot from 2 ft (assist by M. Morris)
11:05.0,Turnover by J. Richardson (turnover),,50-31,,
10:57.0,,,50-31,,B. Beal misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by H. Whiteside,,50-31,,
10:46.0,D. Waiters misses 3-pt shot from 24 ft,,50-31,,
10:42.0,,,50-31,,Defensive rebound by J. Wall
10:27.0,,,50-31,,B. Beal misses 2-pt shot from 2 ft (block by D. Waiters)
10:24.0,Defensive rebound by G. Dragic,,50-31,,
10:00.0,J. Winslow makes 3-pt shot from 23 ft (assist by G. Dragic),3,53-31,,
9:44.0,,,53-33,2,O. Porter makes 2-pt shot from 16 ft (assist by J. Wall)
9:25.0,J. Richardson misses 3-pt shot from 25 ft,,53-33,,
9:21.0,,,53-33,,Defensive rebound by M. Morris
9:11.0,,,53-35,2,O. Porter makes 2-pt shot from 19 ft (assist by M. Morris)
8:51.0,J. Winslow misses 2-pt shot from 19 ft,,53-35,,
8:46.0,Offensive rebound by D. Waiters,,53-35,,
8:37.0,Turnover by G. Dragic (lost ball; steal by M. Morris),,53-35,,
8:31.0,,,53-35,,O. Porter misses 2-pt shot from 1 ft
8:26.0,,,53-35,,Offensive rebound by M. Gortat
8:26.0,,,53-35,,M. Gortat misses 2-pt shot at rim (block by H. Whiteside)
8:24.0,Defensive rebound by J. Winslow,,53-35,,
8:17.0,J. Winslow misses 3-pt shot from 23 ft,,53-35,,
8:13.0,,,53-35,,Defensive rebound by M. Morris
7:51.0,,,53-35,,M. Morris misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by H. Whiteside,,53-35,,
7:44.0,J. Winslow misses 2-pt shot from 18 ft,,53-35,,
7:42.0,,,53-35,,Defensive rebound by Team
7:42.0,Loose ball foul by H. Whiteside (drawn by M. Gortat),,53-35,,
7:24.0,,,53-37,2,B. Beal makes 2-pt shot from 15 ft
7:04.0,Turnover by J. Richardson (traveling),,53-37,,
6:49.0,,,53-39,2,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall)
6:49.0,Miami full timeout,,53-39,,
6:49.0,J. Johnson enters the game for J. Richardson,,53-39,,
6:49.0,T. Johnson enters the game for J. Winslow,,53-39,,
6:25.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,55-39,,
6:05.0,,,55-39,,O. Porter misses 2-pt shot from 11 ft
6:02.0,Defensive rebound by G. Dragic,,55-39,,
5:52.0,G. Dragic misses 2-pt shot from 2 ft,,55-39,,
5:50.0,Offensive rebound by H. Whiteside,,55-39,,
5:50.0,H. Whiteside makes 2-pt shot from 1 ft,2,57-39,,
5:37.0,,,57-39,,B. Beal misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by T. Johnson,,57-39,,
5:16.0,T. Johnson misses 3-pt shot from 25 ft,,57-39,,
5:13.0,,,57-39,,Defensive rebound by J. Wall
5:06.0,,,57-39,,Turnover by J. Wall (bad pass)
4:52.0,T. Johnson misses 2-pt shot from 18 ft,,57-39,,
4:50.0,,,57-39,,Defensive rebound by M. Gortat
4:42.0,,,57-42,3,M. Morris makes 3-pt shot from 24 ft (assist by B. Beal)
4:24.0,Turnover by G. Dragic (bad pass),,57-42,,
4:24.0,J. Richardson enters the game for D. Waiters,,57-42,,
4:16.0,,,57-42,,M. Morris misses 2-pt shot from 16 ft
4:13.0,,,57-42,,Offensive rebound by M. Gortat
4:11.0,,,57-42,,J. Wall misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by T. Johnson,,57-42,,
3:49.0,G. Dragic misses 2-pt shot from 5 ft,,57-42,,
3:47.0,,,57-42,,Defensive rebound by M. Gortat
3:44.0,,,57-42,,B. Beal misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by H. Whiteside,,57-42,,
3:31.0,J. Richardson misses 3-pt shot from 24 ft,,57-42,,
3:31.0,,,57-42,,Defensive rebound by M. Gortat
3:23.0,,,57-45,3,B. Beal makes 3-pt shot from 26 ft
2:58.0,,,57-45,,K. Oubre enters the game for M. Gortat
2:58.0,,,57-45,,J. Smith enters the game for O. Porter
2:58.0,K. Olynyk enters the game for H. Whiteside,,57-45,,
2:58.0,,,57-45,,Washington full timeout
2:54.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson),3,60-45,,
2:42.0,,,60-45,,Turnover by J. Wall (lost ball; steal by K. Olynyk)
2:35.0,J. Johnson makes 2-pt shot at rim (assist by J. Richardson),2,62-45,,
2:18.0,,,62-48,3,B. Beal makes 3-pt shot from 26 ft
2:00.0,Shooting foul by B. Beal (drawn by T. Johnson),,62-48,,
2:00.0,T. Johnson makes free throw 1 of 2,1,63-48,,
2:00.0,,,63-48,,T. Frazier enters the game for J. Wall
2:00.0,,,63-48,,J. Meeks enters the game for M. Morris
2:00.0,W. Ellington enters the game for G. Dragic,,63-48,,
2:00.0,T. Johnson makes free throw 2 of 2,1,64-48,,
1:47.0,,,64-50,2,J. Smith makes 2-pt shot from 1 ft
1:47.0,,,64-50,,Shooting foul by K. Olynyk (drawn by J. Smith)
1:47.0,,,64-51,1,J. Smith makes free throw 1 of 1
1:27.0,T. Johnson misses 2-pt shot from 2 ft,,64-51,,
1:27.0,Offensive rebound by Team,,64-51,,
1:27.0,Shooting foul by T. Frazier (drawn by J. Johnson),,64-51,,
1:27.0,J. Johnson makes free throw 1 of 2,1,65-51,,
1:27.0,J. Johnson makes free throw 2 of 2,1,66-51,,
1:12.0,,,66-54,3,B. Beal makes 3-pt shot from 26 ft
0:57.0,J. Johnson misses 2-pt shot from 4 ft,,66-54,,
0:55.0,,,66-54,,Defensive rebound by J. Smith
0:48.0,,,66-54,,Shooting foul by K. Olynyk (drawn by B. Beal)
0:48.0,,,66-54,,B. Beal misses free throw 1 of 2
0:48.0,,,66-54,,Offensive rebound by Team
0:48.0,J. Winslow enters the game for K. Olynyk,,66-54,,
0:48.0,,,66-55,1,B. Beal makes free throw 2 of 2
0:31.0,J. Johnson misses 2-pt shot from 16 ft,,66-55,,
0:27.0,,,66-55,,Defensive rebound by B. Beal
0:06.0,,,66-57,2,B. Beal makes 2-pt shot from 20 ft
0:00.0,J. Johnson misses 2-pt shot from 3 ft,,66-57,,
0:00.0,,,66-57,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,66-57,,J. Smith misses 3-pt shot from 24 ft
11:37.0,Defensive rebound by W. Ellington,,66-57,,
11:17.0,Shooting foul by J. Smith (drawn by B. Adebayo),,66-57,,
11:17.0,B. Adebayo makes free throw 1 of 2,1,67-57,,
11:17.0,B. Adebayo misses free throw 2 of 2,,67-57,,
11:15.0,,,67-57,,Defensive rebound by B. Beal
11:10.0,Personal foul by J. Richardson (drawn by J. Smith),,67-57,,
11:04.0,,,67-60,3,J. Meeks makes 3-pt shot from 24 ft (assist by B. Beal)
