time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. A. Davis (D. Cousins gains possession),,,,Jump ball: Z. Pachulia vs. A. Davis (D. Cousins gains possession)
11:42.0,Turnover by E. Moore (lost ball; steal by Z. Pachulia),,0-0,,
11:38.0,,,0-0,,S. Curry misses 3-pt shot from 27 ft
11:34.0,Defensive rebound by J. Holiday,,0-0,,
11:31.0,J. Holiday makes 3-pt shot from 24 ft,3,3-0,,
11:12.0,,,3-0,,Z. Pachulia misses 2-pt shot from 8 ft
11:08.0,Defensive rebound by A. Davis,,3-0,,
11:05.0,D. Cousins misses 2-pt shot from 1 ft (block by O. Casspi),,3-0,,
11:05.0,Offensive rebound by Team,,3-0,,
11:02.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,5-0,,
10:57.0,,,5-0,,K. Thompson misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by D. Cousins,,5-0,,
10:38.0,,,5-0,,Personal foul by Z. Pachulia (drawn by D. Cousins)
10:27.0,D. Cousins misses 3-pt shot from 25 ft,,5-0,,
10:26.0,,,5-0,,Defensive rebound by Team
10:10.0,,,5-0,,O. Casspi misses 2-pt shot from 2 ft
10:06.0,Defensive rebound by D. Cousins,,5-0,,
10:03.0,R. Rondo misses 2-pt shot from 2 ft (block by K. Thompson),,5-0,,
9:57.0,,,5-0,,Defensive rebound by K. Thompson
9:55.0,,,5-0,,Turnover by D. Green (bad pass)
9:43.0,A. Davis misses 2-pt shot from 16 ft,,5-0,,
9:42.0,,,5-0,,Defensive rebound by Team
9:42.0,Loose ball foul by R. Rondo (drawn by O. Casspi),,5-0,,
9:27.0,,,5-3,3,O. Casspi makes 3-pt shot from 22 ft (assist by Z. Pachulia)
9:12.0,J. Holiday misses 3-pt shot from 24 ft,,5-3,,
9:10.0,,,5-3,,Defensive rebound by Team
9:10.0,Loose ball foul by D. Cousins (drawn by D. Green),,5-3,,
8:59.0,,,5-5,2,K. Thompson makes 2-pt shot from 20 ft (assist by O. Casspi)
8:44.0,Turnover by D. Cousins (lost ball; steal by S. Curry),,5-5,,
8:41.0,,,5-5,,Turnover by S. Curry (bad pass)
8:27.0,J. Holiday makes 3-pt shot from 24 ft (assist by R. Rondo),3,8-5,,
8:16.0,,,8-5,,K. Thompson misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by R. Rondo,,8-5,,
8:08.0,E. Moore makes 3-pt shot from 22 ft (assist by R. Rondo),3,11-5,,
7:55.0,,,11-5,,Z. Pachulia misses 2-pt shot from 4 ft
7:47.0,,,11-5,,Offensive rebound by Z. Pachulia
7:47.0,,,11-7,2,Z. Pachulia makes 2-pt shot at rim
7:44.0,A. Davis misses 2-pt shot from 10 ft,,11-7,,
7:39.0,,,11-7,,Defensive rebound by Z. Pachulia
7:33.0,,,11-9,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
7:12.0,J. Holiday makes 3-pt shot from 22 ft,3,14-9,,
6:57.0,,,14-9,,S. Curry misses 3-pt shot from 27 ft
6:53.0,Defensive rebound by E. Moore,,14-9,,
6:44.0,Turnover by R. Rondo (bad pass; steal by D. Green),,14-9,,
6:36.0,,,14-11,2,O. Casspi makes 2-pt shot from 10 ft (assist by K. Thompson)
6:28.0,R. Rondo misses 2-pt shot from 2 ft,,14-11,,
6:23.0,,,14-11,,Defensive rebound by Z. Pachulia
6:19.0,,,14-11,,S. Curry misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by D. Cousins,,14-11,,
6:14.0,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday),3,17-11,,
6:12.0,,,17-11,,Golden State full timeout
6:00.0,,,17-11,,K. Thompson misses 2-pt shot from 11 ft
5:59.0,,,17-11,,Offensive rebound by Team
5:59.0,Personal foul by E. Moore (drawn by O. Casspi),,17-11,,
5:55.0,,,17-11,,S. Curry misses 2-pt shot from 20 ft
5:51.0,Defensive rebound by D. Cousins,,17-11,,
5:35.0,,,17-11,,Personal foul by Z. Pachulia (drawn by A. Davis)
5:26.0,E. Moore makes 2-pt shot from 17 ft (assist by D. Cousins),2,19-11,,
5:11.0,,,19-11,,D. Green misses 3-pt shot from 27 ft
