time,Houston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. C. Capela (M. Chriss gains possession),,,,Jump ball: G. Monroe vs. C. Capela (M. Chriss gains possession)
11:48.0,,,0-3,3,D. Booker makes 3-pt shot from 26 ft (assist by T. Ulis)
11:33.0,C. Capela misses 2-pt shot from 1 ft,,0-3,,
11:31.0,,,0-3,,Defensive rebound by G. Monroe
11:26.0,,,0-3,,Turnover by D. Booker (bad pass)
11:13.0,J. Harden makes 2-pt shot from 3 ft (assist by C. Capela),2,2-3,,
10:57.0,,,2-3,,D. Booker misses 3-pt shot from 26 ft
10:53.0,Defensive rebound by T. Ariza,,2-3,,
10:46.0,Shooting foul by M. Chriss (drawn by C. Paul),,2-3,,
10:46.0,C. Paul makes free throw 1 of 3,1,3-3,,
10:46.0,C. Paul makes free throw 2 of 3,1,4-3,,
10:46.0,C. Paul makes free throw 3 of 3,1,5-3,,
10:25.0,,,5-3,,T. Ulis misses 2-pt shot from 5 ft
10:23.0,Defensive rebound by T. Ariza,,5-3,,
10:20.0,Turnover by T. Ariza (bad pass; steal by T. Ulis),,5-3,,
10:16.0,,,5-3,,Turnover by T. Ulis (lost ball; steal by C. Paul)
10:10.0,R. Anderson makes 3-pt shot from 25 ft (assist by C. Paul),3,8-3,,
9:47.0,,,8-5,2,M. Chriss makes 2-pt shot from 4 ft
9:26.0,J. Harden makes 3-pt shot from 25 ft,3,11-5,,
9:10.0,,,11-7,2,D. Booker makes 2-pt shot from 15 ft
8:57.0,R. Anderson misses 3-pt shot from 26 ft,,11-7,,
8:53.0,,,11-7,,Defensive rebound by T. Warren
8:42.0,,,11-7,,T. Warren misses 2-pt shot from 11 ft
8:39.0,Defensive rebound by C. Paul,,11-7,,
8:32.0,,,11-7,,Personal foul by M. Chriss (drawn by T. Ariza)
8:32.0,,,11-7,,D. Bender enters the game for M. Chriss
8:28.0,C. Paul makes 2-pt shot from 3 ft (assist by C. Capela),2,13-7,,
8:19.0,Personal foul by C. Paul (drawn by D. Booker),,13-7,,
8:06.0,,,13-7,,D. Booker misses 2-pt shot from 4 ft (block by C. Capela)
8:03.0,Defensive rebound by T. Ariza,,13-7,,
7:46.0,J. Harden makes 3-pt shot from 25 ft,3,16-7,,
7:23.0,,,16-9,2,T. Warren makes 2-pt shot from 10 ft
7:04.0,C. Capela makes 2-pt shot from 2 ft (assist by C. Paul),2,18-9,,
7:04.0,Shooting foul by D. Bender (drawn by C. Capela),,18-9,,
7:04.0,E. Gordon enters the game for C. Paul,,18-9,,
7:04.0,C. Capela misses free throw 1 of 1,,18-9,,
7:01.0,,,18-9,,Defensive rebound by G. Monroe
6:57.0,,,18-9,,D. Booker misses 2-pt shot from 7 ft (block by J. Harden)
6:57.0,,,18-9,,Offensive rebound by Team
6:57.0,,,18-9,,Phoenix full timeout
6:57.0,P. Tucker enters the game for R. Anderson,,18-9,,
6:49.0,,,18-9,,D. Booker misses 2-pt shot from 12 ft
