time,Oklahoma City,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. S. Adams (C. Anthony gains possession),,,,Jump ball: M. Gasol vs. S. Adams (C. Anthony gains possession)
11:40.0,Turnover by R. Westbrook (bad pass; steal by M. Gasol),,0-0,,
11:29.0,,,0-0,,M. Gasol misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by P. George,,0-0,,
11:15.0,R. Westbrook misses 2-pt shot from 18 ft,,0-0,,
11:11.0,Offensive rebound by S. Adams,,0-0,,
11:11.0,S. Adams misses 2-pt shot at rim,,0-0,,
11:11.0,,,0-0,,Defensive rebound by M. Gasol
10:56.0,,,0-0,,D. Brooks misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by Team,,0-0,,
10:33.0,R. Westbrook misses 3-pt shot from 26 ft,,0-0,,
10:33.0,Offensive rebound by S. Adams,,0-0,,
10:28.0,C. Anthony makes 2-pt shot from 15 ft (assist by S. Adams),2,2-0,,
10:06.0,,,2-3,3,T. Evans makes 3-pt shot from 25 ft (assist by M. Gasol)
9:49.0,C. Anthony makes 3-pt shot from 26 ft (assist by P. George),3,5-3,,
9:27.0,,,5-6,3,A. Harrison makes 3-pt shot from 25 ft (assist by T. Evans)
9:16.0,R. Westbrook makes 2-pt shot from 19 ft,2,7-6,,
9:08.0,,,7-6,,Shooting foul by C. Anthony (drawn by T. Evans)
9:08.0,,,7-7,1,T. Evans makes free throw 1 of 2
9:08.0,,,7-8,1,T. Evans makes free throw 2 of 2
8:46.0,P. George misses 3-pt shot from 26 ft,,7-8,,
8:43.0,,,7-8,,Defensive rebound by T. Evans
8:37.0,,,7-11,3,D. Brooks makes 3-pt shot from 25 ft (assist by J. Green)
8:20.0,S. Adams misses 2-pt shot from 5 ft,,7-11,,
8:17.0,,,7-11,,Defensive rebound by M. Gasol
8:09.0,,,7-13,2,A. Harrison makes 2-pt shot at rim
8:00.0,Turnover by S. Adams (bad pass; steal by T. Evans),,7-13,,
7:49.0,,,7-13,,T. Evans misses 2-pt shot from 1 ft (block by S. Adams)
7:48.0,Defensive rebound by Team,,7-13,,
7:48.0,Oklahoma City full timeout,,7-13,,
7:48.0,,,7-13,,J. Martin enters the game for J. Green
7:34.0,C. Anthony misses 3-pt shot from 23 ft,,7-13,,
7:30.0,,,7-13,,Defensive rebound by A. Harrison
7:23.0,,,7-15,2,T. Evans makes 2-pt shot from 1 ft (assist by M. Gasol)
7:07.0,Shooting foul by M. Gasol (drawn by R. Westbrook),,7-15,,
7:07.0,R. Westbrook makes free throw 1 of 2,1,8-15,,
7:07.0,,,8-15,,M. Chalmers enters the game for A. Harrison
7:07.0,R. Westbrook makes free throw 2 of 2,1,9-15,,
6:50.0,,,9-15,,Turnover by M. Gasol (bad pass)
6:37.0,R. Westbrook makes 2-pt shot from 1 ft,2,11-15,,
6:37.0,Shooting foul by M. Chalmers (drawn by R. Westbrook),,11-15,,
6:37.0,R. Westbrook makes free throw 1 of 1,1,12-15,,
6:21.0,,,12-17,2,M. Gasol makes 2-pt shot from 1 ft
6:15.0,Offensive charge foul by S. Adams (drawn by M. Gasol),,12-17,,
6:15.0,Turnover by S. Adams (offensive foul),,12-17,,
5:57.0,Personal foul by A. Abrines (drawn by M. Chalmers),,12-17,,
5:57.0,J. Grant enters the game for A. Abrines,,12-17,,
5:52.0,,,12-19,2,D. Brooks makes 2-pt shot from 1 ft (assist by T. Evans)
5:39.0,S. Adams misses 2-pt shot from 6 ft,,12-19,,
5:38.0,Offensive rebound by R. Westbrook,,12-19,,
5:36.0,R. Westbrook makes 2-pt shot at rim,2,14-19,,
5:29.0,,,14-19,,J. Martin misses 2-pt shot from 1 ft (block by J. Grant)
5:26.0,Defensive rebound by J. Grant,,14-19,,
5:21.0,C. Anthony misses 3-pt shot from 26 ft,,14-19,,
5:19.0,Offensive rebound by P. George,,14-19,,
5:19.0,P. George makes 2-pt shot at rim,2,16-19,,
5:19.0,,,16-19,,Memphis full timeout
5:19.0,,,16-19,,C. Parsons enters the game for T. Evans
5:19.0,,,16-19,,A. Harrison enters the game for D. Brooks
