time,Memphis,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (J. Green gains possession),,,,Jump ball: A. Davis vs. M. Gasol (J. Green gains possession)
11:47.0,Turnover by M. Gasol (bad pass),,0-0,,
11:32.0,,,0-0,,J. Holiday misses 2-pt shot from 12 ft
11:22.0,,,0-0,,Offensive rebound by A. Davis
11:21.0,,,0-2,2,A. Davis makes 2-pt shot from 2 ft
11:17.0,T. Evans makes 2-pt shot from 2 ft,2,2-2,,
11:08.0,,,2-4,2,J. Holiday makes 2-pt shot from 1 ft
10:57.0,Turnover by T. Evans (bad pass),,2-4,,
10:47.0,,,2-4,,A. Davis misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by M. Gasol,,2-4,,
10:37.0,B. McLemore makes 2-pt shot from 2 ft (assist by M. Gasol),2,4-4,,
10:27.0,,,4-4,,Shooting foul by B. McLemore (drawn by J. Holiday)
10:27.0,,,4-5,1,J. Holiday makes free throw 1 of 2
10:27.0,,,4-6,1,J. Holiday makes free throw 2 of 2
10:12.0,T. Evans misses 3-pt shot from 25 ft,,4-6,,
10:08.0,,,4-6,,Defensive rebound by A. Davis
10:02.0,,,4-6,,Shooting foul by M. Gasol (drawn by D. Cousins)
10:02.0,,,4-7,1,D. Cousins makes free throw 1 of 2
10:02.0,,,4-8,1,D. Cousins makes free throw 2 of 2
9:47.0,B. McLemore makes 2-pt shot from 20 ft,2,6-8,,
9:32.0,,,6-10,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
9:18.0,D. Brooks misses 3-pt shot from 25 ft,,6-10,,
9:15.0,,,6-10,,Defensive rebound by D. Cousins
9:08.0,,,6-10,,R. Rondo misses 2-pt shot from 1 ft
9:05.0,Defensive rebound by D. Brooks,,6-10,,
8:49.0,B. McLemore makes 2-pt shot from 11 ft (assist by M. Gasol),2,8-10,,
8:41.0,,,8-12,2,E. Moore makes 2-pt shot from 18 ft (assist by R. Rondo)
8:19.0,J. Green misses 2-pt shot from 18 ft,,8-12,,
8:15.0,,,8-12,,Defensive rebound by A. Davis
8:13.0,,,8-12,,Turnover by R. Rondo (bad pass)
8:02.0,,,8-12,,Personal foul by A. Davis (drawn by M. Gasol)
7:56.0,M. Gasol misses 2-pt shot from 20 ft,,8-12,,
7:53.0,,,8-12,,Defensive rebound by R. Rondo
7:46.0,,,8-12,,E. Moore misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by D. Brooks,,8-12,,
7:30.0,M. Gasol misses 2-pt shot from 12 ft,,8-12,,
7:30.0,,,8-12,,Defensive rebound by D. Cousins
7:30.0,,,8-12,,Turnover by D. Cousins (bad pass; steal by D. Brooks)
7:27.0,Turnover by D. Brooks (bad pass; steal by R. Rondo),,8-12,,
7:19.0,,,8-12,,J. Holiday misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by J. Green,,8-12,,
7:08.0,J. Green misses 3-pt shot from 23 ft (block by A. Davis),,8-12,,
7:04.0,,,8-12,,Defensive rebound by J. Holiday
7:04.0,,,8-12,,Shooting foul by J. Green (drawn by A. Davis)
7:04.0,,,8-13,1,A. Davis makes free throw 1 of 2
7:04.0,W. Selden enters the game for B. McLemore,,8-13,,
7:04.0,,,8-14,1,A. Davis makes free throw 2 of 2
6:42.0,Turnover by M. Gasol (bad pass; steal by D. Cousins),,8-14,,
6:39.0,Personal foul by T. Evans (drawn by A. Davis),,8-14,,
6:39.0,,,8-14,,New Orleans full timeout
6:31.0,Personal foul by M. Gasol (drawn by D. Cousins),,8-14,,
6:31.0,,,8-14,,D. Cousins misses free throw 1 of 2
6:31.0,,,8-14,,Offensive rebound by Team
6:31.0,J. Martin enters the game for M. Gasol,,8-14,,
6:31.0,,,8-15,1,D. Cousins makes free throw 2 of 2
6:06.0,D. Brooks misses 2-pt shot from 10 ft (block by A. Davis),,8-15,,
6:03.0,,,8-15,,Defensive rebound by D. Cousins
5:54.0,,,8-15,,Shooting foul by D. Brooks (drawn by A. Davis)
5:54.0,,,8-16,1,A. Davis makes free throw 1 of 2
5:54.0,,,8-17,1,A. Davis makes free throw 2 of 2
5:41.0,T. Evans misses 3-pt shot from 26 ft,,8-17,,
5:36.0,Offensive rebound by J. Green,,8-17,,
5:36.0,Offensive charge foul by T. Evans (drawn by D. Cousins),,8-17,,
5:36.0,Turnover by T. Evans (offensive foul),,8-17,,
5:36.0,M. Henry enters the game for T. Evans,,8-17,,
5:20.0,,,8-20,3,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday)
5:08.0,D. Brooks misses 3-pt shot from 26 ft,,8-20,,
5:04.0,,,8-20,,Defensive rebound by D. Cousins
4:59.0,,,8-22,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
4:59.0,Memphis full timeout,,8-22,,
4:59.0,,,8-22,,D. Miller enters the game for J. Holiday
4:59.0,D. Davis enters the game for J. Green,,8-22,,
4:46.0,W. Selden misses 3-pt shot from 25 ft,,8-22,,
4:43.0,,,8-22,,Defensive rebound by D. Cousins
4:28.0,,,8-22,,D. Cousins misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by Team,,8-22,,
4:15.0,J. Martin misses 2-pt shot from 17 ft,,8-22,,
4:12.0,,,8-22,,Defensive rebound by A. Davis
3:57.0,,,8-24,2,E. Moore makes 2-pt shot at rim (assist by A. Davis)
3:39.0,,,8-24,,D. Cunningham enters the game for D. Cousins
3:31.0,W. Selden misses 2-pt shot from 1 ft,,8-24,,
3:28.0,,,8-24,,Defensive rebound by A. Davis
3:23.0,,,8-24,,A. Davis misses 2-pt shot at rim
3:20.0,Defensive rebound by W. Selden,,8-24,,
3:20.0,,,8-24,,Personal foul by D. Miller (drawn by W. Selden)
3:03.0,W. Selden makes 2-pt shot from 19 ft,2,10-24,,
2:47.0,,,10-24,,D. Cunningham misses 3-pt shot from 22 ft
2:43.0,Defensive rebound by D. Brooks,,10-24,,
2:36.0,Turnover by M. Henry (bad pass; steal by D. Cunningham),,10-24,,
2:33.0,Personal foul by W. Selden (drawn by A. Davis),,10-24,,
2:33.0,,,10-24,,A. Davis misses free throw 1 of 2
2:33.0,,,10-24,,Offensive rebound by Team
2:33.0,,,10-24,,I. Clark enters the game for E. Moore
2:33.0,J. Green enters the game for D. Brooks,,10-24,,
2:33.0,,,10-25,1,A. Davis makes free throw 2 of 2
2:27.0,W. Selden makes 2-pt shot from 1 ft,2,12-25,,
2:15.0,Personal foul by M. Henry (drawn by I. Clark),,12-25,,
2:15.0,,,12-26,1,I. Clark makes free throw 1 of 2
2:15.0,,,12-27,1,I. Clark makes free throw 2 of 2
2:04.0,W. Selden misses 2-pt shot from 1 ft,,12-27,,
1:59.0,Offensive rebound by J. Green,,12-27,,
1:59.0,J. Green makes 2-pt shot at rim,2,14-27,,
1:52.0,,,14-27,,Shooting foul by D. Davis (drawn by A. Davis)
1:52.0,,,14-28,1,A. Davis makes free throw 1 of 2
1:52.0,,,14-29,1,A. Davis makes free throw 2 of 2
1:32.0,J. Martin misses 2-pt shot from 2 ft,,14-29,,
1:28.0,,,14-29,,Defensive rebound by A. Davis
1:16.0,,,14-29,,Turnover by R. Rondo (bad pass; steal by J. Green)
1:15.0,Turnover by M. Henry (bad pass),,14-29,,
