time,Washington,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. M. Gortat (O. Porter gains possession),,,,Jump ball: W. Cauley-Stein vs. M. Gortat (O. Porter gains possession)
11:42.0,J. Wall makes 3-pt shot from 23 ft (assist by O. Porter),3,3-0,,
11:29.0,,,3-0,,Turnover by D. Fox (lost ball; steal by J. Wall)
11:24.0,J. Wall makes 2-pt shot from 1 ft,2,5-0,,
10:58.0,,,5-0,,D. Fox misses 3-pt shot from 23 ft
10:54.0,Defensive rebound by M. Gortat,,5-0,,
10:38.0,M. Gortat misses 2-pt shot from 8 ft,,5-0,,
10:36.0,,,5-0,,Defensive rebound by S. Labissiere
10:34.0,Personal foul by M. Gortat (drawn by W. Cauley-Stein),,5-0,,
10:21.0,,,5-0,,W. Cauley-Stein misses 2-pt shot from 15 ft
10:19.0,Defensive rebound by O. Porter,,5-0,,
10:11.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,7-0,,
10:02.0,Violation by O. Porter (kicked ball),,7-0,,
9:56.0,,,7-0,,B. Hield misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by M. Gortat,,7-0,,
9:44.0,B. Beal misses 2-pt shot from 17 ft,,7-0,,
9:38.0,Offensive rebound by M. Gortat,,7-0,,
9:35.0,Turnover by J. Wall (bad pass),,7-0,,
9:30.0,Personal foul by B. Beal (drawn by D. Fox),,7-0,,
9:20.0,,,7-0,,B. Bogdanovic misses 2-pt shot from 3 ft
9:17.0,Defensive rebound by O. Porter,,7-0,,
9:10.0,O. Porter misses 2-pt shot from 16 ft,,7-0,,
9:07.0,,,7-0,,Defensive rebound by D. Fox
9:00.0,,,7-0,,B. Hield misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by O. Porter,,7-0,,
8:45.0,,,7-0,,Personal foul by B. Bogdanovic (drawn by M. Gortat)
8:36.0,O. Porter misses 3-pt shot from 25 ft,,7-0,,
8:33.0,,,7-0,,Defensive rebound by B. Hield
8:23.0,,,7-0,,S. Labissiere misses 2-pt shot from 10 ft
8:19.0,Defensive rebound by M. Gortat,,7-0,,
8:15.0,Turnover by J. Wall (bad pass),,7-0,,
8:02.0,,,7-0,,D. Fox misses 2-pt shot from 14 ft
7:59.0,,,7-0,,Offensive rebound by W. Cauley-Stein
7:58.0,,,7-0,,W. Cauley-Stein misses 2-pt shot from 3 ft
7:58.0,Defensive rebound by M. Gortat,,7-0,,
7:51.0,J. Wall makes 3-pt shot from 25 ft,3,10-0,,
7:31.0,,,10-0,,S. Labissiere misses 2-pt shot from 9 ft
7:28.0,Defensive rebound by O. Porter,,10-0,,
7:22.0,J. Wall makes 3-pt shot from 25 ft,3,13-0,,
7:16.0,,,13-0,,Sacramento full timeout
7:10.0,,,13-2,2,B. Bogdanovic makes 2-pt shot from 20 ft (assist by D. Fox)
6:49.0,O. Porter makes 3-pt shot from 25 ft (assist by K. Oubre),3,16-2,,
6:32.0,,,16-2,,D. Fox misses 2-pt shot from 7 ft
6:27.0,Defensive rebound by O. Porter,,16-2,,
6:12.0,M. Gortat misses 2-pt shot from 9 ft,,16-2,,
6:12.0,,,16-2,,Defensive rebound by B. Bogdanovic
6:04.0,,,16-2,,B. Hield misses 2-pt shot from 2 ft
6:01.0,,,16-2,,Offensive rebound by W. Cauley-Stein
6:00.0,,,16-4,2,W. Cauley-Stein makes 2-pt shot from 1 ft
5:37.0,M. Gortat misses 2-pt shot from 11 ft,,16-4,,
5:35.0,,,16-4,,Defensive rebound by B. Bogdanovic
5:21.0,,,16-4,,W. Cauley-Stein misses 2-pt shot from 1 ft
5:21.0,Defensive rebound by B. Beal,,16-4,,
5:10.0,J. Wall misses 2-pt shot from 8 ft,,16-4,,
5:10.0,Offensive rebound by J. Wall,,16-4,,
5:04.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,19-4,,
4:54.0,,,19-4,,Turnover by B. Bogdanovic (out of bounds lost ball)
4:54.0,,,19-4,,V. Carter enters the game for S. Labissiere
4:44.0,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall),2,21-4,,
4:43.0,,,21-4,,Sacramento full timeout
4:43.0,,,21-4,,K. Koufos enters the game for W. Cauley-Stein
4:29.0,,,21-6,2,B. Bogdanovic makes 2-pt shot from 18 ft
4:14.0,K. Oubre makes 2-pt shot from 1 ft (assist by M. Gortat),2,23-6,,
3:54.0,,,23-6,,D. Fox misses 2-pt shot from 9 ft
3:51.0,Defensive rebound by M. Gortat,,23-6,,
3:48.0,Shooting foul by V. Carter (drawn by O. Porter),,23-6,,
3:48.0,O. Porter misses free throw 1 of 2,,23-6,,
3:48.0,Offensive rebound by Team,,23-6,,
3:48.0,,,23-6,,G. Temple enters the game for B. Hield
3:48.0,J. Meeks enters the game for M. Gortat,,23-6,,
3:48.0,O. Porter makes free throw 2 of 2,1,24-6,,
3:48.0,I. Mahinmi enters the game for K. Oubre,,24-6,,
3:33.0,,,24-6,,Turnover by G. Temple (bad pass; steal by I. Mahinmi)
3:27.0,Turnover by J. Wall (lost ball; steal by B. Bogdanovic),,24-6,,
3:24.0,,,24-9,3,B. Bogdanovic makes 3-pt shot from 24 ft
2:57.0,B. Beal misses 2-pt shot from 1 ft,,24-9,,
2:56.0,Offensive rebound by I. Mahinmi,,24-9,,
2:56.0,I. Mahinmi makes 2-pt shot at rim,2,26-9,,
2:45.0,,,26-9,,Shooting foul by I. Mahinmi (drawn by K. Koufos)
2:45.0,,,26-9,,K. Koufos misses free throw 1 of 2
2:45.0,,,26-9,,Offensive rebound by Team
2:45.0,,,26-9,,F. Mason enters the game for D. Fox
2:45.0,T. Frazier enters the game for J. Wall,,26-9,,
2:45.0,,,26-10,1,K. Koufos makes free throw 2 of 2
2:24.0,Shooting foul by B. Bogdanovic (drawn by O. Porter),,26-10,,
2:24.0,O. Porter makes free throw 1 of 2,1,27-10,,
2:24.0,,,27-10,,M. Richardson enters the game for B. Bogdanovic
2:24.0,O. Porter makes free throw 2 of 2,1,28-10,,
2:08.0,,,28-10,,K. Koufos misses 2-pt shot from 1 ft
2:02.0,Defensive rebound by J. Meeks,,28-10,,
1:58.0,J. Meeks misses 3-pt shot from 24 ft,,28-10,,
1:58.0,,,28-10,,Defensive rebound by K. Koufos
1:39.0,,,28-10,,V. Carter misses 3-pt shot from 23 ft
1:37.0,,,28-10,,Offensive rebound by K. Koufos
1:30.0,,,28-12,2,F. Mason makes 2-pt shot from 1 ft
1:24.0,,,28-12,,J. Jackson enters the game for G. Temple
1:24.0,M. Scott enters the game for O. Porter,,28-12,,
1:14.0,I. Mahinmi makes 2-pt shot from 7 ft (assist by T. Frazier),2,30-12,,
0:57.0,,,30-14,2,M. Richardson makes 2-pt shot from 16 ft
0:42.0,B. Beal makes 2-pt shot from 12 ft,2,32-14,,
0:31.0,,,32-16,2,K. Koufos makes 2-pt shot from 3 ft (assist by F. Mason)
0:08.0,J. Meeks makes 3-pt shot from 25 ft (assist by B. Beal),3,35-16,,
0:01.0,,,35-16,,Turnover by F. Mason (lost ball; steal by T. Frazier)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,35-16,,Shooting foul by I. Mahinmi (drawn by K. Koufos)
11:44.0,,,35-17,1,K. Koufos makes free throw 1 of 2
11:44.0,,,35-18,1,K. Koufos makes free throw 2 of 2
11:27.0,J. Meeks misses 2-pt shot from 17 ft,,35-18,,
11:24.0,,,35-18,,Defensive rebound by K. Koufos
11:09.0,,,35-18,,K. Koufos misses 2-pt shot from 2 ft
11:05.0,,,35-18,,Offensive rebound by K. Koufos
11:02.0,,,35-18,,M. Richardson misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by I. Mahinmi,,35-18,,
10:50.0,J. Meeks misses 2-pt shot from 20 ft,,35-18,,
10:50.0,,,35-18,,Defensive rebound by K. Koufos
10:46.0,,,35-18,,Offensive charge foul by F. Mason (drawn by T. Frazier)
10:46.0,,,35-18,,Turnover by F. Mason (offensive foul)
10:28.0,M. Scott makes 3-pt shot from 23 ft (assist by T. Satoransky),3,38-18,,
10:07.0,,,38-18,,Turnover by K. Koufos (lost ball; steal by J. Meeks)
10:00.0,T. Satoransky misses 3-pt shot from 22 ft,,38-18,,
9:56.0,Offensive rebound by M. Scott,,38-18,,
9:56.0,M. Scott makes 2-pt shot from 4 ft,2,40-18,,
9:49.0,,,40-18,,F. Mason misses 2-pt shot from 1 ft
9:49.0,,,40-18,,Offensive rebound by K. Koufos
9:45.0,,,40-20,2,K. Koufos makes 2-pt shot from 1 ft
9:39.0,,,40-20,,Technical foul by K. Koufos (drawn by T. Satoransky)
9:39.0,T. Satoransky misses free throw 1 of 2,,40-20,,
9:39.0,Offensive rebound by Team,,40-20,,
9:39.0,T. Satoransky misses flagrant free throw 2 of 2,,40-20,,
9:39.0,Offensive rebound by Team,,40-20,,
9:37.0,Offensive foul by I. Mahinmi (drawn by K. Koufos),,40-20,,
9:37.0,Turnover by I. Mahinmi (offensive foul),,40-20,,
9:37.0,J. Smith enters the game for I. Mahinmi,,40-20,,
9:26.0,,,40-20,,V. Carter misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by T. Satoransky,,40-20,,
9:15.0,J. Smith misses 3-pt shot from 25 ft,,40-20,,
9:10.0,Offensive rebound by T. Frazier,,40-20,,
9:09.0,M. Scott misses 2-pt shot from 2 ft,,40-20,,
9:09.0,Offensive rebound by M. Scott,,40-20,,
9:04.0,M. Scott misses 2-pt shot at rim,,40-20,,
9:03.0,,,40-20,,Defensive rebound by K. Koufos
8:55.0,,,40-20,,V. Carter misses 2-pt shot from 9 ft
8:49.0,Defensive rebound by M. Scott,,40-20,,
8:44.0,M. Scott makes 2-pt shot from 15 ft (assist by T. Frazier),2,42-20,,
8:20.0,,,42-20,,Turnover by V. Carter (bad pass; steal by T. Satoransky)
8:20.0,,,42-20,,Personal foul by K. Koufos (drawn by J. Smith)
8:20.0,,,42-20,,G. Temple enters the game for J. Jackson
8:06.0,J. Meeks misses 3-pt shot from 25 ft,,42-20,,
8:04.0,,,42-20,,Defensive rebound by K. Koufos
7:56.0,,,42-20,,F. Mason misses 3-pt shot from 25 ft
7:52.0,,,42-20,,Offensive rebound by K. Koufos
7:40.0,,,42-20,,V. Carter misses 3-pt shot from 27 ft
7:37.0,Defensive rebound by T. Satoransky,,42-20,,
7:31.0,J. Smith misses 3-pt shot from 22 ft,,42-20,,
7:27.0,,,42-20,,Defensive rebound by V. Carter
7:18.0,,,42-20,,Shooting foul by T. Frazier (drawn by M. Richardson)
7:18.0,,,42-21,1,M. Richardson makes free throw 1 of 2
7:18.0,,,42-21,,S. Labissiere enters the game for V. Carter
7:18.0,,,42-21,,W. Cauley-Stein enters the game for K. Koufos
7:18.0,K. Oubre enters the game for J. Meeks,,42-21,,
7:18.0,J. Wall enters the game for T. Frazier,,42-21,,
7:18.0,,,42-22,1,M. Richardson makes free throw 2 of 2
7:05.0,M. Scott makes 2-pt shot from 8 ft (assist by J. Wall),2,44-22,,
6:52.0,,,44-22,,M. Richardson misses 3-pt shot from 25 ft
