time,Dallas,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Powell (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. D. Powell (M. Chriss gains possession)
11:38.0,,,0-3,3,D. Booker makes 3-pt shot from 25 ft (assist by M. Chriss)
11:19.0,W. Matthews misses 3-pt shot from 25 ft,,0-3,,
11:15.0,,,0-3,,Defensive rebound by T. Chandler
11:09.0,,,0-3,,Turnover by D. Booker (lost ball; steal by D. Nowitzki)
11:05.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,2-3,,
10:43.0,,,2-5,2,J. Jackson makes 2-pt shot from 9 ft (assist by T. Warren)
10:22.0,D. Smith misses 2-pt shot from 21 ft,,2-5,,
10:19.0,,,2-5,,Defensive rebound by J. Jackson
10:17.0,,,2-7,2,M. Chriss makes 2-pt shot at rim (assist by J. Jackson)
9:52.0,,,2-7,,Personal foul by T. Chandler (drawn by D. Nowitzki)
9:41.0,D. Nowitzki misses 3-pt shot from 25 ft,,2-7,,
9:36.0,Offensive rebound by D. Powell,,2-7,,
9:28.0,W. Matthews misses 2-pt shot from 22 ft,,2-7,,
9:27.0,,,2-7,,Defensive rebound by M. Chriss
9:14.0,,,2-7,,D. Booker misses 2-pt shot from 13 ft
9:11.0,Defensive rebound by D. Powell,,2-7,,
9:04.0,D. Smith makes 2-pt shot from 1 ft,2,4-7,,
8:41.0,,,4-7,,M. Chriss misses 2-pt shot at rim
8:37.0,Defensive rebound by D. Powell,,4-7,,
8:29.0,H. Barnes misses 3-pt shot from 22 ft,,4-7,,
8:27.0,,,4-7,,Defensive rebound by T. Warren
8:23.0,,,4-9,2,T. Warren makes 2-pt shot at rim
8:09.0,H. Barnes misses 3-pt shot from 22 ft,,4-9,,
8:07.0,,,4-9,,Defensive rebound by M. Chriss
8:00.0,,,4-9,,M. Chriss misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by D. Nowitzki,,4-9,,
7:34.0,H. Barnes misses 2-pt shot from 18 ft,,4-9,,
7:32.0,,,4-9,,Defensive rebound by M. Chriss
7:25.0,,,4-11,2,J. Jackson makes 2-pt shot from 22 ft
7:23.0,Dallas full timeout,,4-11,,
7:23.0,,,4-11,,J. Dudley enters the game for M. Chriss
7:23.0,S. Mejri enters the game for D. Nowitzki,,4-11,,
7:23.0,Y. Ferrell enters the game for D. Powell,,4-11,,
7:11.0,H. Barnes misses 2-pt shot from 16 ft,,4-11,,
7:08.0,Offensive rebound by H. Barnes,,4-11,,
6:59.0,D. Smith misses 2-pt shot from 21 ft,,4-11,,
6:56.0,Offensive rebound by S. Mejri,,4-11,,
6:55.0,W. Matthews misses 3-pt shot from 25 ft,,4-11,,
6:52.0,,,4-11,,Defensive rebound by T. Chandler
6:40.0,,,4-11,,T. Warren misses 2-pt shot from 15 ft
6:38.0,Defensive rebound by D. Smith,,4-11,,
6:30.0,H. Barnes misses 2-pt shot from 21 ft,,4-11,,
6:26.0,,,4-11,,Defensive rebound by J. Jackson
6:19.0,,,4-13,2,T. Warren makes 2-pt shot from 8 ft (assist by J. Jackson)
6:03.0,Y. Ferrell makes 2-pt shot from 13 ft,2,6-13,,
5:45.0,,,6-15,2,T. Chandler makes 2-pt shot from 1 ft (assist by T. Warren)
