time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Olynyk (M. Williams gains possession),,,,Jump ball: D. Howard vs. K. Olynyk (M. Williams gains possession)
11:37.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker)
11:14.0,J. Johnson misses 2-pt shot from 9 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by M. Williams
11:02.0,,,0-2,,K. Walker misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by G. Dragic,,0-2,,
10:52.0,J. Richardson makes 3-pt shot from 22 ft (assist by G. Dragic),3,3-2,,
10:38.0,,,3-2,,Shooting foul by K. Olynyk (drawn by D. Howard)
10:38.0,,,3-3,1,D. Howard makes free throw 1 of 2
10:38.0,,,3-4,1,D. Howard makes free throw 2 of 2
10:29.0,J. Johnson misses 3-pt shot from 25 ft,,3-4,,
10:25.0,,,3-4,,Defensive rebound by D. Howard
10:16.0,,,3-4,,Turnover by K. Walker (bad pass)
10:06.0,Turnover by G. Dragic (bad pass; steal by N. Batum),,3-4,,
9:55.0,,,3-4,,K. Walker misses 2-pt shot from 13 ft
9:55.0,,,3-4,,Offensive rebound by Team
9:55.0,,,3-4,,Turnover by K. Walker (traveling)
9:41.0,D. Waiters misses 3-pt shot from 26 ft,,3-4,,
9:37.0,,,3-4,,Defensive rebound by D. Howard
9:24.0,,,3-6,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
9:13.0,G. Dragic misses 2-pt shot from 9 ft,,3-6,,
9:10.0,,,3-6,,Defensive rebound by D. Howard
8:55.0,,,3-6,,D. Howard misses 2-pt shot from 1 ft (block by J. Richardson)
8:55.0,,,3-6,,Offensive rebound by D. Howard
8:55.0,,,3-6,,D. Howard misses 2-pt shot from 1 ft (block by D. Waiters)
8:55.0,,,3-6,,Offensive rebound by Team
8:53.0,,,3-6,,N. Batum misses 2-pt shot from 14 ft
8:53.0,Defensive rebound by K. Olynyk,,3-6,,
8:41.0,D. Waiters makes 2-pt shot at rim,2,5-6,,
8:30.0,,,5-8,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
8:30.0,B. Adebayo enters the game for K. Olynyk,,5-8,,
8:30.0,,,5-9,1,N. Batum makes free throw 1 of 1
8:10.0,D. Waiters misses 2-pt shot from 16 ft,,5-9,,
8:06.0,,,5-9,,Defensive rebound by D. Howard
7:52.0,,,5-9,,M. Kidd-Gilchrist misses 2-pt shot from 8 ft
7:50.0,Defensive rebound by D. Waiters,,5-9,,
7:43.0,D. Waiters makes 2-pt shot from 1 ft,2,7-9,,
7:27.0,,,7-9,,Shooting foul by B. Adebayo (drawn by D. Howard)
7:27.0,,,7-9,,D. Howard misses free throw 1 of 2
7:27.0,,,7-9,,Offensive rebound by Team
7:27.0,,,7-9,,D. Howard misses free throw 2 of 2
7:23.0,Defensive rebound by J. Johnson,,7-9,,
7:06.0,B. Adebayo misses 2-pt shot from 10 ft,,7-9,,
7:02.0,,,7-9,,Defensive rebound by D. Howard
6:54.0,,,7-9,,K. Walker misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by J. Richardson,,7-9,,
6:44.0,Shooting foul by K. Walker (drawn by G. Dragic),,7-9,,
6:44.0,,,7-9,,Charlotte full timeout
6:44.0,,,7-9,,M. Monk enters the game for N. Batum
6:44.0,G. Dragic makes free throw 1 of 2,1,8-9,,
6:44.0,G. Dragic makes free throw 2 of 2,1,9-9,,
6:30.0,,,9-9,,K. Walker misses 2-pt shot from 1 ft (block by G. Dragic)
6:22.0,,,9-9,,Offensive rebound by M. Williams
6:22.0,,,9-9,,M. Williams misses 2-pt shot at rim
6:20.0,Defensive rebound by G. Dragic,,9-9,,
6:16.0,G. Dragic makes 2-pt shot at rim,2,11-9,,
5:56.0,Jump ball: M. Williams vs. J. Richardson (M. Kidd-Gilchrist gains possession),,,,Jump ball: M. Williams vs. J. Richardson (M. Kidd-Gilchrist gains possession)
5:55.0,,,11-9,,Shooting foul by D. Waiters (drawn by M. Kidd-Gilchrist)
5:55.0,,,11-9,,M. Kidd-Gilchrist misses free throw 1 of 2
5:55.0,,,11-9,,Offensive rebound by Team
5:55.0,,,11-10,1,M. Kidd-Gilchrist makes free throw 2 of 2
