time,Brooklyn,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. T. Zeller (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. T. Zeller (G. Dragic gains possession)
11:46.0,,,0-0,,Turnover by J. Richardson (bad pass; steal by R. Hollis-Jefferson)
11:37.0,Turnover by R. Hollis-Jefferson (bad pass; steal by G. Dragic),,0-0,,
11:24.0,,,0-2,2,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic)
11:00.0,T. Zeller misses 2-pt shot from 11 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by H. Whiteside
10:49.0,,,0-4,2,H. Whiteside makes 2-pt shot from 4 ft (assist by G. Dragic)
10:30.0,Turnover by S. Dinwiddie (lost ball; steal by H. Whiteside),,0-4,,
10:14.0,,,0-4,,G. Dragic misses 3-pt shot from 26 ft
10:14.0,,,0-4,,Offensive rebound by Team
10:14.0,Loose ball foul by D. Carroll (drawn by K. Olynyk),,0-4,,
10:08.0,,,0-4,,T. Johnson misses 2-pt shot from 13 ft
10:03.0,,,0-4,,Offensive rebound by H. Whiteside
10:03.0,,,0-6,2,H. Whiteside makes 2-pt shot at rim
9:55.0,R. Hollis-Jefferson misses 2-pt shot from 16 ft,,0-6,,
9:51.0,,,0-6,,Defensive rebound by G. Dragic
9:43.0,,,0-8,2,J. Richardson makes 2-pt shot from 2 ft
9:26.0,T. Zeller makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson),3,3-8,,
9:12.0,,,3-10,2,H. Whiteside makes 2-pt shot from 12 ft (assist by G. Dragic)
9:02.0,Turnover by D. Carroll (step out of bounds),,3-10,,
8:48.0,,,3-10,,G. Dragic misses 2-pt shot from 6 ft
8:44.0,Defensive rebound by T. Zeller,,3-10,,
8:36.0,A. Crabbe makes 2-pt shot from 17 ft (assist by D. Carroll),2,5-10,,
8:24.0,,,5-10,,J. Richardson misses 2-pt shot from 14 ft
8:20.0,Defensive rebound by T. Zeller,,5-10,,
8:14.0,D. Carroll misses 2-pt shot from 18 ft,,5-10,,
8:09.0,Offensive rebound by T. Zeller,,5-10,,
8:09.0,T. Zeller makes 2-pt shot at rim,2,7-10,,
7:52.0,,,7-12,2,K. Olynyk makes 2-pt shot from 3 ft
7:40.0,A. Crabbe misses 3-pt shot from 24 ft,,7-12,,
7:37.0,,,7-12,,Defensive rebound by G. Dragic
7:32.0,,,7-14,2,G. Dragic makes 2-pt shot from 18 ft
7:31.0,Brooklyn full timeout,,7-14,,
7:15.0,Turnover by R. Hollis-Jefferson (lost ball; steal by H. Whiteside),,7-14,,
7:12.0,,,7-14,,Turnover by H. Whiteside (bad pass; steal by A. Crabbe)
7:08.0,,,7-14,,Def 3 sec tech foul by H. Whiteside
7:08.0,A. Crabbe makes technical free throw,1,8-14,,
6:52.0,S. Dinwiddie misses 2-pt shot from 2 ft (block by K. Olynyk),,8-14,,
6:47.0,,,8-14,,Defensive rebound by H. Whiteside
6:41.0,,,8-14,,K. Olynyk misses 2-pt shot from 8 ft
6:38.0,,,8-14,,Offensive rebound by K. Olynyk
6:35.0,,,8-14,,Turnover by K. Olynyk (lost ball; steal by A. Crabbe)
6:26.0,T. Zeller misses 2-pt shot from 7 ft,,8-14,,
6:26.0,,,8-14,,Defensive rebound by K. Olynyk
6:03.0,,,8-16,2,G. Dragic makes 2-pt shot from 11 ft
5:47.0,,,8-16,,Personal foul by G. Dragic (drawn by R. Hollis-Jefferson)
5:47.0,,,8-16,,W. Ellington enters the game for J. Richardson
5:47.0,J. Harris enters the game for T. Zeller,,8-16,,
