time,Philadelphia,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Embiid (T. Luwawu-Cabarrot gains possession),,,,Jump ball: P. Gasol vs. J. Embiid (T. Luwawu-Cabarrot gains possession)
11:47.0,D. Saric misses 3-pt shot from 25 ft,,0-0,,
11:43.0,Offensive rebound by J. Embiid,,0-0,,
11:34.0,J. Embiid misses 2-pt shot from 15 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by K. Anderson
11:12.0,Jump ball: D. Murray vs. R. Covington (P. Gasol gains possession),,,,Jump ball: D. Murray vs. R. Covington (P. Gasol gains possession)
11:08.0,,,0-0,,K. Anderson misses 2-pt shot from 16 ft
11:05.0,Defensive rebound by R. Covington,,0-0,,
11:00.0,B. Simmons makes 2-pt shot from 1 ft,2,2-0,,
10:38.0,,,2-0,,P. Gasol misses 2-pt shot from 19 ft
10:36.0,Defensive rebound by B. Simmons,,2-0,,
10:27.0,R. Covington misses 3-pt shot from 23 ft,,2-0,,
10:27.0,,,2-0,,Defensive rebound by P. Gasol
10:16.0,,,2-2,2,P. Gasol makes 2-pt shot at rim (assist by D. Murray)
10:16.0,,,2-2,,Shooting foul by R. Covington (drawn by P. Gasol)
10:16.0,,,2-3,1,P. Gasol makes free throw 1 of 1
10:03.0,Shooting foul by K. Anderson (drawn by J. Embiid),,2-3,,
10:03.0,J. Embiid misses free throw 1 of 2,,2-3,,
10:03.0,Offensive rebound by Team,,2-3,,
10:03.0,J. Embiid makes free throw 2 of 2,1,3-3,,
9:42.0,,,3-3,,K. Anderson misses 2-pt shot from 4 ft
9:40.0,Defensive rebound by R. Covington,,3-3,,
9:31.0,B. Simmons misses 2-pt shot at rim,,3-3,,
9:31.0,Offensive rebound by D. Saric,,3-3,,
9:24.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,3-3,,
9:24.0,,,3-3,,Defensive rebound by D. Murray
9:16.0,,,3-3,,D. Green misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by T. Luwawu-Cabarrot,,3-3,,
9:03.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,3-3,,
9:01.0,,,3-3,,Defensive rebound by D. Murray
8:55.0,,,3-5,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Murray)
8:38.0,D. Saric makes 2-pt shot from 7 ft (assist by B. Simmons),2,5-5,,
8:11.0,,,5-5,,Turnover by K. Anderson (bad pass; steal by T. Luwawu-Cabarrot)
8:08.0,B. Simmons makes 2-pt shot at rim,2,7-5,,
8:05.0,,,7-5,,San Antonio full timeout
7:49.0,,,7-5,,P. Gasol misses 2-pt shot at rim (block by D. Saric)
7:47.0,Defensive rebound by D. Saric,,7-5,,
7:39.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,7-5,,
7:39.0,,,7-5,,Defensive rebound by K. Anderson
7:33.0,,,7-5,,Turnover by K. Anderson (bad pass; steal by B. Simmons)
7:24.0,R. Covington misses 3-pt shot from 25 ft,,7-5,,
7:20.0,,,7-5,,Defensive rebound by P. Gasol
7:10.0,,,7-5,,P. Gasol misses 2-pt shot from 13 ft
7:10.0,Defensive rebound by J. Embiid,,7-5,,
6:57.0,J. Embiid misses 2-pt shot from 13 ft,,7-5,,
6:57.0,Offensive rebound by B. Simmons,,7-5,,
6:52.0,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by B. Simmons),3,10-5,,
6:34.0,,,10-7,2,L. Aldridge makes 2-pt shot from 13 ft (assist by D. Murray)
6:21.0,D. Saric misses 2-pt shot from 18 ft,,10-7,,
6:21.0,,,10-7,,Defensive rebound by D. Murray
6:05.0,,,10-7,,L. Aldridge misses 2-pt shot from 16 ft
6:05.0,Defensive rebound by J. Embiid,,10-7,,
5:48.0,B. Simmons makes 2-pt shot at rim,2,12-7,,
5:31.0,,,12-9,2,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Green)
5:11.0,J. Embiid makes 2-pt shot from 12 ft,2,14-9,,
4:57.0,,,14-9,,P. Gasol misses 3-pt shot from 22 ft
4:57.0,Defensive rebound by D. Saric,,14-9,,
4:41.0,J. Embiid makes 2-pt shot from 15 ft,2,16-9,,
4:14.0,,,16-9,,D. Green misses 3-pt shot from 36 ft
4:14.0,,,16-9,,Offensive rebound by Team
4:13.0,Loose ball foul by J. Embiid (drawn by P. Gasol),,16-9,,
4:13.0,,,16-9,,B. Forbes enters the game for K. Anderson
4:13.0,,,16-9,,T. Parker enters the game for D. Murray
4:13.0,,,16-9,,D. Bertans enters the game for P. Gasol
4:13.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,16-9,,
4:13.0,A. Johnson enters the game for J. Embiid,,16-9,,
4:13.0,T. McConnell enters the game for R. Covington,,16-9,,
4:02.0,,,16-9,,L. Aldridge misses 2-pt shot from 7 ft
4:02.0,Defensive rebound by A. Johnson,,16-9,,
3:57.0,D. Saric makes 2-pt shot at rim (assist by B. Simmons),2,18-9,,
3:37.0,,,18-9,,Turnover by D. Bertans (bad pass)
3:37.0,Philadelphia full timeout,,18-9,,
3:37.0,,,18-9,,B. Paul enters the game for D. Green
3:37.0,J. Young enters the game for D. Saric,,18-9,,
3:37.0,T. Booker enters the game for B. Simmons,,18-9,,
3:18.0,J. Anderson makes 2-pt shot from 1 ft (assist by T. McConnell),2,20-9,,
3:00.0,,,20-9,,D. Bertans misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by A. Johnson,,20-9,,
2:44.0,J. Young misses 3-pt shot from 25 ft,,20-9,,
2:39.0,Offensive rebound by T. McConnell,,20-9,,
2:29.0,T. McConnell misses 2-pt shot from 16 ft,,20-9,,
2:26.0,,,20-9,,Defensive rebound by L. Aldridge
2:19.0,,,20-11,2,T. Parker makes 2-pt shot from 14 ft
1:56.0,T. Booker misses 2-pt shot from 8 ft,,20-11,,
