time,Golden State,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. Z. Pachulia (K. Dunn gains possession),,,,Jump ball: R. Lopez vs. Z. Pachulia (K. Dunn gains possession)
11:36.0,,,0-2,2,R. Lopez makes 2-pt shot at rim
11:36.0,Golden State full timeout,,0-2,,
11:36.0,K. Looney enters the game for J. Bell,,0-2,,
11:21.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,3-2,,
11:03.0,,,3-4,2,R. Lopez makes 2-pt shot at rim (assist by Z. LaVine)
10:55.0,K. Durant makes 2-pt shot from 15 ft,2,5-4,,
10:35.0,,,5-4,,Z. LaVine misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by Z. Pachulia,,5-4,,
10:22.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant),3,8-4,,
10:14.0,,,8-4,,Z. LaVine misses 2-pt shot from 3 ft
10:12.0,Defensive rebound by Z. Pachulia,,8-4,,
10:06.0,K. Thompson misses 2-pt shot from 13 ft,,8-4,,
10:01.0,,,8-4,,Defensive rebound by J. Holiday
9:57.0,,,8-4,,K. Dunn misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by Z. Pachulia,,8-4,,
9:46.0,S. Curry makes 2-pt shot from 15 ft,2,10-4,,
9:29.0,,,10-4,,J. Holiday misses 3-pt shot from 23 ft
9:27.0,Defensive rebound by S. Curry,,10-4,,
9:16.0,S. Curry misses 2-pt shot from 4 ft (block by L. Markkanen),,10-4,,
9:16.0,,,10-4,,Defensive rebound by Team
9:02.0,,,10-6,2,R. Lopez makes 2-pt shot from 4 ft (assist by L. Markkanen)
8:41.0,Z. Pachulia makes 2-pt shot from 1 ft,2,12-6,,
8:27.0,,,12-6,,Shooting foul by K. Looney (drawn by J. Holiday)
8:27.0,,,12-7,1,J. Holiday makes free throw 1 of 2
8:27.0,,,12-8,1,J. Holiday makes free throw 2 of 2
8:19.0,,,12-8,,Personal foul by K. Dunn (drawn by S. Curry)
8:16.0,Turnover by S. Curry (bad pass; steal by K. Dunn),,12-8,,
8:16.0,Personal foul by Z. Pachulia (drawn by K. Dunn),,12-8,,
7:52.0,,,12-8,,J. Holiday misses 2-pt shot from 20 ft
7:49.0,Defensive rebound by S. Curry,,12-8,,
7:43.0,Shooting foul by J. Holiday (drawn by K. Durant),,12-8,,
7:43.0,K. Durant makes free throw 1 of 2,1,13-8,,
7:43.0,K. Durant makes free throw 2 of 2,1,14-8,,
7:25.0,,,14-11,3,J. Holiday makes 3-pt shot from 22 ft (assist by K. Dunn)
7:13.0,K. Thompson makes 2-pt shot from 15 ft (assist by S. Curry),2,16-11,,
6:55.0,,,16-13,2,L. Markkanen makes 2-pt shot at rim (assist by K. Dunn)
6:42.0,S. Curry makes 2-pt shot from 20 ft,2,18-13,,
6:28.0,,,18-13,,Z. LaVine misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by Z. Pachulia,,18-13,,
6:21.0,,,18-13,,Personal foul by Z. LaVine (drawn by K. Thompson)
6:21.0,,,18-13,,D. Valentine enters the game for Z. LaVine
6:14.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant),2,20-13,,
6:06.0,Def 3 sec tech foul by Z. Pachulia,,20-13,,
6:06.0,,,20-14,1,L. Markkanen makes technical free throw
6:00.0,,,20-16,2,K. Dunn makes 2-pt shot from 6 ft
6:00.0,,,20-16,,Shooting foul by S. Curry (drawn by K. Dunn)
6:00.0,,,20-17,1,K. Dunn makes free throw 1 of 1
5:46.0,Shooting foul by D. Valentine (drawn by S. Curry),,20-17,,
5:46.0,S. Curry makes free throw 1 of 2,1,21-17,,
5:46.0,S. Curry makes free throw 2 of 2,1,22-17,,
5:34.0,,,22-17,,Turnover by J. Holiday (bad pass)
5:23.0,Shooting foul by K. Dunn (drawn by K. Thompson),,22-17,,
5:23.0,K. Thompson makes free throw 1 of 2,1,23-17,,
5:23.0,,,23-17,,J. Grant enters the game for K. Dunn
5:23.0,K. Thompson makes free throw 2 of 2,1,24-17,,
5:08.0,,,24-17,,D. Valentine misses 2-pt shot from 9 ft
5:06.0,Defensive rebound by Z. Pachulia,,24-17,,
5:03.0,Shooting foul by J. Grant (drawn by K. Thompson),,24-17,,
5:03.0,K. Thompson misses free throw 1 of 2,,24-17,,
5:03.0,Offensive rebound by Team,,24-17,,
5:03.0,K. Thompson makes free throw 2 of 2,1,25-17,,
4:49.0,,,25-17,,L. Markkanen misses 2-pt shot from 19 ft
4:47.0,Defensive rebound by S. Curry,,25-17,,
4:44.0,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry),2,27-17,,
4:44.0,,,27-17,,Chicago full timeout
4:34.0,,,27-20,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Grant)
4:20.0,Z. Pachulia makes 2-pt shot from 16 ft,2,29-20,,
4:05.0,,,29-20,,Turnover by R. Lopez (traveling)
4:05.0,J. McGee enters the game for Z. Pachulia,,29-20,,
3:52.0,S. Curry makes 3-pt shot from 25 ft,3,32-20,,
3:39.0,,,32-20,,R. Lopez misses 2-pt shot from 3 ft
3:36.0,Defensive rebound by S. Curry,,32-20,,
3:34.0,Turnover by K. Looney (out of bounds lost ball),,32-20,,
3:34.0,N. Young enters the game for K. Thompson,,32-20,,
3:17.0,,,32-20,,D. Valentine misses 2-pt shot from 7 ft
3:11.0,,,32-20,,Offensive rebound by R. Lopez
3:11.0,,,32-22,2,R. Lopez makes 2-pt shot at rim
3:02.0,K. Durant misses 3-pt shot from 24 ft,,32-22,,
3:00.0,,,32-22,,Defensive rebound by D. Valentine
2:54.0,,,32-24,2,D. Valentine makes 2-pt shot from 19 ft
2:40.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,34-24,,
2:26.0,,,34-26,2,R. Lopez makes 2-pt shot from 7 ft
2:21.0,,,34-26,,Personal foul by J. Grant (drawn by S. Curry)
2:21.0,S. Curry makes free throw 1 of 2,1,35-26,,
2:21.0,,,35-26,,N. Mirotic enters the game for L. Markkanen
2:21.0,O. Casspi enters the game for K. Looney,,35-26,,
2:21.0,P. McCaw enters the game for K. Durant,,35-26,,
2:21.0,S. Curry makes free throw 2 of 2,1,36-26,,
2:05.0,Personal foul by P. McCaw (drawn by R. Lopez),,36-26,,
2:05.0,,,36-26,,D. Nwaba enters the game for J. Grant
1:51.0,,,36-28,2,N. Mirotic makes 2-pt shot from 19 ft
1:37.0,P. McCaw misses 3-pt shot from 23 ft,,36-28,,
1:34.0,Offensive rebound by J. McGee,,36-28,,
1:32.0,J. McGee makes 2-pt shot from 1 ft,2,38-28,,
1:19.0,,,38-28,,Shooting foul by J. McGee (drawn by D. Nwaba)
1:19.0,,,38-29,1,D. Nwaba makes free throw 1 of 2
1:19.0,,,38-30,1,D. Nwaba makes free throw 2 of 2
0:58.0,O. Casspi misses 2-pt shot from 2 ft,,38-30,,
0:55.0,,,38-30,,Defensive rebound by R. Lopez
0:49.0,Personal foul by O. Casspi (drawn by N. Mirotic),,38-30,,
0:49.0,,,38-31,1,N. Mirotic makes free throw 1 of 2
0:49.0,,,38-31,,B. Portis enters the game for R. Lopez
0:49.0,,,38-32,1,N. Mirotic makes free throw 2 of 2
0:39.0,K. Durant enters the game for J. McGee,,38-32,,
0:36.0,Turnover by S. Curry (traveling),,38-32,,
0:29.0,,,38-35,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Valentine)
0:11.0,N. Young misses 3-pt shot from 25 ft,,38-35,,
0:11.0,,,38-35,,Defensive rebound by D. Valentine
0:09.0,Personal foul by O. Casspi (drawn by D. Valentine),,38-35,,
0:09.0,,,38-36,1,D. Valentine makes free throw 1 of 2
0:09.0,K. Thompson enters the game for P. McCaw,,38-36,,
0:09.0,,,38-36,,D. Valentine misses free throw 2 of 2
0:07.0,,,38-36,,Offensive rebound by D. Valentine
0:07.0,,,38-38,2,D. Valentine makes 2-pt shot at rim
0:04.0,Turnover by S. Curry (lost ball; steal by N. Mirotic),,38-38,,
0:00.0,,,38-40,2,D. Nwaba makes 2-pt shot from 3 ft (assist by N. Mirotic)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Thompson misses 3-pt shot from 27 ft,,38-40,,
11:36.0,,,38-40,,Defensive rebound by B. Portis
11:18.0,,,38-40,,Z. LaVine misses 2-pt shot from 8 ft
11:14.0,,,38-40,,Offensive rebound by B. Portis
11:14.0,,,38-42,2,B. Portis makes 2-pt shot at rim
11:04.0,Turnover by D. West (bad pass; steal by N. Mirotic),,38-42,,
10:59.0,,,38-44,2,Z. LaVine makes 2-pt shot from 4 ft (assist by N. Mirotic)
10:59.0,,,38-44,,Shooting foul by N. Young (drawn by Z. LaVine)
10:59.0,,,38-45,1,Z. LaVine makes free throw 1 of 1
10:44.0,S. Livingston makes 2-pt shot from 21 ft (assist by D. West),2,40-45,,
10:28.0,,,40-45,,Turnover by Z. LaVine (bad pass; steal by N. Young)
10:24.0,D. West makes 2-pt shot from 16 ft (assist by K. Thompson),2,42-45,,
10:24.0,Shooting foul by B. Portis (drawn by D. West),,42-45,,
10:24.0,D. West misses free throw 1 of 1,,42-45,,
10:20.0,,,42-45,,Defensive rebound by N. Mirotic
10:02.0,,,42-45,,Turnover by N. Mirotic (bad pass; steal by O. Casspi)
9:55.0,K. Thompson makes 2-pt shot from 2 ft,2,44-45,,
9:34.0,,,44-45,,Z. LaVine misses 2-pt shot from 20 ft (block by D. West)
9:34.0,Defensive rebound by O. Casspi,,44-45,,
9:24.0,O. Casspi makes 2-pt shot at rim (assist by D. West),2,46-45,,
9:24.0,,,46-45,,Chicago full timeout
9:24.0,,,46-45,,K. Dunn enters the game for D. Valentine
9:09.0,,,46-47,2,D. Nwaba makes 2-pt shot from 1 ft
8:51.0,D. West misses 2-pt shot from 16 ft,,46-47,,
8:49.0,,,46-47,,Defensive rebound by N. Mirotic
8:44.0,,,46-50,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Nwaba)
8:22.0,K. Thompson misses 2-pt shot from 15 ft,,46-50,,
8:20.0,,,46-50,,Defensive rebound by D. Nwaba
8:08.0,,,46-50,,B. Portis misses 3-pt shot from 22 ft
8:08.0,Defensive rebound by S. Livingston,,46-50,,
7:57.0,Turnover by S. Livingston (bad pass; steal by K. Dunn),,46-50,,
7:52.0,,,46-52,2,Z. LaVine makes 2-pt shot at rim (assist by K. Dunn)
7:31.0,N. Young misses 3-pt shot from 23 ft,,46-52,,
7:31.0,,,46-52,,Defensive rebound by D. Nwaba
7:27.0,Personal foul by S. Livingston (drawn by D. Nwaba),,46-52,,
7:27.0,K. Durant enters the game for O. Casspi,,46-52,,
7:15.0,,,46-54,2,N. Mirotic makes 2-pt shot from 8 ft (assist by B. Portis)
7:07.0,K. Durant misses 2-pt shot from 2 ft,,46-54,,
7:07.0,,,46-54,,Defensive rebound by B. Portis
7:01.0,,,46-57,3,N. Mirotic makes 3-pt shot from 23 ft (assist by B. Portis)
6:37.0,S. Livingston misses 2-pt shot from 6 ft,,46-57,,
6:34.0,,,46-57,,Defensive rebound by Z. LaVine
6:27.0,,,46-57,,Z. LaVine misses 3-pt shot from 25 ft
6:27.0,,,46-57,,Offensive rebound by D. Nwaba
6:25.0,,,46-57,,B. Portis misses 3-pt shot from 24 ft
6:24.0,,,46-57,,Offensive rebound by Z. LaVine
6:24.0,,,46-57,,Z. LaVine misses 2-pt shot from 2 ft
6:22.0,,,46-57,,Offensive rebound by Team
6:22.0,,,46-57,,J. Holiday enters the game for Z. LaVine
6:22.0,P. McCaw enters the game for N. Young,,46-57,,
6:12.0,,,46-57,,K. Dunn misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by P. McCaw,,46-57,,
6:01.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,49-57,,
5:49.0,,,49-57,,K. Dunn misses 2-pt shot from 16 ft
5:49.0,Defensive rebound by K. Thompson,,49-57,,
5:41.0,K. Durant misses 3-pt shot from 25 ft,,49-57,,
5:41.0,Offensive rebound by D. West,,49-57,,
5:36.0,D. West misses 2-pt shot at rim,,49-57,,
5:35.0,,,49-57,,Defensive rebound by K. Dunn
5:33.0,,,49-59,2,K. Dunn makes 2-pt shot from 16 ft
5:23.0,Golden State full timeout,,49-59,,
5:23.0,,,49-59,,L. Markkanen enters the game for B. Portis
5:23.0,K. Looney enters the game for D. West,,49-59,,
5:23.0,S. Curry enters the game for K. Thompson,,49-59,,
5:16.0,K. Durant misses 2-pt shot from 14 ft,,49-59,,
5:10.0,Offensive rebound by P. McCaw,,49-59,,
5:09.0,P. McCaw makes 2-pt shot from 1 ft,2,51-59,,
4:53.0,,,51-59,,D. Nwaba misses 2-pt shot from 1 ft
4:46.0,Defensive rebound by K. Looney,,51-59,,
4:33.0,S. Livingston misses 2-pt shot from 11 ft,,51-59,,
4:29.0,,,51-59,,Defensive rebound by K. Dunn
4:26.0,,,51-59,,N. Mirotic misses 3-pt shot from 26 ft
4:19.0,Defensive rebound by S. Livingston,,51-59,,
4:17.0,Turnover by S. Livingston (bad pass; steal by N. Mirotic),,51-59,,
4:17.0,Personal foul by S. Livingston (drawn by N. Mirotic),,51-59,,
4:17.0,,,51-59,,D. Valentine enters the game for D. Nwaba
4:17.0,N. Young enters the game for S. Livingston,,51-59,,
4:04.0,Personal foul by P. McCaw (drawn by N. Mirotic),,51-59,,
4:00.0,,,51-61,2,K. Dunn makes 2-pt shot at rim (assist by D. Valentine)
3:50.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant),3,54-61,,
3:32.0,,,54-61,,J. Holiday misses 3-pt shot from 23 ft
3:29.0,Defensive rebound by N. Young,,54-61,,
3:27.0,,,54-61,,Personal foul by N. Mirotic (drawn by K. Durant)
3:22.0,S. Curry misses 3-pt shot from 23 ft,,54-61,,
3:17.0,,,54-61,,Defensive rebound by J. Holiday
3:13.0,,,54-61,,R. Lopez enters the game for N. Mirotic
3:13.0,K. Thompson enters the game for P. McCaw,,54-61,,
