time,Atlanta,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. D. Dedmon (V. Oladipo gains possession),,,,Jump ball: M. Turner vs. D. Dedmon (V. Oladipo gains possession)
11:43.0,,,0-0,,T. Young misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by D. Schroder,,0-0,,
11:25.0,D. Schroder misses 3-pt shot from 25 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by V. Oladipo
11:16.0,,,0-2,2,V. Oladipo makes 2-pt shot from 17 ft
10:54.0,Turnover by T. Waller-Prince (lost ball; steal by T. Young),,0-2,,
10:46.0,,,0-2,,Turnover by C. Joseph (bad pass; steal by T. Waller-Prince)
10:45.0,Turnover by T. Waller-Prince (bad pass),,0-2,,
10:32.0,,,0-2,,V. Oladipo misses 2-pt shot from 18 ft
10:29.0,,,0-2,,Offensive rebound by V. Oladipo
10:27.0,,,0-5,3,T. Young makes 3-pt shot from 26 ft (assist by V. Oladipo)
10:14.0,K. Bazemore makes 2-pt shot from 8 ft,2,2-5,,
10:01.0,,,2-5,,V. Oladipo misses 2-pt shot from 2 ft
9:58.0,,,2-5,,Offensive rebound by M. Turner
9:55.0,,,2-7,2,T. Young makes 2-pt shot from 7 ft (assist by M. Turner)
9:35.0,K. Bazemore misses 2-pt shot from 7 ft,,2-7,,
9:31.0,,,2-7,,Defensive rebound by T. Young
9:27.0,,,2-7,,T. Young misses 2-pt shot from 2 ft (block by J. Collins)
9:27.0,,,2-7,,Offensive rebound by Team
9:24.0,,,2-7,,Turnover by C. Joseph (bad pass; steal by T. Waller-Prince)
9:18.0,J. Collins makes 2-pt shot from 5 ft,2,4-7,,
9:00.0,,,4-9,2,C. Joseph makes 2-pt shot from 15 ft
8:46.0,D. Schroder makes 2-pt shot from 3 ft,2,6-9,,
8:36.0,,,6-12,3,M. Turner makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
8:23.0,D. Schroder misses 2-pt shot from 13 ft,,6-12,,
8:21.0,,,6-12,,Defensive rebound by C. Joseph
8:21.0,Personal block foul by K. Bazemore (drawn by V. Oladipo),,6-12,,
8:11.0,,,6-14,2,T. Young makes 2-pt shot from 5 ft
7:51.0,Shooting foul by C. Joseph (drawn by D. Schroder),,6-14,,
7:51.0,D. Schroder makes free throw 1 of 2,1,7-14,,
7:51.0,D. Schroder makes free throw 2 of 2,1,8-14,,
7:37.0,,,8-16,2,B. Bogdanovic makes 2-pt shot from 14 ft
7:19.0,K. Bazemore makes 2-pt shot from 4 ft,2,10-16,,
7:07.0,,,10-16,,V. Oladipo misses 2-pt shot from 16 ft
7:07.0,Defensive rebound by J. Collins,,10-16,,
6:50.0,J. Collins misses 2-pt shot from 7 ft (block by T. Young),,10-16,,
6:49.0,Offensive rebound by J. Collins,,10-16,,
6:48.0,J. Collins makes 2-pt shot from 10 ft,2,12-16,,
6:34.0,,,12-16,,M. Turner misses 3-pt shot from 27 ft
6:31.0,Defensive rebound by K. Bazemore,,12-16,,
6:25.0,K. Bazemore makes 2-pt shot at rim,2,14-16,,
6:25.0,,,14-16,,Violation by M. Turner (def goaltending)
6:11.0,Personal foul by T. Waller-Prince (drawn by M. Turner),,14-16,,
6:11.0,,,14-16,,Indiana full timeout
6:11.0,M. Plumlee enters the game for K. Bazemore,,14-16,,
6:11.0,T. Dorsey enters the game for J. Collins,,14-16,,
6:10.0,,,14-16,,Turnover by V. Oladipo (bad pass; steal by D. Schroder)
6:10.0,,,14-16,,Loose ball foul by C. Joseph (drawn by D. Schroder)
6:10.0,,,14-16,,J. Young enters the game for C. Joseph
5:59.0,T. Waller-Prince misses 3-pt shot from 28 ft,,14-16,,
5:54.0,,,14-16,,Defensive rebound by J. Young
5:48.0,,,14-16,,Turnover by B. Bogdanovic (out of bounds lost ball)
5:38.0,T. Dorsey misses 3-pt shot from 26 ft,,14-16,,
5:34.0,Offensive rebound by T. Waller-Prince,,14-16,,
5:31.0,M. Plumlee misses 2-pt shot from 5 ft,,14-16,,
5:29.0,,,14-16,,Defensive rebound by T. Young
5:21.0,,,14-16,,B. Bogdanovic misses 2-pt shot from 1 ft (block by M. Plumlee)
5:17.0,Defensive rebound by T. Dorsey,,14-16,,
5:17.0,Offensive charge foul by T. Waller-Prince (drawn by T. Young),,14-16,,
5:17.0,Turnover by T. Waller-Prince (offensive foul),,14-16,,
5:17.0,M. Muscala enters the game for D. Dedmon,,14-16,,
5:10.0,Personal foul by M. Plumlee (drawn by M. Turner),,14-16,,
5:06.0,,,14-16,,B. Bogdanovic misses 3-pt shot from 26 ft
4:59.0,,,14-16,,Offensive rebound by B. Bogdanovic
