time,Sacramento,pts.away,score,pts.home,New York
6:32.0,,,13-10,3,C. Lee makes 3-pt shot from 25 ft (assist by T. Hardaway)
6:15.0,G. Hill misses 3-pt shot from 25 ft,,13-10,,
6:13.0,,,13-10,,Defensive rebound by Team
6:13.0,,,13-10,,New York full timeout
5:50.0,,,13-13,3,J. Jack makes 3-pt shot from 27 ft
5:26.0,Turnover by Z. Randolph (lost ball; steal by E. Kanter),,13-13,,
5:21.0,,,13-13,,T. Hardaway misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by G. Hill,,13-13,,
5:05.0,Z. Randolph makes 2-pt shot from 14 ft (assist by G. Hill),2,15-13,,
4:42.0,,,15-15,2,K. Porzingis makes 2-pt shot from 1 ft
4:17.0,Turnover by B. Bogdanovic (traveling),,15-15,,
4:17.0,B. Hield enters the game for B. Bogdanovic,,15-15,,
4:11.0,Personal foul by W. Cauley-Stein (drawn by K. Porzingis),,15-15,,
4:11.0,,,15-15,,D. McDermott enters the game for C. Lee
4:11.0,K. Koufos enters the game for W. Cauley-Stein,,15-15,,
4:05.0,,,15-18,3,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Jack)
3:47.0,Z. Randolph makes 2-pt shot from 17 ft (assist by G. Hill),2,17-18,,
3:34.0,,,17-18,,T. Hardaway misses 3-pt shot from 26 ft
3:33.0,,,17-18,,Offensive rebound by Team
3:33.0,Loose ball foul by B. Hield (drawn by E. Kanter),,17-18,,
3:33.0,,,17-18,,F. Ntilikina enters the game for J. Jack
3:33.0,J. Jackson enters the game for G. Hill,,17-18,,
3:33.0,D. Fox enters the game for G. Temple,,17-18,,
3:24.0,,,17-20,2,E. Kanter makes 2-pt shot from 4 ft
3:04.0,B. Hield misses 3-pt shot from 25 ft,,17-20,,
3:01.0,,,17-20,,Defensive rebound by E. Kanter
2:56.0,Violation by Z. Randolph (kicked ball),,17-20,,
2:56.0,Sacramento full timeout,,17-20,,
2:56.0,,,17-20,,K. O'Quinn enters the game for E. Kanter
2:56.0,S. Labissiere enters the game for Z. Randolph,,17-20,,
2:48.0,,,17-22,2,T. Hardaway makes 2-pt shot at rim
2:34.0,Turnover by S. Labissiere (bad pass; steal by K. O'Quinn),,17-22,,
2:20.0,,,17-22,,K. Porzingis misses 2-pt shot at rim
2:18.0,Defensive rebound by D. Fox,,17-22,,
2:12.0,K. Koufos makes 2-pt shot from 6 ft (assist by B. Hield),2,19-22,,
1:58.0,Personal foul by S. Labissiere (drawn by K. Porzingis),,19-22,,
1:48.0,,,19-24,2,T. Hardaway makes 2-pt shot from 10 ft
1:33.0,D. Fox misses 2-pt shot from 8 ft,,19-24,,
1:31.0,Offensive rebound by K. Koufos,,19-24,,
1:29.0,K. Koufos makes 2-pt shot from 1 ft,2,21-24,,
1:19.0,,,21-24,,T. Hardaway misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by K. Koufos,,21-24,,
1:03.0,J. Jackson misses 2-pt shot from 17 ft,,21-24,,
0:59.0,,,21-24,,Defensive rebound by K. Porzingis
0:50.0,,,21-27,3,K. Porzingis makes 3-pt shot from 25 ft (assist by F. Ntilikina)
0:39.0,D. Fox misses 3-pt shot from 25 ft,,21-27,,
0:36.0,,,21-27,,Defensive rebound by T. Hardaway
0:31.0,,,21-27,,Shooting foul by S. Labissiere (drawn by K. Porzingis)
0:31.0,,,21-28,1,K. Porzingis makes free throw 1 of 3
0:31.0,,,21-29,1,K. Porzingis makes free throw 2 of 3
0:31.0,,,21-30,1,K. Porzingis makes free throw 3 of 3
0:21.0,J. Jackson misses 2-pt shot from 8 ft,,21-30,,
0:17.0,Offensive rebound by J. Jackson,,21-30,,
0:17.0,J. Jackson makes 2-pt shot at rim,2,23-30,,
0:02.0,,,23-32,2,K. Porzingis makes 2-pt shot at rim (assist by F. Ntilikina)
0:00.0,Turnover by B. Hield (out of bounds lost ball),,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,S. Labissiere misses 2-pt shot from 7 ft,,23-32,,
11:38.0,,,23-32,,Defensive rebound by K. O'Quinn
11:32.0,,,23-32,,Offensive foul by D. McDermott (drawn by D. Fox)
11:32.0,,,23-32,,Turnover by D. McDermott (offensive foul)
11:22.0,D. Fox makes 2-pt shot from 1 ft,2,25-32,,
11:06.0,,,25-32,,M. Beasley misses 3-pt shot from 23 ft
11:04.0,Defensive rebound by K. Koufos,,25-32,,
10:56.0,,,25-32,,Violation by F. Ntilikina (kicked ball)
10:46.0,B. Hield makes 3-pt shot from 25 ft,3,28-32,,
10:30.0,,,28-34,2,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn)
10:13.0,S. Labissiere makes 2-pt shot from 3 ft (assist by B. Hield),2,30-34,,
9:55.0,,,30-36,2,D. McDermott makes 2-pt shot from 19 ft (assist by M. Beasley)
9:38.0,Shooting foul by M. Beasley (drawn by S. Labissiere),,30-36,,
9:38.0,S. Labissiere misses free throw 1 of 2,,30-36,,
9:38.0,Offensive rebound by Team,,30-36,,
9:38.0,S. Labissiere makes free throw 2 of 2,1,31-36,,
9:20.0,,,31-39,3,C. Lee makes 3-pt shot from 24 ft (assist by D. McDermott)
9:04.0,B. Hield makes 3-pt shot from 22 ft (assist by D. Fox),3,34-39,,
8:49.0,,,34-39,,C. Lee misses 2-pt shot from 19 ft
8:47.0,Defensive rebound by S. Labissiere,,34-39,,
8:34.0,S. Labissiere makes 2-pt shot from 15 ft (assist by B. Hield),2,36-39,,
8:15.0,,,36-39,,F. Ntilikina misses 2-pt shot from 21 ft
8:13.0,Defensive rebound by K. Koufos,,36-39,,
8:04.0,,,36-39,,Personal foul by F. Ntilikina (drawn by B. Hield)
8:04.0,,,36-39,,E. Kanter enters the game for K. O'Quinn
7:56.0,Shooting foul by E. Kanter (drawn by D. Fox),,36-39,,
7:56.0,D. Fox makes free throw 1 of 2,1,37-39,,
7:56.0,,,37-39,,J. Jack enters the game for F. Ntilikina
7:56.0,D. Fox makes free throw 2 of 2,1,38-39,,
7:38.0,,,38-41,2,M. Beasley makes 2-pt shot from 1 ft
7:38.0,,,38-41,,Shooting foul by S. Labissiere (drawn by M. Beasley)
7:38.0,,,38-41,,M. Beasley misses free throw 1 of 1
7:36.0,Defensive rebound by K. Koufos,,38-41,,
7:27.0,K. Koufos makes 2-pt shot at rim (assist by D. Fox),2,40-41,,
7:08.0,,,40-43,2,M. Beasley makes 2-pt shot from 7 ft
6:54.0,B. Hield makes 2-pt shot from 17 ft,2,42-43,,
6:31.0,,,42-45,2,E. Kanter makes 2-pt shot from 5 ft
6:24.0,D. Fox misses 2-pt shot from 3 ft,,42-45,,
6:24.0,,,42-45,,Defensive rebound by Team
6:24.0,Loose ball foul by D. Fox (drawn by E. Kanter),,42-45,,
6:24.0,,,42-45,,New York full timeout
6:24.0,Z. Randolph enters the game for S. Labissiere,,42-45,,
6:02.0,,,42-48,3,C. Lee makes 3-pt shot from 27 ft (assist by E. Kanter)
5:46.0,B. Hield misses 2-pt shot from 14 ft,,42-48,,
5:45.0,,,42-48,,Defensive rebound by C. Lee
5:30.0,,,42-48,,Turnover by D. McDermott (traveling)
5:30.0,,,42-48,,K. Porzingis enters the game for M. Beasley
5:12.0,Z. Randolph misses 2-pt shot from 8 ft,,42-48,,
5:09.0,,,42-48,,Defensive rebound by E. Kanter
4:59.0,,,42-48,,J. Jack misses 2-pt shot from 9 ft
4:56.0,Defensive rebound by J. Jackson,,42-48,,
4:49.0,J. Jackson misses 2-pt shot from 17 ft,,42-48,,
4:46.0,,,42-48,,Defensive rebound by E. Kanter
4:39.0,,,42-50,2,K. Porzingis makes 2-pt shot from 10 ft (assist by J. Jack)
4:29.0,Sacramento full timeout,,42-50,,
4:29.0,,,42-50,,T. Hardaway enters the game for D. McDermott
4:29.0,B. Bogdanovic enters the game for B. Hield,,42-50,,
4:29.0,W. Cauley-Stein enters the game for J. Jackson,,42-50,,
4:29.0,G. Temple enters the game for K. Koufos,,42-50,,
4:14.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,42-50,,
4:12.0,Offensive rebound by Team,,42-50,,
4:05.0,G. Temple misses 3-pt shot from 23 ft,,42-50,,
4:03.0,,,42-50,,Defensive rebound by K. Porzingis
3:53.0,,,42-50,,Turnover by J. Jack (bad pass; steal by B. Bogdanovic)
3:52.0,Shooting foul by T. Hardaway (drawn by B. Bogdanovic),,42-50,,
3:52.0,B. Bogdanovic makes free throw 1 of 2,1,43-50,,
3:52.0,G. Hill enters the game for D. Fox,,43-50,,
3:52.0,B. Bogdanovic makes free throw 2 of 2,1,44-50,,
3:38.0,,,44-52,2,C. Lee makes 2-pt shot from 2 ft
3:27.0,Turnover by Z. Randolph (bad pass),,44-52,,
3:14.0,,,44-52,,K. Porzingis misses 2-pt shot from 17 ft
3:09.0,,,44-52,,Offensive rebound by E. Kanter
3:08.0,,,44-52,,C. Lee misses 3-pt shot from 23 ft
3:08.0,,,44-52,,Violation by K. Porzingis (kicked ball)
3:04.0,Defensive rebound by Team,,44-52,,
2:56.0,Turnover by G. Hill (traveling),,44-52,,
2:41.0,,,44-52,,Shooting foul by W. Cauley-Stein (drawn by K. Porzingis)
2:41.0,,,44-53,1,K. Porzingis makes free throw 1 of 2
2:41.0,,,44-53,,K. O'Quinn enters the game for E. Kanter
2:41.0,,,44-53,,F. Ntilikina enters the game for J. Jack
2:41.0,,,44-54,1,K. Porzingis makes free throw 2 of 2
2:31.0,,,44-54,,Personal foul by K. O'Quinn (drawn by Z. Randolph)
2:31.0,Z. Randolph makes free throw 1 of 2,1,45-54,,
2:31.0,Z. Randolph makes free throw 2 of 2,1,46-54,,
2:07.0,,,46-54,,Shooting foul by B. Bogdanovic (drawn by C. Lee)
2:07.0,,,46-55,1,C. Lee makes free throw 1 of 2
2:07.0,,,46-55,,C. Lee misses free throw 2 of 2
2:05.0,Defensive rebound by G. Temple,,46-55,,
1:51.0,G. Temple makes 2-pt shot from 20 ft (assist by Z. Randolph),2,48-55,,
1:30.0,,,48-58,3,C. Lee makes 3-pt shot from 24 ft (assist by K. Porzingis)
1:18.0,,,48-58,,Personal foul by K. Porzingis (drawn by W. Cauley-Stein)
1:18.0,W. Cauley-Stein misses free throw 1 of 2,,48-58,,
1:18.0,Offensive rebound by Team,,48-58,,
1:18.0,W. Cauley-Stein makes free throw 2 of 2,1,49-58,,
1:04.0,,,49-58,,Shooting foul by W. Cauley-Stein (drawn by F. Ntilikina)
1:04.0,,,49-59,1,F. Ntilikina makes free throw 1 of 2
1:04.0,,,49-60,1,F. Ntilikina makes free throw 2 of 2
0:55.0,G. Temple misses 3-pt shot from 24 ft,,49-60,,
0:52.0,,,49-60,,Defensive rebound by K. O'Quinn
0:47.0,Personal foul by W. Cauley-Stein (drawn by K. Porzingis),,49-60,,
0:47.0,,,49-61,1,K. Porzingis makes free throw 1 of 2
0:47.0,,,49-62,1,K. Porzingis makes free throw 2 of 2
0:37.0,G. Hill misses 2-pt shot from 13 ft,,49-62,,
0:34.0,,,49-62,,Defensive rebound by K. O'Quinn
0:19.0,,,49-64,2,K. Porzingis makes 2-pt shot from 3 ft
0:19.0,,,49-64,,Shooting foul by B. Bogdanovic (drawn by K. Porzingis)
0:19.0,,,49-64,,K. Porzingis misses free throw 1 of 1
0:14.0,Defensive rebound by B. Bogdanovic,,49-64,,
0:01.0,G. Hill misses 2-pt shot from 22 ft,,49-64,,
0:00.0,,,49-64,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,W. Cauley-Stein makes 2-pt shot from 6 ft,2,51-64,,
11:15.0,,,51-64,,K. Porzingis misses 2-pt shot from 22 ft
11:13.0,Defensive rebound by G. Hill,,51-64,,
11:04.0,Z. Randolph misses 2-pt shot from 2 ft (block by K. Porzingis),,51-64,,
11:01.0,,,51-64,,Defensive rebound by K. Porzingis
10:55.0,,,51-66,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack)
10:37.0,W. Cauley-Stein misses 2-pt shot from 19 ft,,51-66,,
10:34.0,,,51-66,,Defensive rebound by E. Kanter
10:22.0,,,51-66,,K. Porzingis misses 2-pt shot from 2 ft (block by G. Hill)
10:21.0,,,51-66,,Offensive rebound by K. Porzingis
10:21.0,Personal foul by G. Hill (drawn by K. Porzingis),,51-66,,
10:11.0,,,51-68,2,E. Kanter makes 2-pt shot from 3 ft (assist by C. Lee)
9:54.0,Turnover by Z. Randolph (bad pass),,51-68,,
9:38.0,,,51-68,,K. Porzingis misses 2-pt shot from 19 ft
9:36.0,Defensive rebound by W. Cauley-Stein,,51-68,,
9:24.0,G. Hill misses 3-pt shot from 24 ft,,51-68,,
9:21.0,,,51-68,,Defensive rebound by E. Kanter
9:14.0,,,51-71,3,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack)
9:13.0,Sacramento full timeout,,51-71,,
8:55.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by Z. Randolph),2,53-71,,
8:38.0,,,53-73,2,K. Porzingis makes 2-pt shot from 11 ft (assist by T. Hardaway)
8:38.0,,,53-73,,Shooting foul by G. Hill (drawn by K. Porzingis)
8:38.0,,,53-74,1,K. Porzingis makes free throw 1 of 1
8:18.0,B. Bogdanovic misses 3-pt shot from 23 ft,,53-74,,
8:15.0,,,53-74,,Defensive rebound by K. Porzingis
8:09.0,,,53-74,,T. Hardaway misses 2-pt shot from 2 ft (block by G. Temple)
8:08.0,,,53-74,,Offensive rebound by T. Hardaway
8:08.0,,,53-74,,T. Hardaway misses 2-pt shot from 2 ft
8:08.0,,,53-74,,Offensive rebound by Team
8:02.0,,,53-74,,T. Hardaway misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by Z. Randolph,,53-74,,
7:38.0,Z. Randolph misses 2-pt shot from 18 ft,,53-74,,
7:38.0,,,53-74,,Defensive rebound by Team
7:38.0,Loose ball foul by W. Cauley-Stein (drawn by E. Kanter),,53-74,,
7:38.0,S. Labissiere enters the game for W. Cauley-Stein,,53-74,,
7:38.0,K. Koufos enters the game for Z. Randolph,,53-74,,
7:25.0,,,53-74,,K. Porzingis misses 2-pt shot from 15 ft
7:21.0,Defensive rebound by K. Koufos,,53-74,,
7:10.0,K. Koufos misses 2-pt shot from 5 ft,,53-74,,
7:08.0,,,53-74,,Defensive rebound by E. Kanter
6:55.0,,,53-74,,E. Kanter misses 2-pt shot from 3 ft
6:49.0,,,53-74,,Offensive rebound by E. Kanter
6:49.0,,,53-76,2,E. Kanter makes 2-pt shot at rim
6:44.0,Shooting foul by E. Kanter (drawn by S. Labissiere),,53-76,,
6:44.0,S. Labissiere makes free throw 1 of 2,1,54-76,,
6:44.0,S. Labissiere makes free throw 2 of 2,1,55-76,,
6:27.0,,,55-78,2,E. Kanter makes 2-pt shot at rim (assist by C. Lee)
6:14.0,Shooting foul by K. Porzingis (drawn by S. Labissiere),,55-78,,
6:14.0,S. Labissiere makes free throw 1 of 2,1,56-78,,
6:14.0,S. Labissiere makes free throw 2 of 2,1,57-78,,
5:59.0,,,57-78,,T. Hardaway misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by S. Labissiere,,57-78,,
5:52.0,G. Temple makes 2-pt shot from 12 ft (assist by B. Bogdanovic),2,59-78,,
5:35.0,,,59-81,3,C. Lee makes 3-pt shot from 22 ft (assist by J. Jack)
5:35.0,Sacramento full timeout,,59-81,,
5:26.0,B. Bogdanovic misses 2-pt shot from 7 ft,,59-81,,
5:24.0,Offensive rebound by S. Labissiere,,59-81,,
5:15.0,G. Temple misses 2-pt shot from 8 ft,,59-81,,
5:13.0,,,59-81,,Defensive rebound by Team
4:56.0,,,59-81,,K. Porzingis misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by B. Bogdanovic,,59-81,,
4:47.0,,,59-81,,Def 3 sec tech foul by K. Porzingis
4:47.0,B. Bogdanovic makes technical free throw,1,60-81,,
4:47.0,,,60-81,,D. McDermott enters the game for T. Hardaway
4:35.0,S. Labissiere misses 2-pt shot from 21 ft,,60-81,,
4:32.0,,,60-81,,Defensive rebound by E. Kanter
4:24.0,,,60-83,2,K. Porzingis makes 2-pt shot from 5 ft
4:12.0,S. Labissiere misses 3-pt shot from 25 ft,,60-83,,
4:08.0,,,60-83,,Defensive rebound by E. Kanter
4:01.0,,,60-85,2,K. Porzingis makes 2-pt shot from 4 ft (assist by J. Jack)
3:44.0,G. Temple misses 3-pt shot from 25 ft,,60-85,,
3:39.0,,,60-85,,Defensive rebound by C. Lee
3:27.0,,,60-85,,D. McDermott misses 3-pt shot from 22 ft
3:25.0,Defensive rebound by G. Temple,,60-85,,
3:20.0,B. Bogdanovic misses 2-pt shot from 1 ft,,60-85,,
3:19.0,,,60-85,,Defensive rebound by D. McDermott
3:19.0,,,60-85,,F. Ntilikina enters the game for J. Jack
3:19.0,D. Fox enters the game for G. Hill,,60-85,,
3:19.0,B. Hield enters the game for B. Bogdanovic,,60-85,,
3:19.0,J. Jackson enters the game for G. Temple,,60-85,,
3:03.0,,,60-85,,E. Kanter misses 2-pt shot from 9 ft
3:00.0,,,60-85,,Offensive rebound by F. Ntilikina
2:53.0,,,60-87,2,E. Kanter makes 2-pt shot from 1 ft (assist by K. Porzingis)
2:53.0,,,60-87,,Shooting foul by S. Labissiere (drawn by E. Kanter)
2:53.0,,,60-88,1,E. Kanter makes free throw 1 of 1
2:53.0,,,60-88,,M. Beasley enters the game for K. Porzingis
2:42.0,S. Labissiere misses 2-pt shot from 7 ft,,60-88,,
2:39.0,,,60-88,,Defensive rebound by M. Beasley
2:33.0,,,60-90,2,C. Lee makes 2-pt shot from 1 ft
2:19.0,Shooting foul by F. Ntilikina (drawn by D. Fox),,60-90,,
2:19.0,D. Fox misses free throw 1 of 2,,60-90,,
2:19.0,Offensive rebound by Team,,60-90,,
2:19.0,,,60-90,,D. Dotson enters the game for C. Lee
2:19.0,D. Fox makes free throw 2 of 2,1,61-90,,
2:04.0,,,61-90,,D. McDermott misses 2-pt shot from 16 ft
2:00.0,Defensive rebound by B. Hield,,61-90,,
1:48.0,B. Hield misses 2-pt shot from 9 ft,,61-90,,
1:44.0,,,61-90,,Defensive rebound by M. Beasley
1:30.0,,,61-90,,E. Kanter misses 2-pt shot from 5 ft
1:28.0,Defensive rebound by B. Hield,,61-90,,
1:20.0,K. Koufos misses 2-pt shot from 8 ft,,61-90,,
1:18.0,Offensive rebound by K. Koufos,,61-90,,
1:16.0,K. Koufos misses 2-pt shot from 7 ft,,61-90,,
1:11.0,Offensive rebound by B. Hield,,61-90,,
1:11.0,B. Hield misses 2-pt shot at rim,,61-90,,
1:11.0,,,61-90,,Defensive rebound by E. Kanter
1:00.0,,,61-90,,M. Beasley misses 2-pt shot from 11 ft
0:57.0,Defensive rebound by K. Koufos,,61-90,,
0:50.0,,,61-90,,Personal foul by D. Dotson (drawn by J. Jackson)
0:37.0,J. Jackson makes 2-pt shot from 4 ft,2,63-90,,
0:22.0,,,63-90,,F. Ntilikina misses 3-pt shot from 26 ft
0:19.0,Defensive rebound by B. Hield,,63-90,,
0:02.0,D. Fox makes 2-pt shot at rim,2,65-90,,
0:02.0,Shooting foul by F. Ntilikina (drawn by D. Fox),,65-90,,
0:02.0,F. Mason enters the game for S. Labissiere,,65-90,,
0:02.0,D. Fox makes free throw 1 of 1,1,66-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,66-90,,K. O'Quinn misses 2-pt shot from 4 ft
11:38.0,,,66-90,,Offensive rebound by D. McDermott
11:38.0,,,66-90,,D. McDermott misses 2-pt shot at rim
11:36.0,,,66-90,,Offensive rebound by K. O'Quinn
11:36.0,,,66-92,2,K. O'Quinn makes 2-pt shot at rim
11:26.0,J. Jackson misses 3-pt shot from 27 ft,,66-92,,
11:22.0,,,66-92,,Defensive rebound by K. O'Quinn
11:11.0,,,66-94,2,D. Dotson makes 2-pt shot from 14 ft (assist by K. O'Quinn)
10:59.0,D. Fox misses 2-pt shot from 9 ft,,66-94,,
10:56.0,,,66-94,,Defensive rebound by F. Ntilikina
10:51.0,,,66-94,,D. Dotson misses 2-pt shot from 20 ft
10:48.0,Defensive rebound by J. Jackson,,66-94,,
10:44.0,B. Hield misses 2-pt shot from 1 ft (block by M. Beasley),,66-94,,
10:41.0,,,66-94,,Defensive rebound by K. O'Quinn
10:35.0,,,66-96,2,M. Beasley makes 2-pt shot from 1 ft (assist by K. O'Quinn)
10:21.0,J. Jackson misses 3-pt shot from 23 ft,,66-96,,
10:17.0,Offensive rebound by K. Koufos,,66-96,,
10:12.0,Shooting foul by K. O'Quinn (drawn by B. Hield),,66-96,,
10:12.0,B. Hield misses free throw 1 of 2,,66-96,,
10:12.0,Offensive rebound by Team,,66-96,,
10:12.0,B. Hield makes free throw 2 of 2,1,67-96,,
10:00.0,,,67-96,,Offensive charge foul by D. Dotson (drawn by D. Fox)
10:00.0,,,67-96,,Turnover by D. Dotson (offensive foul)
9:39.0,B. Hield makes 2-pt shot from 22 ft,2,69-96,,
9:21.0,,,69-98,2,D. Dotson makes 2-pt shot from 13 ft (assist by K. O'Quinn)
9:04.0,J. Jackson misses 3-pt shot from 25 ft,,69-98,,
9:01.0,,,69-98,,Defensive rebound by Team
8:50.0,,,69-100,2,D. Dotson makes 2-pt shot from 1 ft (assist by K. O'Quinn)
8:42.0,Shooting foul by K. O'Quinn (drawn by F. Mason),,69-100,,
8:42.0,F. Mason misses free throw 1 of 2,,69-100,,
8:42.0,Offensive rebound by Team,,69-100,,
8:42.0,,,69-100,,W. Hernangomez enters the game for K. O'Quinn
8:42.0,S. Labissiere enters the game for D. Fox,,69-100,,
8:42.0,F. Mason makes free throw 2 of 2,1,70-100,,
8:29.0,,,70-100,,Turnover by D. Dotson (lost ball; steal by S. Labissiere)
8:22.0,B. Hield misses 2-pt shot from 5 ft,,70-100,,
8:20.0,,,70-100,,Defensive rebound by M. Beasley
8:14.0,,,70-103,3,D. Dotson makes 3-pt shot from 25 ft (assist by F. Ntilikina)
7:55.0,J. Jackson misses 2-pt shot from 21 ft,,70-103,,
7:53.0,Offensive rebound by J. Jackson,,70-103,,
7:50.0,Turnover by J. Jackson (bad pass; steal by W. Hernangomez),,70-103,,
7:42.0,,,70-103,,D. McDermott misses 3-pt shot from 23 ft
7:39.0,Defensive rebound by K. Koufos,,70-103,,
7:32.0,B. Hield makes 3-pt shot from 24 ft (assist by F. Mason),3,73-103,,
7:17.0,,,73-103,,Turnover by F. Ntilikina (bad pass; steal by S. Labissiere)
7:13.0,S. Labissiere misses 2-pt shot from 2 ft (block by M. Beasley),,73-103,,
7:09.0,Offensive rebound by B. Hield,,73-103,,
7:02.0,F. Mason makes 3-pt shot from 25 ft (assist by K. Koufos),3,76-103,,
6:38.0,,,76-103,,W. Hernangomez misses 2-pt shot from 9 ft (block by K. Koufos)
6:38.0,,,76-103,,Offensive rebound by Team
6:38.0,,,76-103,,New York full timeout
6:38.0,D. Fox enters the game for J. Jackson,,76-103,,
6:38.0,,,76-103,,New York full timeout
6:38.0,,,76-103,,J. Jack enters the game for F. Ntilikina
6:33.0,,,76-103,,W. Hernangomez misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by Team,,76-103,,
6:14.0,Turnover by K. Koufos (offensive goaltending),,76-103,,
5:57.0,,,76-103,,M. Beasley misses 2-pt shot from 8 ft
5:55.0,Defensive rebound by Team,,76-103,,
5:47.0,K. Koufos misses 2-pt shot from 6 ft (block by M. Beasley),,76-103,,
5:44.0,,,76-103,,Defensive rebound by W. Hernangomez
5:42.0,,,76-105,2,D. McDermott makes 2-pt shot from 1 ft (assist by D. Dotson)
5:34.0,,,76-105,,Personal foul by D. McDermott (drawn by K. Koufos)
5:34.0,J. Jackson enters the game for K. Koufos,,76-105,,
5:22.0,B. Hield makes 3-pt shot from 26 ft (assist by S. Labissiere),3,79-105,,
5:05.0,,,79-107,2,D. McDermott makes 2-pt shot from 9 ft
4:46.0,S. Labissiere makes 2-pt shot from 16 ft (assist by F. Mason),2,81-107,,
4:33.0,,,81-107,,D. Dotson misses 2-pt shot from 11 ft
4:30.0,Defensive rebound by B. Hield,,81-107,,
4:23.0,S. Labissiere makes 2-pt shot from 9 ft (assist by B. Hield),2,83-107,,
4:10.0,Personal foul by S. Labissiere (drawn by W. Hernangomez),,83-107,,
4:10.0,,,83-107,,F. Ntilikina enters the game for J. Jack
4:00.0,,,83-107,,Turnover by W. Hernangomez (lost ball; steal by D. Fox)
