time,Toronto,pts.away,score,pts.home,Charlotte
1:21.0,,,25-24,,Turnover by T. Graham (lost ball; steal by P. Siakam)
1:16.0,Turnover by P. Siakam (bad pass; steal by M. Carter-Williams),,25-24,,
1:15.0,Personal foul by D. DeRozan (drawn by M. Carter-Williams),,25-24,,
1:00.0,,,25-24,,Turnover by J. Lamb (bad pass; steal by D. DeRozan)
0:58.0,D. DeRozan makes 2-pt shot from 1 ft,2,27-24,,
0:39.0,,,27-24,,J. Lamb misses 2-pt shot from 10 ft
0:37.0,,,27-24,,Offensive rebound by C. Zeller
0:30.0,,,27-26,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by T. Graham)
0:10.0,C. Miles makes 3-pt shot from 25 ft (assist by J. Poeltl),3,30-26,,
0:00.0,,,30-26,,J. Lamb misses 2-pt shot from 4 ft
0:00.0,,,30-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,C. Miles makes 3-pt shot from 25 ft (assist by D. Wright),3,33-26,,
11:51.0,Shooting foul by T. Graham (drawn by C. Miles),,33-26,,
11:51.0,C. Miles makes free throw 1 of 1,1,34-26,,
11:38.0,,,34-26,,Shooting foul by F. VanVleet (drawn by C. Zeller)
11:38.0,,,34-26,,C. Zeller misses free throw 1 of 2
11:38.0,,,34-26,,Offensive rebound by Team
11:38.0,,,34-26,,C. Zeller misses free throw 2 of 2
11:34.0,,,34-26,,Offensive rebound by F. Kaminsky
11:24.0,,,34-28,2,J. Lamb makes 2-pt shot from 2 ft
11:08.0,Turnover by F. VanVleet (bad pass; steal by M. Carter-Williams),,34-28,,
11:04.0,,,34-28,,M. Carter-Williams misses 2-pt shot from 1 ft (block by C. Miles)
11:04.0,,,34-28,,Offensive rebound by Team
11:03.0,,,34-30,2,C. Zeller makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
11:03.0,,,34-30,,Shooting foul by J. Poeltl (drawn by C. Zeller)
11:03.0,,,34-31,1,C. Zeller makes free throw 1 of 1
10:54.0,C. Miles makes 2-pt shot from 16 ft (assist by F. VanVleet),2,36-31,,
10:30.0,,,36-31,,J. Lamb misses 2-pt shot from 2 ft (block by D. Wright)
10:25.0,Defensive rebound by F. VanVleet,,36-31,,
10:24.0,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet),2,38-31,,
10:15.0,Personal foul by C. Miles (drawn by T. Graham),,38-31,,
9:59.0,,,38-31,,T. Graham misses 2-pt shot from 11 ft
9:55.0,Defensive rebound by P. Siakam,,38-31,,
9:43.0,J. Poeltl makes 2-pt shot from 5 ft,2,40-31,,
9:27.0,,,40-31,,C. Zeller misses 2-pt shot from 17 ft
9:24.0,Defensive rebound by P. Siakam,,40-31,,
9:19.0,P. Siakam misses 2-pt shot from 6 ft,,40-31,,
9:15.0,,,40-31,,Defensive rebound by F. Kaminsky
9:10.0,,,40-31,,M. Carter-Williams misses 2-pt shot from 16 ft
9:06.0,,,40-31,,Offensive rebound by J. Lamb
9:01.0,,,40-33,2,J. Lamb makes 2-pt shot from 2 ft
8:39.0,Offensive charge foul by P. Siakam (drawn by F. Kaminsky),,40-33,,
8:39.0,Turnover by P. Siakam (offensive foul),,40-33,,
8:22.0,,,40-33,,F. Kaminsky misses 2-pt shot from 1 ft
8:20.0,Defensive rebound by P. Siakam,,40-33,,
8:18.0,Toronto full timeout,,40-33,,
8:18.0,,,40-33,,K. Walker enters the game for T. Graham
8:13.0,F. VanVleet misses 3-pt shot from 25 ft,,40-33,,
8:08.0,Offensive rebound by P. Siakam,,40-33,,
8:05.0,C. Miles makes 3-pt shot from 25 ft (assist by P. Siakam),3,43-33,,
7:43.0,,,43-33,,F. Kaminsky misses 2-pt shot from 2 ft
7:41.0,Defensive rebound by F. VanVleet,,43-33,,
7:38.0,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet),2,45-33,,
7:20.0,,,45-36,3,M. Carter-Williams makes 3-pt shot from 22 ft (assist by K. Walker)
7:05.0,Turnover by D. Wright (traveling),,45-36,,
6:45.0,,,45-36,,Turnover by J. Lamb (bad pass; steal by D. Wright)
