time,Cleveland,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. J. Green (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. J. Green (D. Lillard gains possession)
11:39.0,,,0-3,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
11:22.0,Shooting foul by M. Harkless (drawn by J. Green),,0-3,,
11:22.0,J. Green makes free throw 1 of 2,1,1-3,,
11:22.0,J. Green makes free throw 2 of 2,1,2-3,,
11:06.0,,,2-3,,D. Lillard misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by Team,,2-3,,
10:50.0,K. Korver misses 3-pt shot from 24 ft,,2-3,,
10:48.0,,,2-3,,Defensive rebound by D. Lillard
10:42.0,,,2-5,2,C. McCollum makes 2-pt shot from 14 ft (assist by D. Lillard)
10:27.0,J. Green makes 2-pt shot from 2 ft (assist by G. Hill),2,4-5,,
10:12.0,,,4-5,,Turnover by C. McCollum (bad pass; steal by K. Korver)
10:07.0,L. James makes 2-pt shot at rim,2,6-5,,
9:52.0,,,6-7,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
9:34.0,K. Korver makes 2-pt shot from 21 ft (assist by J. Green),2,8-7,,
9:19.0,,,8-7,,D. Lillard misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by R. Hood,,8-7,,
9:12.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Green),3,11-7,,
8:58.0,,,11-9,2,M. Harkless makes 2-pt shot at rim (assist by C. McCollum)
8:36.0,L. James makes 2-pt shot at rim,2,13-9,,
8:17.0,,,13-9,,J. Nurkic misses 2-pt shot from 14 ft
8:14.0,Defensive rebound by G. Hill,,13-9,,
8:03.0,J. Green misses 2-pt shot from 23 ft,,13-9,,
8:00.0,,,13-9,,Defensive rebound by J. Nurkic
7:53.0,,,13-11,2,D. Lillard makes 2-pt shot from 2 ft
7:40.0,R. Hood misses 3-pt shot from 25 ft,,13-11,,
7:37.0,,,13-11,,Defensive rebound by J. Nurkic
7:24.0,,,13-14,3,M. Harkless makes 3-pt shot from 22 ft (assist by A. Aminu)
7:02.0,L. James makes 2-pt shot at rim,2,15-14,,
6:47.0,Shooting block foul by R. Hood (drawn by J. Nurkic),,15-14,,
6:47.0,,,15-14,,Portland full timeout
6:47.0,,,15-14,,J. Nurkic misses free throw 1 of 2
6:47.0,,,15-14,,Offensive rebound by Team
6:47.0,,,15-15,1,J. Nurkic makes free throw 2 of 2
6:31.0,K. Korver makes 2-pt shot from 23 ft,2,17-15,,
6:19.0,,,17-15,,M. Harkless misses 3-pt shot from 22 ft
6:19.0,,,17-15,,Offensive rebound by Team
6:19.0,Loose ball foul by G. Hill (drawn by J. Nurkic),,17-15,,
